{'dataset_name': 'QM9', 'target': 2, 'model': 'NLG_R', 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 5, 'hidden': 512, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'CB', 'variants': {'BN': 'Y', 'fea_activation': 'ELU'}}, 'commit_id': 'b1e82dd32d1089453a2bcac386c86153ad3dd67b', 'time_stamp': '1600791696', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_2, 1600791696_b1e82dd_CB_ELU_add_cat_5_512_Y_0.0001_30_0.85_B64_S777, ID=b1e82dd32d1089453a2bcac386c86153ad3dd67b
Epoch: 001, LR: 0.000100, Loss: 0.3250633, Validation MAE: 0.0075551, Test MAE: 0.0074960
Epoch: 002, LR: 0.000100, Loss: 0.1701575, Validation MAE: 0.0063208, Test MAE: 0.0063240
Epoch: 003, 0.000100,0.1370602,0.0063991,0.0064945
Epoch: 004, 0.000100,0.1184404,0.0076682,0.0077250
Epoch: 005, LR: 0.000100, Loss: 0.1017983, Validation MAE: 0.0051702, Test MAE: 0.0051516
Epoch: 006, LR: 0.000100, Loss: 0.0900297, Validation MAE: 0.0050635, Test MAE: 0.0050583
Epoch: 007, LR: 0.000100, Loss: 0.0825475, Validation MAE: 0.0047612, Test MAE: 0.0047359
Epoch: 008, LR: 0.000100, Loss: 0.0741364, Validation MAE: 0.0043445, Test MAE: 0.0043714
Epoch: 009, LR: 0.000100, Loss: 0.0668109, Validation MAE: 0.0041585, Test MAE: 0.0041314
Epoch: 010, LR: 0.000100, Loss: 0.0634888, Validation MAE: 0.0040364, Test MAE: 0.0040409
Epoch: 011, LR: 0.000100, Loss: 0.0563134, Validation MAE: 0.0037339, Test MAE: 0.0037313
Epoch: 012, 0.000100,0.0518369,0.0039173,0.0039373
Epoch: 013, 0.000100,0.0513035,0.0037463,0.0037558
Epoch: 014, LR: 0.000100, Loss: 0.0448661, Validation MAE: 0.0035312, Test MAE: 0.0035427
Epoch: 015, LR: 0.000100, Loss: 0.0438560, Validation MAE: 0.0034876, Test MAE: 0.0034964
Epoch: 016, LR: 0.000100, Loss: 0.0415163, Validation MAE: 0.0034489, Test MAE: 0.0034760
Epoch: 017, LR: 0.000100, Loss: 0.0377796, Validation MAE: 0.0033690, Test MAE: 0.0033755
Epoch: 018, 0.000100,0.0365992,0.0035324,0.0035393
Epoch: 019, 0.000100,0.0337569,0.0034141,0.0033862
Epoch: 020, LR: 0.000100, Loss: 0.0327301, Validation MAE: 0.0033263, Test MAE: 0.0033158
Epoch: 021, 0.000100,0.0302618,0.0033688,0.0034447
Epoch: 022, LR: 0.000100, Loss: 0.0287262, Validation MAE: 0.0031603, Test MAE: 0.0031970
Epoch: 023, LR: 0.000100, Loss: 0.0302551, Validation MAE: 0.0031466, Test MAE: 0.0031501
Epoch: 024, LR: 0.000100, Loss: 0.0258691, Validation MAE: 0.0031365, Test MAE: 0.0031578
Epoch: 025, 0.000100,0.0249962,0.0031556,0.0032262
Epoch: 026, LR: 0.000100, Loss: 0.0233181, Validation MAE: 0.0031196, Test MAE: 0.0031703
Epoch: 027, 0.000100,0.0231092,0.0031968,0.0032027
Epoch: 028, LR: 0.000100, Loss: 0.0216282, Validation MAE: 0.0030312, Test MAE: 0.0030423
Epoch: 029, 0.000100,0.0207801,0.0030482,0.0030636
Epoch: 030, 0.000100,0.0194075,0.0032251,0.0032291
Epoch: 031, LR: 0.000085, Loss: 0.0164361, Validation MAE: 0.0029648, Test MAE: 0.0029622
Epoch: 032, LR: 0.000085, Loss: 0.0161761, Validation MAE: 0.0029292, Test MAE: 0.0029449
Epoch: 033, 0.000085,0.0147312,0.0029423,0.0029650
Epoch: 034, LR: 0.000085, Loss: 0.0146907, Validation MAE: 0.0028687, Test MAE: 0.0029082
Epoch: 035, LR: 0.000085, Loss: 0.0139850, Validation MAE: 0.0028302, Test MAE: 0.0028945
Epoch: 036, 0.000085,0.0135457,0.0029160,0.0029276
Epoch: 037, 0.000085,0.0129583,0.0028503,0.0028828
Epoch: 038, 0.000085,0.0128615,0.0028495,0.0028986
Epoch: 039, 0.000085,0.0118603,0.0030843,0.0030595
Epoch: 040, LR: 0.000085, Loss: 0.0132715, Validation MAE: 0.0027916, Test MAE: 0.0028320
Epoch: 041, 0.000085,0.0108855,0.0028364,0.0028591
Epoch: 042, 0.000085,0.0108543,0.0028362,0.0028539
Epoch: 043, 0.000085,0.0109057,0.0028271,0.0028446
Epoch: 044, 0.000085,0.0110378,0.0028444,0.0028986
Epoch: 045, LR: 0.000085, Loss: 0.0107067, Validation MAE: 0.0027480, Test MAE: 0.0028062
Epoch: 046, 0.000085,0.0106705,0.0027830,0.0028008
Epoch: 047, 0.000085,0.0102537,0.0028247,0.0028672
Epoch: 048, 0.000085,0.0097811,0.0028142,0.0028315
Epoch: 049, 0.000085,0.0094198,0.0027578,0.0027978
Epoch: 050, 0.000085,0.0090485,0.0027610,0.0028310
Epoch: 051, 0.000085,0.0095974,0.0028085,0.0028390
Epoch: 052, 0.000085,0.0090685,0.0027541,0.0027819
Epoch: 053, 0.000085,0.0099713,0.0028404,0.0028741
Epoch: 054, LR: 0.000085, Loss: 0.0086017, Validation MAE: 0.0027016, Test MAE: 0.0027463
Epoch: 055, 0.000085,0.0081432,0.0027681,0.0028263
Epoch: 056, 0.000085,0.0091818,0.0027206,0.0027666
Epoch: 057, 0.000085,0.0079859,0.0028034,0.0028268
Epoch: 058, 0.000085,0.0080989,0.0027195,0.0027629
Epoch: 059, 0.000085,0.0082019,0.0027050,0.0027554
Epoch: 060, 0.000085,0.0080214,0.0027950,0.0028471
Epoch: 061, LR: 0.000072, Loss: 0.0068585, Validation MAE: 0.0026658, Test MAE: 0.0027163
Epoch: 062, 0.000072,0.0063005,0.0026687,0.0027147
Epoch: 063, LR: 0.000072, Loss: 0.0064545, Validation MAE: 0.0026544, Test MAE: 0.0027195
Epoch: 064, 0.000072,0.0062126,0.0026631,0.0027145
Epoch: 065, 0.000072,0.0062242,0.0026560,0.0026899
Epoch: 066, LR: 0.000072, Loss: 0.0059531, Validation MAE: 0.0026350, Test MAE: 0.0026827
Epoch: 067, 0.000072,0.0058595,0.0026652,0.0026853
Epoch: 068, LR: 0.000072, Loss: 0.0058527, Validation MAE: 0.0026203, Test MAE: 0.0026903
Epoch: 069, 0.000072,0.0057921,0.0026340,0.0026845
Epoch: 070, 0.000072,0.0060464,0.0026489,0.0026790
Epoch: 071, LR: 0.000072, Loss: 0.0057192, Validation MAE: 0.0026011, Test MAE: 0.0026789
Epoch: 072, 0.000072,0.0054839,0.0026304,0.0026626
Epoch: 073, LR: 0.000072, Loss: 0.0054512, Validation MAE: 0.0025946, Test MAE: 0.0026708
Epoch: 074, 0.000072,0.0054655,0.0025963,0.0026712
Epoch: 075, 0.000072,0.0054942,0.0025976,0.0026581
Epoch: 076, LR: 0.000072, Loss: 0.0053921, Validation MAE: 0.0025789, Test MAE: 0.0026229
Epoch: 077, 0.000072,0.0053307,0.0025933,0.0026450
Epoch: 078, 0.000072,0.0053248,0.0026464,0.0027047
Epoch: 079, LR: 0.000072, Loss: 0.0054404, Validation MAE: 0.0025653, Test MAE: 0.0026337
Epoch: 080, 0.000072,0.0051187,0.0026002,0.0026515
Epoch: 081, 0.000072,0.0050128,0.0026194,0.0026921
Epoch: 082, 0.000072,0.0050621,0.0025974,0.0026440
Epoch: 083, 0.000072,0.0049452,0.0025938,0.0026233
Epoch: 084, 0.000072,0.0051970,0.0026436,0.0026771
Epoch: 085, 0.000072,0.0050229,0.0025816,0.0026265
Epoch: 086, LR: 0.000072, Loss: 0.0050380, Validation MAE: 0.0025586, Test MAE: 0.0026123
Epoch: 087, 0.000072,0.0050073,0.0025929,0.0026306
Epoch: 088, LR: 0.000072, Loss: 0.0050346, Validation MAE: 0.0025491, Test MAE: 0.0025914
Epoch: 089, 0.000072,0.0048366,0.0025954,0.0026602
Epoch: 090, 0.000072,0.0046102,0.0025717,0.0026319
Epoch: 091, LR: 0.000061, Loss: 0.0041571, Validation MAE: 0.0025374, Test MAE: 0.0026087
Epoch: 092, LR: 0.000061, Loss: 0.0039953, Validation MAE: 0.0025096, Test MAE: 0.0025862
Epoch: 093, 0.000061,0.0040748,0.0025610,0.0026101
Epoch: 094, 0.000061,0.0043652,0.0025824,0.0026320
Epoch: 095, 0.000061,0.0039028,0.0025138,0.0025877
Epoch: 096, 0.000061,0.0032310,0.0025584,0.0025814
Epoch: 097, 0.000061,0.0035046,0.0025154,0.0025804
Epoch: 098, 0.000061,0.0039118,0.0026196,0.0026964
