{'dataset_name': 'QM9', 'target': 2, 'model': 'NLG_R', 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 5, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'EB16', 'variants': {'BN': 'Y', 'fea_activation': 'ELU'}}, 'commit_id': 'b1e82dd32d1089453a2bcac386c86153ad3dd67b', 'time_stamp': '1600829098', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_2, 1600829098_b1e82dd_EB16_ELU_add_cat_5_256_Y_0.0001_30_0.85_B64_S777, ID=b1e82dd32d1089453a2bcac386c86153ad3dd67b
Epoch: 001, LR: 0.000100, Loss: 0.2882711, Validation MAE: 0.0097000, Test MAE: 0.0098753
Epoch: 002, LR: 0.000100, Loss: 0.1664922, Validation MAE: 0.0063031, Test MAE: 0.0063703
Epoch: 003, LR: 0.000100, Loss: 0.1349203, Validation MAE: 0.0055925, Test MAE: 0.0056285
Epoch: 004, LR: 0.000100, Loss: 0.1147437, Validation MAE: 0.0053871, Test MAE: 0.0053346
Epoch: 005, LR: 0.000100, Loss: 0.0992629, Validation MAE: 0.0050915, Test MAE: 0.0050665
Epoch: 006, LR: 0.000100, Loss: 0.0872342, Validation MAE: 0.0047183, Test MAE: 0.0047277
Epoch: 007, 0.000100,0.0785960,0.0048176,0.0048430
Epoch: 008, LR: 0.000100, Loss: 0.0692051, Validation MAE: 0.0041599, Test MAE: 0.0041636
Epoch: 009, 0.000100,0.0632887,0.0042952,0.0043313
Epoch: 010, LR: 0.000100, Loss: 0.0582764, Validation MAE: 0.0038677, Test MAE: 0.0038399
Epoch: 011, 0.000100,0.0519487,0.0039087,0.0038762
Epoch: 012, LR: 0.000100, Loss: 0.0494802, Validation MAE: 0.0036802, Test MAE: 0.0037008
Epoch: 013, LR: 0.000100, Loss: 0.0449312, Validation MAE: 0.0034882, Test MAE: 0.0035099
Epoch: 014, 0.000100,0.0419408,0.0035251,0.0035144
Epoch: 015, LR: 0.000100, Loss: 0.0404353, Validation MAE: 0.0034389, Test MAE: 0.0034779
Epoch: 016, 0.000100,0.0375663,0.0035933,0.0036519
Epoch: 017, LR: 0.000100, Loss: 0.0356021, Validation MAE: 0.0032869, Test MAE: 0.0032944
Epoch: 018, 0.000100,0.0329411,0.0033334,0.0033214
Epoch: 019, LR: 0.000100, Loss: 0.0311482, Validation MAE: 0.0031963, Test MAE: 0.0032919
Epoch: 020, 0.000100,0.0303519,0.0034176,0.0034602
Epoch: 021, LR: 0.000100, Loss: 0.0279531, Validation MAE: 0.0031616, Test MAE: 0.0031826
Epoch: 022, LR: 0.000100, Loss: 0.0267103, Validation MAE: 0.0031595, Test MAE: 0.0032354
Epoch: 023, LR: 0.000100, Loss: 0.0253463, Validation MAE: 0.0030800, Test MAE: 0.0031456
Epoch: 024, LR: 0.000100, Loss: 0.0239077, Validation MAE: 0.0030315, Test MAE: 0.0030743
Epoch: 025, 0.000100,0.0228316,0.0031820,0.0032279
Epoch: 026, 0.000100,0.0219011,0.0031705,0.0031962
Epoch: 027, 0.000100,0.0211244,0.0031788,0.0032576
Epoch: 028, 0.000100,0.0196068,0.0030447,0.0031119
Epoch: 029, LR: 0.000100, Loss: 0.0197676, Validation MAE: 0.0029828, Test MAE: 0.0030309
Epoch: 030, 0.000100,0.0182099,0.0030061,0.0030714
Epoch: 031, LR: 0.000085, Loss: 0.0155369, Validation MAE: 0.0028863, Test MAE: 0.0029496
Epoch: 032, LR: 0.000085, Loss: 0.0148621, Validation MAE: 0.0028370, Test MAE: 0.0028879
Epoch: 033, 0.000085,0.0140536,0.0028848,0.0029312
Epoch: 034, 0.000085,0.0135200,0.0028875,0.0029392
Epoch: 035, 0.000085,0.0132872,0.0028419,0.0029064
Epoch: 036, 0.000085,0.0124563,0.0028781,0.0028929
Epoch: 037, 0.000085,0.0119890,0.0028674,0.0029145
Epoch: 038, LR: 0.000085, Loss: 0.0120471, Validation MAE: 0.0028191, Test MAE: 0.0028624
Epoch: 039, 0.000085,0.0113999,0.0028422,0.0028764
Epoch: 040, 0.000085,0.0110666,0.0028366,0.0029157
Epoch: 041, LR: 0.000085, Loss: 0.0109345, Validation MAE: 0.0028164, Test MAE: 0.0028626
Epoch: 042, LR: 0.000085, Loss: 0.0102701, Validation MAE: 0.0027876, Test MAE: 0.0028395
Epoch: 043, 0.000085,0.0103579,0.0027935,0.0028551
Epoch: 044, 0.000085,0.0100597,0.0028271,0.0028807
Epoch: 045, LR: 0.000085, Loss: 0.0096707, Validation MAE: 0.0027768, Test MAE: 0.0028211
Epoch: 046, 0.000085,0.0092952,0.0028085,0.0028718
Epoch: 047, 0.000085,0.0096135,0.0027817,0.0028358
Epoch: 048, 0.000085,0.0091304,0.0027907,0.0028425
Epoch: 049, LR: 0.000085, Loss: 0.0089249, Validation MAE: 0.0027461, Test MAE: 0.0028437
Epoch: 050, 0.000085,0.0085434,0.0027906,0.0028375
Epoch: 051, 0.000085,0.0085966,0.0028761,0.0028988
Epoch: 052, 0.000085,0.0085145,0.0027838,0.0028332
Epoch: 053, 0.000085,0.0079447,0.0027494,0.0028017
Epoch: 054, LR: 0.000085, Loss: 0.0082531, Validation MAE: 0.0027324, Test MAE: 0.0027965
Epoch: 055, LR: 0.000085, Loss: 0.0076635, Validation MAE: 0.0027266, Test MAE: 0.0028245
Epoch: 056, 0.000085,0.0076937,0.0027539,0.0028043
Epoch: 057, 0.000085,0.0077878,0.0027643,0.0028314
Epoch: 058, 0.000085,0.0075986,0.0027965,0.0028373
Epoch: 059, LR: 0.000085, Loss: 0.0072439, Validation MAE: 0.0027123, Test MAE: 0.0027866
Epoch: 060, LR: 0.000085, Loss: 0.0073911, Validation MAE: 0.0027105, Test MAE: 0.0027601
Epoch: 061, LR: 0.000072, Loss: 0.0064293, Validation MAE: 0.0026481, Test MAE: 0.0026985
Epoch: 062, 0.000072,0.0058874,0.0026793,0.0027516
Epoch: 063, 0.000072,0.0058201,0.0026533,0.0027231
Epoch: 064, 0.000072,0.0058376,0.0026594,0.0027373
Epoch: 065, LR: 0.000072, Loss: 0.0057270, Validation MAE: 0.0026327, Test MAE: 0.0026990
Epoch: 066, 0.000072,0.0058537,0.0026708,0.0027371
Epoch: 067, 0.000072,0.0054676,0.0026634,0.0027147
Epoch: 068, 0.000072,0.0056011,0.0026381,0.0027235
Epoch: 069, 0.000072,0.0056365,0.0026490,0.0027100
Epoch: 070, 0.000072,0.0052973,0.0026614,0.0027206
Epoch: 071, 0.000072,0.0053863,0.0026394,0.0027111
Epoch: 072, LR: 0.000072, Loss: 0.0052922, Validation MAE: 0.0026185, Test MAE: 0.0027116
Epoch: 073, 0.000072,0.0051612,0.0026440,0.0027102
Epoch: 074, LR: 0.000072, Loss: 0.0050636, Validation MAE: 0.0026184, Test MAE: 0.0026958
Epoch: 075, 0.000072,0.0051708,0.0026552,0.0027080
Epoch: 076, 0.000072,0.0051139,0.0026755,0.0027157
Epoch: 077, 0.000072,0.0049090,0.0026480,0.0027105
Epoch: 078, 0.000072,0.0049676,0.0026318,0.0027137
Epoch: 079, 0.000072,0.0049364,0.0026388,0.0027025
Epoch: 080, LR: 0.000072, Loss: 0.0051790, Validation MAE: 0.0026070, Test MAE: 0.0027000
Epoch: 081, LR: 0.000072, Loss: 0.0046812, Validation MAE: 0.0025915, Test MAE: 0.0026976
Epoch: 082, 0.000072,0.0048377,0.0026079,0.0026924
Epoch: 083, 0.000072,0.0047563,0.0026319,0.0027090
Epoch: 084, 0.000072,0.0047015,0.0026254,0.0027006
Epoch: 085, 0.000072,0.0046362,0.0025924,0.0026756
