{'dataset_name': 'QM9', 'target': 3, 'model': 'NLG_R', 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 4, 'hidden': 512, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'CA', 'variants': {'BN': 'N', 'fea_activation': 'ReLU'}}, 'commit_id': 'b1e82dd32d1089453a2bcac386c86153ad3dd67b', 'time_stamp': '1601085942', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_3, 1601085942_b1e82dd_CA_ReLU_add_cat_4_512_N_0.0001_30_0.85_B64_S777, ID=b1e82dd32d1089453a2bcac386c86153ad3dd67b
Epoch: 001, LR: 0.000100, Loss: 0.1378977, Validation MAE: 0.0087706, Test MAE: 0.0087435
Epoch: 002, LR: 0.000100, Loss: 0.0633982, Validation MAE: 0.0078386, Test MAE: 0.0077868
Epoch: 003, LR: 0.000100, Loss: 0.0500259, Validation MAE: 0.0075221, Test MAE: 0.0074960
Epoch: 004, LR: 0.000100, Loss: 0.0432037, Validation MAE: 0.0063865, Test MAE: 0.0063668
Epoch: 005, LR: 0.000100, Loss: 0.0384795, Validation MAE: 0.0058790, Test MAE: 0.0058233
Epoch: 006, LR: 0.000100, Loss: 0.0338910, Validation MAE: 0.0057241, Test MAE: 0.0057123
Epoch: 007, 0.000100,0.0306840,0.0059985,0.0059657
Epoch: 008, LR: 0.000100, Loss: 0.0268497, Validation MAE: 0.0053186, Test MAE: 0.0053001
Epoch: 009, LR: 0.000100, Loss: 0.0246106, Validation MAE: 0.0052090, Test MAE: 0.0052451
Epoch: 010, LR: 0.000100, Loss: 0.0216952, Validation MAE: 0.0051807, Test MAE: 0.0051823
Epoch: 011, LR: 0.000100, Loss: 0.0217819, Validation MAE: 0.0046854, Test MAE: 0.0047228
Epoch: 012, LR: 0.000100, Loss: 0.0186212, Validation MAE: 0.0045274, Test MAE: 0.0045307
Epoch: 013, LR: 0.000100, Loss: 0.0194765, Validation MAE: 0.0042739, Test MAE: 0.0043336
Epoch: 014, 0.000100,0.0173014,0.0045964,0.0046204
Epoch: 015, 0.000100,0.0158331,0.0043503,0.0043837
Epoch: 016, 0.000100,0.0152528,0.0043794,0.0044604
Epoch: 017, 0.000100,0.0152576,0.0043407,0.0043993
Epoch: 018, LR: 0.000100, Loss: 0.0152517, Validation MAE: 0.0041141, Test MAE: 0.0041450
Epoch: 019, LR: 0.000100, Loss: 0.0132401, Validation MAE: 0.0039892, Test MAE: 0.0040619
Epoch: 020, 0.000100,0.0130027,0.0042083,0.0042450
Epoch: 021, LR: 0.000100, Loss: 0.0126457, Validation MAE: 0.0039099, Test MAE: 0.0039260
Epoch: 022, 0.000100,0.0118351,0.0039139,0.0039577
Epoch: 023, LR: 0.000100, Loss: 0.0112998, Validation MAE: 0.0038016, Test MAE: 0.0038504
Epoch: 024, 0.000100,0.0121265,0.0038733,0.0039152
Epoch: 025, LR: 0.000100, Loss: 0.0102079, Validation MAE: 0.0037059, Test MAE: 0.0037521
Epoch: 026, 0.000100,0.0102857,0.0037355,0.0037698
Epoch: 027, LR: 0.000100, Loss: 0.0097420, Validation MAE: 0.0036236, Test MAE: 0.0036694
Epoch: 028, LR: 0.000100, Loss: 0.0099329, Validation MAE: 0.0035217, Test MAE: 0.0035203
Epoch: 029, 0.000100,0.0091285,0.0036762,0.0036894
Epoch: 030, 0.000100,0.0088515,0.0035705,0.0036163
Epoch: 031, 0.000085,0.0081063,0.0036467,0.0036456
Epoch: 032, LR: 0.000085, Loss: 0.0077999, Validation MAE: 0.0034786, Test MAE: 0.0035030
Epoch: 033, LR: 0.000085, Loss: 0.0074468, Validation MAE: 0.0034305, Test MAE: 0.0034271
Epoch: 034, LR: 0.000085, Loss: 0.0073567, Validation MAE: 0.0033433, Test MAE: 0.0033574
Epoch: 035, 0.000085,0.0068980,0.0038894,0.0039401
Epoch: 036, LR: 0.000085, Loss: 0.0067450, Validation MAE: 0.0032946, Test MAE: 0.0033078
Epoch: 037, 0.000085,0.0064299,0.0033579,0.0034126
Epoch: 038, 0.000085,0.0062971,0.0033597,0.0033822
Epoch: 039, LR: 0.000085, Loss: 0.0061417, Validation MAE: 0.0032856, Test MAE: 0.0032652
Epoch: 040, LR: 0.000085, Loss: 0.0058155, Validation MAE: 0.0032579, Test MAE: 0.0032653
Epoch: 041, LR: 0.000085, Loss: 0.0059971, Validation MAE: 0.0032539, Test MAE: 0.0033133
Epoch: 042, 0.000085,0.0054029,0.0033594,0.0033729
Epoch: 043, 0.000085,0.0052749,0.0033130,0.0033108
Epoch: 044, LR: 0.000085, Loss: 0.0050678, Validation MAE: 0.0031916, Test MAE: 0.0031978
Epoch: 045, LR: 0.000085, Loss: 0.0049027, Validation MAE: 0.0031697, Test MAE: 0.0031672
Epoch: 046, LR: 0.000085, Loss: 0.0047651, Validation MAE: 0.0031673, Test MAE: 0.0032170
Epoch: 047, 0.000085,0.0046101,0.0034374,0.0034356
Epoch: 048, 0.000085,0.0045116,0.0033181,0.0033416
Epoch: 049, LR: 0.000085, Loss: 0.0042618, Validation MAE: 0.0031272, Test MAE: 0.0031384
Epoch: 050, 0.000085,0.0041052,0.0033504,0.0033507
Epoch: 051, 0.000085,0.0039259,0.0031439,0.0031872
Epoch: 052, 0.000085,0.0038827,0.0033310,0.0033360
Epoch: 053, 0.000085,0.0036870,0.0031309,0.0031654
Epoch: 054, 0.000085,0.0035189,0.0033951,0.0034164
Epoch: 055, LR: 0.000085, Loss: 0.0036247, Validation MAE: 0.0030771, Test MAE: 0.0031070
Epoch: 056, 0.000085,0.0033142,0.0031252,0.0031470
Epoch: 057, 0.000085,0.0032108,0.0031186,0.0031762
Epoch: 058, 0.000085,0.0031381,0.0032511,0.0033110
Epoch: 059, 0.000085,0.0029835,0.0031948,0.0032048
Epoch: 060, LR: 0.000085, Loss: 0.0029478, Validation MAE: 0.0030518, Test MAE: 0.0030811
Epoch: 061, LR: 0.000072, Loss: 0.0024953, Validation MAE: 0.0030020, Test MAE: 0.0030222
Epoch: 062, 0.000072,0.0024227,0.0030332,0.0030954
Epoch: 063, LR: 0.000072, Loss: 0.0023121, Validation MAE: 0.0029842, Test MAE: 0.0030313
Epoch: 064, 0.000072,0.0023272,0.0030567,0.0030720
Epoch: 065, 0.000072,0.0021950,0.0030283,0.0030517
