{'dataset_name': 'QM9', 'target': 2, 'model': 'NLG_R', 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 5, 'hidden': 512, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'CA', 'variants': {'BN': 'N', 'fea_activation': 'ELU'}}, 'commit_id': 'b1e82dd32d1089453a2bcac386c86153ad3dd67b', 'time_stamp': '1601085982', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_2, 1601085982_b1e82dd_CA_ELU_add_cat_5_512_N_0.0001_30_0.85_B64_S777, ID=b1e82dd32d1089453a2bcac386c86153ad3dd67b
Epoch: 001, LR: 0.000100, Loss: 0.3623327, Validation MAE: 0.0077088, Test MAE: 0.0077547
Epoch: 002, LR: 0.000100, Loss: 0.2067989, Validation MAE: 0.0066933, Test MAE: 0.0066306
Epoch: 003, LR: 0.000100, Loss: 0.1665448, Validation MAE: 0.0063209, Test MAE: 0.0063370
Epoch: 004, LR: 0.000100, Loss: 0.1440289, Validation MAE: 0.0058946, Test MAE: 0.0058705
Epoch: 005, LR: 0.000100, Loss: 0.1259021, Validation MAE: 0.0052490, Test MAE: 0.0052873
Epoch: 006, LR: 0.000100, Loss: 0.1105654, Validation MAE: 0.0050490, Test MAE: 0.0050857
Epoch: 007, LR: 0.000100, Loss: 0.1008399, Validation MAE: 0.0048280, Test MAE: 0.0048420
Epoch: 008, 0.000100,0.0921427,0.0048849,0.0049031
Epoch: 009, LR: 0.000100, Loss: 0.0829430, Validation MAE: 0.0045012, Test MAE: 0.0044950
Epoch: 010, LR: 0.000100, Loss: 0.0785723, Validation MAE: 0.0044185, Test MAE: 0.0044050
Epoch: 011, LR: 0.000100, Loss: 0.0707491, Validation MAE: 0.0040686, Test MAE: 0.0040372
Epoch: 012, 0.000100,0.0669760,0.0042211,0.0042205
Epoch: 013, 0.000100,0.0624835,0.0041811,0.0042266
Epoch: 014, LR: 0.000100, Loss: 0.0584325, Validation MAE: 0.0037944, Test MAE: 0.0037990
Epoch: 015, 0.000100,0.0560790,0.0038820,0.0039062
Epoch: 016, LR: 0.000100, Loss: 0.0516362, Validation MAE: 0.0036683, Test MAE: 0.0037407
Epoch: 017, 0.000100,0.0481060,0.0037131,0.0036998
Epoch: 018, LR: 0.000100, Loss: 0.0456200, Validation MAE: 0.0035128, Test MAE: 0.0035298
Epoch: 019, 0.000100,0.0453841,0.0040083,0.0040853
Epoch: 020, LR: 0.000100, Loss: 0.0410546, Validation MAE: 0.0034701, Test MAE: 0.0034981
Epoch: 021, LR: 0.000100, Loss: 0.0393317, Validation MAE: 0.0033313, Test MAE: 0.0033908
Epoch: 022, 0.000100,0.0373224,0.0033361,0.0034219
Epoch: 023, LR: 0.000100, Loss: 0.0366251, Validation MAE: 0.0032761, Test MAE: 0.0033039
Epoch: 024, 0.000100,0.0335670,0.0033255,0.0033757
Epoch: 025, LR: 0.000100, Loss: 0.0323270, Validation MAE: 0.0032173, Test MAE: 0.0033012
Epoch: 026, LR: 0.000100, Loss: 0.0312213, Validation MAE: 0.0031760, Test MAE: 0.0032473
Epoch: 027, 0.000100,0.0287983,0.0032756,0.0033290
Epoch: 028, LR: 0.000100, Loss: 0.0277477, Validation MAE: 0.0031478, Test MAE: 0.0031973
Epoch: 029, 0.000100,0.0269542,0.0032012,0.0032651
Epoch: 030, LR: 0.000100, Loss: 0.0255886, Validation MAE: 0.0030962, Test MAE: 0.0031942
Epoch: 031, LR: 0.000085, Loss: 0.0219371, Validation MAE: 0.0030280, Test MAE: 0.0031409
Epoch: 032, 0.000085,0.0209925,0.0030359,0.0030988
Epoch: 033, 0.000085,0.0195978,0.0030726,0.0031500
Epoch: 034, 0.000085,0.0188823,0.0030369,0.0031117
Epoch: 035, 0.000085,0.0196795,0.0043497,0.0043933
Epoch: 036, LR: 0.000085, Loss: 0.0209464, Validation MAE: 0.0028566, Test MAE: 0.0029564
Epoch: 037, 0.000085,0.0155006,0.0029281,0.0029841
Epoch: 038, 0.000085,0.0172678,0.0028855,0.0029684
Epoch: 039, 0.000085,0.0148271,0.0029530,0.0030099
Epoch: 040, 0.000085,0.0148282,0.0029917,0.0030512
Epoch: 041, 0.000085,0.0143306,0.0029988,0.0030818
Epoch: 042, 0.000085,0.0140626,0.0029146,0.0029892
Epoch: 043, 0.000085,0.0134358,0.0028909,0.0029596
Epoch: 044, 0.000085,0.0133921,0.0029980,0.0030920
Epoch: 045, 0.000085,0.0127268,0.0029158,0.0029964
Epoch: 046, 0.000085,0.0116604,0.0029069,0.0030000
Epoch: 047, 0.000085,0.0121332,0.0028863,0.0029605
Epoch: 048, LR: 0.000085, Loss: 0.0115590, Validation MAE: 0.0028065, Test MAE: 0.0029157
Epoch: 049, 0.000085,0.0104996,0.0029344,0.0030136
Epoch: 050, 0.000085,0.0159127,0.0029861,0.0030600
Epoch: 051, 0.000085,0.0131300,0.0028074,0.0028950
Epoch: 052, 0.000085,0.0091321,0.0028180,0.0029203
Epoch: 053, 0.000085,0.0085613,0.0028091,0.0029201
Epoch: 054, 0.000085,0.0090600,0.0028647,0.0029390
Epoch: 055, 0.000085,0.0090461,0.0028546,0.0029733
Epoch: 056, 0.000085,0.0091881,0.0028157,0.0028718
Epoch: 057, 0.000085,0.0090229,0.0028288,0.0029054
Epoch: 058, LR: 0.000085, Loss: 0.0084931, Validation MAE: 0.0027856, Test MAE: 0.0028623
Epoch: 059, 0.000085,0.0081113,0.0027934,0.0028581
Epoch: 060, 0.000085,0.0079810,0.0028301,0.0028800
Epoch: 061, LR: 0.000072, Loss: 0.0066744, Validation MAE: 0.0027464, Test MAE: 0.0028192
Epoch: 062, 0.000072,0.0060142,0.0027490,0.0028354
Epoch: 063, 0.000072,0.0063922,0.0027814,0.0028702
Epoch: 064, LR: 0.000072, Loss: 0.0061104, Validation MAE: 0.0027390, Test MAE: 0.0028127
Epoch: 065, 0.000072,0.0057724,0.0027530,0.0028374
Epoch: 066, LR: 0.000072, Loss: 0.0054606, Validation MAE: 0.0027349, Test MAE: 0.0028303
Epoch: 067, 0.000072,0.0053919,0.0027838,0.0028626
Epoch: 068, 0.000072,0.0052235,0.0027463,0.0028411
Epoch: 069, 0.000072,0.0051484,0.0027603,0.0028488
Epoch: 070, 0.000072,0.0051243,0.0028333,0.0028671
Epoch: 071, 0.000072,0.0051067,0.0027477,0.0028360
Epoch: 072, 0.000072,0.0106356,0.0029844,0.0030898
Epoch: 073, LR: 0.000072, Loss: 0.0068315, Validation MAE: 0.0026830, Test MAE: 0.0027606
Epoch: 074, LR: 0.000072, Loss: 0.0036509, Validation MAE: 0.0026613, Test MAE: 0.0027351
Epoch: 075, 0.000072,0.0032938,0.0026837,0.0027592
Epoch: 076, 0.000072,0.0033258,0.0026827,0.0027597
Epoch: 077, 0.000072,0.0035975,0.0027310,0.0027971
Epoch: 078, 0.000072,0.0041967,0.0027328,0.0028022
Epoch: 079, 0.000072,0.0046556,0.0027537,0.0028570
Epoch: 080, 0.000072,0.0043594,0.0027694,0.0028461
Epoch: 081, 0.000072,0.0042932,0.0027497,0.0028246
Epoch: 082, 0.000072,0.0044645,0.0026868,0.0027855
Epoch: 083, 0.000072,0.0051880,0.0026787,0.0027701
Epoch: 084, 0.000072,0.0037905,0.0027274,0.0027988
Epoch: 085, 0.000072,0.0036112,0.0027476,0.0028222
Epoch: 086, 0.000072,0.0039957,0.0027174,0.0027829
Epoch: 087, 0.000072,0.0040689,0.0027366,0.0028143
Epoch: 088, 0.000072,0.0042613,0.0028032,0.0028730
Epoch: 089, 0.000072,0.0059392,0.0027409,0.0028203
Epoch: 090, 0.000072,0.0057417,0.0026758,0.0027691
Epoch: 091, 0.000061,0.0030310,0.0026657,0.0027543
Epoch: 092, LR: 0.000061, Loss: 0.0025760, Validation MAE: 0.0026494, Test MAE: 0.0027351
Epoch: 093, 0.000061,0.0155989,0.0031640,0.0032285
Epoch: 094, LR: 0.000061, Loss: 0.0049623, Validation MAE: 0.0026481, Test MAE: 0.0027303
Epoch: 095, 0.000061,0.0024394,0.0026688,0.0027530
Epoch: 096, LR: 0.000061, Loss: 0.0021446, Validation MAE: 0.0026387, Test MAE: 0.0027147
Epoch: 097, LR: 0.000061, Loss: 0.0022088, Validation MAE: 0.0026275, Test MAE: 0.0027207
Epoch: 098, 0.000061,0.0022629,0.0027380,0.0028119
Epoch: 099, 0.000061,0.0026592,0.0026579,0.0027312
Epoch: 100, 0.000061,0.0027008,0.0027150,0.0027759
Epoch: 101, 0.000061,0.0030550,0.0026652,0.0027467
Epoch: 102, 0.000061,0.0031872,0.0026645,0.0027300
Epoch: 103, 0.000061,0.0032011,0.0026693,0.0027442
Epoch: 104, 0.000061,0.0030388,0.0026683,0.0027491
Epoch: 105, 0.000061,0.0034345,0.0029437,0.0029812
Epoch: 106, 0.000061,0.0041608,0.0026595,0.0027033
Epoch: 107, 0.000061,0.0025443,0.0027204,0.0028012
Epoch: 108, 0.000061,0.0028308,0.0026874,0.0027536
Epoch: 109, 0.000061,0.0028762,0.0026358,0.0027123
Epoch: 110, 0.000061,0.0029050,0.0028100,0.0028645
Epoch: 111, 0.000061,0.0029540,0.0027141,0.0027885
Epoch: 112, 0.000061,0.0029498,0.0026615,0.0027470
Epoch: 113, 0.000061,0.0029009,0.0026536,0.0027232
Epoch: 114, LR: 0.000061, Loss: 0.0031520, Validation MAE: 0.0026271, Test MAE: 0.0027043
Epoch: 115, 0.000061,0.0024280,0.0027033,0.0027933
Epoch: 116, 0.000061,0.0025080,0.0026368,0.0027207
Epoch: 117, 0.000061,0.0026374,0.0026416,0.0027176
Epoch: 118, 0.000061,0.0026631,0.0026481,0.0027246
Epoch: 119, 0.000061,0.0054490,0.0027184,0.0028105
Epoch: 120, LR: 0.000061, Loss: 0.0029748, Validation MAE: 0.0026164, Test MAE: 0.0027026
Epoch: 121, LR: 0.000052, Loss: 0.0017207, Validation MAE: 0.0026006, Test MAE: 0.0026916
Epoch: 122, LR: 0.000052, Loss: 0.0015149, Validation MAE: 0.0025904, Test MAE: 0.0026802
Epoch: 123, 0.000052,0.0014938,0.0026149,0.0026938
Epoch: 124, 0.000052,0.0015443,0.0026030,0.0026828
Epoch: 125, 0.000052,0.0017478,0.0026033,0.0026754
Epoch: 126, 0.000052,0.0018944,0.0026173,0.0026903
Epoch: 127, 0.000052,0.0020984,0.0026298,0.0027045
Epoch: 128, 0.000052,0.0020932,0.0026501,0.0027158
Epoch: 129, 0.000052,0.0020798,0.0026300,0.0027023
Epoch: 130, 0.000052,0.0020940,0.0026246,0.0026889
Epoch: 131, 0.000052,0.0020663,0.0026119,0.0026927
Epoch: 132, 0.000052,0.0020964,0.0026177,0.0026873
Epoch: 133, 0.000052,0.0020032,0.0025991,0.0026900
Epoch: 134, 0.000052,0.0020185,0.0025977,0.0026766
Epoch: 135, 0.000052,0.0021940,0.0026215,0.0027069
Epoch: 136, 0.000052,0.0018759,0.0026307,0.0027145
Epoch: 137, 0.000052,0.0019171,0.0026260,0.0027021
Epoch: 138, 0.000052,0.0019670,0.0025921,0.0026827
Epoch: 139, 0.000052,0.0019804,0.0025941,0.0026717
Epoch: 140, LR: 0.000052, Loss: 0.0020903, Validation MAE: 0.0025874, Test MAE: 0.0026606
Epoch: 141, LR: 0.000052, Loss: 0.0019011, Validation MAE: 0.0025841, Test MAE: 0.0026593
Epoch: 142, 0.000052,0.0018867,0.0025924,0.0026711
Epoch: 143, 0.000052,0.0020150,0.0026191,0.0027012
Epoch: 144, LR: 0.000052, Loss: 0.0021690, Validation MAE: 0.0025828, Test MAE: 0.0026574
Epoch: 145, 0.000052,0.0021282,0.0026137,0.0026894
Epoch: 146, LR: 0.000052, Loss: 0.0017488, Validation MAE: 0.0025748, Test MAE: 0.0026488
Epoch: 147, LR: 0.000052, Loss: 0.0015116, Validation MAE: 0.0025716, Test MAE: 0.0026469
Epoch: 148, 0.000052,0.0015752,0.0025881,0.0026733
Epoch: 149, 0.000052,0.0017344,0.0026063,0.0026829
Epoch: 150, 0.000052,0.0017545,0.0025866,0.0026645
Epoch: 151, 0.000044,0.0016499,0.0025743,0.0026533
Epoch: 152, LR: 0.000044, Loss: 0.0015762, Validation MAE: 0.0025711, Test MAE: 0.0026358
Epoch: 153, 0.000044,0.0015428,0.0025833,0.0026566
Epoch: 154, 0.000044,0.0016137,0.0025888,0.0026703
Epoch: 155, LR: 0.000044, Loss: 0.0016999, Validation MAE: 0.0025655, Test MAE: 0.0026530
Epoch: 156, 0.000044,0.0015281,0.0025720,0.0026497
Epoch: 157, 0.000044,0.0015481,0.0025670,0.0026393
Epoch: 158, 0.000044,0.0016062,0.0025680,0.0026436
Epoch: 159, LR: 0.000044, Loss: 0.0015142, Validation MAE: 0.0025590, Test MAE: 0.0026409
Epoch: 160, 0.000044,0.0015210,0.0025754,0.0026469
Epoch: 161, 0.000044,0.0015364,0.0025652,0.0026431
Epoch: 162, 0.000044,0.0015109,0.0026246,0.0027003
Epoch: 163, 0.000044,0.0015648,0.0025620,0.0026422
Epoch: 164, 0.000044,0.0015296,0.0025636,0.0026641
Epoch: 165, 0.000044,0.0015895,0.0025651,0.0026480
Epoch: 166, LR: 0.000044, Loss: 0.0302721, Validation MAE: 0.0025539, Test MAE: 0.0026345
Epoch: 167, LR: 0.000044, Loss: 0.0013417, Validation MAE: 0.0025442, Test MAE: 0.0026264
Epoch: 168, 0.000044,0.0012031,0.0025454,0.0026330
Epoch: 169, 0.000044,0.0012274,0.0025466,0.0026278
Epoch: 170, 0.000044,0.0012862,0.0025780,0.0026518
Epoch: 171, 0.000044,0.0012780,0.0025557,0.0026362
Epoch: 172, 0.000044,0.0013559,0.0025568,0.0026432
Epoch: 173, 0.000044,0.0014230,0.0025586,0.0026400
Epoch: 174, 0.000044,0.0014382,0.0025570,0.0026539
Epoch: 175, 0.000044,0.0016254,0.0025630,0.0026402
Epoch: 176, LR: 0.000044, Loss: 0.0014600, Validation MAE: 0.0025390, Test MAE: 0.0026280
Epoch: 177, 0.000044,0.0014163,0.0025752,0.0026594
Epoch: 178, 0.000044,0.0014780,0.0025630,0.0026514
Epoch: 179, 0.000044,0.0015011,0.0025567,0.0026471
Epoch: 180, 0.000044,0.0014974,0.0025520,0.0026402
