{'dataset_name': 'QM9', 'target': 1, 'model': 'NLG_R', 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'GAT8', 'variants': {'BN': 'N', 'fea_activation': 'ReLU'}}, 'commit_id': 'f31fd744d8442bca15354c908cabd51fa30b82c3', 'time_stamp': '1605362600', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_1, 1605362600_f31fd74_GAT8_ReLU_add_cat_4_256_N_0.0001_30_0.85_B64_S777, ID=f31fd744d8442bca15354c908cabd51fa30b82c3
Epoch: 001, LR: 0.000100, Loss: 0.2385377, Validation MAE: 1.6260911, Test MAE: 1.6386743
Epoch: 002, LR: 0.000100, Loss: 0.0941994, Validation MAE: 1.6187933, Test MAE: 1.6390085
Epoch: 003, LR: 0.000100, Loss: 0.0771842, Validation MAE: 1.3825798, Test MAE: 1.4032327
Epoch: 004, 0.000100,0.0662380,1.9067422,1.9039326
Epoch: 005, LR: 0.000100, Loss: 0.0594881, Validation MAE: 1.1243777, Test MAE: 1.1321981
Epoch: 006, LR: 0.000100, Loss: 0.0530403, Validation MAE: 0.9308302, Test MAE: 0.9376705
Epoch: 007, 0.000100,0.0489407,1.2771528,1.2700216
Epoch: 008, 0.000100,0.0455745,1.3512434,1.3507034
Epoch: 009, LR: 0.000100, Loss: 0.0455716, Validation MAE: 0.8686082, Test MAE: 0.8708172
Epoch: 010, 0.000100,0.0411969,0.8733965,0.8781865
Epoch: 011, LR: 0.000100, Loss: 0.0392894, Validation MAE: 0.7819112, Test MAE: 0.7828069
Epoch: 012, LR: 0.000100, Loss: 0.0378159, Validation MAE: 0.7615309, Test MAE: 0.7598059
Epoch: 013, 0.000100,0.0363933,1.0973597,1.0858465
Epoch: 014, LR: 0.000100, Loss: 0.0339045, Validation MAE: 0.7153079, Test MAE: 0.7082129
Epoch: 015, 0.000100,0.0334609,0.8303440,0.8222696
Epoch: 016, LR: 0.000100, Loss: 0.0325229, Validation MAE: 0.7105068, Test MAE: 0.7013971
Epoch: 017, 0.000100,0.0306332,0.7396565,0.7397378
Epoch: 018, 0.000100,0.0306850,0.7279258,0.7232986
Epoch: 019, 0.000100,0.0280198,0.7673315,0.7542428
Epoch: 020, LR: 0.000100, Loss: 0.0276473, Validation MAE: 0.6981331, Test MAE: 0.6942765
Epoch: 021, LR: 0.000100, Loss: 0.0270850, Validation MAE: 0.6603625, Test MAE: 0.6539986
Epoch: 022, 0.000100,0.0263117,1.1039664,1.0987714
Epoch: 023, 0.000100,0.0250612,0.7135478,0.7060362
Epoch: 024, 0.000100,0.0246241,0.8928975,0.8849900
Epoch: 025, 0.000100,0.0247451,0.7122027,0.7084678
Epoch: 026, LR: 0.000100, Loss: 0.0243364, Validation MAE: 0.6513362, Test MAE: 0.6427359
Epoch: 027, 0.000100,0.0242420,1.0369587,1.0436973
Epoch: 028, LR: 0.000100, Loss: 0.0230302, Validation MAE: 0.6271397, Test MAE: 0.6233495
Epoch: 029, 0.000100,0.0223769,0.7181684,0.7114439
Epoch: 030, 0.000100,0.0219458,0.6854687,0.6773649
Epoch: 031, 0.000085,0.0203296,0.6384524,0.6295961
Epoch: 032, LR: 0.000085, Loss: 0.0205905, Validation MAE: 0.6038562, Test MAE: 0.5992507
Epoch: 033, 0.000085,0.0212077,0.6981430,0.6887391
Epoch: 034, 0.000085,0.0196230,0.7082882,0.7061572
Epoch: 035, 0.000085,0.0202268,0.7569183,0.7496999
Epoch: 036, 0.000085,0.0187405,0.6160420,0.6119607
Epoch: 037, 0.000085,0.0197638,0.8558875,0.8551491
Epoch: 038, 0.000085,0.0183961,0.6445260,0.6405683
