{'dataset_name': 'QM9', 'target': 1, 'model': 'NLG_R', 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'GAT8', 'variants': {'BN': 'N', 'fea_activation': 'ReLU'}}, 'commit_id': 'f0f2e0a4ffaea779cb0be2b45a8f267a929485f8', 'time_stamp': '1605421771', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_1, 1605421771_f0f2e0a_GAT8_ReLU_add_cat_4_256_N_0.0001_30_0.85_B64_S777, ID=f0f2e0a4ffaea779cb0be2b45a8f267a929485f8
Epoch: 001, LR: 0.000100, Loss: 0.2228465, Validation MAE: 1.2658093, Test MAE: 1.2746626
Epoch: 002, 0.000100,0.0714630,1.5626559,1.5860863
Epoch: 003, LR: 0.000100, Loss: 0.0607676, Validation MAE: 1.1457789, Test MAE: 1.1668295
Epoch: 004, 0.000100,0.0540635,1.6555690,1.6584357
Epoch: 005, 0.000100,0.0493568,1.1581399,1.1631556
Epoch: 006, LR: 0.000100, Loss: 0.0455079, Validation MAE: 0.8729426, Test MAE: 0.8768258
Epoch: 007, 0.000100,0.0424983,0.9598794,0.9554968
Epoch: 008, 0.000100,0.0392996,0.9930721,0.9857279
Epoch: 009, LR: 0.000100, Loss: 0.0387506, Validation MAE: 0.8046491, Test MAE: 0.8030647
Epoch: 010, 0.000100,0.0348206,0.8855918,0.8780396
Epoch: 011, 0.000100,0.0332513,0.8198815,0.8180285
Epoch: 012, LR: 0.000100, Loss: 0.0317771, Validation MAE: 0.7934391, Test MAE: 0.7906770
Epoch: 013, 0.000100,0.0306435,0.8230678,0.8126079
Epoch: 014, LR: 0.000100, Loss: 0.0290096, Validation MAE: 0.7471605, Test MAE: 0.7392429
Epoch: 015, LR: 0.000100, Loss: 0.0288504, Validation MAE: 0.7276975, Test MAE: 0.7209390
Epoch: 016, LR: 0.000100, Loss: 0.0285317, Validation MAE: 0.6910807, Test MAE: 0.6793618
Epoch: 017, 0.000100,0.0264465,0.7685811,0.7728483
Epoch: 018, 0.000100,0.0269564,0.7036881,0.7039082
Epoch: 019, 0.000100,0.0246754,0.7175025,0.7148984
Epoch: 020, LR: 0.000100, Loss: 0.0247533, Validation MAE: 0.6344627, Test MAE: 0.6298635
Epoch: 021, 0.000100,0.0237955,0.7226927,0.7226332
Epoch: 022, 0.000100,0.0234935,0.8071774,0.7985482
Epoch: 023, LR: 0.000100, Loss: 0.0221083, Validation MAE: 0.6237002, Test MAE: 0.6268901
Epoch: 024, 0.000100,0.0228810,1.0962912,1.0978369
Epoch: 025, 0.000100,0.0218096,0.6264312,0.6208997
Epoch: 026, 0.000100,0.0212095,0.6467215,0.6490285
Epoch: 027, 0.000100,0.0205758,1.1162843,1.1232850
Epoch: 028, LR: 0.000100, Loss: 0.0200004, Validation MAE: 0.5819328, Test MAE: 0.5807360
Epoch: 029, 0.000100,0.0196495,0.7163855,0.7072540
Epoch: 030, 0.000100,0.0194821,0.6489895,0.6533411
Epoch: 031, LR: 0.000085, Loss: 0.0179451, Validation MAE: 0.5811543, Test MAE: 0.5759884
Epoch: 032, 0.000085,0.0176291,0.5853689,0.5840078
Epoch: 033, 0.000085,0.0175611,0.6039935,0.6023608
Epoch: 034, 0.000085,0.0167213,0.5878125,0.5857980
Epoch: 035, 0.000085,0.0168147,0.5901683,0.5921337
Epoch: 036, 0.000085,0.0160594,0.5873792,0.5910856
Epoch: 037, LR: 0.000085, Loss: 0.0159010, Validation MAE: 0.5602578, Test MAE: 0.5541015
Epoch: 038, LR: 0.000085, Loss: 0.0151227, Validation MAE: 0.5404215, Test MAE: 0.5348782
Epoch: 039, 0.000085,0.0148730,0.7304963,0.7298910
Epoch: 040, LR: 0.000085, Loss: 0.0150220, Validation MAE: 0.5380414, Test MAE: 0.5309311
Epoch: 041, LR: 0.000085, Loss: 0.0150555, Validation MAE: 0.5248028, Test MAE: 0.5227496
Epoch: 042, 0.000085,0.0141688,0.5423189,0.5430104
Epoch: 043, LR: 0.000085, Loss: 0.0145682, Validation MAE: 0.5055102, Test MAE: 0.5022684
Epoch: 044, 0.000085,0.0130970,0.7974339,0.7894384
Epoch: 045, 0.000085,0.0160021,0.5388585,0.5381363
Epoch: 046, 0.000085,0.0128634,0.5306421,0.5271092
Epoch: 047, 0.000085,0.0131291,0.5348462,0.5355505
Epoch: 048, 0.000085,0.0117013,0.5883329,0.5834966
Epoch: 049, 0.000085,0.0127025,0.5635355,0.5609466
Epoch: 050, 0.000085,0.0138381,0.5474682,0.5464727
Epoch: 051, 0.000085,0.0117343,0.7719824,0.7618588
Epoch: 052, 0.000085,0.0125051,0.5752184,0.5737386
Epoch: 053, LR: 0.000085, Loss: 0.0117219, Validation MAE: 0.4956878, Test MAE: 0.4940963
Epoch: 054, 0.000085,0.0101277,0.5249119,0.5252084
Epoch: 055, LR: 0.000085, Loss: 0.0101791, Validation MAE: 0.4954437, Test MAE: 0.4921713
Epoch: 056, LR: 0.000085, Loss: 0.0119772, Validation MAE: 0.4916853, Test MAE: 0.4891033
Epoch: 057, 0.000085,0.0117334,0.6274169,0.6316941
Epoch: 058, 0.000085,0.0097133,0.4999319,0.5010076
Epoch: 059, 0.000085,0.0099523,0.5270659,0.5296791
Epoch: 060, LR: 0.000085, Loss: 0.0100362, Validation MAE: 0.4694549, Test MAE: 0.4730929
Epoch: 061, LR: 0.000072, Loss: 0.0097056, Validation MAE: 0.4674372, Test MAE: 0.4669209
Epoch: 062, 0.000072,0.0099146,0.5240513,0.5228143
Epoch: 063, LR: 0.000072, Loss: 0.0086493, Validation MAE: 0.4662190, Test MAE: 0.4640845
Epoch: 064, 0.000072,0.0086026,0.5449674,0.5452445
Epoch: 065, 0.000072,0.0093495,0.5286311,0.5289323
Epoch: 066, 0.000072,0.0080842,0.4741770,0.4773593
Epoch: 067, LR: 0.000072, Loss: 0.0082909, Validation MAE: 0.4485558, Test MAE: 0.4480754
Epoch: 068, 0.000072,0.0095870,0.5325417,0.5310519
Epoch: 069, 0.000072,0.0094488,0.5398699,0.5392029
Epoch: 070, 0.000072,0.0080148,0.5390586,0.5358484
Epoch: 071, LR: 0.000072, Loss: 0.0085623, Validation MAE: 0.4247314, Test MAE: 0.4262479
Epoch: 072, 0.000072,0.0089377,0.4623829,0.4612549
Epoch: 073, 0.000072,0.0073558,0.4602114,0.4610372
Epoch: 074, 0.000072,0.0075744,0.4533268,0.4513912
Epoch: 075, 0.000072,0.0074458,0.4258506,0.4278037
Epoch: 076, 0.000072,0.0083331,0.4684781,0.4749554
Epoch: 077, 0.000072,0.0078474,0.4257646,0.4228243
Epoch: 078, 0.000072,0.0071980,0.5559600,0.5586624
