{'dataset_name': 'QM9', 'target': 6, 'model': 'NLG_R', 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'GAT8', 'variants': {'BN': 'N', 'fea_activation': 'ReLU'}}, 'commit_id': '87079fba3816e97978e3166e05fae6382ba435ce', 'time_stamp': '1605499595', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_6, 1605499595_87079fb_GAT8_ReLU_add_cat_4_256_N_0.0001_30_0.85_B64_S777, ID=87079fba3816e97978e3166e05fae6382ba435ce
Epoch: 001, LR: 0.000100, Loss: 0.0438554, Validation MAE: 0.0037581, Test MAE: 0.0037545
Epoch: 002, LR: 0.000100, Loss: 0.0136941, Validation MAE: 0.0015955, Test MAE: 0.0016189
Epoch: 003, 0.000100,0.0077813,0.0017054,0.0017194
Epoch: 004, LR: 0.000100, Loss: 0.0057349, Validation MAE: 0.0015118, Test MAE: 0.0015224
Epoch: 005, LR: 0.000100, Loss: 0.0050899, Validation MAE: 0.0011195, Test MAE: 0.0011301
Epoch: 006, 0.000100,0.0043474,0.0012595,0.0012634
Epoch: 007, 0.000100,0.0038696,0.0022503,0.0022487
Epoch: 008, 0.000100,0.0037392,0.0015197,0.0015329
Epoch: 009, LR: 0.000100, Loss: 0.0031421, Validation MAE: 0.0009042, Test MAE: 0.0009111
Epoch: 010, LR: 0.000100, Loss: 0.0030119, Validation MAE: 0.0009018, Test MAE: 0.0009090
Epoch: 011, 0.000100,0.0027855,0.0016143,0.0016173
Epoch: 012, 0.000100,0.0027257,0.0013003,0.0013075
Epoch: 013, 0.000100,0.0025205,0.0011153,0.0011042
Epoch: 014, 0.000100,0.0023859,0.0009063,0.0009039
Epoch: 015, 0.000100,0.0022686,0.0012444,0.0012347
Epoch: 016, 0.000100,0.0021542,0.0011826,0.0011871
Epoch: 017, LR: 0.000100, Loss: 0.0021080, Validation MAE: 0.0008270, Test MAE: 0.0008198
Epoch: 018, 0.000100,0.0019539,0.0011620,0.0011562
Epoch: 019, 0.000100,0.0018054,0.0010602,0.0010541
Epoch: 020, 0.000100,0.0018227,0.0009677,0.0009585
Epoch: 021, 0.000100,0.0017557,0.0008845,0.0008721
Epoch: 022, LR: 0.000100, Loss: 0.0017775, Validation MAE: 0.0008000, Test MAE: 0.0008003
Epoch: 023, 0.000100,0.0016373,0.0009254,0.0009092
Epoch: 024, 0.000100,0.0016262,0.0011682,0.0011715
Epoch: 025, LR: 0.000100, Loss: 0.0015272, Validation MAE: 0.0007775, Test MAE: 0.0007773
Epoch: 026, 0.000100,0.0014901,0.0009056,0.0009065
Epoch: 027, LR: 0.000100, Loss: 0.0014538, Validation MAE: 0.0007481, Test MAE: 0.0007487
Epoch: 028, LR: 0.000100, Loss: 0.0013398, Validation MAE: 0.0006529, Test MAE: 0.0006470
Epoch: 029, 0.000100,0.0013969,0.0011583,0.0011588
Epoch: 030, 0.000100,0.0013813,0.0009201,0.0009114
Epoch: 031, LR: 0.000085, Loss: 0.0011482, Validation MAE: 0.0006453, Test MAE: 0.0006456
Epoch: 032, 0.000085,0.0011371,0.0006757,0.0006716
Epoch: 033, 0.000085,0.0011250,0.0006561,0.0006479
Epoch: 034, LR: 0.000085, Loss: 0.0010878, Validation MAE: 0.0006028, Test MAE: 0.0005998
Epoch: 035, 0.000085,0.0011138,0.0007136,0.0007148
Epoch: 036, 0.000085,0.0010620,0.0006740,0.0006688
Epoch: 037, 0.000085,0.0009882,0.0007143,0.0006972
Epoch: 038, 0.000085,0.0010057,0.0006149,0.0006163
Epoch: 039, 0.000085,0.0009750,0.0007365,0.0007379
Epoch: 040, 0.000085,0.0009445,0.0006125,0.0006086
Epoch: 041, 0.000085,0.0009170,0.0007621,0.0007582
Epoch: 042, LR: 0.000085, Loss: 0.0009193, Validation MAE: 0.0005761, Test MAE: 0.0005721
Epoch: 043, 0.000085,0.0008942,0.0007500,0.0007467
Epoch: 044, LR: 0.000085, Loss: 0.0008826, Validation MAE: 0.0005427, Test MAE: 0.0005435
Epoch: 045, 0.000085,0.0008602,0.0009778,0.0009777
Epoch: 046, 0.000085,0.0008466,0.0005520,0.0005527
Epoch: 047, 0.000085,0.0008139,0.0005914,0.0005838
Epoch: 048, 0.000085,0.0007875,0.0007288,0.0007201
Epoch: 049, 0.000085,0.0007637,0.0005741,0.0005743
Epoch: 050, 0.000085,0.0007726,0.0006594,0.0006471
Epoch: 051, 0.000085,0.0007582,0.0005862,0.0005853
Epoch: 052, 0.000085,0.0007014,0.0005516,0.0005520
Epoch: 053, LR: 0.000085, Loss: 0.0007329, Validation MAE: 0.0005239, Test MAE: 0.0005175
Epoch: 054, 0.000085,0.0006961,0.0005500,0.0005467
Epoch: 055, 0.000085,0.0006889,0.0008451,0.0008424
Epoch: 056, 0.000085,0.0006487,0.0006175,0.0006187
Epoch: 057, 0.000085,0.0006410,0.0005481,0.0005465
Epoch: 058, 0.000085,0.0006536,0.0005884,0.0005834
Epoch: 059, 0.000085,0.0006234,0.0005545,0.0005509
Epoch: 060, 0.000085,0.0006129,0.0005787,0.0005837
Epoch: 061, LR: 0.000072, Loss: 0.0005369, Validation MAE: 0.0005196, Test MAE: 0.0005222
Epoch: 062, 0.000072,0.0005434,0.0006239,0.0006241
Epoch: 063, LR: 0.000072, Loss: 0.0005153, Validation MAE: 0.0004458, Test MAE: 0.0004504
Epoch: 064, 0.000072,0.0005197,0.0004829,0.0004837
Epoch: 065, 0.000072,0.0005068,0.0004459,0.0004444
Epoch: 066, 0.000072,0.0005033,0.0005335,0.0005319
Epoch: 067, 0.000072,0.0004850,0.0004844,0.0004845
Epoch: 068, 0.000072,0.0004786,0.0005575,0.0005567
Epoch: 069, LR: 0.000072, Loss: 0.0004634, Validation MAE: 0.0004340, Test MAE: 0.0004373
Epoch: 070, 0.000072,0.0004508,0.0005058,0.0005029
Epoch: 071, 0.000072,0.0004579,0.0005093,0.0005127
Epoch: 072, 0.000072,0.0004497,0.0004396,0.0004457
Epoch: 073, 0.000072,0.0004587,0.0005225,0.0005274
Epoch: 074, 0.000072,0.0004225,0.0007323,0.0007329
Epoch: 075, 0.000072,0.0004314,0.0004349,0.0004353
Epoch: 076, 0.000072,0.0004117,0.0004903,0.0004899
Epoch: 077, LR: 0.000072, Loss: 0.0004012, Validation MAE: 0.0004317, Test MAE: 0.0004303
Epoch: 078, 0.000072,0.0004015,0.0005017,0.0005048
Epoch: 079, 0.000072,0.0004049,0.0004444,0.0004488
Epoch: 080, 0.000072,0.0004070,0.0004578,0.0004615
Epoch: 081, 0.000072,0.0003913,0.0007427,0.0007470
Epoch: 082, 0.000072,0.0003929,0.0008964,0.0009014
Epoch: 083, LR: 0.000072, Loss: 0.0003673, Validation MAE: 0.0004042, Test MAE: 0.0004095
Epoch: 084, 0.000072,0.0003550,0.0004362,0.0004373
Epoch: 085, 0.000072,0.0003637,0.0004536,0.0004550
Epoch: 086, 0.000072,0.0003526,0.0004286,0.0004361
Epoch: 087, 0.000072,0.0003521,0.0004153,0.0004246
Epoch: 088, 0.000072,0.0003551,0.0004984,0.0004995
Epoch: 089, 0.000072,0.0003472,0.0004479,0.0004500
Epoch: 090, LR: 0.000072, Loss: 0.0003396, Validation MAE: 0.0003970, Test MAE: 0.0004015
Epoch: 091, 0.000061,0.0002993,0.0004286,0.0004324
Epoch: 092, 0.000061,0.0003068,0.0004838,0.0004850
Epoch: 093, 0.000061,0.0002934,0.0004607,0.0004649
Epoch: 094, 0.000061,0.0003014,0.0004174,0.0004237
Epoch: 095, 0.000061,0.0002916,0.0004345,0.0004348
Epoch: 096, 0.000061,0.0002903,0.0004430,0.0004466
Epoch: 097, 0.000061,0.0002949,0.0004581,0.0004586
Epoch: 098, LR: 0.000061, Loss: 0.0002766, Validation MAE: 0.0003849, Test MAE: 0.0003918
Epoch: 099, 0.000061,0.0002797,0.0004776,0.0004833
Epoch: 100, 0.000061,0.0002717,0.0005328,0.0005344
Epoch: 101, 0.000061,0.0002675,0.0004186,0.0004238
