{'dataset_name': 'QM9', 'target': 0, 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 5, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'PcaEB8', 'variants': {'BN': 'N', 'fea_activation': 'ReLU'}}, 'commit_id': 'b5ad1b4f085f8e69d4ba9cdb0fe1e046b775f814', 'time_stamp': '1607854668', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_0, 1607854668_b5ad1b4_PcaEB8_ReLU_add_cat_5_256_N_0.0001_30_0.85_B64_S777, ID=b5ad1b4f085f8e69d4ba9cdb0fe1e046b775f814
Epoch: 001, LR: 0.000100, Loss: 0.0370893, Validation MAE: 0.7655925, Test MAE: 0.7768128
Epoch: 002, LR: 0.000100, Loss: 0.0150245, Validation MAE: 0.6907477, Test MAE: 0.6973949
Epoch: 003, LR: 0.000100, Loss: 0.0105730, Validation MAE: 0.6480043, Test MAE: 0.6579248
Epoch: 004, LR: 0.000100, Loss: 0.0073883, Validation MAE: 0.6121924, Test MAE: 0.6212483
Epoch: 005, LR: 0.000100, Loss: 0.0055263, Validation MAE: 0.5856855, Test MAE: 0.5932863
Epoch: 006, LR: 0.000100, Loss: 0.0043110, Validation MAE: 0.5709291, Test MAE: 0.5812099
Epoch: 007, LR: 0.000100, Loss: 0.0035363, Validation MAE: 0.5597386, Test MAE: 0.5686147
Epoch: 008, LR: 0.000100, Loss: 0.0029098, Validation MAE: 0.5412122, Test MAE: 0.5528604
Epoch: 009, LR: 0.000100, Loss: 0.0024305, Validation MAE: 0.5314253, Test MAE: 0.5376714
Epoch: 010, 0.000100,0.0021309,0.5798190,0.5865733
Epoch: 011, LR: 0.000100, Loss: 0.0018106, Validation MAE: 0.5178680, Test MAE: 0.5215082
Epoch: 012, 0.000100,0.0015586,0.5201486,0.5308069
Epoch: 013, LR: 0.000100, Loss: 0.0013575, Validation MAE: 0.4906572, Test MAE: 0.4966800
Epoch: 014, 0.000100,0.0011735,0.4916299,0.4976761
Epoch: 015, LR: 0.000100, Loss: 0.0010348, Validation MAE: 0.4894792, Test MAE: 0.4965738
Epoch: 016, LR: 0.000100, Loss: 0.0009197, Validation MAE: 0.4631858, Test MAE: 0.4707103
Epoch: 017, 0.000100,0.0008029,0.4646560,0.4762839
Epoch: 018, LR: 0.000100, Loss: 0.0007169, Validation MAE: 0.4603346, Test MAE: 0.4753747
Epoch: 019, 0.000100,0.0006649,0.4607084,0.4702668
Epoch: 020, LR: 0.000100, Loss: 0.0005753, Validation MAE: 0.4496494, Test MAE: 0.4630970
Epoch: 021, LR: 0.000100, Loss: 0.0005187, Validation MAE: 0.4478452, Test MAE: 0.4575170
Epoch: 022, LR: 0.000100, Loss: 0.0004658, Validation MAE: 0.4391637, Test MAE: 0.4470899
Epoch: 023, LR: 0.000100, Loss: 0.0004195, Validation MAE: 0.4284092, Test MAE: 0.4422898
Epoch: 024, 0.000100,0.0003711,0.4311190,0.4468607
Epoch: 025, 0.000100,0.0003419,0.4286982,0.4438279
Epoch: 026, LR: 0.000100, Loss: 0.0003140, Validation MAE: 0.4269443, Test MAE: 0.4361313
Epoch: 027, LR: 0.000100, Loss: 0.0002807, Validation MAE: 0.4239267, Test MAE: 0.4362606
Epoch: 028, LR: 0.000100, Loss: 0.0002501, Validation MAE: 0.4181875, Test MAE: 0.4321729
Epoch: 029, 0.000100,0.0002399,0.4248859,0.4365564
Epoch: 030, 0.000100,0.0002097,0.4192908,0.4339090
Epoch: 031, LR: 0.000085, Loss: 0.0001684, Validation MAE: 0.4124491, Test MAE: 0.4248278
Epoch: 032, 0.000085,0.0001539,0.4147485,0.4302400
Epoch: 033, 0.000085,0.0001378,0.4148123,0.4256785
Epoch: 034, LR: 0.000085, Loss: 0.0001231, Validation MAE: 0.4120507, Test MAE: 0.4256446
Epoch: 035, 0.000085,0.0001148,0.4170220,0.4293335
Epoch: 036, 0.000085,0.0001028,0.4148983,0.4246639
Epoch: 037, 0.000085,0.0000943,0.4154312,0.4303353
Epoch: 038, 0.000085,0.0000883,0.4189010,0.4320284
Epoch: 039, 0.000085,0.0000814,0.4143033,0.4246163
Epoch: 040, 0.000085,0.0000762,0.4168567,0.4312086
Epoch: 041, 0.000085,0.0000723,0.4136509,0.4256057
Epoch: 042, LR: 0.000085, Loss: 0.0000659, Validation MAE: 0.4115384, Test MAE: 0.4255574
Epoch: 043, 0.000085,0.0000644,0.4127149,0.4247709
Epoch: 044, LR: 0.000085, Loss: 0.0000609, Validation MAE: 0.4097501, Test MAE: 0.4238144
Epoch: 045, 0.000085,0.0000574,0.4103136,0.4253103
Epoch: 046, LR: 0.000085, Loss: 0.0000549, Validation MAE: 0.4053500, Test MAE: 0.4208932
Epoch: 047, 0.000085,0.0000517,0.4096221,0.4214716
Epoch: 048, 0.000085,0.0000512,0.4064176,0.4194640
Epoch: 049, 0.000085,0.0000487,0.4072275,0.4233749
Epoch: 050, LR: 0.000085, Loss: 0.0000457, Validation MAE: 0.4051058, Test MAE: 0.4172438
Epoch: 051, LR: 0.000085, Loss: 0.0000452, Validation MAE: 0.4027804, Test MAE: 0.4170043
Epoch: 052, 0.000085,0.0000429,0.4062555,0.4196603
Epoch: 053, 0.000085,0.0000425,0.4070794,0.4225679
Epoch: 054, 0.000085,0.0000421,0.4032370,0.4175934
Epoch: 055, LR: 0.000085, Loss: 0.0000734, Validation MAE: 0.4016851, Test MAE: 0.4128602
Epoch: 056, LR: 0.000085, Loss: 0.0000356, Validation MAE: 0.3989815, Test MAE: 0.4114900
Epoch: 057, 0.000085,0.0000329,0.4035862,0.4158625
Epoch: 058, 0.000085,0.0000347,0.4023814,0.4170964
Epoch: 059, 0.000085,0.0000379,0.4020503,0.4144324
Epoch: 060, 0.000085,0.0000366,0.3999954,0.4135175
Epoch: 061, 0.000072,0.0000302,0.4014307,0.4151523
Epoch: 062, LR: 0.000072, Loss: 0.0000277, Validation MAE: 0.3938802, Test MAE: 0.4082253
Epoch: 063, LR: 0.000072, Loss: 0.0000265, Validation MAE: 0.3937566, Test MAE: 0.4070409
Epoch: 064, 0.000072,0.0000265,0.3949514,0.4077000
Epoch: 065, 0.000072,0.0000265,0.3950887,0.4087067
Epoch: 066, 0.000072,0.0000257,0.3962631,0.4089097
Epoch: 067, 0.000072,0.0000245,0.3941485,0.4080986
Epoch: 068, 0.000072,0.0000245,0.3949612,0.4094930
Epoch: 069, LR: 0.000072, Loss: 0.0000243, Validation MAE: 0.3928629, Test MAE: 0.4059822
Epoch: 070, 0.000072,0.0000235,0.3935832,0.4092209
Epoch: 071, LR: 0.000072, Loss: 0.0000226, Validation MAE: 0.3922452, Test MAE: 0.4060445
Epoch: 072, LR: 0.000072, Loss: 0.0000227, Validation MAE: 0.3906934, Test MAE: 0.4056465
Epoch: 073, LR: 0.000072, Loss: 0.0000224, Validation MAE: 0.3899908, Test MAE: 0.4048808
Epoch: 074, LR: 0.000072, Loss: 0.0000220, Validation MAE: 0.3896047, Test MAE: 0.4056887
Epoch: 075, 0.000072,0.0000214,0.3925875,0.4061351
Epoch: 076, 0.000072,0.0000217,0.3912651,0.4040122
Epoch: 077, 0.000072,0.0000219,0.3905755,0.4058830
Epoch: 078, 0.000072,0.0000202,0.3907772,0.4042445
Epoch: 079, 0.000072,0.0000195,0.3904727,0.4041302
Epoch: 080, 0.000072,0.0000201,0.3902242,0.4056042
Epoch: 081, LR: 0.000072, Loss: 0.0000201, Validation MAE: 0.3884762, Test MAE: 0.4038897
Epoch: 082, 0.000072,0.0000197,0.3899949,0.4026054
Epoch: 083, 0.000072,0.0000200,0.3886395,0.4026558
Epoch: 084, 0.000072,0.0000185,0.3900342,0.4036980
Epoch: 085, LR: 0.000072, Loss: 0.0000186, Validation MAE: 0.3877824, Test MAE: 0.4006268
Epoch: 086, 0.000072,0.0000193,0.3878646,0.4036626
Epoch: 087, LR: 0.000072, Loss: 0.0000181, Validation MAE: 0.3874079, Test MAE: 0.4005519
Epoch: 088, 0.000072,0.0000181,0.3878414,0.4006581
Epoch: 089, 0.000072,0.0000183,0.3890754,0.4015840
Epoch: 090, 0.000072,0.0000181,0.3883261,0.3995798
Epoch: 091, LR: 0.000061, Loss: 0.0000144, Validation MAE: 0.3857811, Test MAE: 0.4005063
Epoch: 092, LR: 0.000061, Loss: 0.0000132, Validation MAE: 0.3851107, Test MAE: 0.3984994
Epoch: 093, 0.000061,0.0000136,0.3853016,0.3986601
Epoch: 094, LR: 0.000061, Loss: 0.0000138, Validation MAE: 0.3839950, Test MAE: 0.3994774
Epoch: 095, 0.000061,0.0000134,0.3848102,0.3992320
