{'dataset_name': 'QM9', 'target': 0, 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 5, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'TriEB8', 'variants': {'BN': 'N', 'fea_activation': 'ReLU'}}, 'commit_id': '0d14f216f2e384c8aa5a1784d2eca60a59da60e4', 'time_stamp': '1608041157', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_0, 1608041157_0d14f21_TriEB8_ReLU_add_cat_5_256_N_0.0001_30_0.85_B64_S777, ID=0d14f216f2e384c8aa5a1784d2eca60a59da60e4
Epoch: 001, LR: 0.000100, Loss: 0.2584817, Validation MAE: 0.7734882, Test MAE: 0.7807307
Epoch: 002, LR: 0.000100, Loss: 0.2066806, Validation MAE: 0.6978481, Test MAE: 0.7022794
Epoch: 003, LR: 0.000100, Loss: 0.1751480, Validation MAE: 0.6550730, Test MAE: 0.6651076
Epoch: 004, LR: 0.000100, Loss: 0.1528025, Validation MAE: 0.5954351, Test MAE: 0.6034465
Epoch: 005, LR: 0.000100, Loss: 0.1381612, Validation MAE: 0.5797241, Test MAE: 0.5853756
Epoch: 006, LR: 0.000100, Loss: 0.1283231, Validation MAE: 0.5628797, Test MAE: 0.5704522
Epoch: 007, LR: 0.000100, Loss: 0.1174576, Validation MAE: 0.5464491, Test MAE: 0.5581486
Epoch: 008, LR: 0.000100, Loss: 0.1107302, Validation MAE: 0.5308710, Test MAE: 0.5411021
Epoch: 009, 0.000100,0.1037790,0.5327628,0.5382258
Epoch: 010, 0.000100,0.0976636,0.5342005,0.5441002
Epoch: 011, LR: 0.000100, Loss: 0.0915086, Validation MAE: 0.4996431, Test MAE: 0.5099510
Epoch: 012, LR: 0.000100, Loss: 0.0866412, Validation MAE: 0.4965695, Test MAE: 0.5067908
Epoch: 013, LR: 0.000100, Loss: 0.0813434, Validation MAE: 0.4677318, Test MAE: 0.4768871
Epoch: 014, 0.000100,0.0761484,0.4876822,0.4939815
Epoch: 015, 0.000100,0.0719567,0.4703086,0.4815551
Epoch: 016, LR: 0.000100, Loss: 0.0677988, Validation MAE: 0.4537343, Test MAE: 0.4628618
Epoch: 017, LR: 0.000100, Loss: 0.0636404, Validation MAE: 0.4494395, Test MAE: 0.4645508
Epoch: 018, LR: 0.000100, Loss: 0.0597026, Validation MAE: 0.4456379, Test MAE: 0.4600837
Epoch: 019, 0.000100,0.0564488,0.4491439,0.4576159
Epoch: 020, LR: 0.000100, Loss: 0.0529314, Validation MAE: 0.4403084, Test MAE: 0.4507755
Epoch: 021, LR: 0.000100, Loss: 0.0488111, Validation MAE: 0.4394849, Test MAE: 0.4532482
Epoch: 022, LR: 0.000100, Loss: 0.0465928, Validation MAE: 0.4309050, Test MAE: 0.4404528
Epoch: 023, LR: 0.000100, Loss: 0.0430143, Validation MAE: 0.4236809, Test MAE: 0.4381316
Epoch: 024, 0.000100,0.0398723,0.4269986,0.4410665
Epoch: 025, LR: 0.000100, Loss: 0.0366641, Validation MAE: 0.4205792, Test MAE: 0.4363956
Epoch: 026, LR: 0.000100, Loss: 0.0342078, Validation MAE: 0.4183068, Test MAE: 0.4322389
Epoch: 027, LR: 0.000100, Loss: 0.0320767, Validation MAE: 0.4149944, Test MAE: 0.4278641
Epoch: 028, 0.000100,0.0296706,0.4216282,0.4383526
Epoch: 029, 0.000100,0.0273849,0.4228613,0.4362428
Epoch: 030, 0.000100,0.0254196,0.4164636,0.4315602
Epoch: 031, LR: 0.000085, Loss: 0.0210262, Validation MAE: 0.4109927, Test MAE: 0.4223826
Epoch: 032, 0.000085,0.0189811,0.4142427,0.4278743
Epoch: 033, LR: 0.000085, Loss: 0.0173037, Validation MAE: 0.4106804, Test MAE: 0.4262288
Epoch: 034, 0.000085,0.0162686,0.4115535,0.4223036
Epoch: 035, 0.000085,0.0149806,0.4116304,0.4232775
Epoch: 036, 0.000085,0.0137045,0.4147691,0.4262161
Epoch: 037, LR: 0.000085, Loss: 0.0129668, Validation MAE: 0.4097308, Test MAE: 0.4234931
Epoch: 038, 0.000085,0.0128540,0.4122090,0.4237784
Epoch: 039, 0.000085,0.0115348,0.4110663,0.4219720
Epoch: 040, 0.000085,0.0107906,0.4149376,0.4241810
Epoch: 041, 0.000085,0.0102079,0.4121503,0.4220749
Epoch: 042, 0.000085,0.0099686,0.4118150,0.4195799
Epoch: 043, LR: 0.000085, Loss: 0.0094216, Validation MAE: 0.4096057, Test MAE: 0.4194748
Epoch: 044, LR: 0.000085, Loss: 0.0089374, Validation MAE: 0.4094737, Test MAE: 0.4212991
Epoch: 045, 0.000085,0.0087870,0.4103612,0.4215061
Epoch: 046, 0.000085,0.0084015,0.4100163,0.4229758
Epoch: 047, LR: 0.000085, Loss: 0.0078531, Validation MAE: 0.4069533, Test MAE: 0.4155200
Epoch: 048, LR: 0.000085, Loss: 0.0074692, Validation MAE: 0.4027998, Test MAE: 0.4138983
Epoch: 049, 0.000085,0.0077665,0.4041602,0.4160707
Epoch: 050, LR: 0.000085, Loss: 0.0070393, Validation MAE: 0.4016369, Test MAE: 0.4127787
Epoch: 051, 0.000085,0.0068972,0.4044398,0.4143609
Epoch: 052, 0.000085,0.0072589,0.4112151,0.4178574
Epoch: 053, 0.000085,0.0065106,0.4022655,0.4144226
Epoch: 054, 0.000085,0.0060087,0.4055294,0.4154683
Epoch: 055, 0.000085,0.0064044,0.4050647,0.4150596
Epoch: 056, 0.000085,0.0061370,0.4060241,0.4141194
