{'dataset_name': 'QM9', 'target': 0, 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 5, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'TriEB8', 'variants': {'BN': 'N', 'fea_activation': 'ReLU'}}, 'commit_id': '0cc4ef7abdb83b74486e379c78a22adc6366ae48', 'time_stamp': '1608084729', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_0, 1608084729_0cc4ef7_TriEB8_ReLU_add_cat_5_256_N_0.0001_30_0.85_B64_S777, ID=0cc4ef7abdb83b74486e379c78a22adc6366ae48
Epoch: 001, LR: 0.000100, Loss: 1.6014615, Validation MAE: 0.7836298, Test MAE: 0.7902753
Epoch: 002, LR: 0.000100, Loss: 1.2448660, Validation MAE: 0.6686067, Test MAE: 0.6791279
Epoch: 003, LR: 0.000100, Loss: 1.0670127, Validation MAE: 0.6374848, Test MAE: 0.6505207
Epoch: 004, LR: 0.000100, Loss: 0.9535670, Validation MAE: 0.5994928, Test MAE: 0.6109222
Epoch: 005, LR: 0.000100, Loss: 0.8677412, Validation MAE: 0.5828989, Test MAE: 0.5900738
Epoch: 006, LR: 0.000100, Loss: 0.8163099, Validation MAE: 0.5624213, Test MAE: 0.5740170
Epoch: 007, 0.000100,0.7587748,0.5700170,0.5816949
Epoch: 008, LR: 0.000100, Loss: 0.7206001, Validation MAE: 0.5469461, Test MAE: 0.5554512
Epoch: 009, LR: 0.000100, Loss: 0.6798205, Validation MAE: 0.5328797, Test MAE: 0.5397383
Epoch: 010, 0.000100,0.6496850,0.5402122,0.5504710
Epoch: 011, LR: 0.000100, Loss: 0.6064019, Validation MAE: 0.5038881, Test MAE: 0.5107830
Epoch: 012, LR: 0.000100, Loss: 0.5639223, Validation MAE: 0.4995469, Test MAE: 0.5053912
Epoch: 013, LR: 0.000100, Loss: 0.5430188, Validation MAE: 0.4878352, Test MAE: 0.4953440
Epoch: 014, LR: 0.000100, Loss: 0.5059291, Validation MAE: 0.4815369, Test MAE: 0.4899660
Epoch: 015, 0.000100,0.4801585,0.4945417,0.5016406
Epoch: 016, LR: 0.000100, Loss: 0.4572407, Validation MAE: 0.4623729, Test MAE: 0.4689913
Epoch: 017, LR: 0.000100, Loss: 0.4269183, Validation MAE: 0.4591581, Test MAE: 0.4727580
Epoch: 018, LR: 0.000100, Loss: 0.4034065, Validation MAE: 0.4548679, Test MAE: 0.4690615
Epoch: 019, LR: 0.000100, Loss: 0.3792889, Validation MAE: 0.4481544, Test MAE: 0.4562959
Epoch: 020, 0.000100,0.3527753,0.4579102,0.4650878
Epoch: 021, LR: 0.000100, Loss: 0.3302083, Validation MAE: 0.4388977, Test MAE: 0.4494140
Epoch: 022, LR: 0.000100, Loss: 0.3087990, Validation MAE: 0.4309952, Test MAE: 0.4446806
Epoch: 023, LR: 0.000100, Loss: 0.2902442, Validation MAE: 0.4309386, Test MAE: 0.4433185
Epoch: 024, LR: 0.000100, Loss: 0.2704830, Validation MAE: 0.4237520, Test MAE: 0.4372449
Epoch: 025, 0.000100,0.2507944,0.4286505,0.4468221
Epoch: 026, LR: 0.000100, Loss: 0.2371619, Validation MAE: 0.4214184, Test MAE: 0.4340939
Epoch: 027, LR: 0.000100, Loss: 0.2158698, Validation MAE: 0.4168832, Test MAE: 0.4316986
Epoch: 028, 0.000100,0.2017589,0.4188873,0.4353514
Epoch: 029, 0.000100,0.1872986,0.4218611,0.4333628
Epoch: 030, 0.000100,0.1737421,0.4239263,0.4357818
Epoch: 031, LR: 0.000085, Loss: 0.1448780, Validation MAE: 0.4083933, Test MAE: 0.4215450
Epoch: 032, 0.000085,0.1308321,0.4118783,0.4269980
Epoch: 033, 0.000085,0.1205044,0.4128291,0.4285079
Epoch: 034, 0.000085,0.1104649,0.4102851,0.4242024
Epoch: 035, 0.000085,0.1020770,0.4106154,0.4241866
Epoch: 036, 0.000085,0.0948206,0.4180456,0.4291398
Epoch: 037, 0.000085,0.0914078,0.4141530,0.4293718
Epoch: 038, 0.000085,0.0832117,0.4115961,0.4257331
Epoch: 039, 0.000085,0.0858372,0.4100952,0.4246575
Epoch: 040, 0.000085,0.0714860,0.4145871,0.4283953
Epoch: 041, LR: 0.000085, Loss: 0.0684511, Validation MAE: 0.4045117, Test MAE: 0.4243326
Epoch: 042, 0.000085,0.0660671,0.4090672,0.4252123
Epoch: 043, 0.000085,0.0670613,0.4090102,0.4228444
Epoch: 044, 0.000085,0.0589495,0.4068544,0.4187269
Epoch: 045, 0.000085,0.0573000,0.4154251,0.4288713
Epoch: 046, LR: 0.000085, Loss: 0.0563391, Validation MAE: 0.4037492, Test MAE: 0.4188941
Epoch: 047, 0.000085,0.0531466,0.4042261,0.4204239
Epoch: 048, LR: 0.000085, Loss: 0.0512062, Validation MAE: 0.4036549, Test MAE: 0.4167626
Epoch: 049, LR: 0.000085, Loss: 0.0485289, Validation MAE: 0.4028066, Test MAE: 0.4221998
Epoch: 050, LR: 0.000085, Loss: 0.0474691, Validation MAE: 0.4003038, Test MAE: 0.4189136
Epoch: 051, 0.000085,0.0458011,0.4021706,0.4176841
Epoch: 052, LR: 0.000085, Loss: 0.0450786, Validation MAE: 0.3994559, Test MAE: 0.4151993
Epoch: 053, 0.000085,0.0425200,0.4015141,0.4214202
Epoch: 054, 0.000085,0.0416172,0.4047576,0.4164104
Epoch: 055, 0.000085,0.0399435,0.4001310,0.4153333
Epoch: 056, 0.000085,0.0402749,0.4014853,0.4132746
Epoch: 057, 0.000085,0.0380030,0.4009898,0.4154353
Epoch: 058, LR: 0.000085, Loss: 0.0367408, Validation MAE: 0.3967019, Test MAE: 0.4160785
Epoch: 059, LR: 0.000085, Loss: 0.0370750, Validation MAE: 0.3957153, Test MAE: 0.4108774
Epoch: 060, 0.000085,0.0356737,0.3994353,0.4152239
Epoch: 061, LR: 0.000072, Loss: 0.0312936, Validation MAE: 0.3925220, Test MAE: 0.4082185
