{'dataset_name': 'QM9', 'target': 5, 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'LTB8', 'variants': {'BN': 'N', 'fea_activation': 'ReLU'}}, 'commit_id': '7384828d67daa4e48adc52b310e9b2e96ea68cd5', 'time_stamp': '1608168856', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_5, 1608168856_7384828_LTB8_ReLU_add_cat_4_256_N_0.0001_30_0.85_B64_S777, ID=7384828d67daa4e48adc52b310e9b2e96ea68cd5
Epoch: 001, LR: 0.000100, Loss: 1.3255844, Validation MAE: 107.0367218, Test MAE: 105.8210395
Epoch: 002, LR: 0.000100, Loss: 0.6639100, Validation MAE: 106.0782103, Test MAE: 105.3672700
Epoch: 003, LR: 0.000100, Loss: 0.7646568, Validation MAE: 61.3461494, Test MAE: 60.6896349
Epoch: 004, 0.000100,2.3903813,71.1673488,69.3420260
Epoch: 005, LR: 0.000100, Loss: 1.4652605, Validation MAE: 56.5527807, Test MAE: 56.0263913
Epoch: 006, LR: 0.000100, Loss: 1.1779786, Validation MAE: 49.9072099, Test MAE: 49.5141488
Epoch: 007, LR: 0.000100, Loss: 1.1061132, Validation MAE: 42.0159637, Test MAE: 42.2925757
Epoch: 008, 0.000100,1.0407563,46.2455148,46.4587155
Epoch: 009, 0.000100,1.0055614,46.7054082,47.2034827
Epoch: 010, 0.000100,0.9032579,44.7233117,45.1606067
Epoch: 011, LR: 0.000100, Loss: 0.9384919, Validation MAE: 37.5705126, Test MAE: 37.2730049
Epoch: 012, 0.000100,0.8150203,37.9878490,37.7450250
Epoch: 013, LR: 0.000100, Loss: 0.8322577, Validation MAE: 34.5873343, Test MAE: 34.4918539
Epoch: 014, 0.000100,0.7605451,37.3377014,37.1242432
Epoch: 015, 0.000100,0.7589274,35.1391451,34.9545593
Epoch: 016, LR: 0.000100, Loss: 0.6986417, Validation MAE: 33.5165981, Test MAE: 33.6750411
Epoch: 017, 0.000100,0.7017261,35.2031414,35.2368884
Epoch: 018, LR: 0.000100, Loss: 0.6631095, Validation MAE: 29.0762882, Test MAE: 29.0928168
Epoch: 019, 0.000100,0.6373006,30.3787916,30.4875958
Epoch: 020, 0.000100,0.6120726,30.6748652,31.0689008
Epoch: 021, 0.000100,0.5940776,34.3868762,35.1264191
Epoch: 022, LR: 0.000100, Loss: 0.5820861, Validation MAE: 27.5895586, Test MAE: 27.8599607
Epoch: 023, 0.000100,0.5598325,31.8965809,32.0080225
Epoch: 024, 0.000100,0.5347908,28.8643339,29.0308207
Epoch: 025, 0.000100,0.5225949,31.3580275,31.8447436
Epoch: 026, LR: 0.000100, Loss: 0.5118576, Validation MAE: 27.1984520, Test MAE: 27.1555895
Epoch: 027, 0.000100,0.4916899,28.1365164,28.7001118
Epoch: 028, 0.000100,0.4808903,48.2920084,49.0180875
Epoch: 029, 0.000100,0.4612656,37.0614042,37.2136412
Epoch: 030, LR: 0.000100, Loss: 0.4398012, Validation MAE: 25.8840394, Test MAE: 26.3944828
Epoch: 031, LR: 0.000085, Loss: 0.3978745, Validation MAE: 24.8007041, Test MAE: 25.2542305
Epoch: 032, 0.000085,0.4049763,25.2586420,25.6954500
Epoch: 033, 0.000085,0.3839034,25.4234563,25.8314848
Epoch: 034, LR: 0.000085, Loss: 0.3803739, Validation MAE: 23.5612758, Test MAE: 24.0356902
Epoch: 035, 0.000085,0.3619164,23.7077322,24.2903031
Epoch: 036, 0.000085,0.3652070,24.8011540,25.1211270
Epoch: 037, 0.000085,0.3645505,27.0407379,27.2745745
