{'dataset_name': 'QM9', 'target': 5, 'seed': 777, 'hyperparams': {'batch_size': 128, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'LtB8', 'variants': {'BN': 'N', 'fea_activation': 'ReLU'}}, 'commit_id': '5f2ce89d4d0a5d4f37069f0bc8b86c8f22b8dffe', 'time_stamp': '1609850367', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_5, 1609850367_5f2ce89_LtB8_ReLU_add_cat_4_256_N_0.0001_30_0.85_B128_S777, ID=5f2ce89d4d0a5d4f37069f0bc8b86c8f22b8dffe
Epoch: 001, LR: 0.000100, Loss: 0.1482138, Validation MAE: 80.2514171, Test MAE: 79.5193774, Cov: 0.3845662
Epoch: 002, 0.000100,0.0543523,103.1745513,103.2414646, 0.3611120
Epoch: 003, LR: 0.000100, Loss: 0.0399940, Validation MAE: 56.8434480, Test MAE: 56.3750127, Cov: 0.3621939
Epoch: 004, LR: 0.000100, Loss: 0.0360453, Validation MAE: 52.6935843, Test MAE: 51.5076924, Cov: 0.3605787
Epoch: 005, 0.000100,0.0314671,59.8502178,59.2185225, 0.3560126
Epoch: 006, LR: 0.000100, Loss: 0.0273369, Validation MAE: 44.9322705, Test MAE: 44.5000089, Cov: 0.3496125
Epoch: 007, 0.000100,0.0234090,54.5483555,54.2178914, 0.3454667
Epoch: 008, 0.000100,0.0218480,45.3533532,45.3519310, 0.3436921
Epoch: 009, LR: 0.000100, Loss: 0.0197563, Validation MAE: 38.7247102, Test MAE: 38.7349974, Cov: 0.3414935
Epoch: 010, 0.000100,0.0184397,40.0347566,39.7172878, 0.3375861
Epoch: 011, 0.000100,0.0170248,56.2665618,56.7687566, 0.3359552
Epoch: 012, 0.000100,0.0167372,41.0070590,41.7478389, 0.3349294
Epoch: 013, LR: 0.000100, Loss: 0.0150211, Validation MAE: 33.1963028, Test MAE: 33.0959091, Cov: 0.3346919
Epoch: 014, 0.000100,0.0142132,34.2772680,34.2143565, 0.3333131
Epoch: 015, 0.000100,0.0140140,40.0896779,39.8503666, 0.3310097
Epoch: 016, 0.000100,0.0129477,47.8272149,46.9073936, 0.3295576
Epoch: 017, 0.000100,0.0123219,35.9451079,35.6800857, 0.3274934
Epoch: 018, LR: 0.000100, Loss: 0.0117914, Validation MAE: 32.7229669, Test MAE: 32.5185628, Cov: 0.3273382
Epoch: 019, 0.000100,0.0116390,34.7888073,34.3984921, 0.3244497
Epoch: 020, LR: 0.000100, Loss: 0.0107105, Validation MAE: 30.1141008, Test MAE: 30.1807093, Cov: 0.3238068
Epoch: 021, LR: 0.000100, Loss: 0.0103078, Validation MAE: 28.8802153, Test MAE: 29.2683905, Cov: 0.3220511
Epoch: 022, 0.000100,0.0094178,32.9860436,33.3130764, 0.3217189
Epoch: 023, 0.000100,0.0094414,36.4708448,36.2166920, 0.3204908
Epoch: 024, LR: 0.000100, Loss: 0.0091685, Validation MAE: 28.5311067, Test MAE: 28.8917438, Cov: 0.3209114
Epoch: 025, 0.000100,0.0084995,38.1485461,38.3151884, 0.3175595
Epoch: 026, LR: 0.000100, Loss: 0.0086802, Validation MAE: 26.4329813, Test MAE: 26.7633768, Cov: 0.3161886
Epoch: 027, 0.000100,0.0081347,26.9731186,27.0437559, 0.3151757
Epoch: 028, 0.000100,0.0078868,35.2729623,35.3415231, 0.3144234
Epoch: 029, 0.000100,0.0078958,31.5587003,31.7223320, 0.3134064
Epoch: 030, LR: 0.000100, Loss: 0.0073510, Validation MAE: 26.2786081, Test MAE: 26.4972644, Cov: 0.3129069
Epoch: 031, LR: 0.000085, Loss: 0.0065140, Validation MAE: 24.2912546, Test MAE: 24.5142960, Cov: 0.3123402
Epoch: 032, 0.000085,0.0065719,26.6096597,27.4871726, 0.3127740
Epoch: 033, 0.000085,0.0064358,26.6301395,27.0269988, 0.3130649
Epoch: 034, LR: 0.000085, Loss: 0.0060948, Validation MAE: 23.9930288, Test MAE: 24.3171911, Cov: 0.3100441
Epoch: 035, 0.000085,0.0058458,27.9030286,28.6904898, 0.3088663
Epoch: 036, 0.000085,0.0060474,24.6531258,25.2104213, 0.3072736
Epoch: 037, 0.000085,0.0058913,24.8632392,25.4039706, 0.3072973
Epoch: 038, 0.000085,0.0056223,28.8476152,29.3266739, 0.3059221
Epoch: 039, 0.000085,0.0054373,25.5695438,26.1236537, 0.3050584
Epoch: 040, LR: 0.000085, Loss: 0.0051678, Validation MAE: 22.5590617, Test MAE: 23.2300699, Cov: 0.3047573
Epoch: 041, 0.000085,0.0051440,25.4960852,25.9598853, 0.3037817
Epoch: 042, 0.000085,0.0051159,23.1973030,23.5853066, 0.3028001
Epoch: 043, 0.000085,0.0047596,26.9312603,27.4763679, 0.3011629
Epoch: 044, 0.000085,0.0052161,24.7337423,25.0266974, 0.3022231
Epoch: 045, 0.000085,0.0047563,23.9835719,24.1630948, 0.3052497
Epoch: 046, LR: 0.000085, Loss: 0.0043723, Validation MAE: 22.4856441, Test MAE: 23.1408553, Cov: 0.3007165
Epoch: 047, 0.000085,0.0041656,33.9612263,34.7692273, 0.2984998
Epoch: 048, LR: 0.000085, Loss: 0.0044530, Validation MAE: 21.8277958, Test MAE: 22.6184578, Cov: 0.2979225
Epoch: 049, 0.000085,0.0041241,28.2911863,28.8142367, 0.2967569
Epoch: 050, 0.000085,0.0041570,24.0619961,24.7885427, 0.2953668
Epoch: 051, 0.000085,0.0039300,34.0445622,34.4418023, 0.2949876
Epoch: 052, 0.000085,0.0037459,23.8236594,24.5205591, 0.2939630
Epoch: 053, 0.000085,0.0037282,25.2515392,25.9791853, 0.2933223
Epoch: 054, 0.000085,0.0035679,24.0098479,24.7493291, 0.2918599
Epoch: 055, 0.000085,0.0034840,23.6794573,23.8636284, 0.2924862
Epoch: 056, 0.000085,0.0033851,24.2315054,24.5553138, 0.2911830
Epoch: 057, 0.000085,0.0032742,25.6103572,25.9444005, 0.2902635
Epoch: 058, 0.000085,0.0033685,24.7356228,25.6413552, 0.2894090
Epoch: 059, 0.000085,0.0035555,23.8034276,24.8804713, 0.2894106
Epoch: 060, 0.000085,0.0029738,21.8606248,22.5534440, 0.2879143
Epoch: 061, LR: 0.000072, Loss: 0.0026092, Validation MAE: 21.5183811, Test MAE: 22.0664300, Cov: 0.2869791
Epoch: 062, 0.000072,0.0026276,22.3633573,23.0408738, 0.2859990
Epoch: 063, 0.000072,0.0025857,22.5754576,22.9912048, 0.2854477
Epoch: 064, 0.000072,0.0026230,21.9303752,22.5446858, 0.2847635
Epoch: 065, 0.000072,0.0024179,21.5843553,21.7976538, 0.2850797
Epoch: 066, LR: 0.000072, Loss: 0.0023576, Validation MAE: 20.7270104, Test MAE: 21.2592699, Cov: 0.2848549
Epoch: 067, 0.000072,0.0023450,21.6626409,22.2403254, 0.2840189
Epoch: 068, 0.000072,0.0022383,20.8544488,21.4913728, 0.2836215
Epoch: 069, 0.000072,0.0021435,21.3940321,21.9162695, 0.2828495
Epoch: 070, 0.000072,0.0021191,20.8009058,21.4703344, 0.2825644
Epoch: 071, 0.000072,0.0021147,20.9348511,21.4488420, 0.2823122
Epoch: 072, 0.000072,0.0020194,21.3593086,22.0782443, 0.2814822
Epoch: 073, LR: 0.000072, Loss: 0.0020279, Validation MAE: 20.4774307, Test MAE: 21.0260724, Cov: 0.2819774
Epoch: 074, 0.000072,0.0019842,24.8477641,25.4397995, 0.2806298
Epoch: 075, 0.000072,0.0019258,21.5491237,21.8791784, 0.2802939
Epoch: 076, 0.000072,0.0019031,20.9690644,21.5351958, 0.2800624
