{'dataset_name': 'QM9', 'target': 5, 'seed': 777, 'hyperparams': {'batch_size': 128, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'LTB8', 'variants': {'BN': 'N', 'fea_activation': 'ReLU'}}, 'commit_id': '15ec03db036c15f5265531ec210b34ac6fe28b9a', 'time_stamp': '1609851037', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_5, 1609851037_15ec03d_LTB8_ReLU_add_cat_4_256_N_0.0001_30_0.85_B128_S777, ID=15ec03db036c15f5265531ec210b34ac6fe28b9a
Epoch: 001, LR: 0.000100, Loss: 0.7496867, Validation MAE: 70.4778500, Test MAE: 69.8167830, Cov: 0.3907256
Epoch: 002, 0.000100,0.5169616,132.7847898,132.2129870, 0.3737089
Epoch: 003, LR: 0.000100, Loss: 0.4831387, Validation MAE: 54.6316044, Test MAE: 54.3693020, Cov: 0.3722708
Epoch: 004, LR: 0.000100, Loss: 0.4618315, Validation MAE: 50.4068812, Test MAE: 49.5734418, Cov: 0.3668715
Epoch: 005, 0.000100,0.4462504,57.1051549,57.1462269, 0.3614844
Epoch: 006, LR: 0.000100, Loss: 0.4336021, Validation MAE: 43.5056253, Test MAE: 43.1214876, Cov: 0.3557834
Epoch: 007, 0.000100,0.4189796,47.1066871,47.1522468, 0.3519470
Epoch: 008, LR: 0.000100, Loss: 0.4091840, Validation MAE: 43.3405603, Test MAE: 43.6238545, Cov: 0.3463657
Epoch: 009, LR: 0.000100, Loss: 0.4021492, Validation MAE: 40.7031745, Test MAE: 40.8968665, Cov: 0.3452267
Epoch: 010, 0.000100,0.3975751,40.9823521,40.9063380, 0.3402004
Epoch: 011, 0.000100,0.3875818,48.5652498,49.2193130, 0.3364949
Epoch: 012, LR: 0.000100, Loss: 0.3795020, Validation MAE: 37.6910644, Test MAE: 37.8731759, Cov: 0.3323407
Epoch: 013, LR: 0.000100, Loss: 0.3765923, Validation MAE: 35.7473996, Test MAE: 35.5518626, Cov: 0.3319184
Epoch: 014, LR: 0.000100, Loss: 0.3703144, Validation MAE: 32.9912835, Test MAE: 33.3378029, Cov: 0.3282198
Epoch: 015, LR: 0.000100, Loss: 0.3655246, Validation MAE: 32.5068334, Test MAE: 32.3143431, Cov: 0.3238855
Epoch: 016, 0.000100,0.3591737,53.2853001,52.3228043, 0.3217623
Epoch: 017, 0.000100,0.3562030,36.5717627,36.2301496, 0.3186548
Epoch: 018, 0.000100,0.3492818,32.7634965,32.6226066, 0.3148889
Epoch: 019, 0.000100,0.3476306,34.5349949,34.3904453, 0.3130766
Epoch: 020, LR: 0.000100, Loss: 0.3419000, Validation MAE: 29.4132369, Test MAE: 29.8652040, Cov: 0.3097446
Epoch: 021, 0.000100,0.3369429,31.5178607,31.9563655, 0.3062412
Epoch: 022, LR: 0.000100, Loss: 0.3311309, Validation MAE: 28.5356336, Test MAE: 29.1950078, Cov: 0.3026348
