{'dataset_name': 'QM9', 'target': 5, 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'NNB2', 'variants': {'BN': 'N'}}, 'commit_id': 'ea302783196709975ad28ef0895268a116034922', 'time_stamp': '1609905370', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_5, 1609905370_ea30278_NNB2_add_cat_4_256_N_0.0001_30_0.85_B64_S777, ID=ea302783196709975ad28ef0895268a116034922
Epoch: 001, LR: 0.000100, Loss: 0.2898633, Validation MAE: 78.5366195, Test MAE: 77.1861372, Cov: 0.6148667
Epoch: 002, LR: 0.000100, Loss: 0.1453599, Validation MAE: 67.5397114, Test MAE: 67.0727675, Cov: 0.6398288
Epoch: 003, LR: 0.000100, Loss: 0.1138764, Validation MAE: 66.8565420, Test MAE: 66.9272856, Cov: 0.6283072
Epoch: 004, LR: 0.000100, Loss: 0.0933927, Validation MAE: 52.5650324, Test MAE: 51.8103550, Cov: 0.6379122
Epoch: 005, 0.000100,0.0784735,53.3894120,52.1317244, 0.6366790
Epoch: 006, LR: 0.000100, Loss: 0.0671902, Validation MAE: 50.2418951, Test MAE: 50.0531974, Cov: 0.6245222
Epoch: 007, LR: 0.000100, Loss: 0.0655169, Validation MAE: 45.7797505, Test MAE: 45.6353204, Cov: 0.6176670
Epoch: 008, LR: 0.000100, Loss: 0.0568184, Validation MAE: 45.7078474, Test MAE: 44.8428910, Cov: 0.6196284
Epoch: 009, LR: 0.000100, Loss: 0.0542427, Validation MAE: 44.3854066, Test MAE: 44.0244938, Cov: 0.6133600
Epoch: 010, 0.000100,0.0489935,50.7451870,50.0161940, 0.6187233
Epoch: 011, LR: 0.000100, Loss: 0.0488595, Validation MAE: 36.4943107, Test MAE: 36.6238072, Cov: 0.6150149
Epoch: 012, LR: 0.000100, Loss: 0.0445917, Validation MAE: 34.9537504, Test MAE: 34.9466506, Cov: 0.6088701
Epoch: 013, LR: 0.000100, Loss: 0.0414011, Validation MAE: 34.6759425, Test MAE: 35.0840339, Cov: 0.6095521
Epoch: 014, 0.000100,0.0408551,41.6280871,41.7775501, 0.6076214
Epoch: 015, 0.000100,0.0372081,37.2260682,37.2698695, 0.6092018
Epoch: 016, LR: 0.000100, Loss: 0.0368967, Validation MAE: 33.1754846, Test MAE: 33.1307807, Cov: 0.6037422
Epoch: 017, 0.000100,0.0365314,33.2268622,32.6919091, 0.6081481
Epoch: 018, 0.000100,0.0332110,40.2734324,40.8223225, 0.6092467
Epoch: 019, 0.000100,0.0339970,38.9322912,38.9299598, 0.6020030
Epoch: 020, 0.000100,0.0306808,39.0109837,39.7026074, 0.6014794
Epoch: 021, LR: 0.000100, Loss: 0.0301641, Validation MAE: 29.3044470, Test MAE: 29.3375546, Cov: 0.5998437
Epoch: 022, LR: 0.000100, Loss: 0.0293808, Validation MAE: 29.2369986, Test MAE: 29.0983226, Cov: 0.5975040
Epoch: 023, LR: 0.000100, Loss: 0.0280667, Validation MAE: 27.4160834, Test MAE: 27.6210890, Cov: 0.6021356
Epoch: 024, 0.000100,0.0266949,28.9310179,28.9346862, 0.5950750
Epoch: 025, LR: 0.000100, Loss: 0.0272852, Validation MAE: 26.4798663, Test MAE: 26.8090767, Cov: 0.5946979
Epoch: 026, 0.000100,0.0254584,26.7057569,26.8819578, 0.5929703
Epoch: 027, 0.000100,0.0256266,28.6329852,28.9118198, 0.5914223
Epoch: 028, 0.000100,0.0249539,31.0273943,31.3563182, 0.5898544
Epoch: 029, 0.000100,0.0235688,30.0980477,30.6884281, 0.5844651
Epoch: 030, 0.000100,0.0234776,33.0616687,33.2376240, 0.5862472
Epoch: 031, 0.000085,0.0212899,27.6845634,28.0168670, 0.5802167
Epoch: 032, 0.000085,0.0201520,33.6106761,33.7533535, 0.5803342
Epoch: 033, 0.000085,0.0197348,27.5489852,28.0930969, 0.5792610
Epoch: 034, 0.000085,0.0193488,26.5282613,26.7561378, 0.5745960
Epoch: 035, 0.000085,0.0191516,28.1968934,28.6653824, 0.5718072
Epoch: 036, 0.000085,0.0181406,31.3511263,31.9265364, 0.5717608
Epoch: 037, 0.000085,0.0188006,30.7667219,31.1629662, 0.5701795
Epoch: 038, LR: 0.000085, Loss: 0.0171455, Validation MAE: 25.1201276, Test MAE: 25.6949749, Cov: 0.5664389
Epoch: 039, LR: 0.000085, Loss: 0.0173549, Validation MAE: 24.5030964, Test MAE: 24.9173110, Cov: 0.5641069
Epoch: 040, 0.000085,0.0170948,25.5527529,26.4828687, 0.5612406
Epoch: 041, LR: 0.000085, Loss: 0.0163195, Validation MAE: 23.7242734, Test MAE: 24.2531851, Cov: 0.5620217
Epoch: 042, 0.000085,0.0163457,25.7168556,26.3395548, 0.5562539
Epoch: 043, 0.000085,0.0156726,26.1670974,26.6690781, 0.5593717
Epoch: 044, LR: 0.000085, Loss: 0.0152421, Validation MAE: 23.5079332, Test MAE: 24.2066780, Cov: 0.5564165
Epoch: 045, 0.000085,0.0149428,25.4238200,26.1169037, 0.5555326
