{'dataset_name': 'QM9', 'target': 5, 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'LDB1', 'variants': {'BN': 'N'}}, 'commit_id': 'ea302783196709975ad28ef0895268a116034922', 'time_stamp': '1609905820', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_5, 1609905820_ea30278_LDB1_add_cat_4_256_N_0.0001_30_0.85_B64_S777, ID=ea302783196709975ad28ef0895268a116034922
Epoch: 001, LR: 0.000100, Loss: 1.5085763, Validation MAE: 89.1141395, Test MAE: 88.4077714, Cov: 1.1865442
Epoch: 002, LR: 0.000100, Loss: 0.9973561, Validation MAE: 64.0443589, Test MAE: 63.6244429, Cov: 0.8369087
Epoch: 003, LR: 0.000100, Loss: 0.9166636, Validation MAE: 63.1545056, Test MAE: 61.5939034, Cov: 0.7900797
Epoch: 004, LR: 0.000100, Loss: 0.8617272, Validation MAE: 58.6493963, Test MAE: 58.3453499, Cov: 0.7464982
Epoch: 005, LR: 0.000100, Loss: 0.8032665, Validation MAE: 57.8280487, Test MAE: 57.3850573, Cov: 0.6712397
Epoch: 006, LR: 0.000100, Loss: 0.6941133, Validation MAE: 54.0848434, Test MAE: 53.9236351, Cov: 0.6050817
Epoch: 007, LR: 0.000100, Loss: 0.6599151, Validation MAE: 50.4480511, Test MAE: 49.7716101, Cov: 0.5739669
Epoch: 008, 0.000100,0.6566011,54.8636461,54.1504453, 0.5650161
Epoch: 009, LR: 0.000100, Loss: 0.5855391, Validation MAE: 42.9751177, Test MAE: 42.5726046, Cov: 0.5176655
Epoch: 010, 0.000100,0.5634372,44.7128780,43.8472979, 0.5010217
Epoch: 011, LR: 0.000100, Loss: 0.5449972, Validation MAE: 40.0223582, Test MAE: 39.4435614, Cov: 0.4882626
Epoch: 012, 0.000100,0.5394782,43.2026680,42.3816280, 0.4861856
Epoch: 013, 0.000100,0.5327348,45.1262506,44.1581626, 0.4830132
Epoch: 014, 0.000100,0.5328776,42.5285256,42.3354539, 0.4854137
Epoch: 015, LR: 0.000100, Loss: 0.5280697, Validation MAE: 37.5370225, Test MAE: 37.3201912, Cov: 0.4831887
Epoch: 016, LR: 0.000100, Loss: 0.5303805, Validation MAE: 36.3058534, Test MAE: 36.1270506, Cov: 0.4872812
Epoch: 017, LR: 0.000100, Loss: 0.5273803, Validation MAE: 35.2275411, Test MAE: 34.7986210, Cov: 0.4868354
Epoch: 018, 0.000100,0.5302529,45.5260864,44.3377511, 0.4901487
Epoch: 019, 0.000100,0.5268102,37.8866552,37.9582639, 0.4884511
Epoch: 020, LR: 0.000100, Loss: 0.5233628, Validation MAE: 34.8360445, Test MAE: 34.6248092, Cov: 0.4868742
Epoch: 021, LR: 0.000100, Loss: 0.5310609, Validation MAE: 32.7857291, Test MAE: 32.7791171, Cov: 0.4923963
Epoch: 022, 0.000100,0.5207355,33.0995676,32.7666490, 0.4862975
Epoch: 023, LR: 0.000100, Loss: 0.5194870, Validation MAE: 31.2167495, Test MAE: 31.0044648, Cov: 0.4866383
Epoch: 024, 0.000100,0.5181377,34.3734356,34.2245183, 0.4864160
Epoch: 025, LR: 0.000100, Loss: 0.5159827, Validation MAE: 30.4731355, Test MAE: 30.1821840, Cov: 0.4849245
Epoch: 026, 0.000100,0.5135434,31.2000398,31.3402445, 0.4840156
Epoch: 027, 0.000100,0.5174761,36.6754159,36.1570781, 0.4872943
Epoch: 028, 0.000100,0.5158629,33.5968699,33.3534392, 0.4883522
Epoch: 029, LR: 0.000100, Loss: 0.5133167, Validation MAE: 28.3248552, Test MAE: 28.2963766, Cov: 0.4859097
Epoch: 030, 0.000100,0.5126143,34.7854932,34.5436019, 0.4860465
Epoch: 031, 0.000085,0.5050873,30.1405327,30.5981973, 0.4809627
