{'dataset_name': 'QM9', 'target': 5, 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'LTC2', 'variants': {'BN': 'N'}}, 'commit_id': '59057c774960df09360b56727b62da3a701f1b5e', 'time_stamp': '1609929992', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_5, 1609929992_59057c7_LTC2_add_cat_4_256_N_0.0001_30_0.85_B64_S777, ID=59057c774960df09360b56727b62da3a701f1b5e
Epoch: 001, LR: 0.000100, Loss: 0.7346924, Validation MAE: 73.5633765, Test MAE: 72.2374127, Cov: 0.4073722
Epoch: 002, LR: 0.000100, Loss: 0.5444863, Validation MAE: 64.1566196, Test MAE: 63.2493350, Cov: 0.4017369
Epoch: 003, LR: 0.000100, Loss: 0.5027495, Validation MAE: 58.3771985, Test MAE: 57.9632672, Cov: 0.3933027
Epoch: 004, 0.000100,0.4797507,81.6938775,80.1411822, 0.3853250
Epoch: 005, LR: 0.000100, Loss: 0.4572984, Validation MAE: 47.1620021, Test MAE: 46.8564793, Cov: 0.3744129
Epoch: 006, LR: 0.000100, Loss: 0.4373522, Validation MAE: 46.2318626, Test MAE: 45.7672812, Cov: 0.3659589
Epoch: 007, 0.000100,0.4239595,52.8200598,51.9694745, 0.3575194
Epoch: 008, LR: 0.000100, Loss: 0.4074026, Validation MAE: 41.2619651, Test MAE: 41.2805493, Cov: 0.3498557
Epoch: 009, 0.000100,0.3952330,43.1583364,42.9839175, 0.3425308
Epoch: 010, LR: 0.000100, Loss: 0.3882141, Validation MAE: 38.8030225, Test MAE: 38.8595229, Cov: 0.3386242
Epoch: 011, LR: 0.000100, Loss: 0.3824157, Validation MAE: 36.4353153, Test MAE: 36.2745663, Cov: 0.3365323
Epoch: 012, 0.000100,0.3752729,81.8466916,81.2835557, 0.3322117
Epoch: 013, 0.000100,0.3709463,47.1831798,46.9894950, 0.3302384
Epoch: 014, LR: 0.000100, Loss: 0.3650527, Validation MAE: 35.9705120, Test MAE: 35.7601230, Cov: 0.3267783
Epoch: 015, 0.000100,0.3619133,42.2670246,42.2042312, 0.3245021
Epoch: 016, LR: 0.000100, Loss: 0.3552102, Validation MAE: 31.1577248, Test MAE: 31.1273959, Cov: 0.3208292
Epoch: 017, LR: 0.000100, Loss: 0.3510867, Validation MAE: 29.1364489, Test MAE: 29.5287791, Cov: 0.3176292
Epoch: 018, 0.000100,0.3496192,34.5289473,34.2228980, 0.3170714
Epoch: 019, 0.000100,0.3461720,30.3439946,30.3495239, 0.3151141
Epoch: 020, LR: 0.000100, Loss: 0.3429489, Validation MAE: 28.5141379, Test MAE: 28.4905736, Cov: 0.3134457
Epoch: 021, 0.000100,0.3415574,29.7502594,29.7199722, 0.3126064
Epoch: 022, 0.000100,0.3386157,37.2998292,37.1632137, 0.3109821
Epoch: 023, 0.000100,0.3361320,35.7463941,36.0217390, 0.3097540
Epoch: 024, LR: 0.000100, Loss: 0.3346903, Validation MAE: 27.2796721, Test MAE: 27.2182635, Cov: 0.3085567
Epoch: 025, 0.000100,0.3337040,32.5508601,32.8541199, 0.3079375
Epoch: 026, 0.000100,0.3313485,30.8331292,30.9120822, 0.3061063
Epoch: 027, 0.000100,0.3279743,28.1142302,28.0709846, 0.3046339
Epoch: 028, 0.000100,0.3277346,28.4440090,28.7437854, 0.3042545
