{'dataset_name': 'QM9', 'target': 5, 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'NNC2', 'variants': {'BN': 'N'}}, 'commit_id': '59057c774960df09360b56727b62da3a701f1b5e', 'time_stamp': '1609930555', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_5, 1609930555_59057c7_NNC2_add_cat_4_256_N_0.0001_30_0.85_B64_S777, ID=59057c774960df09360b56727b62da3a701f1b5e
Epoch: 001, LR: 0.000100, Loss: 0.3261625, Validation MAE: 73.1746238, Test MAE: 71.9141799, Cov: 0.4091415
Epoch: 002, LR: 0.000100, Loss: 0.1432647, Validation MAE: 62.2582451, Test MAE: 61.0917289, Cov: 0.4039155
Epoch: 003, LR: 0.000100, Loss: 0.1114197, Validation MAE: 57.7716773, Test MAE: 57.3711694, Cov: 0.3979886
Epoch: 004, 0.000100,0.0936736,83.3770875,81.9557442, 0.3937352
Epoch: 005, LR: 0.000100, Loss: 0.0812529, Validation MAE: 47.6257911, Test MAE: 47.2242168, Cov: 0.3854828
Epoch: 006, LR: 0.000100, Loss: 0.0721573, Validation MAE: 44.0226751, Test MAE: 43.8247621, Cov: 0.3787831
Epoch: 007, 0.000100,0.0652736,52.0013218,51.4047883, 0.3704401
Epoch: 008, LR: 0.000100, Loss: 0.0570023, Validation MAE: 43.7157333, Test MAE: 43.3852634, Cov: 0.3648556
Epoch: 009, 0.000100,0.0533465,46.2761419,46.1465807, 0.3595488
Epoch: 010, LR: 0.000100, Loss: 0.0503106, Validation MAE: 37.3242066, Test MAE: 37.3723814, Cov: 0.3545750
Epoch: 011, 0.000100,0.0465732,37.9900345,37.4968660, 0.3500672
Epoch: 012, 0.000100,0.0438081,80.1390768,79.3832133, 0.3476466
Epoch: 013, 0.000100,0.0410983,43.7312029,43.9362636, 0.3436425
Epoch: 014, 0.000100,0.0381622,41.0358851,40.9798186, 0.3394015
Epoch: 015, 0.000100,0.0384796,48.9664190,49.4413783, 0.3378369
Epoch: 016, LR: 0.000100, Loss: 0.0346079, Validation MAE: 34.8159301, Test MAE: 34.7698683, Cov: 0.3340383
Epoch: 017, LR: 0.000100, Loss: 0.0345340, Validation MAE: 32.5757043, Test MAE: 33.1932129, Cov: 0.3308111
Epoch: 018, 0.000100,0.0335423,32.8292387,32.9406065, 0.3280447
Epoch: 019, LR: 0.000100, Loss: 0.0305729, Validation MAE: 29.7651833, Test MAE: 30.2049764, Cov: 0.3249857
Epoch: 020, LR: 0.000100, Loss: 0.0298761, Validation MAE: 28.0353040, Test MAE: 28.1524742, Cov: 0.3225566
Epoch: 021, 0.000100,0.0284128,30.9383141,31.1090826, 0.3221639
Epoch: 022, 0.000100,0.0282661,30.9040705,31.0011179, 0.3185599
Epoch: 023, 0.000100,0.0268455,35.7604571,35.8983407, 0.3179041
Epoch: 024, LR: 0.000100, Loss: 0.0265898, Validation MAE: 26.7684546, Test MAE: 27.1868454, Cov: 0.3161628
Epoch: 025, 0.000100,0.0251971,31.3561241,31.8938722, 0.3141752
Epoch: 026, 0.000100,0.0253399,33.7463379,33.9046061, 0.3124717
Epoch: 027, 0.000100,0.0237391,27.6501122,27.6464499, 0.3108760
Epoch: 028, 0.000100,0.0237409,31.0339838,31.5174932, 0.3098862
Epoch: 029, LR: 0.000100, Loss: 0.0225611, Validation MAE: 25.0724193, Test MAE: 25.3709657, Cov: 0.3086494
Epoch: 030, 0.000100,0.0224446,26.7553840,27.2113879, 0.3058446
Epoch: 031, 0.000085,0.0200716,26.0314737,26.2820857, 0.3057710
Epoch: 032, 0.000085,0.0197524,25.9098530,26.4379035, 0.3047963
Epoch: 033, 0.000085,0.0192683,26.1353487,26.6952617, 0.3037662
Epoch: 034, LR: 0.000085, Loss: 0.0188880, Validation MAE: 23.5591168, Test MAE: 23.9468668, Cov: 0.3027416
Epoch: 035, 0.000085,0.0180592,25.4739120,25.9455014, 0.3030237
Epoch: 036, 0.000085,0.0186597,25.6512218,25.8938576, 0.3018206
Epoch: 037, 0.000085,0.0178935,23.7671427,24.2927319, 0.3009024
Epoch: 038, 0.000085,0.0173901,25.3500769,25.5871022, 0.2999419
Epoch: 039, LR: 0.000085, Loss: 0.0168332, Validation MAE: 23.2411399, Test MAE: 23.6778137, Cov: 0.2995868
Epoch: 040, LR: 0.000085, Loss: 0.0163506, Validation MAE: 23.0676296, Test MAE: 23.3562743, Cov: 0.2977788
Epoch: 041, LR: 0.000085, Loss: 0.0163106, Validation MAE: 23.0641755, Test MAE: 23.6416966, Cov: 0.2966122
Epoch: 042, 0.000085,0.0155364,24.3764089,24.8158808, 0.2948232
Epoch: 043, 0.000085,0.0155912,23.4581718,23.8251371, 0.2951262
Epoch: 044, 0.000085,0.0152244,24.0866814,24.4877943, 0.2950816
Epoch: 045, 0.000085,0.0146843,25.7329227,25.9469416, 0.2952005
Epoch: 046, 0.000085,0.0144853,23.2147559,23.6311463, 0.2938346
Epoch: 047, 0.000085,0.0142877,23.1855333,23.1324834, 0.2941005
Epoch: 048, LR: 0.000085, Loss: 0.0141877, Validation MAE: 22.9143710, Test MAE: 22.9628258, Cov: 0.2931796
Epoch: 049, 0.000085,0.0136846,23.1206353,23.4663584, 0.2923851
Epoch: 050, 0.000085,0.0134679,26.9854633,27.5860372, 0.2911558
Epoch: 051, LR: 0.000085, Loss: 0.0132022, Validation MAE: 22.3079454, Test MAE: 22.6368642, Cov: 0.2909658
Epoch: 052, 0.000085,0.0129127,22.7699360,23.1633630, 0.2903453
Epoch: 053, 0.000085,0.0125136,23.1178438,23.3550880, 0.2893396
Epoch: 054, 0.000085,0.0120849,32.2897903,32.7850037, 0.2891942
Epoch: 055, LR: 0.000085, Loss: 0.0124966, Validation MAE: 22.1341820, Test MAE: 22.4322666, Cov: 0.2882682
Epoch: 056, 0.000085,0.0119237,23.3014213,23.6688477, 0.2879448
Epoch: 057, LR: 0.000085, Loss: 0.0116095, Validation MAE: 22.0480603, Test MAE: 22.2173707, Cov: 0.2872725
Epoch: 058, 0.000085,0.0111857,22.3719656,22.7582286, 0.2869219
Epoch: 059, LR: 0.000085, Loss: 0.0111692, Validation MAE: 21.9076505, Test MAE: 22.4064378, Cov: 0.2863760
Epoch: 060, LR: 0.000085, Loss: 0.0109230, Validation MAE: 21.5947726, Test MAE: 22.2615825, Cov: 0.2863152
Epoch: 061, LR: 0.000072, Loss: 0.0099093, Validation MAE: 21.4589932, Test MAE: 21.9312772, Cov: 0.2855863
Epoch: 062, LR: 0.000072, Loss: 0.0102504, Validation MAE: 20.7604707, Test MAE: 21.4584665, Cov: 0.2867317
Epoch: 063, 0.000072,0.0091308,22.0349639,22.4829057, 0.2862058
Epoch: 064, 0.000072,0.0091480,21.1967130,21.6520853, 0.2855250
Epoch: 065, LR: 0.000072, Loss: 0.0088177, Validation MAE: 20.5274576, Test MAE: 21.1395355, Cov: 0.2849772
Epoch: 066, 0.000072,0.0086284,24.9194585,25.0425385, 0.2837356
Epoch: 067, 0.000072,0.0085137,21.1088854,21.2230655, 0.2838552
Epoch: 068, 0.000072,0.0085614,21.0358039,21.3509716, 0.2839188
Epoch: 069, 0.000072,0.0080238,21.4945905,21.9276845, 0.2833500
Epoch: 070, LR: 0.000072, Loss: 0.0080096, Validation MAE: 20.3872748, Test MAE: 20.7647958, Cov: 0.2831604
Epoch: 071, 0.000072,0.0078591,21.7994261,22.0822774, 0.2831293
Epoch: 072, 0.000072,0.0077198,21.6980725,22.1142781, 0.2823056
Epoch: 073, 0.000072,0.0075251,21.2821262,21.7048130, 0.2829474
Epoch: 074, 0.000072,0.0072860,21.3018962,21.8396220, 0.2822998
Epoch: 075, 0.000072,0.0069507,21.1073557,21.5356547, 0.2823916
Epoch: 076, 0.000072,0.0071814,21.3982113,22.1049635, 0.2819532
Epoch: 077, LR: 0.000072, Loss: 0.0068167, Validation MAE: 20.2495627, Test MAE: 20.7710978, Cov: 0.2812078
Epoch: 078, 0.000072,0.0068428,21.0243452,21.3160731, 0.2814510
Epoch: 079, LR: 0.000072, Loss: 0.0064416, Validation MAE: 20.1845459, Test MAE: 21.0047045, Cov: 0.2808542
Epoch: 080, 0.000072,0.0065362,21.2869181,21.4517450, 0.2805156
Epoch: 081, 0.000072,0.0062512,21.5924353,22.1218702, 0.2800268
Epoch: 082, 0.000072,0.0062803,24.1548526,24.7386360, 0.2790921
Epoch: 083, 0.000072,0.0060549,20.4207984,20.9943743, 0.2800973
Epoch: 084, 0.000072,0.0059061,20.5868138,20.9580505, 0.2793508
Epoch: 085, 0.000072,0.0058417,20.1942572,20.5482633, 0.2796580
Epoch: 086, 0.000072,0.0059286,20.2496879,20.8884393, 0.2790099
Epoch: 087, 0.000072,0.0055085,21.3868992,21.9141839, 0.2790853
Epoch: 088, 0.000072,0.0058498,20.4332110,20.8574787, 0.2785984
Epoch: 089, 0.000072,0.0054491,24.2263686,24.8458577, 0.2778791
Epoch: 090, 0.000072,0.0055798,22.6145948,22.7269230, 0.2778071
Epoch: 091, LR: 0.000061, Loss: 0.0047703, Validation MAE: 19.5614398, Test MAE: 20.0127079, Cov: 0.2781946
Epoch: 092, 0.000061,0.0044587,22.6909174,22.8167907, 0.2775954
Epoch: 093, 0.000061,0.0044912,21.8659053,22.3409298, 0.2773551
Epoch: 094, 0.000061,0.0044289,20.6567528,21.1311588, 0.2772614
Epoch: 095, 0.000061,0.0043728,23.1869108,23.6044211, 0.2768911
Epoch: 096, 0.000061,0.0042989,20.1531781,20.5257071, 0.2774071
Epoch: 097, LR: 0.000061, Loss: 0.0040758, Validation MAE: 19.4761203, Test MAE: 20.0232804, Cov: 0.2769188
Epoch: 098, LR: 0.000061, Loss: 0.0042055, Validation MAE: 19.2496513, Test MAE: 19.7354633, Cov: 0.2772010
Epoch: 099, 0.000061,0.0041244,19.7510680,20.1660452, 0.2764661
Epoch: 100, 0.000061,0.0039057,20.2891112,20.9379001, 0.2768584
Epoch: 101, 0.000061,0.0040684,20.9898521,21.4131815, 0.2767359
Epoch: 102, LR: 0.000061, Loss: 0.0039835, Validation MAE: 19.2207660, Test MAE: 19.6645542, Cov: 0.2766658
Epoch: 103, 0.000061,0.0038031,19.8983064,20.2631797, 0.2766649
Epoch: 104, 0.000061,0.0036555,19.3547341,19.8391159, 0.2769268
Epoch: 105, 0.000061,0.0037299,21.7001162,21.9782745, 0.2767879
Epoch: 106, 0.000061,0.0036303,20.1171847,20.6342881, 0.2767084
Epoch: 107, 0.000061,0.0034978,22.2409413,22.4191322, 0.2761732
Epoch: 108, 0.000061,0.0035710,19.7734560,20.2782178, 0.2760704
Epoch: 109, 0.000061,0.0034687,20.3764875,20.5364224, 0.2762963
Epoch: 110, 0.000061,0.0034744,19.2420829,19.9197482, 0.2762398
Epoch: 111, 0.000061,0.0033478,19.7438625,20.2360344, 0.2762469
Epoch: 112, 0.000061,0.0033779,19.6591275,20.3121669, 0.2757499
Epoch: 113, 0.000061,0.0034209,19.6416140,20.0313701, 0.2762048
Epoch: 114, 0.000061,0.0032177,19.2947223,19.8329655, 0.2761013
Epoch: 115, 0.000061,0.0031902,19.2586016,19.9239078, 0.2757072
Epoch: 116, 0.000061,0.0032058,19.9709096,20.2339424, 0.2756124
Epoch: 117, 0.000061,0.0031084,19.2583585,19.6885355, 0.2757947
Epoch: 118, 0.000061,0.0031109,19.4266760,19.7328718, 0.2758946
Epoch: 119, 0.000061,0.0031568,19.4157112,19.8192446, 0.2753477
Epoch: 120, 0.000061,0.0030272,19.9625455,20.2127170, 0.2752769
Epoch: 121, LR: 0.000052, Loss: 0.0027509, Validation MAE: 19.2023883, Test MAE: 19.9026104, Cov: 0.2754192
Epoch: 122, LR: 0.000052, Loss: 0.0026209, Validation MAE: 19.1054767, Test MAE: 19.5114663, Cov: 0.2750805
Epoch: 123, 0.000052,0.0027423,19.4958158,19.9760881, 0.2749559
Epoch: 124, 0.000052,0.0025828,19.2387607,19.9594661, 0.2751043
Epoch: 125, LR: 0.000052, Loss: 0.0024799, Validation MAE: 18.8690753, Test MAE: 19.3955005, Cov: 0.2749918
Epoch: 126, 0.000052,0.0024774,18.9992986,19.5260883, 0.2747437
Epoch: 127, 0.000052,0.0025787,19.8677702,20.4963976, 0.2749160
Epoch: 128, 0.000052,0.0024161,20.1558373,20.4724687, 0.2747282
Epoch: 129, 0.000052,0.0024364,19.5634196,20.0278368, 0.2748369
Epoch: 130, 0.000052,0.0024007,19.3973564,19.7130788, 0.2744411
Epoch: 131, 0.000052,0.0023535,19.2024613,19.8076786, 0.2745509
Epoch: 132, LR: 0.000052, Loss: 0.0024568, Validation MAE: 18.8144816, Test MAE: 19.5246035, Cov: 0.2748242
Epoch: 133, 0.000052,0.0022815,19.5255909,20.0987561, 0.2745125
Epoch: 134, 0.000052,0.0023203,18.8272366,19.3585383, 0.2743646
Epoch: 135, 0.000052,0.0022880,18.8446075,19.5655105, 0.2744817
Epoch: 136, 0.000052,0.0022746,18.9977393,19.4854943, 0.2745475
Epoch: 137, 0.000052,0.0022399,18.9403866,19.3736841, 0.2746362
Epoch: 138, 0.000052,0.0022474,19.5533794,19.9377229, 0.2742906
Epoch: 139, LR: 0.000052, Loss: 0.0022216, Validation MAE: 18.6819546, Test MAE: 19.1854780, Cov: 0.2745627
Epoch: 140, 0.000052,0.0022108,19.2671432,19.7057884, 0.2743372
Epoch: 141, 0.000052,0.0022725,19.7397591,20.1561149, 0.2745597
Epoch: 142, 0.000052,0.0022543,19.3802920,19.9216409, 0.2740558
Epoch: 143, 0.000052,0.0021492,18.7953534,19.3073111, 0.2743975
Epoch: 144, 0.000052,0.0021509,19.8284454,20.2323489, 0.2742507
Epoch: 145, 0.000052,0.0021765,19.5625493,19.9910810, 0.2738265
Epoch: 146, 0.000052,0.0020807,20.0624516,20.4976467, 0.2743656
Epoch: 147, 0.000052,0.0021435,18.9677116,19.2175464, 0.2740523
Epoch: 148, 0.000052,0.0021188,21.0583134,21.2582991, 0.2744147
Epoch: 149, 0.000052,0.0020486,19.0895531,19.6390225, 0.2741914
Epoch: 150, 0.000052,0.0021516,18.8810234,19.3001744, 0.2741140
Epoch: 151, 0.000044,0.0017683,18.7000610,19.0565475, 0.2740069
Epoch: 152, 0.000044,0.0017362,18.6868396,19.0506034, 0.2740864
Epoch: 153, LR: 0.000044, Loss: 0.0017756, Validation MAE: 18.3772939, Test MAE: 18.8387887, Cov: 0.2743299
Epoch: 154, 0.000044,0.0017663,19.4567946,19.9111558, 0.2742305
Epoch: 155, LR: 0.000044, Loss: 0.0018091, Validation MAE: 18.3259788, Test MAE: 18.8371310, Cov: 0.2740983
Epoch: 156, 0.000044,0.0017033,19.2837442,19.6680926, 0.2744152
Epoch: 157, 0.000044,0.0017960,18.4138945,19.0087569, 0.2744335
Epoch: 158, 0.000044,0.0016734,18.7140796,19.1662843, 0.2744600
Epoch: 159, 0.000044,0.0016773,18.8116576,19.4374865, 0.2738183
Epoch: 160, 0.000044,0.0016951,18.3310312,18.8548792, 0.2740057
Epoch: 161, 0.000044,0.0016867,18.3629263,18.9226719, 0.2742329
Epoch: 162, 0.000044,0.0016753,18.9269944,19.2587527, 0.2736901
Epoch: 163, 0.000044,0.0016769,19.3326710,19.5493574, 0.2740648
Epoch: 164, 0.000044,0.0016177,21.2821456,21.4545142, 0.2742243
Epoch: 165, 0.000044,0.0016472,18.8065826,19.0736058, 0.2743533
Epoch: 166, 0.000044,0.0016343,18.7490304,19.2767870, 0.2741153
Epoch: 167, 0.000044,0.0015930,19.3080533,19.7484035, 0.2743466
Epoch: 168, 0.000044,0.0016523,19.0492842,19.5214048, 0.2744659
Epoch: 169, 0.000044,0.0016247,18.3537997,18.8066825, 0.2740699
Epoch: 170, 0.000044,0.0016150,19.4683172,19.8169757, 0.2741190
Epoch: 171, LR: 0.000044, Loss: 0.0016392, Validation MAE: 18.1457300, Test MAE: 18.6023303, Cov: 0.2743147
Epoch: 172, 0.000044,0.0015577,18.5049987,18.8929073, 0.2743280
Epoch: 173, 0.000044,0.0015836,18.9856528,19.5359130, 0.2742003
Epoch: 174, 0.000044,0.0016005,22.2704649,22.4577726, 0.2743724
Epoch: 175, 0.000044,0.0016191,19.0935378,19.5071879, 0.2743449
Epoch: 176, 0.000044,0.0015408,18.3086188,18.8271632, 0.2746909
Epoch: 177, 0.000044,0.0015262,18.6494404,18.9450183, 0.2744468
Epoch: 178, 0.000044,0.0015493,18.1938994,18.7107534, 0.2748940
Epoch: 179, 0.000044,0.0016196,18.6377091,18.9985525, 0.2747761
Epoch: 180, 0.000044,0.0016262,18.9290876,19.2255008, 0.2747477
Epoch: 181, 0.000038,0.0013323,20.0155882,20.3813619, 0.2754002
Epoch: 182, 0.000038,0.0013495,18.3501097,18.8005509, 0.2754831
Epoch: 183, 0.000038,0.0012864,18.2194382,18.6852982, 0.2754797
Epoch: 184, 0.000038,0.0014726,19.7707678,20.0563644, 0.2766796
Epoch: 185, 0.000038,0.0013069,18.3336418,18.6681909, 0.2774032
Epoch: 186, 0.000038,0.0013717,18.2727996,18.7181266, 0.2768691
Epoch: 187, 0.000038,0.0013312,19.8296073,20.4012329, 0.2762151
Epoch: 188, LR: 0.000038, Loss: 0.0012591, Validation MAE: 18.1027854, Test MAE: 18.5003544, Cov: 0.2759334
Epoch: 189, LR: 0.000038, Loss: 0.0014839, Validation MAE: 18.0300406, Test MAE: 18.5228178, Cov: 0.2764396
Epoch: 190, 0.000038,0.0012745,18.8338483,19.3275413, 0.2771160
Epoch: 191, LR: 0.000038, Loss: 0.0012929, Validation MAE: 18.0249587, Test MAE: 18.4911955, Cov: 0.2766675
Epoch: 192, 0.000038,0.0013386,18.1267096,18.4605540, 0.2764424
Epoch: 193, 0.000038,0.0012196,18.0569387,18.4517740, 0.2761166
Epoch: 194, 0.000038,0.0013692,18.4934000,19.1366827, 0.2765473
Epoch: 195, 0.000038,0.0012269,18.1084558,18.5640993, 0.2767615
Epoch: 196, 0.000038,0.0013163,18.0604086,18.5896819, 0.2764836
Epoch: 197, LR: 0.000038, Loss: 0.0014843, Validation MAE: 17.9781349, Test MAE: 18.3601654, Cov: 0.2770688
Epoch: 198, 0.000038,0.0012318,20.2869436,21.0268421, 0.2776269
Epoch: 199, 0.000038,0.0012319,19.3469866,19.7207249, 0.2766827
Epoch: 200, LR: 0.000038, Loss: 0.0012933, Validation MAE: 17.9442309, Test MAE: 18.4570105, Cov: 0.2778855
Epoch: 201, 0.000038,0.0012260,18.1397320,18.5930516, 0.2772923
Epoch: 202, 0.000038,0.0012059,19.7917975,20.4516710, 0.2770046
Epoch: 203, 0.000038,0.0013615,20.1136939,20.4332842, 0.2771375
Epoch: 204, 0.000038,0.0013421,18.2549592,18.6540413, 0.2770687
Epoch: 205, 0.000038,0.0011345,18.0244825,18.4321433, 0.2765373
Epoch: 206, 0.000038,0.0013360,18.1159469,18.6187013, 0.2771181
Epoch: 207, 0.000038,0.0012222,18.1539699,18.6252739, 0.2778586
Epoch: 208, 0.000038,0.0011486,18.4144904,18.9367633, 0.2771304
Epoch: 209, 0.000038,0.0014261,18.0391733,18.4191247, 0.2778324
Epoch: 210, LR: 0.000038, Loss: 0.0012511, Validation MAE: 17.8768888, Test MAE: 18.3938171, Cov: 0.2778176
