{'dataset_name': 'QM9', 'target': 5, 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'LTC2', 'variants': {'BN': 'N'}}, 'commit_id': 'cbd1be5a8794955c6a3e958d33aa0c64c7474e1f', 'time_stamp': '1609994312', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_5, 1609994312_cbd1be5_LTC2_add_cat_4_256_N_0.0001_30_0.85_B64_S777, ID=cbd1be5a8794955c6a3e958d33aa0c64c7474e1f
Epoch: 001, LR: 0.000100, Loss: 1.6357647, Validation MAE: 75.0728682, Test MAE: 73.8841568, Cov: 1.3068031
Epoch: 002, LR: 0.000100, Loss: 0.3582919, Validation MAE: 60.7065628, Test MAE: 60.0715792, Cov: 0.2201104
Epoch: 003, 0.000100,0.1798263,66.3674153,65.9498820, 0.0715578
Epoch: 004, LR: 0.000100, Loss: 0.1098195, Validation MAE: 53.1360558, Test MAE: 52.2502449, Cov: 0.0226135
Epoch: 005, LR: 0.000100, Loss: 0.0947548, Validation MAE: 49.7388534, Test MAE: 49.3897213, Cov: 0.0188684
Epoch: 006, LR: 0.000100, Loss: 0.0620105, Validation MAE: 40.6397739, Test MAE: 40.2428192, Cov: 0.0003462
Epoch: 007, 0.000100,0.0562098,60.0860729,59.4524956, 0.0003498
Epoch: 008, 0.000100,0.0505267,44.5337775,44.7658423, 0.0003500
Epoch: 009, LR: 0.000100, Loss: 0.0470859, Validation MAE: 39.0193100, Test MAE: 38.9859477, Cov: 0.0002963
Epoch: 010, LR: 0.000100, Loss: 0.0450621, Validation MAE: 36.1514056, Test MAE: 35.7408430, Cov: 0.0002694
Epoch: 011, LR: 0.000100, Loss: 0.0409708, Validation MAE: 35.5649210, Test MAE: 35.2882437, Cov: 0.0001919
Epoch: 012, 0.000100,0.0385213,84.8960215,84.3896527, 0.0001166
Epoch: 013, 0.000100,0.0367009,39.5161628,39.5789594, 0.0001755
Epoch: 014, 0.000100,0.0337331,40.3054866,40.1557224, 0.0000877
Epoch: 015, 0.000100,0.0358534,48.3356632,48.6694487, 0.0004100
Epoch: 016, LR: 0.000100, Loss: 0.0310041, Validation MAE: 32.9670117, Test MAE: 32.9620563, Cov: 0.0000838
Epoch: 017, LR: 0.000100, Loss: 0.0312690, Validation MAE: 30.4105770, Test MAE: 30.8619419, Cov: 0.0001029
Epoch: 018, 0.000100,0.0296222,36.7486238,37.0606884, 0.0000991
Epoch: 019, 0.000100,0.0278881,34.7355851,35.1522653, 0.0000594
Epoch: 020, LR: 0.000100, Loss: 0.0272323, Validation MAE: 28.9627686, Test MAE: 29.2504011, Cov: 0.0001209
Epoch: 021, 0.000100,0.0261969,29.0271677,29.4066574, 0.0000660
Epoch: 022, 0.000100,0.0260478,29.9087971,30.0788812, 0.0002673
Epoch: 023, LR: 0.000100, Loss: 0.0231947, Validation MAE: 27.9219375, Test MAE: 28.1368356, Cov: 0.0000243
