{'dataset_name': 'QM9', 'target': 5, 'seed': 777, 'cov_weight': 0, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.001, 'step_size': 30, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'e4', 'variants': {'BN': 'Y'}}, 'commit_id': '7be84444924aa0af182faa55b5e00df5d6b4a8d3', 'time_stamp': '1610156430', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_5, 1610156430_7be8444_e4_add_cat_4_256_Y_0.001_30_0.75_B64_S777_C0, ID=7be84444924aa0af182faa55b5e00df5d6b4a8d3
Epoch: 001, LR: 0.001000, Loss: 0.3877086, Validation MAE: 79.5737487, Test MAE: 79.4821688, Cov: 112.6875381
Epoch: 002, LR: 0.001000, Loss: 0.1512633, Validation MAE: 69.4202783, Test MAE: 68.7163105, Cov: 418.9550476
Epoch: 003, LR: 0.001000, Loss: 0.1000092, Validation MAE: 52.6874586, Test MAE: 52.1027726, Cov: 850.1503296
Epoch: 004, 0.001000,0.0911500,77.8274059,76.8396791, 1771.8099365
Epoch: 005, LR: 0.001000, Loss: 0.0761473, Validation MAE: 42.8587799, Test MAE: 42.7366940, Cov: 2918.8444824
Epoch: 006, 0.001000,0.0720527,60.5245650,59.3677881, 4978.6977539
Epoch: 007, LR: 0.001000, Loss: 0.0678624, Validation MAE: 42.8333630, Test MAE: 42.1527314, Cov: 7292.6728516
Epoch: 008, 0.001000,0.0620730,45.8959649,44.9060138, 10138.1787109
Epoch: 009, 0.001000,0.0579266,47.1504540,46.7390235, 15459.2539062
Epoch: 010, LR: 0.001000, Loss: 0.0566375, Validation MAE: 41.6995868, Test MAE: 41.4100106, Cov: 22016.6445312
Epoch: 011, LR: 0.001000, Loss: 0.0552774, Validation MAE: 40.4088125, Test MAE: 40.3844258, Cov: 42012.4414062
Epoch: 012, LR: 0.001000, Loss: 0.0478161, Validation MAE: 36.0133214, Test MAE: 35.6259316, Cov: 50172.5117188
Epoch: 013, 0.001000,0.0465783,37.2156638,36.7724826, 51804.0625000
Epoch: 014, 0.001000,0.0454878,52.1852102,51.4261138, 60064.5000000
Epoch: 015, 0.001000,0.0428779,38.6502171,38.2819641, 78556.7187500
Epoch: 016, LR: 0.001000, Loss: 0.0410941, Validation MAE: 35.5300017, Test MAE: 35.6931081, Cov: 86820.5000000
Epoch: 017, LR: 0.001000, Loss: 0.0407815, Validation MAE: 33.1870897, Test MAE: 33.0892613, Cov: 116976.5078125
Epoch: 018, 0.001000,0.0378892,45.8669216,46.0810304, 138373.3437500
Epoch: 019, 0.001000,0.0381861,37.6213580,37.2049715, 145671.4218750
Epoch: 020, 0.001000,0.0356757,40.4558243,40.9238560, 142646.9687500
Epoch: 021, LR: 0.001000, Loss: 0.0351347, Validation MAE: 33.0738148, Test MAE: 33.2680155, Cov: 159109.1875000
Epoch: 022, LR: 0.001000, Loss: 0.0359410, Validation MAE: 31.9883617, Test MAE: 32.1468678, Cov: 160752.9375000
Epoch: 023, 0.001000,0.0339381,49.6319771,50.2673406, 188854.4687500
Epoch: 024, LR: 0.001000, Loss: 0.0329756, Validation MAE: 31.1053983, Test MAE: 30.9557405, Cov: 220304.7343750
Epoch: 025, 0.001000,0.0322953,37.3239162,37.2842040, 234939.1562500
Epoch: 026, 0.001000,0.0318005,37.6777101,37.5494955, 250725.9062500
Epoch: 027, LR: 0.001000, Loss: 0.0315708, Validation MAE: 30.0883370, Test MAE: 29.9090170, Cov: 255266.1718750
Epoch: 028, 0.001000,0.0308152,30.4584127,30.9127470, 254065.0625000
Epoch: 029, LR: 0.001000, Loss: 0.0296357, Validation MAE: 28.0996550, Test MAE: 28.4700970, Cov: 267603.3750000
Epoch: 030, LR: 0.001000, Loss: 0.0292524, Validation MAE: 27.4481494, Test MAE: 27.7346857, Cov: 281974.5000000
Epoch: 031, 0.000750,0.0250584,27.8301569,28.1359234, 297393.6875000
Epoch: 032, 0.000750,0.0241338,29.6186019,30.1684247, 305718.0625000
Epoch: 033, LR: 0.000750, Loss: 0.0246809, Validation MAE: 26.7407222, Test MAE: 27.6717929, Cov: 312933.5937500
Epoch: 034, LR: 0.000750, Loss: 0.0238313, Validation MAE: 26.0672441, Test MAE: 26.4055378, Cov: 293224.9062500
Epoch: 035, LR: 0.000750, Loss: 0.0223925, Validation MAE: 24.9542808, Test MAE: 25.5722603, Cov: 299585.9375000
Epoch: 036, 0.000750,0.0228632,25.5408342,25.7540622, 280095.9062500
Epoch: 037, 0.000750,0.0223194,28.4612518,28.9602527, 294855.6250000
Epoch: 038, 0.000750,0.0219803,27.5257379,27.8235709, 301893.2187500
Epoch: 039, 0.000750,0.0219779,33.9959658,33.9336334, 305473.3750000
Epoch: 040, LR: 0.000750, Loss: 0.0210160, Validation MAE: 24.0077632, Test MAE: 24.6028931, Cov: 303263.7187500
Epoch: 041, 0.000750,0.0211181,24.3890641,24.7097309, 329499.6562500
Epoch: 042, 0.000750,0.0210603,24.3621664,24.9782188, 339774.1875000
Epoch: 043, 0.000750,0.0205156,28.5804032,28.8111640, 341059.1250000
Epoch: 044, 0.000750,0.0201285,29.7157635,30.6601638, 316739.0000000
Epoch: 045, 0.000750,0.0201725,24.7877040,25.3483104, 330548.1875000
Epoch: 046, 0.000750,0.0197147,26.0908492,26.4229194, 339210.0000000
Epoch: 047, 0.000750,0.0197907,26.7612135,26.8158972, 366523.9375000
Epoch: 048, 0.000750,0.0188325,24.5332024,25.3480695, 354106.2187500
Epoch: 049, 0.000750,0.0189826,31.3313999,31.9408453, 384697.2812500
Epoch: 050, 0.000750,0.0195997,25.9443762,26.5594667, 401405.5937500
Epoch: 051, 0.000750,0.0183057,26.5273091,27.3493560, 422516.9062500
Epoch: 052, 0.000750,0.0191510,27.3705305,27.9287169, 422392.0312500
Epoch: 053, 0.000750,0.0178610,26.6049607,27.1106710, 401245.5937500
Epoch: 054, LR: 0.000750, Loss: 0.0175781, Validation MAE: 23.9329974, Test MAE: 24.5605087, Cov: 404801.4687500
Epoch: 055, 0.000750,0.0177614,24.5133704,25.2038705, 395065.5625000
Epoch: 056, 0.000750,0.0176304,25.1872117,25.8166820, 424349.1250000
Epoch: 057, LR: 0.000750, Loss: 0.0169247, Validation MAE: 21.8215557, Test MAE: 22.5368240, Cov: 429877.2812500
Epoch: 058, 0.000750,0.0168113,23.4412545,23.9990094, 459698.5312500
Epoch: 059, 0.000750,0.0168096,23.3603070,24.0183875, 424258.4062500
Epoch: 060, 0.000750,0.0167542,33.0581090,33.0836779, 453030.5937500
Epoch: 061, LR: 0.000563, Loss: 0.0146128, Validation MAE: 21.5801301, Test MAE: 22.4784609, Cov: 442869.6875000
Epoch: 062, 0.000563,0.0141009,26.1837094,26.9027989, 456876.4687500
Epoch: 063, 0.000563,0.0138274,22.0693629,22.9922376, 453013.0625000
Epoch: 064, LR: 0.000563, Loss: 0.0136355, Validation MAE: 21.4040173, Test MAE: 22.3074622, Cov: 453821.9375000
