{'dataset_name': 'QM9', 'seed': 777, 'target': 2, 'cov_weight': 0.01, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'penalty', 'exps': 1, 'leak': 0.2, 'aggr': 'add'}, 'commit_id': '8e7c25afed5fbf2e507f30af7cd2f0afe6025ff3', 'time_stamp': '1612364625', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_2, 1612364625_8e7c25a_penalty_add_cat_4_256_0.0001_30_0.85_B64_S777_C0.01, ID=8e7c25afed5fbf2e507f30af7cd2f0afe6025ff3
Epoch: 001, LR: 0.000100, Loss: 0.3414657, Validation MAE: 0.0076589, Test MAE: 0.0076277, Cov: 4.8156438
Epoch: 002, 0.000100,0.2457618,0.0079955,0.0080235, 4.8181610
Epoch: 003, 0.000100,0.2139605,0.0081788,0.0081882, 4.7634001
Epoch: 004, LR: 0.000100, Loss: 0.1939446, Validation MAE: 0.0062220, Test MAE: 0.0062623, Cov: 4.6747007
Epoch: 005, LR: 0.000100, Loss: 0.1799010, Validation MAE: 0.0061042, Test MAE: 0.0061134, Cov: 4.5414343
Epoch: 006, 0.000100,0.1669283,0.0065037,0.0064839, 4.3626146
Epoch: 007, 0.000100,0.1564393,0.0068444,0.0069213, 4.1457849
Epoch: 008, 0.000100,0.1455306,0.0072832,0.0074653, 3.8777359
Epoch: 009, LR: 0.000100, Loss: 0.1361881, Validation MAE: 0.0053346, Test MAE: 0.0053435, Cov: 3.5447304
Epoch: 010, 0.000100,0.1272872,0.0064573,0.0065619, 3.1395650
Epoch: 011, 0.000100,0.1183056,0.0065910,0.0065636, 2.6840124
Epoch: 012, 0.000100,0.1101834,0.0068400,0.0069647, 2.1518881
Epoch: 013, 0.000100,0.1030938,0.0055879,0.0056723, 1.6111612
Epoch: 014, LR: 0.000100, Loss: 0.0926504, Validation MAE: 0.0048169, Test MAE: 0.0048728, Cov: 1.1229271
Epoch: 015, LR: 0.000100, Loss: 0.0877110, Validation MAE: 0.0046383, Test MAE: 0.0046954, Cov: 0.7483277
Epoch: 016, LR: 0.000100, Loss: 0.0817312, Validation MAE: 0.0046351, Test MAE: 0.0047308, Cov: 0.4984510
Epoch: 017, 0.000100,0.0776083,0.0048877,0.0049089, 0.3345154
Epoch: 018, 0.000100,0.0746014,0.0052027,0.0052870, 0.2343487
