{'dataset_name': 'COLLAB', 'num_workers': 1, 'hyperparams': {'batch_size': 32, 'epochs': 301, 'learning_rate': 0.0005, 'step_size': 10, 'decay_rate': 0.7}, 'architecture': {'layers': 3, 'hidden': 200, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'GIN', 'dropout': 0.5, 'variants': {'BN': 'N'}}, 'commit_id': '9c82d98405370127a3f5465c3b0f11a933b0e688', 'time_stamp': '1605534739', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=9c82d98405370127a3f5465c3b0f11a933b0e688
Epoch: 001, Train Loss: 183.7181090, Train Acc: 0.7295556, Test Acc: 0.7060000
Epoch: 002, Train Loss: 1.0664133, Train Acc: 0.7497778, Test Acc: 0.7860000
Epoch: 003, Train Loss: 0.6613157, Train Acc: 0.7484444, Test Acc: 0.7480000
Epoch: 004, Train Loss: 0.5758921, Train Acc: 0.7706667, Test Acc: 0.7540000
Epoch: 005, Train Loss: 0.6116835, Train Acc: 0.7486667, Test Acc: 0.7600000
Epoch: 006, Train Loss: 0.5573934, Train Acc: 0.7591111, Test Acc: 0.7640000
Epoch: 007, Train Loss: 0.5357024, Train Acc: 0.7808889, Test Acc: 0.7780000
Epoch: 008, Train Loss: 0.5097234, Train Acc: 0.7806667, Test Acc: 0.7760000
Epoch: 009, Train Loss: 0.5141689, Train Acc: 0.7673333, Test Acc: 0.7600000
Epoch: 010, Train Loss: 0.5024621, Train Acc: 0.7942222, Test Acc: 0.7900000
Epoch: 011, Train Loss: 0.4782847, Train Acc: 0.8008889, Test Acc: 0.7740000
Epoch: 012, Train Loss: 0.4699068, Train Acc: 0.8033333, Test Acc: 0.7980000
Epoch: 013, Train Loss: 0.4560524, Train Acc: 0.7935556, Test Acc: 0.7620000
Epoch: 014, Train Loss: 0.4449574, Train Acc: 0.8000000, Test Acc: 0.7720000
Epoch: 015, Train Loss: 0.4540148, Train Acc: 0.8086667, Test Acc: 0.7760000
Epoch: 016, Train Loss: 0.9282379, Train Acc: 0.7426667, Test Acc: 0.7460000
Epoch: 017, Train Loss: 0.5476324, Train Acc: 0.7855556, Test Acc: 0.7740000
Epoch: 018, Train Loss: 0.4884812, Train Acc: 0.7871111, Test Acc: 0.7700000
Epoch: 019, Train Loss: 0.4672334, Train Acc: 0.8020000, Test Acc: 0.7860000
Epoch: 020, Train Loss: 0.6554283, Train Acc: 0.7840000, Test Acc: 0.7840000
Epoch: 021, Train Loss: 0.4708725, Train Acc: 0.7973333, Test Acc: 0.7920000
Epoch: 022, Train Loss: 0.4548710, Train Acc: 0.8015556, Test Acc: 0.7860000
Epoch: 023, Train Loss: 0.4426110, Train Acc: 0.8164444, Test Acc: 0.8000000
Epoch: 024, Train Loss: 0.4275306, Train Acc: 0.8020000, Test Acc: 0.8040000
Epoch: 025, Train Loss: 0.4252280, Train Acc: 0.8108889, Test Acc: 0.7900000
Epoch: 026, Train Loss: 0.4149484, Train Acc: 0.8082222, Test Acc: 0.8000000
Epoch: 027, Train Loss: 0.4063190, Train Acc: 0.8180000, Test Acc: 0.7860000
Epoch: 028, Train Loss: 0.4017011, Train Acc: 0.8242222, Test Acc: 0.8080000
Epoch: 029, Train Loss: 0.3908652, Train Acc: 0.8406667, Test Acc: 0.8040000
Epoch: 030, Train Loss: 0.3874231, Train Acc: 0.8377778, Test Acc: 0.7980000
Epoch: 031, Train Loss: 0.3617683, Train Acc: 0.8493333, Test Acc: 0.8240000
Epoch: 032, Train Loss: 0.3591913, Train Acc: 0.8444444, Test Acc: 0.8100000
Epoch: 033, Train Loss: 0.3504227, Train Acc: 0.8617778, Test Acc: 0.8160000
Epoch: 034, Train Loss: 0.3499111, Train Acc: 0.8624444, Test Acc: 0.8180000
Epoch: 035, Train Loss: 0.3456268, Train Acc: 0.8686667, Test Acc: 0.8300000
Epoch: 036, Train Loss: 0.3369668, Train Acc: 0.8666667, Test Acc: 0.8120000
Epoch: 037, Train Loss: 0.3479564, Train Acc: 0.8748889, Test Acc: 0.8100000
Epoch: 038, Train Loss: 0.3355912, Train Acc: 0.8688889, Test Acc: 0.8180000
Epoch: 039, Train Loss: 0.3126673, Train Acc: 0.8631111, Test Acc: 0.8080000
Epoch: 040, Train Loss: 0.3253998, Train Acc: 0.8722222, Test Acc: 0.8160000
Epoch: 041, Train Loss: 0.3006738, Train Acc: 0.8815556, Test Acc: 0.8160000
Epoch: 042, Train Loss: 0.2982179, Train Acc: 0.8822222, Test Acc: 0.8140000
Epoch: 043, Train Loss: 0.2942630, Train Acc: 0.8797778, Test Acc: 0.8400000
Epoch: 044, Train Loss: 0.2853435, Train Acc: 0.8800000, Test Acc: 0.8160000
Epoch: 045, Train Loss: 0.2824622, Train Acc: 0.8842222, Test Acc: 0.8100000
Epoch: 046, Train Loss: 0.2829331, Train Acc: 0.8842222, Test Acc: 0.8160000
Epoch: 047, Train Loss: 0.2719514, Train Acc: 0.8966667, Test Acc: 0.8140000
Epoch: 048, Train Loss: 0.2672063, Train Acc: 0.8913333, Test Acc: 0.8240000
Epoch: 049, Train Loss: 0.4803044, Train Acc: 0.8295556, Test Acc: 0.7680000
Epoch: 050, Train Loss: 0.3385277, Train Acc: 0.8913333, Test Acc: 0.8100000
Epoch: 051, Train Loss: 0.2616603, Train Acc: 0.8951111, Test Acc: 0.8160000
Epoch: 052, Train Loss: 0.2513976, Train Acc: 0.9044444, Test Acc: 0.8080000
Epoch: 053, Train Loss: 0.2379363, Train Acc: 0.9073333, Test Acc: 0.8200000
Epoch: 054, Train Loss: 0.2470688, Train Acc: 0.9066667, Test Acc: 0.8120000
Epoch: 055, Train Loss: 0.2339540, Train Acc: 0.8935556, Test Acc: 0.8060000
Epoch: 056, Train Loss: 0.2680126, Train Acc: 0.9091111, Test Acc: 0.8160000
Epoch: 057, Train Loss: 0.2445839, Train Acc: 0.9088889, Test Acc: 0.8180000
Epoch: 058, Train Loss: 0.2254254, Train Acc: 0.9140000, Test Acc: 0.8060000
Epoch: 059, Train Loss: 0.2307873, Train Acc: 0.9082222, Test Acc: 0.8000000
Epoch: 060, Train Loss: 0.2461698, Train Acc: 0.9046667, Test Acc: 0.8100000
Epoch: 061, Train Loss: 0.2121646, Train Acc: 0.9168889, Test Acc: 0.8040000
Epoch: 062, Train Loss: 0.2073427, Train Acc: 0.9235556, Test Acc: 0.8040000
