{'dataset_name': 'COLLAB', 'num_workers': 1, 'hyperparams': {'batch_size': 32, 'epochs': 301, 'learning_rate': 0.0005, 'step_size': 20, 'decay_rate': 0.7}, 'architecture': {'layers': 3, 'hidden': 200, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'EB1', 'dropout': 0.5, 'variants': {'BN': 'Y'}}, 'commit_id': '969a403a1623c9d32069268663d218e81dc00479', 'time_stamp': '1605537013', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=969a403a1623c9d32069268663d218e81dc00479
Epoch: 001, Train Loss: 3.2985116, Train Acc: 0.6275556, Test Acc: 0.6520000
Epoch: 002, Train Loss: 1.4945623, Train Acc: 0.6802222, Test Acc: 0.7100000
Epoch: 003, Train Loss: 1.8660209, Train Acc: 0.6400000, Test Acc: 0.6680000
Epoch: 004, Train Loss: 1.8241339, Train Acc: 0.6742222, Test Acc: 0.7240000
Epoch: 005, Train Loss: 1.0910022, Train Acc: 0.6331111, Test Acc: 0.6560000
Epoch: 006, Train Loss: 1.3885279, Train Acc: 0.6506667, Test Acc: 0.6980000
Epoch: 007, Train Loss: 1.0224757, Train Acc: 0.6648889, Test Acc: 0.6900000
Epoch: 008, Train Loss: 0.8285577, Train Acc: 0.6566667, Test Acc: 0.6820000
Epoch: 009, Train Loss: 0.8687355, Train Acc: 0.6075556, Test Acc: 0.6400000
Epoch: 010, Train Loss: 0.7663810, Train Acc: 0.6624444, Test Acc: 0.6900000
Epoch: 011, Train Loss: 0.7366991, Train Acc: 0.6746667, Test Acc: 0.6940000
Epoch: 012, Train Loss: 1.9632448, Train Acc: 0.6700000, Test Acc: 0.7020000
Epoch: 013, Train Loss: 0.9229064, Train Acc: 0.6868889, Test Acc: 0.7100000
Epoch: 014, Train Loss: 0.7227612, Train Acc: 0.7093333, Test Acc: 0.7380000
Epoch: 015, Train Loss: 0.7628461, Train Acc: 0.6991111, Test Acc: 0.7120000
Epoch: 016, Train Loss: 0.7310029, Train Acc: 0.7131111, Test Acc: 0.7240000
Epoch: 017, Train Loss: 0.9437752, Train Acc: 0.7051111, Test Acc: 0.7320000
Epoch: 018, Train Loss: 0.6717147, Train Acc: 0.6853333, Test Acc: 0.7040000
Epoch: 019, Train Loss: 0.6571409, Train Acc: 0.6980000, Test Acc: 0.7200000
Epoch: 020, Train Loss: 0.6802632, Train Acc: 0.7002222, Test Acc: 0.7220000
Epoch: 021, Train Loss: 0.6226788, Train Acc: 0.7453333, Test Acc: 0.7580000
Epoch: 022, Train Loss: 0.7301482, Train Acc: 0.7268889, Test Acc: 0.7620000
Epoch: 023, Train Loss: 0.6227562, Train Acc: 0.7375556, Test Acc: 0.7560000
Epoch: 024, Train Loss: 0.6063388, Train Acc: 0.7491111, Test Acc: 0.7840000
Epoch: 025, Train Loss: 0.7220835, Train Acc: 0.7253333, Test Acc: 0.7600000
Epoch: 026, Train Loss: 0.6293439, Train Acc: 0.7404444, Test Acc: 0.7720000
Epoch: 027, Train Loss: 0.5978132, Train Acc: 0.7391111, Test Acc: 0.7680000
Epoch: 028, Train Loss: 0.5878597, Train Acc: 0.7346667, Test Acc: 0.7500000
Epoch: 029, Train Loss: 0.6355668, Train Acc: 0.7322222, Test Acc: 0.7680000
Epoch: 030, Train Loss: 0.5895028, Train Acc: 0.7380000, Test Acc: 0.7740000
Epoch: 031, Train Loss: 0.5705815, Train Acc: 0.7493333, Test Acc: 0.7640000
Epoch: 032, Train Loss: 0.6089598, Train Acc: 0.7068889, Test Acc: 0.7380000
Epoch: 033, Train Loss: 0.6403010, Train Acc: 0.7555556, Test Acc: 0.7920000
Epoch: 034, Train Loss: 0.6032837, Train Acc: 0.7506667, Test Acc: 0.7800000
Epoch: 035, Train Loss: 0.5890092, Train Acc: 0.7640000, Test Acc: 0.8020000
Epoch: 036, Train Loss: 0.5778151, Train Acc: 0.7700000, Test Acc: 0.7860000
Epoch: 037, Train Loss: 0.5615319, Train Acc: 0.7746667, Test Acc: 0.7980000
Epoch: 038, Train Loss: 0.5509120, Train Acc: 0.7464444, Test Acc: 0.7820000
Epoch: 039, Train Loss: 0.5609262, Train Acc: 0.7444444, Test Acc: 0.7660000
Epoch: 040, Train Loss: 0.5436078, Train Acc: 0.7697778, Test Acc: 0.7720000
Epoch: 041, Train Loss: 0.5239089, Train Acc: 0.7724444, Test Acc: 0.8020000
Epoch: 042, Train Loss: 0.5247245, Train Acc: 0.7737778, Test Acc: 0.7920000
Epoch: 043, Train Loss: 0.5335508, Train Acc: 0.7508889, Test Acc: 0.7600000
Epoch: 044, Train Loss: 0.5242657, Train Acc: 0.7748889, Test Acc: 0.8020000
Epoch: 045, Train Loss: 0.5524842, Train Acc: 0.7511111, Test Acc: 0.7780000
Epoch: 046, Train Loss: 0.5395043, Train Acc: 0.7828889, Test Acc: 0.7880000
Epoch: 047, Train Loss: 0.5243383, Train Acc: 0.7824444, Test Acc: 0.8000000
Epoch: 048, Train Loss: 0.5447622, Train Acc: 0.7760000, Test Acc: 0.8020000
Epoch: 049, Train Loss: 0.6098854, Train Acc: 0.7715556, Test Acc: 0.7860000
Epoch: 050, Train Loss: 0.5280629, Train Acc: 0.7822222, Test Acc: 0.8000000
Epoch: 051, Train Loss: 0.5085991, Train Acc: 0.7817778, Test Acc: 0.8020000
Epoch: 052, Train Loss: 0.5207988, Train Acc: 0.7855556, Test Acc: 0.8020000
Epoch: 053, Train Loss: 0.5126740, Train Acc: 0.7820000, Test Acc: 0.8040000
Epoch: 054, Train Loss: 0.5333955, Train Acc: 0.7724444, Test Acc: 0.7860000
Epoch: 055, Train Loss: 0.5746383, Train Acc: 0.7664444, Test Acc: 0.7800000
Epoch: 056, Train Loss: 0.5472462, Train Acc: 0.7571111, Test Acc: 0.7580000
Epoch: 057, Train Loss: 0.5261684, Train Acc: 0.7620000, Test Acc: 0.7740000
Epoch: 058, Train Loss: 0.5141098, Train Acc: 0.7822222, Test Acc: 0.8120000
Epoch: 059, Train Loss: 0.5217731, Train Acc: 0.7826667, Test Acc: 0.8000000
Epoch: 060, Train Loss: 0.5195192, Train Acc: 0.7820000, Test Acc: 0.7960000
Epoch: 061, Train Loss: 0.4977457, Train Acc: 0.7866667, Test Acc: 0.7900000
Epoch: 062, Train Loss: 0.5179397, Train Acc: 0.7824444, Test Acc: 0.7880000
Epoch: 063, Train Loss: 0.4996355, Train Acc: 0.7571111, Test Acc: 0.7700000
Epoch: 064, Train Loss: 0.4954326, Train Acc: 0.7731111, Test Acc: 0.7740000
Epoch: 065, Train Loss: 0.4869053, Train Acc: 0.7802222, Test Acc: 0.7840000
Epoch: 066, Train Loss: 0.4898489, Train Acc: 0.7857778, Test Acc: 0.8120000
Epoch: 067, Train Loss: 0.4946490, Train Acc: 0.7862222, Test Acc: 0.7920000
Epoch: 068, Train Loss: 0.4944598, Train Acc: 0.7904444, Test Acc: 0.7880000
Epoch: 069, Train Loss: 0.4888521, Train Acc: 0.7855556, Test Acc: 0.7920000
Epoch: 070, Train Loss: 0.4819136, Train Acc: 0.8006667, Test Acc: 0.8200000
Epoch: 071, Train Loss: 0.4836562, Train Acc: 0.7797778, Test Acc: 0.7740000
Epoch: 072, Train Loss: 0.4948925, Train Acc: 0.7895556, Test Acc: 0.7940000
Epoch: 073, Train Loss: 0.4922969, Train Acc: 0.7786667, Test Acc: 0.7980000
Epoch: 074, Train Loss: 0.4960954, Train Acc: 0.7853333, Test Acc: 0.7920000
Epoch: 075, Train Loss: 0.4794951, Train Acc: 0.7828889, Test Acc: 0.7920000
Epoch: 076, Train Loss: 0.4842858, Train Acc: 0.7875556, Test Acc: 0.7860000
Epoch: 077, Train Loss: 0.4941033, Train Acc: 0.7931111, Test Acc: 0.8020000
Epoch: 078, Train Loss: 0.4923105, Train Acc: 0.7880000, Test Acc: 0.8020000
Epoch: 079, Train Loss: 0.4949668, Train Acc: 0.7906667, Test Acc: 0.7840000
Epoch: 080, Train Loss: 0.4731563, Train Acc: 0.7931111, Test Acc: 0.8000000
Epoch: 081, Train Loss: 0.4703081, Train Acc: 0.7940000, Test Acc: 0.8160000
Epoch: 082, Train Loss: 0.4808322, Train Acc: 0.7944444, Test Acc: 0.7880000
Epoch: 083, Train Loss: 0.4653791, Train Acc: 0.7920000, Test Acc: 0.7860000
Epoch: 084, Train Loss: 0.4657230, Train Acc: 0.7944444, Test Acc: 0.7960000
Epoch: 085, Train Loss: 0.4777260, Train Acc: 0.8000000, Test Acc: 0.7980000
Epoch: 086, Train Loss: 0.4578287, Train Acc: 0.8026667, Test Acc: 0.8160000
Epoch: 087, Train Loss: 0.4636228, Train Acc: 0.8062222, Test Acc: 0.8000000
Epoch: 088, Train Loss: 0.4714222, Train Acc: 0.7964444, Test Acc: 0.7860000
Epoch: 089, Train Loss: 0.4780486, Train Acc: 0.8051111, Test Acc: 0.8080000
Epoch: 090, Train Loss: 0.4765367, Train Acc: 0.8008889, Test Acc: 0.7960000
Epoch: 091, Train Loss: 0.4601000, Train Acc: 0.7964444, Test Acc: 0.7980000
Epoch: 092, Train Loss: 0.4655155, Train Acc: 0.7995556, Test Acc: 0.7820000
Epoch: 093, Train Loss: 0.4488600, Train Acc: 0.8004444, Test Acc: 0.8100000
Epoch: 094, Train Loss: 0.4566846, Train Acc: 0.8028889, Test Acc: 0.7980000
Epoch: 095, Train Loss: 0.4645520, Train Acc: 0.8120000, Test Acc: 0.7940000
Epoch: 096, Train Loss: 0.4456840, Train Acc: 0.8026667, Test Acc: 0.8160000
Epoch: 097, Train Loss: 0.4663922, Train Acc: 0.8071111, Test Acc: 0.8000000
Epoch: 098, Train Loss: 0.4541860, Train Acc: 0.8140000, Test Acc: 0.8000000
Epoch: 099, Train Loss: 0.4506373, Train Acc: 0.8068889, Test Acc: 0.7760000
Epoch: 100, Train Loss: 0.4464197, Train Acc: 0.8068889, Test Acc: 0.8040000
Epoch: 101, Train Loss: 0.4364650, Train Acc: 0.8146667, Test Acc: 0.7840000
Epoch: 102, Train Loss: 0.4364782, Train Acc: 0.8151111, Test Acc: 0.8040000
Epoch: 103, Train Loss: 0.4274492, Train Acc: 0.8162222, Test Acc: 0.7940000
Epoch: 104, Train Loss: 0.4334799, Train Acc: 0.8137778, Test Acc: 0.8060000
