{'dataset_name': 'COLLAB', 'num_workers': 1, 'hyperparams': {'batch_size': 32, 'epochs': 251, 'learning_rate': 0.001, 'step_size': 10, 'decay_rate': 0.7}, 'architecture': {'layers': 2, 'hidden': 200, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'EB3', 'dropout': 0.5, 'variants': {'BN': 'Y'}}, 'commit_id': 'efda6ee1554ad2be9484d12192aed638dc606cb0', 'time_stamp': '1605574605', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=efda6ee1554ad2be9484d12192aed638dc606cb0
Epoch: 001, Train Loss: 2.9255276, Train Acc: 0.6171111, Test Acc: 0.5980000
Epoch: 002, Train Loss: 1.1497560, Train Acc: 0.6784444, Test Acc: 0.6540000
Epoch: 003, Train Loss: 1.2008185, Train Acc: 0.6917778, Test Acc: 0.6740000
Epoch: 004, Train Loss: 0.9878313, Train Acc: 0.6691111, Test Acc: 0.6500000
Epoch: 005, Train Loss: 1.3610745, Train Acc: 0.6755556, Test Acc: 0.6760000
Epoch: 006, Train Loss: 0.6968934, Train Acc: 0.6955556, Test Acc: 0.6880000
Epoch: 007, Train Loss: 0.6551925, Train Acc: 0.7080000, Test Acc: 0.6860000
Epoch: 008, Train Loss: 0.6561612, Train Acc: 0.7044444, Test Acc: 0.6960000
Epoch: 009, Train Loss: 0.6317849, Train Acc: 0.7237778, Test Acc: 0.7120000
Epoch: 010, Train Loss: 0.7481005, Train Acc: 0.6931111, Test Acc: 0.6740000
Epoch: 011, Train Loss: 0.6333682, Train Acc: 0.7082222, Test Acc: 0.6960000
Epoch: 012, Train Loss: 0.5990285, Train Acc: 0.7017778, Test Acc: 0.6760000
Epoch: 013, Train Loss: 0.6260309, Train Acc: 0.7351111, Test Acc: 0.7320000
Epoch: 014, Train Loss: 0.6468430, Train Acc: 0.7328889, Test Acc: 0.7240000
Epoch: 015, Train Loss: 0.5943452, Train Acc: 0.7391111, Test Acc: 0.7220000
Epoch: 016, Train Loss: 0.6494891, Train Acc: 0.7457778, Test Acc: 0.7220000
Epoch: 017, Train Loss: 0.6181452, Train Acc: 0.7151111, Test Acc: 0.6940000
Epoch: 018, Train Loss: 0.6189705, Train Acc: 0.7531111, Test Acc: 0.7440000
Epoch: 019, Train Loss: 0.5835420, Train Acc: 0.7648889, Test Acc: 0.7600000
Epoch: 020, Train Loss: 0.5596391, Train Acc: 0.7566667, Test Acc: 0.7400000
Epoch: 021, Train Loss: 0.5568512, Train Acc: 0.7535556, Test Acc: 0.7480000
Epoch: 022, Train Loss: 0.5392110, Train Acc: 0.7397778, Test Acc: 0.7100000
Epoch: 023, Train Loss: 0.5416622, Train Acc: 0.7468889, Test Acc: 0.7360000
Epoch: 024, Train Loss: 0.5300805, Train Acc: 0.7511111, Test Acc: 0.7240000
Epoch: 025, Train Loss: 0.5620923, Train Acc: 0.7720000, Test Acc: 0.7460000
Epoch: 026, Train Loss: 0.5326362, Train Acc: 0.7713333, Test Acc: 0.7660000
Epoch: 027, Train Loss: 0.5331446, Train Acc: 0.7704444, Test Acc: 0.7700000
Epoch: 028, Train Loss: 0.5204868, Train Acc: 0.7660000, Test Acc: 0.7740000
Epoch: 029, Train Loss: 0.5563748, Train Acc: 0.7635556, Test Acc: 0.7480000
Epoch: 030, Train Loss: 0.5248877, Train Acc: 0.7744444, Test Acc: 0.7660000
Epoch: 031, Train Loss: 0.5002058, Train Acc: 0.7800000, Test Acc: 0.7680000
Epoch: 032, Train Loss: 0.4921850, Train Acc: 0.7804444, Test Acc: 0.7560000
Epoch: 033, Train Loss: 0.4868179, Train Acc: 0.7842222, Test Acc: 0.7580000
Epoch: 034, Train Loss: 0.4904537, Train Acc: 0.7855556, Test Acc: 0.7600000
Epoch: 035, Train Loss: 0.4920609, Train Acc: 0.7920000, Test Acc: 0.7760000
Epoch: 036, Train Loss: 0.4793870, Train Acc: 0.7900000, Test Acc: 0.7680000
Epoch: 037, Train Loss: 0.4982609, Train Acc: 0.7924444, Test Acc: 0.7760000
Epoch: 038, Train Loss: 0.4876397, Train Acc: 0.7948889, Test Acc: 0.7640000
Epoch: 039, Train Loss: 0.4812588, Train Acc: 0.7922222, Test Acc: 0.7620000
Epoch: 040, Train Loss: 0.4586225, Train Acc: 0.7968889, Test Acc: 0.7800000
Epoch: 041, Train Loss: 0.4626360, Train Acc: 0.8106667, Test Acc: 0.7820000
Epoch: 042, Train Loss: 0.4535830, Train Acc: 0.8060000, Test Acc: 0.7820000
Epoch: 043, Train Loss: 0.4416097, Train Acc: 0.8197778, Test Acc: 0.8060000
Epoch: 044, Train Loss: 0.4516981, Train Acc: 0.8151111, Test Acc: 0.7880000
Epoch: 045, Train Loss: 0.4512730, Train Acc: 0.8177778, Test Acc: 0.8100000
Epoch: 046, Train Loss: 0.4328888, Train Acc: 0.8146667, Test Acc: 0.8120000
Epoch: 047, Train Loss: 0.4443734, Train Acc: 0.8137778, Test Acc: 0.7940000
Epoch: 048, Train Loss: 0.4204781, Train Acc: 0.8220000, Test Acc: 0.7840000
Epoch: 049, Train Loss: 0.4286294, Train Acc: 0.8233333, Test Acc: 0.8040000
Epoch: 050, Train Loss: 0.4311833, Train Acc: 0.8222222, Test Acc: 0.7980000
Epoch: 051, Train Loss: 0.4138499, Train Acc: 0.8260000, Test Acc: 0.8040000
Epoch: 052, Train Loss: 0.4090480, Train Acc: 0.8122222, Test Acc: 0.7840000
Epoch: 053, Train Loss: 0.4071185, Train Acc: 0.8280000, Test Acc: 0.7980000
Epoch: 054, Train Loss: 0.4109695, Train Acc: 0.8280000, Test Acc: 0.7980000
Epoch: 055, Train Loss: 0.4024936, Train Acc: 0.8346667, Test Acc: 0.7940000
Epoch: 056, Train Loss: 0.4099473, Train Acc: 0.8315556, Test Acc: 0.8180000
Epoch: 057, Train Loss: 0.4029354, Train Acc: 0.8380000, Test Acc: 0.8180000
Epoch: 058, Train Loss: 0.4016824, Train Acc: 0.8360000, Test Acc: 0.8160000
Epoch: 059, Train Loss: 0.4001465, Train Acc: 0.8306667, Test Acc: 0.8060000
Epoch: 060, Train Loss: 0.3939031, Train Acc: 0.8297778, Test Acc: 0.7880000
Epoch: 061, Train Loss: 0.3835938, Train Acc: 0.8377778, Test Acc: 0.8160000
Epoch: 062, Train Loss: 0.3972724, Train Acc: 0.8377778, Test Acc: 0.8040000
Epoch: 063, Train Loss: 0.3891667, Train Acc: 0.8362222, Test Acc: 0.8020000
Epoch: 064, Train Loss: 0.3824463, Train Acc: 0.8402222, Test Acc: 0.8220000
Epoch: 065, Train Loss: 0.3802689, Train Acc: 0.8328889, Test Acc: 0.7980000
Epoch: 066, Train Loss: 0.3806726, Train Acc: 0.8384444, Test Acc: 0.8060000
Epoch: 067, Train Loss: 0.3754062, Train Acc: 0.8444444, Test Acc: 0.8180000
Epoch: 068, Train Loss: 0.3785244, Train Acc: 0.8502222, Test Acc: 0.8080000
Epoch: 069, Train Loss: 0.3760969, Train Acc: 0.8411111, Test Acc: 0.8180000
Epoch: 070, Train Loss: 0.3748475, Train Acc: 0.8477778, Test Acc: 0.8140000
Epoch: 071, Train Loss: 0.3686622, Train Acc: 0.8477778, Test Acc: 0.8100000
Epoch: 072, Train Loss: 0.3711648, Train Acc: 0.8475556, Test Acc: 0.8140000
Epoch: 073, Train Loss: 0.3615709, Train Acc: 0.8477778, Test Acc: 0.8120000
Epoch: 074, Train Loss: 0.3680012, Train Acc: 0.8522222, Test Acc: 0.8040000
Epoch: 075, Train Loss: 0.3798801, Train Acc: 0.8515556, Test Acc: 0.8080000
Epoch: 076, Train Loss: 0.3610663, Train Acc: 0.8537778, Test Acc: 0.8020000
Epoch: 077, Train Loss: 0.3585456, Train Acc: 0.8553333, Test Acc: 0.8160000
Epoch: 078, Train Loss: 0.3517733, Train Acc: 0.8548889, Test Acc: 0.7960000
Epoch: 079, Train Loss: 0.3641440, Train Acc: 0.8524444, Test Acc: 0.8120000
Epoch: 080, Train Loss: 0.3513277, Train Acc: 0.8506667, Test Acc: 0.8100000
Epoch: 081, Train Loss: 0.3519895, Train Acc: 0.8546667, Test Acc: 0.8220000
Epoch: 082, Train Loss: 0.3541857, Train Acc: 0.8537778, Test Acc: 0.8060000
Epoch: 083, Train Loss: 0.3534776, Train Acc: 0.8531111, Test Acc: 0.8260000
Epoch: 084, Train Loss: 0.3467256, Train Acc: 0.8537778, Test Acc: 0.8140000
Epoch: 085, Train Loss: 0.3445870, Train Acc: 0.8586667, Test Acc: 0.8260000
Epoch: 086, Train Loss: 0.3401961, Train Acc: 0.8575556, Test Acc: 0.8140000
Epoch: 087, Train Loss: 0.3443495, Train Acc: 0.8553333, Test Acc: 0.8180000
Epoch: 088, Train Loss: 0.3392387, Train Acc: 0.8586667, Test Acc: 0.8100000
Epoch: 089, Train Loss: 0.3431963, Train Acc: 0.8575556, Test Acc: 0.8100000
Epoch: 090, Train Loss: 0.3401299, Train Acc: 0.8562222, Test Acc: 0.8100000
Epoch: 091, Train Loss: 0.3427098, Train Acc: 0.8553333, Test Acc: 0.8060000
Epoch: 092, Train Loss: 0.3409600, Train Acc: 0.8602222, Test Acc: 0.8140000
Epoch: 093, Train Loss: 0.3373188, Train Acc: 0.8600000, Test Acc: 0.8260000
Epoch: 094, Train Loss: 0.3361539, Train Acc: 0.8622222, Test Acc: 0.8040000
Epoch: 095, Train Loss: 0.3351664, Train Acc: 0.8620000, Test Acc: 0.8160000
Epoch: 096, Train Loss: 0.3331808, Train Acc: 0.8615556, Test Acc: 0.8100000
Epoch: 097, Train Loss: 0.3340003, Train Acc: 0.8615556, Test Acc: 0.8100000
Epoch: 098, Train Loss: 0.3309654, Train Acc: 0.8602222, Test Acc: 0.8180000
Epoch: 099, Train Loss: 0.3261905, Train Acc: 0.8613333, Test Acc: 0.8100000
Epoch: 100, Train Loss: 0.3330752, Train Acc: 0.8628889, Test Acc: 0.8120000
Epoch: 101, Train Loss: 0.3303185, Train Acc: 0.8651111, Test Acc: 0.8140000
Epoch: 102, Train Loss: 0.3227222, Train Acc: 0.8640000, Test Acc: 0.8160000
Epoch: 103, Train Loss: 0.3164374, Train Acc: 0.8675556, Test Acc: 0.8080000
Epoch: 104, Train Loss: 0.3251927, Train Acc: 0.8646667, Test Acc: 0.8120000
Epoch: 105, Train Loss: 0.3227658, Train Acc: 0.8655556, Test Acc: 0.8160000
Epoch: 106, Train Loss: 0.3306784, Train Acc: 0.8653333, Test Acc: 0.8100000
Epoch: 107, Train Loss: 0.3202020, Train Acc: 0.8666667, Test Acc: 0.8120000
Epoch: 108, Train Loss: 0.3300850, Train Acc: 0.8700000, Test Acc: 0.8100000
Epoch: 109, Train Loss: 0.3306819, Train Acc: 0.8628889, Test Acc: 0.8140000
Epoch: 110, Train Loss: 0.3174427, Train Acc: 0.8657778, Test Acc: 0.8080000
Epoch: 111, Train Loss: 0.3236247, Train Acc: 0.8664444, Test Acc: 0.8100000
Epoch: 112, Train Loss: 0.3296667, Train Acc: 0.8671111, Test Acc: 0.8080000
Epoch: 113, Train Loss: 0.3094035, Train Acc: 0.8646667, Test Acc: 0.8100000
Epoch: 114, Train Loss: 0.3188442, Train Acc: 0.8662222, Test Acc: 0.8140000
Epoch: 115, Train Loss: 0.3162774, Train Acc: 0.8702222, Test Acc: 0.8120000
Epoch: 116, Train Loss: 0.3156443, Train Acc: 0.8682222, Test Acc: 0.8100000
Epoch: 117, Train Loss: 0.3188398, Train Acc: 0.8677778, Test Acc: 0.8220000
Epoch: 118, Train Loss: 0.3094252, Train Acc: 0.8677778, Test Acc: 0.8140000
Epoch: 119, Train Loss: 0.3119549, Train Acc: 0.8693333, Test Acc: 0.8160000
Epoch: 120, Train Loss: 0.3190825, Train Acc: 0.8717778, Test Acc: 0.8160000
Epoch: 121, Train Loss: 0.3045208, Train Acc: 0.8655556, Test Acc: 0.8200000
Epoch: 122, Train Loss: 0.3145182, Train Acc: 0.8706667, Test Acc: 0.8120000
Epoch: 123, Train Loss: 0.3125087, Train Acc: 0.8680000, Test Acc: 0.8140000
Epoch: 124, Train Loss: 0.3117102, Train Acc: 0.8706667, Test Acc: 0.8180000
Epoch: 125, Train Loss: 0.3105403, Train Acc: 0.8722222, Test Acc: 0.8240000
Epoch: 126, Train Loss: 0.3096099, Train Acc: 0.8717778, Test Acc: 0.8100000
Epoch: 127, Train Loss: 0.3090696, Train Acc: 0.8724444, Test Acc: 0.8160000
Epoch: 128, Train Loss: 0.3094473, Train Acc: 0.8697778, Test Acc: 0.8140000
