{'dataset_name': 'COLLAB', 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 32, 'epochs': 2001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 64, 'pooling': 'add', 'JK': 'last', 'nonlinear_conv': 'e4', 'dropout': 0.5, 'variants': {'BN': 'Y'}}, 'commit_id': 'd721922768aed5d7b6b7bb6b677aa8a6d46a9f73', 'time_stamp': '1610112100', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=d721922768aed5d7b6b7bb6b677aa8a6d46a9f73
Epoch: 001, Train Loss: 0.9460461, Train Acc: 0.6708889, Test Acc: 0.6380000, Train Cov: 7498.4980469
Epoch: 002, Train Loss: 0.6942990, Train Acc: 0.7226667, Test Acc: 0.7180000, Train Cov: 6830.1499023
Epoch: 003, Train Loss: 0.6432588, Train Acc: 0.7597778, Test Acc: 0.7420000, Train Cov: 14659.2871094
Epoch: 004, Train Loss: 0.6076165, Train Acc: 0.7553333, Test Acc: 0.7580000, Train Cov: 14432.3574219
Epoch: 005, Train Loss: 0.5742700, Train Acc: 0.7671111, Test Acc: 0.7620000, Train Cov: 10406.2041016
Epoch: 006, Train Loss: 0.6179272, Train Acc: 0.7546667, Test Acc: 0.7500000, Train Cov: 94662.8359375
Epoch: 007, Train Loss: 0.5714545, Train Acc: 0.7742222, Test Acc: 0.7780000, Train Cov: 189536.7343750
Epoch: 008, Train Loss: 0.5554056, Train Acc: 0.7697778, Test Acc: 0.7380000, Train Cov: 182865.6875000
Epoch: 009, Train Loss: 0.5678579, Train Acc: 0.7575556, Test Acc: 0.7520000, Train Cov: 210785.4843750
Epoch: 010, Train Loss: 0.5411312, Train Acc: 0.7706667, Test Acc: 0.7600000, Train Cov: 256612.6718750
Epoch: 011, Train Loss: 0.5329228, Train Acc: 0.7271111, Test Acc: 0.7040000, Train Cov: 223380.5937500
Epoch: 012, Train Loss: 0.5169114, Train Acc: 0.7788889, Test Acc: 0.7660000, Train Cov: 212933.9375000
Epoch: 013, Train Loss: 0.5042472, Train Acc: 0.7742222, Test Acc: 0.7480000, Train Cov: 365419.0625000
Epoch: 014, Train Loss: 0.5240520, Train Acc: 0.7744444, Test Acc: 0.7600000, Train Cov: 305316.2500000
Epoch: 015, Train Loss: 0.5339179, Train Acc: 0.7757778, Test Acc: 0.7500000, Train Cov: 160689.5312500
Epoch: 016, Train Loss: 0.4875914, Train Acc: 0.7893333, Test Acc: 0.7740000, Train Cov: 111257.3125000
Epoch: 017, Train Loss: 0.4940373, Train Acc: 0.8044444, Test Acc: 0.7760000, Train Cov: 223198.5000000
Epoch: 018, Train Loss: 0.4892678, Train Acc: 0.8026667, Test Acc: 0.7680000, Train Cov: 179571.0625000
Epoch: 019, Train Loss: 0.4858589, Train Acc: 0.8020000, Test Acc: 0.7480000, Train Cov: 165859.0468750
Epoch: 020, Train Loss: 0.4848229, Train Acc: 0.7864444, Test Acc: 0.7860000, Train Cov: 198037.4687500
Epoch: 021, Train Loss: 0.4779717, Train Acc: 0.8082222, Test Acc: 0.7800000, Train Cov: 277619.7187500
Epoch: 022, Train Loss: 0.4711095, Train Acc: 0.7897778, Test Acc: 0.7460000, Train Cov: 257769.7343750
Epoch: 023, Train Loss: 0.4711640, Train Acc: 0.7962222, Test Acc: 0.7680000, Train Cov: 263508.1250000
