{'dataset_name': 'COLLAB', 'num_workers': 1, 'cov_weight': 1.0, 'hyperparams': {'batch_size': 32, 'epochs': 901, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 64, 'pooling': 'add', 'JK': 'last', 'nonlinear_conv': 'e4', 'dropout': 0.5, 'variants': {'BN': 'Y'}}, 'commit_id': '7abce3de4f66e1c12893ff2c9b7f0e9f0351d526', 'time_stamp': '1610121726', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=7abce3de4f66e1c12893ff2c9b7f0e9f0351d526
Epoch: 001, Train Loss: 5.7668419, Train Acc: 0.6624444, Test Acc: 0.6540000, Train Cov: 4.8444843
Epoch: 002, Train Loss: 3.0812125, Train Acc: 0.6835556, Test Acc: 0.6840000, Train Cov: 2.3497639
Epoch: 003, Train Loss: 1.8381261, Train Acc: 0.7108889, Test Acc: 0.7220000, Train Cov: 1.1686165
Epoch: 004, Train Loss: 1.1496938, Train Acc: 0.7277778, Test Acc: 0.7400000, Train Cov: 0.5151209
Epoch: 005, Train Loss: 1.0276545, Train Acc: 0.7568889, Test Acc: 0.7360000, Train Cov: 0.4066797
Epoch: 006, Train Loss: 0.7656090, Train Acc: 0.7688889, Test Acc: 0.7560000, Train Cov: 0.1929401
Epoch: 007, Train Loss: 0.6697116, Train Acc: 0.7631111, Test Acc: 0.7560000, Train Cov: 0.1192999
Epoch: 008, Train Loss: 0.6805921, Train Acc: 0.7797778, Test Acc: 0.7720000, Train Cov: 0.1164585
Epoch: 009, Train Loss: 0.6269385, Train Acc: 0.7866667, Test Acc: 0.7880000, Train Cov: 0.1032203
Epoch: 010, Train Loss: 0.6597193, Train Acc: 0.7348889, Test Acc: 0.7120000, Train Cov: 0.1413406
Epoch: 011, Train Loss: 4.5804293, Train Acc: 0.6753333, Test Acc: 0.6500000, Train Cov: 3.8349307
Epoch: 012, Train Loss: 1.7297148, Train Acc: 0.7237778, Test Acc: 0.7100000, Train Cov: 1.0979031
Epoch: 013, Train Loss: 1.2696528, Train Acc: 0.7488889, Test Acc: 0.7340000, Train Cov: 0.6675325
Epoch: 014, Train Loss: 1.0419984, Train Acc: 0.7540000, Test Acc: 0.7380000, Train Cov: 0.4651203
Epoch: 015, Train Loss: 0.9090761, Train Acc: 0.7666667, Test Acc: 0.7600000, Train Cov: 0.3633762
Epoch: 016, Train Loss: 0.8381059, Train Acc: 0.7717778, Test Acc: 0.7680000, Train Cov: 0.3098005
Epoch: 017, Train Loss: 0.8351454, Train Acc: 0.7642222, Test Acc: 0.7640000, Train Cov: 0.3005728
Epoch: 018, Train Loss: 0.8312381, Train Acc: 0.7728889, Test Acc: 0.7720000, Train Cov: 0.3062018
Epoch: 019, Train Loss: 0.7792490, Train Acc: 0.7755556, Test Acc: 0.7720000, Train Cov: 0.2484286
Epoch: 020, Train Loss: 0.7069659, Train Acc: 0.7828889, Test Acc: 0.7740000, Train Cov: 0.1978988
Epoch: 021, Train Loss: 0.6298890, Train Acc: 0.7828889, Test Acc: 0.7700000, Train Cov: 0.1394289
Epoch: 022, Train Loss: 0.6185984, Train Acc: 0.7871111, Test Acc: 0.7700000, Train Cov: 0.1173741
Epoch: 023, Train Loss: 0.5985771, Train Acc: 0.7917778, Test Acc: 0.7820000, Train Cov: 0.1113503
Epoch: 024, Train Loss: 0.5819931, Train Acc: 0.7944444, Test Acc: 0.7880000, Train Cov: 0.0980876
Epoch: 025, Train Loss: 0.5672177, Train Acc: 0.8057778, Test Acc: 0.7620000, Train Cov: 0.0913305
Epoch: 026, Train Loss: 0.5718385, Train Acc: 0.8055556, Test Acc: 0.7880000, Train Cov: 0.1002165
Epoch: 027, Train Loss: 0.5556613, Train Acc: 0.7982222, Test Acc: 0.7660000, Train Cov: 0.0868386
Epoch: 028, Train Loss: 0.5414892, Train Acc: 0.8068889, Test Acc: 0.7720000, Train Cov: 0.0798235
Epoch: 029, Train Loss: 0.5329770, Train Acc: 0.8151111, Test Acc: 0.7860000, Train Cov: 0.0786027
Epoch: 030, Train Loss: 4.6821127, Train Acc: 0.5813333, Test Acc: 0.6100000, Train Cov: 4.0776134
Epoch: 031, Train Loss: 2.6736917, Train Acc: 0.6691111, Test Acc: 0.6620000, Train Cov: 1.9212724
Epoch: 032, Train Loss: 1.3935817, Train Acc: 0.6511111, Test Acc: 0.6300000, Train Cov: 0.6967280
Epoch: 033, Train Loss: 0.9591236, Train Acc: 0.7408889, Test Acc: 0.7220000, Train Cov: 0.3373716
Epoch: 034, Train Loss: 0.8772025, Train Acc: 0.7560000, Test Acc: 0.7320000, Train Cov: 0.2784787
Epoch: 035, Train Loss: 0.8118394, Train Acc: 0.7671111, Test Acc: 0.7720000, Train Cov: 0.2459603
Epoch: 036, Train Loss: 0.7820366, Train Acc: 0.7686667, Test Acc: 0.7760000, Train Cov: 0.2351918
Epoch: 037, Train Loss: 0.7368842, Train Acc: 0.7771111, Test Acc: 0.7740000, Train Cov: 0.2108416
Epoch: 038, Train Loss: 0.7119592, Train Acc: 0.7915556, Test Acc: 0.7760000, Train Cov: 0.1967037
Epoch: 039, Train Loss: 0.7013335, Train Acc: 0.7886667, Test Acc: 0.7800000, Train Cov: 0.1861039
Epoch: 040, Train Loss: 0.6827450, Train Acc: 0.7948889, Test Acc: 0.7840000, Train Cov: 0.1834707
Epoch: 041, Train Loss: 0.6598842, Train Acc: 0.7908889, Test Acc: 0.7700000, Train Cov: 0.1536966
Epoch: 042, Train Loss: 0.6555460, Train Acc: 0.7888889, Test Acc: 0.7680000, Train Cov: 0.1550755
Epoch: 043, Train Loss: 0.6302919, Train Acc: 0.8028889, Test Acc: 0.7860000, Train Cov: 0.1404532
Epoch: 044, Train Loss: 0.6179443, Train Acc: 0.8033333, Test Acc: 0.7820000, Train Cov: 0.1274565
Epoch: 045, Train Loss: 0.5962444, Train Acc: 0.7953333, Test Acc: 0.7780000, Train Cov: 0.1157858
Epoch: 046, Train Loss: 0.5798083, Train Acc: 0.7913333, Test Acc: 0.7860000, Train Cov: 0.0943629
Epoch: 047, Train Loss: 0.5551027, Train Acc: 0.7928889, Test Acc: 0.7720000, Train Cov: 0.0803077
Epoch: 048, Train Loss: 0.5491778, Train Acc: 0.7962222, Test Acc: 0.7760000, Train Cov: 0.0751825
