{'dataset_name': 'COLLAB', 'num_workers': 1, 'cov_weight': 1.0, 'hyperparams': {'batch_size': 32, 'epochs': 901, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 64, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'e4', 'dropout': 0.5, 'variants': {'BN': 'Y'}}, 'commit_id': '7abce3de4f66e1c12893ff2c9b7f0e9f0351d526', 'time_stamp': '1610121928', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=7abce3de4f66e1c12893ff2c9b7f0e9f0351d526
Epoch: 001, Train Loss: 4.8231349, Train Acc: 0.7120000, Test Acc: 0.7160000, Train Cov: 3.9152215
Epoch: 002, Train Loss: 2.7040852, Train Acc: 0.6526667, Test Acc: 0.6740000, Train Cov: 1.9968101
Epoch: 003, Train Loss: 3.1318780, Train Acc: 0.7222222, Test Acc: 0.7060000, Train Cov: 2.4160450
Epoch: 004, Train Loss: 1.4905115, Train Acc: 0.7328889, Test Acc: 0.7220000, Train Cov: 0.8350298
Epoch: 005, Train Loss: 1.1964668, Train Acc: 0.7055556, Test Acc: 0.7240000, Train Cov: 0.5675211
Epoch: 006, Train Loss: 1.0737107, Train Acc: 0.7544444, Test Acc: 0.7500000, Train Cov: 0.4619338
Epoch: 007, Train Loss: 1.0876068, Train Acc: 0.7293333, Test Acc: 0.7420000, Train Cov: 0.4810776
Epoch: 008, Train Loss: 0.9494866, Train Acc: 0.7357778, Test Acc: 0.7380000, Train Cov: 0.3551030
Epoch: 009, Train Loss: 0.9196151, Train Acc: 0.7415556, Test Acc: 0.7340000, Train Cov: 0.3306037
Epoch: 010, Train Loss: 0.8176009, Train Acc: 0.7711111, Test Acc: 0.7640000, Train Cov: 0.2441195
Epoch: 011, Train Loss: 0.8379215, Train Acc: 0.7620000, Test Acc: 0.7560000, Train Cov: 0.2697145
Epoch: 012, Train Loss: 0.7761079, Train Acc: 0.7626667, Test Acc: 0.7520000, Train Cov: 0.2319808
Epoch: 013, Train Loss: 0.7912294, Train Acc: 0.7562222, Test Acc: 0.7300000, Train Cov: 0.2383489
Epoch: 014, Train Loss: 4.0351112, Train Acc: 0.6375556, Test Acc: 0.6420000, Train Cov: 3.4391441
Epoch: 015, Train Loss: 6.5502594, Train Acc: 0.7126667, Test Acc: 0.7140000, Train Cov: 5.8138013
Epoch: 016, Train Loss: 3.5382675, Train Acc: 0.7235556, Test Acc: 0.7000000, Train Cov: 2.8618076
Epoch: 017, Train Loss: 2.7628827, Train Acc: 0.7442222, Test Acc: 0.7360000, Train Cov: 2.1117532
Epoch: 018, Train Loss: 2.3958036, Train Acc: 0.7135556, Test Acc: 0.7080000, Train Cov: 1.7792318
Epoch: 019, Train Loss: 2.0653331, Train Acc: 0.7582222, Test Acc: 0.7660000, Train Cov: 1.4628842
Epoch: 020, Train Loss: 1.7638199, Train Acc: 0.7680000, Test Acc: 0.7500000, Train Cov: 1.1751270
Epoch: 021, Train Loss: 1.5431730, Train Acc: 0.7731111, Test Acc: 0.7700000, Train Cov: 0.9763610
Epoch: 022, Train Loss: 1.3668911, Train Acc: 0.7477778, Test Acc: 0.7560000, Train Cov: 0.8012799
Epoch: 023, Train Loss: 1.1619061, Train Acc: 0.7695556, Test Acc: 0.7760000, Train Cov: 0.6172757
Epoch: 024, Train Loss: 1.0307604, Train Acc: 0.7740000, Test Acc: 0.7720000, Train Cov: 0.4913664
Epoch: 025, Train Loss: 0.9683538, Train Acc: 0.7726667, Test Acc: 0.7940000, Train Cov: 0.4234129
Epoch: 026, Train Loss: 0.9201838, Train Acc: 0.7675556, Test Acc: 0.7520000, Train Cov: 0.3787397
Epoch: 027, Train Loss: 0.8950221, Train Acc: 0.7866667, Test Acc: 0.7680000, Train Cov: 0.3588797
Epoch: 028, Train Loss: 0.8466310, Train Acc: 0.7888889, Test Acc: 0.7720000, Train Cov: 0.3328078
Epoch: 029, Train Loss: 1.7900155, Train Acc: 0.6608889, Test Acc: 0.6780000, Train Cov: 1.2591602
Epoch: 030, Train Loss: 2.2424000, Train Acc: 0.7593333, Test Acc: 0.7560000, Train Cov: 1.5599543
Epoch: 031, Train Loss: 1.2532405, Train Acc: 0.7642222, Test Acc: 0.7740000, Train Cov: 0.6584368
Epoch: 032, Train Loss: 1.1934484, Train Acc: 0.7704444, Test Acc: 0.7700000, Train Cov: 0.6023255
Epoch: 033, Train Loss: 0.9843929, Train Acc: 0.7668889, Test Acc: 0.7660000, Train Cov: 0.4173774
Epoch: 034, Train Loss: 0.9471766, Train Acc: 0.7744444, Test Acc: 0.7760000, Train Cov: 0.3912385
Epoch: 035, Train Loss: 0.9265729, Train Acc: 0.7740000, Test Acc: 0.7620000, Train Cov: 0.3799347
Epoch: 036, Train Loss: 0.8713845, Train Acc: 0.7873333, Test Acc: 0.7860000, Train Cov: 0.3404887
Epoch: 037, Train Loss: 0.8324673, Train Acc: 0.7791111, Test Acc: 0.7680000, Train Cov: 0.3143091
Epoch: 038, Train Loss: 0.8270219, Train Acc: 0.7833333, Test Acc: 0.7680000, Train Cov: 0.3120363
Epoch: 039, Train Loss: 0.8182122, Train Acc: 0.7888889, Test Acc: 0.7660000, Train Cov: 0.3095181
Epoch: 040, Train Loss: 0.8023535, Train Acc: 0.8000000, Test Acc: 0.7920000, Train Cov: 0.3037042
Epoch: 041, Train Loss: 0.8091797, Train Acc: 0.7753333, Test Acc: 0.7680000, Train Cov: 0.3027804
Epoch: 042, Train Loss: 0.7922523, Train Acc: 0.8031111, Test Acc: 0.7960000, Train Cov: 0.2928218
Epoch: 043, Train Loss: 0.7723580, Train Acc: 0.7862222, Test Acc: 0.7680000, Train Cov: 0.2775653
Epoch: 044, Train Loss: 0.7242232, Train Acc: 0.7880000, Test Acc: 0.7860000, Train Cov: 0.2333451
Epoch: 045, Train Loss: 0.6952445, Train Acc: 0.7922222, Test Acc: 0.7860000, Train Cov: 0.2022832
Epoch: 046, Train Loss: 0.6847891, Train Acc: 0.7851111, Test Acc: 0.7760000, Train Cov: 0.1884966
Epoch: 047, Train Loss: 0.6392521, Train Acc: 0.8002222, Test Acc: 0.7920000, Train Cov: 0.1626437
Epoch: 048, Train Loss: 0.6275822, Train Acc: 0.8126667, Test Acc: 0.7960000, Train Cov: 0.1531425
Epoch: 049, Train Loss: 0.6092860, Train Acc: 0.7868889, Test Acc: 0.8040000, Train Cov: 0.1367676
Epoch: 050, Train Loss: 0.5954405, Train Acc: 0.8108889, Test Acc: 0.7860000, Train Cov: 0.1258011
Epoch: 051, Train Loss: 0.5614388, Train Acc: 0.8142222, Test Acc: 0.8020000, Train Cov: 0.1076725
Epoch: 052, Train Loss: 0.5467835, Train Acc: 0.8128889, Test Acc: 0.7800000, Train Cov: 0.0969858
Epoch: 053, Train Loss: 0.5350769, Train Acc: 0.8131111, Test Acc: 0.7920000, Train Cov: 0.0834916
Epoch: 054, Train Loss: 0.5228181, Train Acc: 0.8180000, Test Acc: 0.7900000, Train Cov: 0.0758839
Epoch: 055, Train Loss: 0.5188514, Train Acc: 0.8135556, Test Acc: 0.8080000, Train Cov: 0.0623964
Epoch: 056, Train Loss: 0.5113177, Train Acc: 0.8197778, Test Acc: 0.8080000, Train Cov: 0.0611371
Epoch: 057, Train Loss: 0.4779473, Train Acc: 0.8046667, Test Acc: 0.7900000, Train Cov: 0.0416434
Epoch: 058, Train Loss: 0.5088748, Train Acc: 0.8140000, Test Acc: 0.8000000, Train Cov: 0.0556072
Epoch: 059, Train Loss: 0.5030864, Train Acc: 0.8226667, Test Acc: 0.8080000, Train Cov: 0.0446012
Epoch: 060, Train Loss: 0.4754757, Train Acc: 0.8204444, Test Acc: 0.8120000, Train Cov: 0.0292233
Epoch: 061, Train Loss: 0.4591003, Train Acc: 0.8233333, Test Acc: 0.8160000, Train Cov: 0.0190741
Epoch: 062, Train Loss: 0.4647342, Train Acc: 0.8062222, Test Acc: 0.7980000, Train Cov: 0.0225844
Epoch: 063, Train Loss: 0.4793308, Train Acc: 0.8146667, Test Acc: 0.7860000, Train Cov: 0.0270576
Epoch: 064, Train Loss: 0.4581635, Train Acc: 0.8153333, Test Acc: 0.8040000, Train Cov: 0.0120423
Epoch: 065, Train Loss: 0.4634142, Train Acc: 0.8097778, Test Acc: 0.7900000, Train Cov: 0.0225505
Epoch: 066, Train Loss: 0.4471832, Train Acc: 0.8228889, Test Acc: 0.7940000, Train Cov: 0.0101936
Epoch: 067, Train Loss: 0.4412561, Train Acc: 0.8291111, Test Acc: 0.8160000, Train Cov: 0.0072698
Epoch: 068, Train Loss: 0.4259848, Train Acc: 0.8157778, Test Acc: 0.7980000, Train Cov: 0.0074221
Epoch: 069, Train Loss: 0.4251808, Train Acc: 0.8306667, Test Acc: 0.8040000, Train Cov: 0.0112718
Epoch: 070, Train Loss: 0.4117638, Train Acc: 0.8308889, Test Acc: 0.7940000, Train Cov: 0.0053586
