{'dataset_name': 'COLLAB', 'num_workers': 1, 'cov_weight': 1.0, 'hyperparams': {'batch_size': 32, 'epochs': 1001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 64, 'pooling': 'add', 'JK': 'last', 'nonlinear_conv': 'e4', 'dropout': 0.5, 'variants': {'BN': 'Y'}}, 'commit_id': '7be84444924aa0af182faa55b5e00df5d6b4a8d3', 'time_stamp': '1610156201', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=7be84444924aa0af182faa55b5e00df5d6b4a8d3
Epoch: 001, Train Loss: 6.1351652, Train Acc: 0.6608889, Test Acc: 0.6380000, Train Cov: 5.1885877
Epoch: 002, Train Loss: 3.5091090, Train Acc: 0.7064444, Test Acc: 0.7120000, Train Cov: 2.7863839
Epoch: 003, Train Loss: 2.1420742, Train Acc: 0.7248889, Test Acc: 0.7120000, Train Cov: 1.4711618
Epoch: 004, Train Loss: 1.3978585, Train Acc: 0.7591111, Test Acc: 0.7580000, Train Cov: 0.7659107
Epoch: 005, Train Loss: 1.0256065, Train Acc: 0.7584444, Test Acc: 0.7580000, Train Cov: 0.4318025
Epoch: 006, Train Loss: 0.8836837, Train Acc: 0.7493333, Test Acc: 0.7520000, Train Cov: 0.3133743
Epoch: 007, Train Loss: 0.8163407, Train Acc: 0.7651111, Test Acc: 0.7560000, Train Cov: 0.2842476
Epoch: 008, Train Loss: 0.7806513, Train Acc: 0.7631111, Test Acc: 0.7620000, Train Cov: 0.2365263
Epoch: 009, Train Loss: 0.7132855, Train Acc: 0.7811111, Test Acc: 0.7760000, Train Cov: 0.1818380
Epoch: 010, Train Loss: 0.6657428, Train Acc: 0.7900000, Test Acc: 0.7720000, Train Cov: 0.1556102
Epoch: 011, Train Loss: 0.6937401, Train Acc: 0.7846667, Test Acc: 0.7660000, Train Cov: 0.1852303
Epoch: 012, Train Loss: 0.6599074, Train Acc: 0.7844444, Test Acc: 0.7800000, Train Cov: 0.1650996
Epoch: 013, Train Loss: 0.6457747, Train Acc: 0.7942222, Test Acc: 0.7880000, Train Cov: 0.1568160
Epoch: 014, Train Loss: 0.6210552, Train Acc: 0.7831111, Test Acc: 0.7680000, Train Cov: 0.1304992
Epoch: 015, Train Loss: 0.6191157, Train Acc: 0.7984444, Test Acc: 0.8160000, Train Cov: 0.1446257
Epoch: 016, Train Loss: 0.5992764, Train Acc: 0.8088889, Test Acc: 0.7820000, Train Cov: 0.1236045
Epoch: 017, Train Loss: 0.6661965, Train Acc: 0.8040000, Test Acc: 0.7920000, Train Cov: 0.1849866
Epoch: 018, Train Loss: 26.7458380, Train Acc: 0.6071111, Test Acc: 0.5740000, Train Cov: 25.9076920
Epoch: 019, Train Loss: 4.8415281, Train Acc: 0.6533333, Test Acc: 0.6440000, Train Cov: 4.1362162
Epoch: 020, Train Loss: 4.2224398, Train Acc: 0.6748889, Test Acc: 0.6760000, Train Cov: 3.5479939
Epoch: 021, Train Loss: 3.5598156, Train Acc: 0.6824444, Test Acc: 0.6740000, Train Cov: 2.8978221
Epoch: 022, Train Loss: 3.1895009, Train Acc: 0.6822222, Test Acc: 0.6800000, Train Cov: 2.5587270
Epoch: 023, Train Loss: 2.9958386, Train Acc: 0.6951111, Test Acc: 0.7000000, Train Cov: 2.3683467
Epoch: 024, Train Loss: 2.7008374, Train Acc: 0.7108889, Test Acc: 0.7100000, Train Cov: 2.0950351
Epoch: 025, Train Loss: 2.4858227, Train Acc: 0.6971111, Test Acc: 0.6760000, Train Cov: 1.8866457
Epoch: 026, Train Loss: 2.2999856, Train Acc: 0.7184444, Test Acc: 0.6960000, Train Cov: 1.7085085
Epoch: 027, Train Loss: 2.0608422, Train Acc: 0.7286667, Test Acc: 0.7160000, Train Cov: 1.4928507
Epoch: 028, Train Loss: 1.8328993, Train Acc: 0.7417778, Test Acc: 0.7400000, Train Cov: 1.2626479
Epoch: 029, Train Loss: 1.6542984, Train Acc: 0.7228889, Test Acc: 0.7240000, Train Cov: 1.0954894
Epoch: 030, Train Loss: 1.4766389, Train Acc: 0.7633333, Test Acc: 0.7420000, Train Cov: 0.9259004
Epoch: 031, Train Loss: 1.3632779, Train Acc: 0.7648889, Test Acc: 0.7460000, Train Cov: 0.8133115
Epoch: 032, Train Loss: 1.2780689, Train Acc: 0.7540000, Test Acc: 0.7520000, Train Cov: 0.7406484
Epoch: 033, Train Loss: 1.2068785, Train Acc: 0.7544444, Test Acc: 0.7380000, Train Cov: 0.6780345
Epoch: 034, Train Loss: 1.1516640, Train Acc: 0.7815556, Test Acc: 0.7780000, Train Cov: 0.6268288
Epoch: 035, Train Loss: 1.2315181, Train Acc: 0.7706667, Test Acc: 0.7720000, Train Cov: 0.6949150
Epoch: 036, Train Loss: 1.1686341, Train Acc: 0.7631111, Test Acc: 0.7620000, Train Cov: 0.6637879
Epoch: 037, Train Loss: 1.1187114, Train Acc: 0.7773333, Test Acc: 0.7540000, Train Cov: 0.5899477
Epoch: 038, Train Loss: 1.0448777, Train Acc: 0.7784444, Test Acc: 0.7840000, Train Cov: 0.5372221
Epoch: 039, Train Loss: 1.0341861, Train Acc: 0.7700000, Test Acc: 0.7600000, Train Cov: 0.5176564
