{'dataset_name': 'COLLAB', 'num_workers': 1, 'cov_weight': 1.0, 'hyperparams': {'batch_size': 32, 'epochs': 2001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 64, 'pooling': 'add', 'JK': 'last', 'nonlinear_conv': 'e4', 'dropout': 0.5, 'variants': {'BN': 'Y'}}, 'commit_id': 'fe52bff7d42bf91335d596f078717db0df61b57a', 'time_stamp': '1610163501', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=fe52bff7d42bf91335d596f078717db0df61b57a
Epoch: 001, Train Loss: 5.3253254, Train Acc: 0.6784444, Test Acc: 0.7220000, Train Cov: 4.4120698
Epoch: 002, Train Loss: 2.2741914, Train Acc: 0.7257778, Test Acc: 0.7160000, Train Cov: 1.5648911
Epoch: 003, Train Loss: 1.1432358, Train Acc: 0.7471111, Test Acc: 0.7840000, Train Cov: 0.5216959
Epoch: 004, Train Loss: 0.8857869, Train Acc: 0.7353333, Test Acc: 0.7540000, Train Cov: 0.2992760
Epoch: 005, Train Loss: 0.7653318, Train Acc: 0.7480000, Test Acc: 0.7840000, Train Cov: 0.1851229
Epoch: 006, Train Loss: 0.7119606, Train Acc: 0.7524444, Test Acc: 0.7720000, Train Cov: 0.1498157
Epoch: 007, Train Loss: 0.6735063, Train Acc: 0.7820000, Test Acc: 0.8100000, Train Cov: 0.1213792
Epoch: 008, Train Loss: 0.6350932, Train Acc: 0.7517778, Test Acc: 0.7740000, Train Cov: 0.1083406
Epoch: 009, Train Loss: 10.5252827, Train Acc: 0.6644444, Test Acc: 0.7120000, Train Cov: 9.7820082
Epoch: 010, Train Loss: 3.2524436, Train Acc: 0.7108889, Test Acc: 0.7360000, Train Cov: 2.5622785
Epoch: 011, Train Loss: 2.6538324, Train Acc: 0.7055556, Test Acc: 0.7240000, Train Cov: 2.0033405
Epoch: 012, Train Loss: 1.8427662, Train Acc: 0.7335556, Test Acc: 0.7760000, Train Cov: 1.2305260
Epoch: 013, Train Loss: 1.5006230, Train Acc: 0.7575556, Test Acc: 0.7720000, Train Cov: 0.9099318
Epoch: 014, Train Loss: 1.3428013, Train Acc: 0.7648889, Test Acc: 0.8060000, Train Cov: 0.7815877
Epoch: 015, Train Loss: 1.2509918, Train Acc: 0.7713333, Test Acc: 0.8040000, Train Cov: 0.6918103
Epoch: 016, Train Loss: 1.1623965, Train Acc: 0.7591111, Test Acc: 0.7900000, Train Cov: 0.6154404
Epoch: 017, Train Loss: 1.1030620, Train Acc: 0.7791111, Test Acc: 0.7940000, Train Cov: 0.5604784
Epoch: 018, Train Loss: 0.9997947, Train Acc: 0.7755556, Test Acc: 0.7860000, Train Cov: 0.4567999
Epoch: 019, Train Loss: 0.9422437, Train Acc: 0.7795556, Test Acc: 0.8020000, Train Cov: 0.4194354
Epoch: 020, Train Loss: 0.8612998, Train Acc: 0.7768889, Test Acc: 0.7740000, Train Cov: 0.3516499
Epoch: 021, Train Loss: 0.8291424, Train Acc: 0.7915556, Test Acc: 0.8100000, Train Cov: 0.3187215
Epoch: 022, Train Loss: 0.7889446, Train Acc: 0.7882222, Test Acc: 0.8140000, Train Cov: 0.2828434
Epoch: 023, Train Loss: 0.7713635, Train Acc: 0.7822222, Test Acc: 0.8020000, Train Cov: 0.2641157
Epoch: 024, Train Loss: 0.7744032, Train Acc: 0.7860000, Test Acc: 0.8100000, Train Cov: 0.2821217
Epoch: 025, Train Loss: 0.7258414, Train Acc: 0.8008889, Test Acc: 0.8160000, Train Cov: 0.2390098
Epoch: 026, Train Loss: 0.7146621, Train Acc: 0.7986667, Test Acc: 0.8180000, Train Cov: 0.2371220
Epoch: 027, Train Loss: 0.7001056, Train Acc: 0.8020000, Test Acc: 0.8220000, Train Cov: 0.2215461
Epoch: 028, Train Loss: 0.6753470, Train Acc: 0.8017778, Test Acc: 0.8140000, Train Cov: 0.1958052
Epoch: 029, Train Loss: 0.6195261, Train Acc: 0.8024444, Test Acc: 0.8180000, Train Cov: 0.1470545
Epoch: 030, Train Loss: 0.5960971, Train Acc: 0.7948889, Test Acc: 0.8200000, Train Cov: 0.1303400
Epoch: 031, Train Loss: 0.5983407, Train Acc: 0.7964444, Test Acc: 0.8100000, Train Cov: 0.1235175
Epoch: 032, Train Loss: 0.5784083, Train Acc: 0.7722222, Test Acc: 0.7940000, Train Cov: 0.1124732
Epoch: 033, Train Loss: 0.6006525, Train Acc: 0.7991111, Test Acc: 0.8080000, Train Cov: 0.1171307
Epoch: 034, Train Loss: 0.5608691, Train Acc: 0.8040000, Test Acc: 0.8040000, Train Cov: 0.1024003
Epoch: 035, Train Loss: 0.5861758, Train Acc: 0.7580000, Test Acc: 0.7680000, Train Cov: 0.1294270
Epoch: 036, Train Loss: 0.6349067, Train Acc: 0.7955556, Test Acc: 0.7980000, Train Cov: 0.1349352
