{'dataset_name': 'COLLAB', 'num_workers': 1, 'cov_weight': 1.0, 'hyperparams': {'batch_size': 32, 'epochs': 901, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 64, 'pooling': 'add', 'JK': 'last', 'nonlinear_conv': 'e4', 'dropout': 0.5, 'variants': {'BN': 'Y'}}, 'commit_id': 'bb95b1a8813c59d83babe87ddbda5038f12700fc', 'time_stamp': '1610166816', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=bb95b1a8813c59d83babe87ddbda5038f12700fc
Epoch: 001, Train Loss: 5.6312470, Train Acc: 0.6755556, Test Acc: 0.6800000, Train Cov: 4.6638122
Epoch: 002, Train Loss: 3.9696250, Train Acc: 0.6900000, Test Acc: 0.6800000, Train Cov: 3.2047317
Epoch: 003, Train Loss: 1.9508489, Train Acc: 0.7371111, Test Acc: 0.7240000, Train Cov: 1.2754076
Epoch: 004, Train Loss: 1.1218027, Train Acc: 0.7193333, Test Acc: 0.7000000, Train Cov: 0.4780908
Epoch: 005, Train Loss: 0.9155738, Train Acc: 0.7562222, Test Acc: 0.7500000, Train Cov: 0.3037996
Epoch: 006, Train Loss: 5.3263293, Train Acc: 0.7131111, Test Acc: 0.7060000, Train Cov: 4.5861969
Epoch: 007, Train Loss: 3.4602675, Train Acc: 0.6915556, Test Acc: 0.7060000, Train Cov: 2.7811139
Epoch: 008, Train Loss: 2.6058670, Train Acc: 0.7440000, Test Acc: 0.7280000, Train Cov: 1.9784627
Epoch: 009, Train Loss: 2.2213923, Train Acc: 0.7133333, Test Acc: 0.7100000, Train Cov: 1.6112746
Epoch: 010, Train Loss: 2.0733901, Train Acc: 0.7704444, Test Acc: 0.7640000, Train Cov: 1.4888018
Epoch: 011, Train Loss: 1.7404174, Train Acc: 0.7702222, Test Acc: 0.7820000, Train Cov: 1.1836832
Epoch: 012, Train Loss: 1.6397902, Train Acc: 0.7495556, Test Acc: 0.7560000, Train Cov: 1.0888975
Epoch: 013, Train Loss: 1.6016627, Train Acc: 0.7631111, Test Acc: 0.7660000, Train Cov: 1.0459950
Epoch: 014, Train Loss: 1.4775754, Train Acc: 0.7811111, Test Acc: 0.7760000, Train Cov: 0.9321539
Epoch: 015, Train Loss: 1.3036417, Train Acc: 0.7811111, Test Acc: 0.7800000, Train Cov: 0.7743428
Epoch: 016, Train Loss: 1.1781588, Train Acc: 0.7851111, Test Acc: 0.7760000, Train Cov: 0.6546767
Epoch: 017, Train Loss: 1.0479577, Train Acc: 0.7573333, Test Acc: 0.7720000, Train Cov: 0.5247510
Epoch: 018, Train Loss: 0.9372763, Train Acc: 0.7884444, Test Acc: 0.7800000, Train Cov: 0.4272709
Epoch: 019, Train Loss: 0.8911997, Train Acc: 0.7837778, Test Acc: 0.7700000, Train Cov: 0.3783289
Epoch: 020, Train Loss: 0.8405991, Train Acc: 0.7842222, Test Acc: 0.7920000, Train Cov: 0.3313624
Epoch: 021, Train Loss: 0.8149235, Train Acc: 0.7975556, Test Acc: 0.7840000, Train Cov: 0.3140130
Epoch: 022, Train Loss: 0.7815702, Train Acc: 0.7964444, Test Acc: 0.7940000, Train Cov: 0.2840783
Epoch: 023, Train Loss: 0.7615192, Train Acc: 0.7917778, Test Acc: 0.7940000, Train Cov: 0.2703869
Epoch: 024, Train Loss: 0.7224615, Train Acc: 0.8002222, Test Acc: 0.7860000, Train Cov: 0.2443492
Epoch: 025, Train Loss: 0.7006433, Train Acc: 0.8075556, Test Acc: 0.7920000, Train Cov: 0.2272718
Epoch: 026, Train Loss: 0.6905799, Train Acc: 0.7968889, Test Acc: 0.7900000, Train Cov: 0.2205968
Epoch: 027, Train Loss: 0.7231054, Train Acc: 0.8013333, Test Acc: 0.7880000, Train Cov: 0.2365703
Epoch: 028, Train Loss: 0.6639197, Train Acc: 0.8148889, Test Acc: 0.8080000, Train Cov: 0.1934692
Epoch: 029, Train Loss: 0.6760655, Train Acc: 0.8066667, Test Acc: 0.7820000, Train Cov: 0.1956366
Epoch: 030, Train Loss: 0.6800057, Train Acc: 0.7942222, Test Acc: 0.8040000, Train Cov: 0.1990890
Epoch: 031, Train Loss: 0.6538312, Train Acc: 0.8157778, Test Acc: 0.8040000, Train Cov: 0.1913763
Epoch: 032, Train Loss: 0.6714746, Train Acc: 0.8033333, Test Acc: 0.7860000, Train Cov: 0.2077182
Epoch: 033, Train Loss: 0.6608917, Train Acc: 0.7968889, Test Acc: 0.7880000, Train Cov: 0.1901899
Epoch: 034, Train Loss: 0.7013052, Train Acc: 0.7833333, Test Acc: 0.7960000, Train Cov: 0.2347581
Epoch: 035, Train Loss: 0.6725875, Train Acc: 0.8100000, Test Acc: 0.8060000, Train Cov: 0.1987753
Epoch: 036, Train Loss: 0.7937048, Train Acc: 0.6997778, Test Acc: 0.6640000, Train Cov: 0.2984387
Epoch: 037, Train Loss: 1.0056701, Train Acc: 0.7688889, Test Acc: 0.7760000, Train Cov: 0.4206363
Epoch: 038, Train Loss: 0.7155074, Train Acc: 0.7920000, Test Acc: 0.7800000, Train Cov: 0.2028488
Epoch: 039, Train Loss: 0.7160127, Train Acc: 0.7873333, Test Acc: 0.7960000, Train Cov: 0.2131342
Epoch: 040, Train Loss: 0.6514052, Train Acc: 0.7868889, Test Acc: 0.7680000, Train Cov: 0.1828518
Epoch: 041, Train Loss: 0.6304826, Train Acc: 0.7942222, Test Acc: 0.8020000, Train Cov: 0.1532071
Epoch: 042, Train Loss: 0.5986894, Train Acc: 0.8108889, Test Acc: 0.8020000, Train Cov: 0.1436461
Epoch: 043, Train Loss: 0.5840050, Train Acc: 0.8006667, Test Acc: 0.7940000, Train Cov: 0.1368436
Epoch: 044, Train Loss: 0.5768287, Train Acc: 0.8097778, Test Acc: 0.7960000, Train Cov: 0.1273686
Epoch: 045, Train Loss: 0.5492958, Train Acc: 0.8193333, Test Acc: 0.8000000, Train Cov: 0.1130831
Epoch: 046, Train Loss: 0.5558875, Train Acc: 0.8071111, Test Acc: 0.8060000, Train Cov: 0.1074930
Epoch: 047, Train Loss: 0.5356596, Train Acc: 0.8011111, Test Acc: 0.7700000, Train Cov: 0.1000821
Epoch: 048, Train Loss: 0.5298288, Train Acc: 0.8022222, Test Acc: 0.7800000, Train Cov: 0.0896217
Epoch: 049, Train Loss: 0.5259551, Train Acc: 0.8062222, Test Acc: 0.8020000, Train Cov: 0.0890480
