{'dataset_name': 'COLLAB', 'seed': 777, 'num_workers': 1, 'cov_weight': 0.001, 'hyperparams': {'batch_size': 32, 'epochs': 1001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 128, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'penalty', 'dropout': 0.5, 'variants': {'BN': 'Y'}}, 'commit_id': '6f55b640f8dfe79a88848eb6ac015241c8bced1e', 'time_stamp': '1612101152', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=6f55b640f8dfe79a88848eb6ac015241c8bced1e
Epoch: 001, Train Loss: 1.1057091, Train Acc: 0.6771111, Test Acc: 0.6600000, Train Cov: 168.8804169
Epoch: 002, Train Loss: 0.7907860, Train Acc: 0.7528889, Test Acc: 0.7380000, Train Cov: 108.7150650
Epoch: 003, Train Loss: 0.6541657, Train Acc: 0.7366667, Test Acc: 0.7400000, Train Cov: 49.5353088
Epoch: 004, Train Loss: 0.6011966, Train Acc: 0.7573333, Test Acc: 0.7420000, Train Cov: 31.5497437
Epoch: 005, Train Loss: 0.5684712, Train Acc: 0.7562222, Test Acc: 0.7620000, Train Cov: 23.1671734
Epoch: 006, Train Loss: 0.5660221, Train Acc: 0.7417778, Test Acc: 0.7360000, Train Cov: 18.0952721
Epoch: 007, Train Loss: 0.6935096, Train Acc: 0.7591111, Test Acc: 0.7460000, Train Cov: 68.2379837
Epoch: 008, Train Loss: 0.6067196, Train Acc: 0.7526667, Test Acc: 0.7300000, Train Cov: 34.7260551
Epoch: 009, Train Loss: 0.5446480, Train Acc: 0.7571111, Test Acc: 0.7300000, Train Cov: 13.1635923
Epoch: 010, Train Loss: 0.5242558, Train Acc: 0.7706667, Test Acc: 0.7700000, Train Cov: 5.6766939
Epoch: 011, Train Loss: 0.5266984, Train Acc: 0.7600000, Test Acc: 0.7380000, Train Cov: 6.2166700
Epoch: 012, Train Loss: 0.5159560, Train Acc: 0.7824444, Test Acc: 0.7620000, Train Cov: 7.8685470
Epoch: 013, Train Loss: 0.5027095, Train Acc: 0.7793333, Test Acc: 0.7620000, Train Cov: 6.0772672
Epoch: 014, Train Loss: 0.5207039, Train Acc: 0.7695556, Test Acc: 0.7480000, Train Cov: 7.8790660
Epoch: 015, Train Loss: 0.5095005, Train Acc: 0.7628889, Test Acc: 0.7300000, Train Cov: 9.5035057
Epoch: 016, Train Loss: 0.4997641, Train Acc: 0.7875556, Test Acc: 0.7720000, Train Cov: 5.5806022
Epoch: 017, Train Loss: 0.4950939, Train Acc: 0.7837778, Test Acc: 0.7740000, Train Cov: 5.4273138
