{'dataset_name': 'COLLAB', 'seed': 777, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 32, 'epochs': 1001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 128, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'penalty', 'dropout': 0.5, 'variants': {'BN': 'Y', 'aggr': 'add'}}, 'commit_id': 'af2891891022b30416c2e136f5543f85369c9499', 'time_stamp': '1612104270', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=af2891891022b30416c2e136f5543f85369c9499
Epoch: 001, Train Loss: 3.7741350, Train Acc: 0.6320000, Test Acc: 0.6100000, Train Cov: 422.1900024
Epoch: 002, Train Loss: 2.5158260, Train Acc: 0.6266667, Test Acc: 0.6100000, Train Cov: 393.3504333
Epoch: 003, Train Loss: 0.9616887, Train Acc: 0.6713333, Test Acc: 0.6580000, Train Cov: 410.5023499
Epoch: 004, Train Loss: 0.7993961, Train Acc: 0.6826667, Test Acc: 0.6660000, Train Cov: 400.1902161
Epoch: 005, Train Loss: 0.7641380, Train Acc: 0.6777778, Test Acc: 0.6620000, Train Cov: 412.2649231
Epoch: 006, Train Loss: 0.7208716, Train Acc: 0.6902222, Test Acc: 0.6760000, Train Cov: 396.4044495
Epoch: 007, Train Loss: 0.7532093, Train Acc: 0.7197778, Test Acc: 0.7080000, Train Cov: 399.6990051
Epoch: 008, Train Loss: 0.8339935, Train Acc: 0.7106667, Test Acc: 0.6940000, Train Cov: 401.8494263
Epoch: 009, Train Loss: 0.7393483, Train Acc: 0.7042222, Test Acc: 0.6860000, Train Cov: 400.4312134
Epoch: 010, Train Loss: 0.7909094, Train Acc: 0.7204444, Test Acc: 0.6860000, Train Cov: 409.8458252
Epoch: 011, Train Loss: 0.8118209, Train Acc: 0.7000000, Test Acc: 0.6880000, Train Cov: 414.7750549
Epoch: 012, Train Loss: 0.6606466, Train Acc: 0.7291111, Test Acc: 0.7220000, Train Cov: 414.2366333
Epoch: 013, Train Loss: 0.6358414, Train Acc: 0.7257778, Test Acc: 0.7060000, Train Cov: 408.9135132
Epoch: 014, Train Loss: 0.6209777, Train Acc: 0.7188889, Test Acc: 0.7020000, Train Cov: 392.0108643
Epoch: 015, Train Loss: 0.6190152, Train Acc: 0.7208889, Test Acc: 0.6820000, Train Cov: 416.8118591
Epoch: 016, Train Loss: 0.6067412, Train Acc: 0.7466667, Test Acc: 0.7320000, Train Cov: 420.2860107
Epoch: 017, Train Loss: 0.5887386, Train Acc: 0.7424444, Test Acc: 0.7040000, Train Cov: 396.9644165
Epoch: 018, Train Loss: 0.6134798, Train Acc: 0.7413333, Test Acc: 0.7240000, Train Cov: 380.2888794
Epoch: 019, Train Loss: 0.5896997, Train Acc: 0.7397778, Test Acc: 0.7240000, Train Cov: 379.6955566
Epoch: 020, Train Loss: 0.5703768, Train Acc: 0.7520000, Test Acc: 0.7060000, Train Cov: 389.5642395
Epoch: 021, Train Loss: 0.5737903, Train Acc: 0.7691111, Test Acc: 0.7440000, Train Cov: 386.5769653
Epoch: 022, Train Loss: 0.6015098, Train Acc: 0.7053333, Test Acc: 0.7180000, Train Cov: 385.7226562
Epoch: 023, Train Loss: 0.6291635, Train Acc: 0.7308889, Test Acc: 0.6940000, Train Cov: 418.9729919
Epoch: 024, Train Loss: 0.5971018, Train Acc: 0.7560000, Test Acc: 0.7260000, Train Cov: 409.6997986
Epoch: 025, Train Loss: 0.5907470, Train Acc: 0.7362222, Test Acc: 0.7260000, Train Cov: 434.1013489
Epoch: 026, Train Loss: 0.6072214, Train Acc: 0.7371111, Test Acc: 0.6940000, Train Cov: 428.8570862
Epoch: 027, Train Loss: 0.6490236, Train Acc: 0.7226667, Test Acc: 0.6940000, Train Cov: 409.0069275
Epoch: 028, Train Loss: 0.5832262, Train Acc: 0.7471111, Test Acc: 0.7080000, Train Cov: 440.3236389
