{'dataset_name': 'COLLAB', 'seed': 777, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 32, 'epochs': 1001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'penalty', 'dropout': 0.5, 'variants': {'BN': 'Y', 'aggr': 'add'}}, 'commit_id': '54483eb36da06d08c0cc91c1712ce24593059407', 'time_stamp': '1612146619', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=54483eb36da06d08c0cc91c1712ce24593059407
Epoch: 001, Train Loss: 7.3356030, Train Acc: 0.6720000, Test Acc: 0.6720000, Train Cov: 1751.5451660
Epoch: 002, Train Loss: 2.3811477, Train Acc: 0.7200000, Test Acc: 0.7020000, Train Cov: 2289.1745605
Epoch: 003, Train Loss: 1.4508586, Train Acc: 0.6524444, Test Acc: 0.6360000, Train Cov: 4394.0185547
Epoch: 004, Train Loss: 2.8508435, Train Acc: 0.6728889, Test Acc: 0.6960000, Train Cov: 4830.9741211
Epoch: 005, Train Loss: 2.1889102, Train Acc: 0.6553333, Test Acc: 0.6340000, Train Cov: 5407.9975586
Epoch: 006, Train Loss: 0.7170627, Train Acc: 0.7151111, Test Acc: 0.7220000, Train Cov: 5386.2314453
Epoch: 007, Train Loss: 1.1157243, Train Acc: 0.7231111, Test Acc: 0.7120000, Train Cov: 4638.8779297
Epoch: 008, Train Loss: 0.6300057, Train Acc: 0.7133333, Test Acc: 0.7160000, Train Cov: 4500.6069336
Epoch: 009, Train Loss: 0.6573321, Train Acc: 0.7386667, Test Acc: 0.7200000, Train Cov: 4446.5922852
Epoch: 010, Train Loss: 0.7337503, Train Acc: 0.7462222, Test Acc: 0.7580000, Train Cov: 4179.0541992
Epoch: 011, Train Loss: 0.5990299, Train Acc: 0.7317778, Test Acc: 0.7260000, Train Cov: 4393.9648438
Epoch: 012, Train Loss: 0.5756063, Train Acc: 0.7020000, Test Acc: 0.6820000, Train Cov: 4622.8212891
Epoch: 013, Train Loss: 0.6439008, Train Acc: 0.7288889, Test Acc: 0.7200000, Train Cov: 4291.7304688
Epoch: 014, Train Loss: 0.6219273, Train Acc: 0.7151111, Test Acc: 0.7020000, Train Cov: 4254.4106445
Epoch: 015, Train Loss: 0.5786669, Train Acc: 0.7482222, Test Acc: 0.7440000, Train Cov: 4439.5913086
Epoch: 016, Train Loss: 0.5947263, Train Acc: 0.7522222, Test Acc: 0.7460000, Train Cov: 4901.4609375
Epoch: 017, Train Loss: 0.6138430, Train Acc: 0.7704444, Test Acc: 0.7480000, Train Cov: 4363.6953125
Epoch: 018, Train Loss: 0.5756775, Train Acc: 0.7093333, Test Acc: 0.6900000, Train Cov: 4203.7875977
Epoch: 019, Train Loss: 0.6608395, Train Acc: 0.7551111, Test Acc: 0.7340000, Train Cov: 3436.4604492
Epoch: 020, Train Loss: 0.6109869, Train Acc: 0.7504444, Test Acc: 0.7360000, Train Cov: 3675.5905762
Epoch: 021, Train Loss: 0.5976478, Train Acc: 0.7468889, Test Acc: 0.7240000, Train Cov: 3154.8022461
Epoch: 022, Train Loss: 0.6028550, Train Acc: 0.7197778, Test Acc: 0.6940000, Train Cov: 3147.0380859
Epoch: 023, Train Loss: 0.5984649, Train Acc: 0.7262222, Test Acc: 0.7060000, Train Cov: 3927.3867188
Epoch: 024, Train Loss: 0.5877002, Train Acc: 0.7513333, Test Acc: 0.7120000, Train Cov: 3672.6437988
Epoch: 025, Train Loss: 0.6420549, Train Acc: 0.7208889, Test Acc: 0.7280000, Train Cov: 5065.7744141
Epoch: 026, Train Loss: 0.6055480, Train Acc: 0.7364444, Test Acc: 0.7040000, Train Cov: 5272.5917969
Epoch: 027, Train Loss: 0.5800382, Train Acc: 0.7346667, Test Acc: 0.7160000, Train Cov: 5189.9404297
Epoch: 028, Train Loss: 0.5766792, Train Acc: 0.7257778, Test Acc: 0.7000000, Train Cov: 5255.5786133
Epoch: 029, Train Loss: 0.5804403, Train Acc: 0.7266667, Test Acc: 0.7040000, Train Cov: 4765.3022461
Epoch: 030, Train Loss: 0.5684980, Train Acc: 0.7606667, Test Acc: 0.7080000, Train Cov: 5112.2392578
Epoch: 031, Train Loss: 0.6070672, Train Acc: 0.7424444, Test Acc: 0.7220000, Train Cov: 3203.8259277
Epoch: 032, Train Loss: 0.5713218, Train Acc: 0.7573333, Test Acc: 0.7160000, Train Cov: 3581.9064941
Epoch: 033, Train Loss: 0.5830273, Train Acc: 0.7544444, Test Acc: 0.7320000, Train Cov: 3691.2546387
Epoch: 034, Train Loss: 0.6165206, Train Acc: 0.7297778, Test Acc: 0.6960000, Train Cov: 2323.2358398
Epoch: 035, Train Loss: 0.6079602, Train Acc: 0.7437778, Test Acc: 0.7240000, Train Cov: 2446.3640137
Epoch: 036, Train Loss: 0.5865562, Train Acc: 0.7760000, Test Acc: 0.7380000, Train Cov: 2531.7844238
Epoch: 037, Train Loss: 0.5563177, Train Acc: 0.7695556, Test Acc: 0.7200000, Train Cov: 2664.9606934
Epoch: 038, Train Loss: 0.5618426, Train Acc: 0.7408889, Test Acc: 0.7080000, Train Cov: 3143.7409668
Epoch: 039, Train Loss: 0.5623730, Train Acc: 0.7735556, Test Acc: 0.7560000, Train Cov: 3797.5991211
Epoch: 040, Train Loss: 0.5598581, Train Acc: 0.7560000, Test Acc: 0.7420000, Train Cov: 4112.3916016
Epoch: 041, Train Loss: 0.5514329, Train Acc: 0.7173333, Test Acc: 0.6920000, Train Cov: 4779.2602539
Epoch: 042, Train Loss: 0.5577257, Train Acc: 0.7753333, Test Acc: 0.7520000, Train Cov: 4680.7827148
Epoch: 043, Train Loss: 0.5462847, Train Acc: 0.7635556, Test Acc: 0.7480000, Train Cov: 4036.2658691
Epoch: 044, Train Loss: 0.5727367, Train Acc: 0.7662222, Test Acc: 0.7460000, Train Cov: 4421.5317383
Epoch: 045, Train Loss: 0.5612066, Train Acc: 0.7735556, Test Acc: 0.7260000, Train Cov: 4732.5498047
Epoch: 046, Train Loss: 0.5536624, Train Acc: 0.7940000, Test Acc: 0.7700000, Train Cov: 4587.3447266
Epoch: 047, Train Loss: 0.5435685, Train Acc: 0.7531111, Test Acc: 0.7160000, Train Cov: 4244.6313477
Epoch: 048, Train Loss: 0.5503141, Train Acc: 0.7937778, Test Acc: 0.7540000, Train Cov: 3836.7663574
Epoch: 049, Train Loss: 0.5656064, Train Acc: 0.7784444, Test Acc: 0.7340000, Train Cov: 3600.5380859
Epoch: 050, Train Loss: 0.5411091, Train Acc: 0.8002222, Test Acc: 0.7560000, Train Cov: 2821.5856934
Epoch: 051, Train Loss: 0.5282868, Train Acc: 0.7991111, Test Acc: 0.7640000, Train Cov: 2513.2287598
Epoch: 052, Train Loss: 0.5193562, Train Acc: 0.7744444, Test Acc: 0.7360000, Train Cov: 3146.4291992
Epoch: 053, Train Loss: 0.5014142, Train Acc: 0.7855556, Test Acc: 0.7480000, Train Cov: 3524.9699707
Epoch: 054, Train Loss: 0.5003562, Train Acc: 0.8093333, Test Acc: 0.7580000, Train Cov: 3929.0312500
Epoch: 055, Train Loss: 0.4981058, Train Acc: 0.8046667, Test Acc: 0.7640000, Train Cov: 4879.2968750
Epoch: 056, Train Loss: 0.5154980, Train Acc: 0.7857778, Test Acc: 0.7400000, Train Cov: 5473.8852539
Epoch: 057, Train Loss: 0.5138815, Train Acc: 0.7611111, Test Acc: 0.7460000, Train Cov: 6388.2504883
Epoch: 058, Train Loss: 0.5123653, Train Acc: 0.7960000, Test Acc: 0.7700000, Train Cov: 10188.5273438
Epoch: 059, Train Loss: 0.5074825, Train Acc: 0.7773333, Test Acc: 0.7340000, Train Cov: 10253.1601562
Epoch: 060, Train Loss: 0.4940361, Train Acc: 0.8106667, Test Acc: 0.7740000, Train Cov: 9560.6083984
Epoch: 061, Train Loss: 0.5186225, Train Acc: 0.8048889, Test Acc: 0.7760000, Train Cov: 7058.6645508
Epoch: 062, Train Loss: 0.6221693, Train Acc: 0.7846667, Test Acc: 0.7780000, Train Cov: 15208.6455078
Epoch: 063, Train Loss: 0.5487324, Train Acc: 0.8042222, Test Acc: 0.7420000, Train Cov: 12148.8281250
Epoch: 064, Train Loss: 0.5010414, Train Acc: 0.8053333, Test Acc: 0.7640000, Train Cov: 11193.2324219
Epoch: 065, Train Loss: 0.5016393, Train Acc: 0.7893333, Test Acc: 0.7440000, Train Cov: 11104.1269531
Epoch: 066, Train Loss: 0.5068890, Train Acc: 0.7884444, Test Acc: 0.7460000, Train Cov: 12030.5107422
Epoch: 067, Train Loss: 0.4904643, Train Acc: 0.7946667, Test Acc: 0.7560000, Train Cov: 15766.3916016
Epoch: 068, Train Loss: 0.5020763, Train Acc: 0.8057778, Test Acc: 0.7500000, Train Cov: 15240.5849609
Epoch: 069, Train Loss: 0.4836032, Train Acc: 0.8004444, Test Acc: 0.7520000, Train Cov: 14931.1875000
Epoch: 070, Train Loss: 0.4767882, Train Acc: 0.8231111, Test Acc: 0.7620000, Train Cov: 13667.6191406
Epoch: 071, Train Loss: 0.4811615, Train Acc: 0.8246667, Test Acc: 0.7660000, Train Cov: 14216.7421875
Epoch: 072, Train Loss: 0.4813325, Train Acc: 0.8131111, Test Acc: 0.7880000, Train Cov: 14228.2558594
Epoch: 073, Train Loss: 0.4602677, Train Acc: 0.8240000, Test Acc: 0.7840000, Train Cov: 14829.1123047
Epoch: 074, Train Loss: 0.5023079, Train Acc: 0.8222222, Test Acc: 0.7700000, Train Cov: 16550.3261719
Epoch: 075, Train Loss: 0.4787501, Train Acc: 0.8246667, Test Acc: 0.7980000, Train Cov: 15318.1445312
Epoch: 076, Train Loss: 0.4992080, Train Acc: 0.8137778, Test Acc: 0.7700000, Train Cov: 14124.2441406
Epoch: 077, Train Loss: 0.4870588, Train Acc: 0.8277778, Test Acc: 0.7840000, Train Cov: 11579.5292969
Epoch: 078, Train Loss: 0.4746387, Train Acc: 0.8248889, Test Acc: 0.7860000, Train Cov: 15372.0478516
Epoch: 079, Train Loss: 0.4740903, Train Acc: 0.8144444, Test Acc: 0.7920000, Train Cov: 12723.4072266
Epoch: 080, Train Loss: 0.4909247, Train Acc: 0.8237778, Test Acc: 0.7800000, Train Cov: 5222.2802734
