{'dataset_name': 'COLLAB', 'seed': 777, 'num_workers': 2, 'cov_weight': 0, 'hyperparams': {'batch_size': 32, 'epochs': 1001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'penalty', 'dropout': 0.5, 'variants': {'BN': 'Y', 'aggr': 'add'}}, 'commit_id': 'dfedd416762fab1c140a4e5af58483ea41088ef5', 'time_stamp': '1612152306', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=dfedd416762fab1c140a4e5af58483ea41088ef5
Epoch: 001, Train Loss: 1.1275926, Train Acc: 0.7191111, Test Acc: 0.7160000, Train Cov: 1032.2932129
Epoch: 002, Train Loss: 0.6453026, Train Acc: 0.7368889, Test Acc: 0.7300000, Train Cov: 1263.8922119
Epoch: 003, Train Loss: 0.5686665, Train Acc: 0.7637778, Test Acc: 0.7540000, Train Cov: 1139.5117188
Epoch: 004, Train Loss: 0.5474819, Train Acc: 0.7608889, Test Acc: 0.7220000, Train Cov: 1220.6879883
Epoch: 005, Train Loss: 0.5262918, Train Acc: 0.7655556, Test Acc: 0.7080000, Train Cov: 1290.6574707
Epoch: 006, Train Loss: 0.5790587, Train Acc: 0.7677778, Test Acc: 0.7620000, Train Cov: 1299.6256104
Epoch: 007, Train Loss: 0.7044929, Train Acc: 0.7526667, Test Acc: 0.7240000, Train Cov: 1365.2797852
Epoch: 008, Train Loss: 0.6217519, Train Acc: 0.7620000, Test Acc: 0.7500000, Train Cov: 1383.9602051
Epoch: 009, Train Loss: 0.5644928, Train Acc: 0.7820000, Test Acc: 0.7580000, Train Cov: 1420.0131836
Epoch: 010, Train Loss: 0.4990005, Train Acc: 0.7642222, Test Acc: 0.7340000, Train Cov: 1581.2462158
Epoch: 011, Train Loss: 0.5147317, Train Acc: 0.7771111, Test Acc: 0.7500000, Train Cov: 1593.4820557
Epoch: 012, Train Loss: 0.4871875, Train Acc: 0.7733333, Test Acc: 0.7480000, Train Cov: 1588.3139648
Epoch: 013, Train Loss: 0.4970789, Train Acc: 0.7868889, Test Acc: 0.7660000, Train Cov: 1537.3222656
Epoch: 014, Train Loss: 0.4823613, Train Acc: 0.7602222, Test Acc: 0.7240000, Train Cov: 1634.8240967
Epoch: 015, Train Loss: 0.4696154, Train Acc: 0.7953333, Test Acc: 0.7760000, Train Cov: 1640.8328857
Epoch: 016, Train Loss: 0.4750890, Train Acc: 0.8013333, Test Acc: 0.7500000, Train Cov: 1588.6534424
Epoch: 017, Train Loss: 0.4514591, Train Acc: 0.7848889, Test Acc: 0.7480000, Train Cov: 1592.2178955
Epoch: 018, Train Loss: 0.4533223, Train Acc: 0.8066667, Test Acc: 0.7780000, Train Cov: 1712.4479980
Epoch: 019, Train Loss: 0.4573600, Train Acc: 0.7980000, Test Acc: 0.7740000, Train Cov: 1921.9493408
Epoch: 020, Train Loss: 0.4506068, Train Acc: 0.8066667, Test Acc: 0.7780000, Train Cov: 1729.3159180
Epoch: 021, Train Loss: 0.4920731, Train Acc: 0.7837778, Test Acc: 0.7520000, Train Cov: 1632.3841553
Epoch: 022, Train Loss: 0.4708859, Train Acc: 0.7968889, Test Acc: 0.7500000, Train Cov: 1698.2353516
Epoch: 023, Train Loss: 0.4549676, Train Acc: 0.8068889, Test Acc: 0.7920000, Train Cov: 1760.1644287
Epoch: 024, Train Loss: 0.4299537, Train Acc: 0.8148889, Test Acc: 0.7860000, Train Cov: 1764.1612549
Epoch: 025, Train Loss: 0.4402796, Train Acc: 0.8148889, Test Acc: 0.7900000, Train Cov: 1644.8028564
Epoch: 026, Train Loss: 0.4300733, Train Acc: 0.8208889, Test Acc: 0.7940000, Train Cov: 1677.3089600
Epoch: 027, Train Loss: 0.4608136, Train Acc: 0.8117778, Test Acc: 0.7780000, Train Cov: 1674.0418701
Epoch: 028, Train Loss: 0.8961455, Train Acc: 0.8031111, Test Acc: 0.7720000, Train Cov: 2217.4768066
Epoch: 029, Train Loss: 0.4752548, Train Acc: 0.8135556, Test Acc: 0.7720000, Train Cov: 2646.3752441
Epoch: 030, Train Loss: 0.4379795, Train Acc: 0.8040000, Test Acc: 0.7880000, Train Cov: 2632.2734375
Epoch: 031, Train Loss: 0.4379444, Train Acc: 0.8175556, Test Acc: 0.7900000, Train Cov: 2551.3986816
Epoch: 032, Train Loss: 0.4118169, Train Acc: 0.8264444, Test Acc: 0.7980000, Train Cov: 2570.9111328
Epoch: 033, Train Loss: 0.4198209, Train Acc: 0.7984444, Test Acc: 0.7680000, Train Cov: 2512.9445801
Epoch: 034, Train Loss: 0.4380263, Train Acc: 0.8253333, Test Acc: 0.7720000, Train Cov: 2495.2697754
Epoch: 035, Train Loss: 0.4747072, Train Acc: 0.8322222, Test Acc: 0.7820000, Train Cov: 2535.7534180
Epoch: 036, Train Loss: 0.4153283, Train Acc: 0.8166667, Test Acc: 0.7800000, Train Cov: 2503.9465332
Epoch: 037, Train Loss: 0.4107182, Train Acc: 0.8213333, Test Acc: 0.8020000, Train Cov: 2548.9123535
Epoch: 038, Train Loss: 0.4053039, Train Acc: 0.8295556, Test Acc: 0.7980000, Train Cov: 2490.1755371
Epoch: 039, Train Loss: 0.4102076, Train Acc: 0.8302222, Test Acc: 0.7920000, Train Cov: 2469.9099121
Epoch: 040, Train Loss: 0.4159064, Train Acc: 0.8093333, Test Acc: 0.7900000, Train Cov: 2373.3095703
Epoch: 041, Train Loss: 0.4036434, Train Acc: 0.8315556, Test Acc: 0.8040000, Train Cov: 2562.4816895
Epoch: 042, Train Loss: 0.4287974, Train Acc: 0.8202222, Test Acc: 0.7980000, Train Cov: 2402.8579102
Epoch: 043, Train Loss: 0.4126918, Train Acc: 0.8262222, Test Acc: 0.7940000, Train Cov: 2343.9973145
Epoch: 044, Train Loss: 0.3946364, Train Acc: 0.8368889, Test Acc: 0.7860000, Train Cov: 2448.0175781
Epoch: 045, Train Loss: 0.3864982, Train Acc: 0.8393333, Test Acc: 0.8100000, Train Cov: 2536.0065918
Epoch: 046, Train Loss: 0.4019086, Train Acc: 0.8375556, Test Acc: 0.8020000, Train Cov: 2290.5356445
Epoch: 047, Train Loss: 0.3976615, Train Acc: 0.8380000, Test Acc: 0.7900000, Train Cov: 2445.0461426
Epoch: 048, Train Loss: 0.3770266, Train Acc: 0.8337778, Test Acc: 0.7980000, Train Cov: 2334.9501953
Epoch: 049, Train Loss: 0.3826500, Train Acc: 0.8413333, Test Acc: 0.8020000, Train Cov: 2462.0654297
Epoch: 050, Train Loss: 0.3867070, Train Acc: 0.8462222, Test Acc: 0.7940000, Train Cov: 2365.9621582
Epoch: 051, Train Loss: 0.3700316, Train Acc: 0.8382222, Test Acc: 0.7980000, Train Cov: 2338.8522949
Epoch: 052, Train Loss: 0.3526054, Train Acc: 0.8406667, Test Acc: 0.7880000, Train Cov: 2344.7458496
Epoch: 053, Train Loss: 0.3631639, Train Acc: 0.8428889, Test Acc: 0.7900000, Train Cov: 2404.0502930
