{'dataset_name': 'COLLAB', 'seed': 777, 'num_workers': 2, 'cov_weight': 1.0, 'hyperparams': {'batch_size': 32, 'epochs': 1001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'penalty', 'dropout': 0.5, 'variants': {'BN': 'Y', 'aggr': 'add'}}, 'commit_id': 'dfedd416762fab1c140a4e5af58483ea41088ef5', 'time_stamp': '1612156766', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=dfedd416762fab1c140a4e5af58483ea41088ef5
Epoch: 001, Train Loss: 76.0642407, Train Acc: 0.6435556, Test Acc: 0.6340000, Train Cov: 74.6408081
Epoch: 002, Train Loss: 8.7775758, Train Acc: 0.6522222, Test Acc: 0.6480000, Train Cov: 7.9381633
Epoch: 003, Train Loss: 7.3580791, Train Acc: 0.6460000, Test Acc: 0.6400000, Train Cov: 6.4888601
Epoch: 004, Train Loss: 4.8531070, Train Acc: 0.6464444, Test Acc: 0.6420000, Train Cov: 4.0017757
Epoch: 005, Train Loss: 3.4017106, Train Acc: 0.6417778, Test Acc: 0.6420000, Train Cov: 2.5516126
Epoch: 006, Train Loss: 3.0288973, Train Acc: 0.6382222, Test Acc: 0.6360000, Train Cov: 2.2063148
Epoch: 007, Train Loss: 2.5433709, Train Acc: 0.6264444, Test Acc: 0.6280000, Train Cov: 1.6717206
Epoch: 008, Train Loss: 1.6053733, Train Acc: 0.6260000, Test Acc: 0.6180000, Train Cov: 0.7730728
Epoch: 009, Train Loss: 3.6314467, Train Acc: 0.6406667, Test Acc: 0.6280000, Train Cov: 2.7972491
Epoch: 010, Train Loss: 7.0588675, Train Acc: 0.6217778, Test Acc: 0.6040000, Train Cov: 6.2368217
Epoch: 011, Train Loss: 1.5486635, Train Acc: 0.6477778, Test Acc: 0.6360000, Train Cov: 0.7359093
Epoch: 012, Train Loss: 1.0499785, Train Acc: 0.6444444, Test Acc: 0.6320000, Train Cov: 0.2484572
Epoch: 013, Train Loss: 0.9754619, Train Acc: 0.6444444, Test Acc: 0.6400000, Train Cov: 0.1672736
Epoch: 014, Train Loss: 0.9769948, Train Acc: 0.6737778, Test Acc: 0.6620000, Train Cov: 0.1494187
Epoch: 015, Train Loss: 0.9120560, Train Acc: 0.6735556, Test Acc: 0.6540000, Train Cov: 0.1469446
Epoch: 016, Train Loss: 0.9049540, Train Acc: 0.6840000, Test Acc: 0.6740000, Train Cov: 0.1630399
Epoch: 017, Train Loss: 0.8703655, Train Acc: 0.6997778, Test Acc: 0.6880000, Train Cov: 0.1541973
Epoch: 018, Train Loss: 0.8159152, Train Acc: 0.6880000, Test Acc: 0.6760000, Train Cov: 0.1407920
Epoch: 019, Train Loss: 0.7981301, Train Acc: 0.7033333, Test Acc: 0.6860000, Train Cov: 0.1227825
Epoch: 020, Train Loss: 0.7698673, Train Acc: 0.7166667, Test Acc: 0.7000000, Train Cov: 0.1256430
Epoch: 021, Train Loss: 0.8163871, Train Acc: 0.7337778, Test Acc: 0.7120000, Train Cov: 0.1593828
Epoch: 022, Train Loss: 0.7786226, Train Acc: 0.7313333, Test Acc: 0.7120000, Train Cov: 0.1379006
Epoch: 023, Train Loss: 0.7604037, Train Acc: 0.7426667, Test Acc: 0.7300000, Train Cov: 0.1202342
Epoch: 024, Train Loss: 0.7138834, Train Acc: 0.7277778, Test Acc: 0.7080000, Train Cov: 0.0977184
Epoch: 025, Train Loss: 0.7718208, Train Acc: 0.7555556, Test Acc: 0.7320000, Train Cov: 0.1424320
Epoch: 026, Train Loss: 26.5796835, Train Acc: 0.7586667, Test Acc: 0.7480000, Train Cov: 25.9684620
Epoch: 027, Train Loss: 3.7522744, Train Acc: 0.7595556, Test Acc: 0.7440000, Train Cov: 3.1450863
Epoch: 028, Train Loss: 1.7227494, Train Acc: 0.7633333, Test Acc: 0.7500000, Train Cov: 1.1039491
Epoch: 029, Train Loss: 1.2721697, Train Acc: 0.7600000, Test Acc: 0.7580000, Train Cov: 0.6594580
Epoch: 030, Train Loss: 1.0749546, Train Acc: 0.7435556, Test Acc: 0.7340000, Train Cov: 0.4745721
Epoch: 031, Train Loss: 1.5951213, Train Acc: 0.7377778, Test Acc: 0.7360000, Train Cov: 1.0027090
Epoch: 032, Train Loss: 2.8468518, Train Acc: 0.7655556, Test Acc: 0.7520000, Train Cov: 2.2668378
Epoch: 033, Train Loss: 1.9595784, Train Acc: 0.7528889, Test Acc: 0.7580000, Train Cov: 1.3679104
Epoch: 034, Train Loss: 1.6201331, Train Acc: 0.7346667, Test Acc: 0.6900000, Train Cov: 1.0281034
Epoch: 035, Train Loss: 1.9203789, Train Acc: 0.7604444, Test Acc: 0.7560000, Train Cov: 1.3364561
Epoch: 036, Train Loss: 3.9482369, Train Acc: 0.7508889, Test Acc: 0.7480000, Train Cov: 3.3664207
Epoch: 037, Train Loss: 1.3537264, Train Acc: 0.7380000, Test Acc: 0.7380000, Train Cov: 0.7679669
Epoch: 038, Train Loss: 1.0852393, Train Acc: 0.7622222, Test Acc: 0.7440000, Train Cov: 0.4995573
Epoch: 039, Train Loss: 2.5477391, Train Acc: 0.7484444, Test Acc: 0.7220000, Train Cov: 1.9617773
Epoch: 040, Train Loss: 4.0263363, Train Acc: 0.7593333, Test Acc: 0.7640000, Train Cov: 3.4406550
Epoch: 041, Train Loss: 1.4002971, Train Acc: 0.7511111, Test Acc: 0.7460000, Train Cov: 0.8172798
Epoch: 042, Train Loss: 1.1339509, Train Acc: 0.7555556, Test Acc: 0.7460000, Train Cov: 0.5510616
Epoch: 043, Train Loss: 1.5217397, Train Acc: 0.7500000, Test Acc: 0.7220000, Train Cov: 0.9407426
Epoch: 044, Train Loss: 2.1605223, Train Acc: 0.7588889, Test Acc: 0.7580000, Train Cov: 1.5742245
Epoch: 045, Train Loss: 1.9813420, Train Acc: 0.7568889, Test Acc: 0.7500000, Train Cov: 1.4001478
Epoch: 046, Train Loss: 1.9823950, Train Acc: 0.7557778, Test Acc: 0.7440000, Train Cov: 1.3845865
Epoch: 047, Train Loss: 2.3340569, Train Acc: 0.7475556, Test Acc: 0.7420000, Train Cov: 1.7660910
Epoch: 048, Train Loss: 2.6510420, Train Acc: 0.7502222, Test Acc: 0.7140000, Train Cov: 2.0771494
Epoch: 049, Train Loss: 2.2413862, Train Acc: 0.7520000, Test Acc: 0.7280000, Train Cov: 1.6632246
Epoch: 050, Train Loss: 2.1158069, Train Acc: 0.7455556, Test Acc: 0.7340000, Train Cov: 1.5295769
Epoch: 051, Train Loss: 1.2317041, Train Acc: 0.7335556, Test Acc: 0.7360000, Train Cov: 0.6714904
