{'dataset_name': 'COLLAB', 'seed': 777, 'num_workers': 1, 'cov_weight': 0.01, 'hyperparams': {'batch_size': 32, 'epochs': 1001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 128, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'penalty', 'dropout': 0.5, 'exps': 4, 'variants': {'BN': 'Y', 'aggr': 'add'}}, 'commit_id': 'b43f19535aacb936d2e2d0b0827a6153ac695358', 'time_stamp': '1612170970', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=b43f19535aacb936d2e2d0b0827a6153ac695358
Epoch: 001, Train Loss: 5.9118222, Train Acc: 0.6893333, Test Acc: 0.6740000, Train Cov: 293.4715576
Epoch: 002, Train Loss: 4.7040208, Train Acc: 0.6844444, Test Acc: 0.6680000, Train Cov: 250.6128387
Epoch: 003, Train Loss: 2.5553204, Train Acc: 0.6671111, Test Acc: 0.6440000, Train Cov: 147.4432983
Epoch: 004, Train Loss: 1.3792556, Train Acc: 0.7066667, Test Acc: 0.6840000, Train Cov: 50.2903023
Epoch: 005, Train Loss: 1.2839620, Train Acc: 0.6675556, Test Acc: 0.6440000, Train Cov: 42.7145805
Epoch: 006, Train Loss: 2.1798252, Train Acc: 0.6548889, Test Acc: 0.6440000, Train Cov: 115.6451569
Epoch: 007, Train Loss: 1.4605217, Train Acc: 0.6537778, Test Acc: 0.6320000, Train Cov: 63.7533836
Epoch: 008, Train Loss: 1.4460623, Train Acc: 0.6682222, Test Acc: 0.6520000, Train Cov: 60.6609459
Epoch: 009, Train Loss: 1.7524376, Train Acc: 0.5982222, Test Acc: 0.5820000, Train Cov: 61.6194649
Epoch: 010, Train Loss: 2.1665665, Train Acc: 0.5968889, Test Acc: 0.5820000, Train Cov: 95.2953644
Epoch: 011, Train Loss: 1.6207869, Train Acc: 0.6606667, Test Acc: 0.6380000, Train Cov: 74.8462524
Epoch: 012, Train Loss: 0.8994520, Train Acc: 0.6597778, Test Acc: 0.6520000, Train Cov: 14.2661848
