{'dataset_name': 'COLLAB', 'seed': 777, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 32, 'epochs': 1001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 128, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'penalty', 'dropout': 0.5, 'exps': 4, 'variants': {'BN': 'Y', 'aggr': 'add'}}, 'commit_id': 'b43f19535aacb936d2e2d0b0827a6153ac695358', 'time_stamp': '1612171292', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=b43f19535aacb936d2e2d0b0827a6153ac695358
Epoch: 001, Train Loss: 3.4201375, Train Acc: 0.6606667, Test Acc: 0.6540000, Train Cov: 683.0839844
Epoch: 002, Train Loss: 2.2194803, Train Acc: 0.6008889, Test Acc: 0.5760000, Train Cov: 903.8411255
Epoch: 003, Train Loss: 2.5464397, Train Acc: 0.6644444, Test Acc: 0.6440000, Train Cov: 783.0165405
Epoch: 004, Train Loss: 0.9722153, Train Acc: 0.6684444, Test Acc: 0.6460000, Train Cov: 778.8685303
Epoch: 005, Train Loss: 0.9699834, Train Acc: 0.6673333, Test Acc: 0.6460000, Train Cov: 815.7390137
Epoch: 006, Train Loss: 0.9157208, Train Acc: 0.6242222, Test Acc: 0.5940000, Train Cov: 749.7941284
Epoch: 007, Train Loss: 0.8440252, Train Acc: 0.6604444, Test Acc: 0.6400000, Train Cov: 661.2092896
Epoch: 008, Train Loss: 0.9725795, Train Acc: 0.6537778, Test Acc: 0.6360000, Train Cov: 662.7362061
Epoch: 009, Train Loss: 0.8238959, Train Acc: 0.6597778, Test Acc: 0.6500000, Train Cov: 659.7662354
Epoch: 010, Train Loss: 0.8479565, Train Acc: 0.6622222, Test Acc: 0.6460000, Train Cov: 585.0245361
Epoch: 011, Train Loss: 0.8859347, Train Acc: 0.6631111, Test Acc: 0.6440000, Train Cov: 639.7686157
Epoch: 012, Train Loss: 0.8391851, Train Acc: 0.6626667, Test Acc: 0.6440000, Train Cov: 562.5052490
