{'dataset_name': 'COLLAB', 'seed': 777, 'num_workers': 1, 'cov_weight': 0.1, 'hyperparams': {'batch_size': 32, 'epochs': 1001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 128, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'penalty', 'dropout': 0.5, 'BN': 'Y', 'exps': 4, 'aggr': 'add'}, 'commit_id': 'a9664b1ebf4443124ca901eb8a2f929ed834c70e', 'time_stamp': '1612172743', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=a9664b1ebf4443124ca901eb8a2f929ed834c70e
Epoch: 001, Train Loss: 2.9926773, Train Acc: 0.6468889, Test Acc: 0.6280000, Train Cov: 19.5047493
Epoch: 002, Train Loss: 0.8033243, Train Acc: 0.6915556, Test Acc: 0.6700000, Train Cov: 0.3137735
Epoch: 003, Train Loss: 1.0106031, Train Acc: 0.6997778, Test Acc: 0.6780000, Train Cov: 2.3252435
Epoch: 004, Train Loss: 0.7929465, Train Acc: 0.7002222, Test Acc: 0.6760000, Train Cov: 0.1614233
Epoch: 005, Train Loss: 0.7150874, Train Acc: 0.6968889, Test Acc: 0.6800000, Train Cov: 0.0847523
Epoch: 006, Train Loss: 0.7953481, Train Acc: 0.6864444, Test Acc: 0.6740000, Train Cov: 1.0741273
Epoch: 007, Train Loss: 0.9337560, Train Acc: 0.6822222, Test Acc: 0.6700000, Train Cov: 1.4474521
Epoch: 008, Train Loss: 0.7598923, Train Acc: 0.6762222, Test Acc: 0.6600000, Train Cov: 0.1144354
Epoch: 009, Train Loss: 0.6967958, Train Acc: 0.6873333, Test Acc: 0.6580000, Train Cov: 0.0512209
Epoch: 010, Train Loss: 0.7117231, Train Acc: 0.6942222, Test Acc: 0.6580000, Train Cov: 0.0763655
Epoch: 011, Train Loss: 0.6648795, Train Acc: 0.7046667, Test Acc: 0.6780000, Train Cov: 0.0460594
Epoch: 012, Train Loss: 0.6590364, Train Acc: 0.7106667, Test Acc: 0.6920000, Train Cov: 0.0351247
Epoch: 013, Train Loss: 0.6566221, Train Acc: 0.7084444, Test Acc: 0.6720000, Train Cov: 0.0246313
Epoch: 014, Train Loss: 0.6507340, Train Acc: 0.7071111, Test Acc: 0.6880000, Train Cov: 0.0740119
Epoch: 015, Train Loss: 0.6262765, Train Acc: 0.7057778, Test Acc: 0.6720000, Train Cov: 0.0396597
Epoch: 016, Train Loss: 2.8945499, Train Acc: 0.6620000, Test Acc: 0.6360000, Train Cov: 21.6422806
Epoch: 017, Train Loss: 13.1975703, Train Acc: 0.6388889, Test Acc: 0.6140000, Train Cov: 119.8120728
Epoch: 018, Train Loss: 3.7054716, Train Acc: 0.6262222, Test Acc: 0.6080000, Train Cov: 27.0972214
Epoch: 019, Train Loss: 3.1521281, Train Acc: 0.5940000, Test Acc: 0.5720000, Train Cov: 22.1107712
Epoch: 020, Train Loss: 2.5626054, Train Acc: 0.5851111, Test Acc: 0.5700000, Train Cov: 15.9054480
Epoch: 021, Train Loss: 2.1732650, Train Acc: 0.6355556, Test Acc: 0.6180000, Train Cov: 12.3780384
Epoch: 022, Train Loss: 2.0390971, Train Acc: 0.6615556, Test Acc: 0.6540000, Train Cov: 11.3773642
Epoch: 023, Train Loss: 1.8571771, Train Acc: 0.6448889, Test Acc: 0.6260000, Train Cov: 9.6164579
Epoch: 024, Train Loss: 2.1531417, Train Acc: 0.6280000, Test Acc: 0.6060000, Train Cov: 12.3977890
Epoch: 025, Train Loss: 1.8657736, Train Acc: 0.6515556, Test Acc: 0.6460000, Train Cov: 9.4988585
Epoch: 026, Train Loss: 2.1431624, Train Acc: 0.6320000, Test Acc: 0.6200000, Train Cov: 12.3428345
Epoch: 027, Train Loss: 2.8212632, Train Acc: 0.6557778, Test Acc: 0.6440000, Train Cov: 18.7215862
Epoch: 028, Train Loss: 7.8735799, Train Acc: 0.5988889, Test Acc: 0.5700000, Train Cov: 69.2087402
Epoch: 029, Train Loss: 3.8900930, Train Acc: 0.5224444, Test Acc: 0.4960000, Train Cov: 29.0496082
Epoch: 030, Train Loss: 3.6730493, Train Acc: 0.6242222, Test Acc: 0.5960000, Train Cov: 27.0092220
Epoch: 031, Train Loss: 2.6097291, Train Acc: 0.5815556, Test Acc: 0.5620000, Train Cov: 15.9453125
Epoch: 032, Train Loss: 2.3500548, Train Acc: 0.6177778, Test Acc: 0.6020000, Train Cov: 14.2408886
Epoch: 033, Train Loss: 2.2974437, Train Acc: 0.6473333, Test Acc: 0.6400000, Train Cov: 13.9286251
Epoch: 034, Train Loss: 4.6482428, Train Acc: 0.6251111, Test Acc: 0.6080000, Train Cov: 37.1675682
Epoch: 035, Train Loss: 2.1292455, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 11.4884367
Epoch: 036, Train Loss: 1.9046338, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 9.0797625
Epoch: 037, Train Loss: 1.7185047, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 7.2422671
Epoch: 038, Train Loss: 1.8752482, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 8.8196421
Epoch: 039, Train Loss: 1.7274390, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 7.3448596
Epoch: 040, Train Loss: 1.7506410, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 7.5775485
Epoch: 041, Train Loss: 1.6165752, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 6.2384515
Epoch: 042, Train Loss: 2.5765206, Train Acc: 0.5148889, Test Acc: 0.4960000, Train Cov: 15.8386497
Epoch: 043, Train Loss: 3.7977720, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 27.8801708
Epoch: 044, Train Loss: 3.8429366, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 28.5099297
Epoch: 045, Train Loss: 3.3952921, Train Acc: 0.5191111, Test Acc: 0.4920000, Train Cov: 24.0173779
Epoch: 046, Train Loss: 2.9020952, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 18.1887684
Epoch: 047, Train Loss: 2.7269473, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 17.3423042
Epoch: 048, Train Loss: 2.2362274, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 12.4349346
Epoch: 049, Train Loss: 2.2878460, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 12.9516163
Epoch: 050, Train Loss: 2.2981909, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 13.0626879
Epoch: 051, Train Loss: 2.2857727, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 12.8291798
