{'dataset_name': 'COLLAB', 'seed': 777, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 32, 'epochs': 1001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 128, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'penalty', 'dropout': 0.5, 'BN': 'Y', 'exps': 4, 'aggr': 'add'}, 'commit_id': 'a9664b1ebf4443124ca901eb8a2f929ed834c70e', 'time_stamp': '1612173039', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=a9664b1ebf4443124ca901eb8a2f929ed834c70e
Epoch: 001, Train Loss: 1.2786095, Train Acc: 0.6686667, Test Acc: 0.6480000, Train Cov: 508.8413391
Epoch: 002, Train Loss: 0.8106759, Train Acc: 0.6617778, Test Acc: 0.6480000, Train Cov: 407.7843628
Epoch: 003, Train Loss: 0.7644245, Train Acc: 0.6944444, Test Acc: 0.6780000, Train Cov: 376.2259521
Epoch: 004, Train Loss: 0.7109637, Train Acc: 0.7017778, Test Acc: 0.6780000, Train Cov: 333.1372375
Epoch: 005, Train Loss: 0.6850062, Train Acc: 0.7113333, Test Acc: 0.6800000, Train Cov: 451.2047424
Epoch: 006, Train Loss: 0.6300956, Train Acc: 0.6813333, Test Acc: 0.6560000, Train Cov: 490.4169006
Epoch: 007, Train Loss: 0.6391860, Train Acc: 0.7166667, Test Acc: 0.6900000, Train Cov: 391.5997314
Epoch: 008, Train Loss: 0.6909868, Train Acc: 0.7048889, Test Acc: 0.6800000, Train Cov: 395.8412781
Epoch: 009, Train Loss: 0.6522625, Train Acc: 0.6853333, Test Acc: 0.6740000, Train Cov: 582.2768555
Epoch: 010, Train Loss: 0.6398576, Train Acc: 0.7048889, Test Acc: 0.6780000, Train Cov: 492.4656067
Epoch: 011, Train Loss: 0.6163941, Train Acc: 0.6731111, Test Acc: 0.6800000, Train Cov: 448.3274841
Epoch: 012, Train Loss: 0.5826893, Train Acc: 0.7164444, Test Acc: 0.6880000, Train Cov: 588.3309937
Epoch: 013, Train Loss: 0.5737091, Train Acc: 0.7140000, Test Acc: 0.6920000, Train Cov: 633.6848755
Epoch: 014, Train Loss: 0.5677238, Train Acc: 0.6991111, Test Acc: 0.6820000, Train Cov: 565.5127563
Epoch: 015, Train Loss: 0.8996718, Train Acc: 0.6282222, Test Acc: 0.6140000, Train Cov: 512.0701294
Epoch: 016, Train Loss: 1.0626971, Train Acc: 0.5620000, Test Acc: 0.5320000, Train Cov: 377.9274902
Epoch: 017, Train Loss: 0.9649648, Train Acc: 0.6262222, Test Acc: 0.6060000, Train Cov: 379.9216919
Epoch: 018, Train Loss: 0.9949118, Train Acc: 0.5866667, Test Acc: 0.5440000, Train Cov: 338.0012512
Epoch: 019, Train Loss: 0.9147883, Train Acc: 0.6026667, Test Acc: 0.5720000, Train Cov: 310.2236633
Epoch: 020, Train Loss: 0.8715229, Train Acc: 0.6617778, Test Acc: 0.6440000, Train Cov: 271.4237976
Epoch: 021, Train Loss: 0.9095993, Train Acc: 0.6404444, Test Acc: 0.6100000, Train Cov: 308.5191345
Epoch: 022, Train Loss: 0.8449536, Train Acc: 0.6486667, Test Acc: 0.6200000, Train Cov: 314.7496948
Epoch: 023, Train Loss: 0.8538704, Train Acc: 0.6380000, Test Acc: 0.6040000, Train Cov: 426.0860901
Epoch: 024, Train Loss: 0.8614592, Train Acc: 0.6477778, Test Acc: 0.6160000, Train Cov: 299.8251648
Epoch: 025, Train Loss: 0.8485077, Train Acc: 0.6471111, Test Acc: 0.6140000, Train Cov: 372.2368469
Epoch: 026, Train Loss: 0.8624751, Train Acc: 0.6722222, Test Acc: 0.6480000, Train Cov: 382.9973145
Epoch: 027, Train Loss: 1.0364787, Train Acc: 0.6313333, Test Acc: 0.6060000, Train Cov: 392.1191711
Epoch: 028, Train Loss: 0.8398228, Train Acc: 0.6680000, Test Acc: 0.6480000, Train Cov: 334.2220764
Epoch: 029, Train Loss: 0.8702141, Train Acc: 0.6391111, Test Acc: 0.6060000, Train Cov: 307.6960754
Epoch: 030, Train Loss: 0.8437360, Train Acc: 0.6551111, Test Acc: 0.6360000, Train Cov: 338.6555176
Epoch: 031, Train Loss: 0.8666635, Train Acc: 0.6775556, Test Acc: 0.6580000, Train Cov: 338.9485168
Epoch: 032, Train Loss: 0.8163037, Train Acc: 0.6746667, Test Acc: 0.6520000, Train Cov: 394.9860229
Epoch: 033, Train Loss: 0.8742496, Train Acc: 0.6491111, Test Acc: 0.6280000, Train Cov: 431.5722046
Epoch: 034, Train Loss: 0.8634072, Train Acc: 0.6466667, Test Acc: 0.6200000, Train Cov: 451.0468140
Epoch: 035, Train Loss: 0.8386676, Train Acc: 0.6602222, Test Acc: 0.6380000, Train Cov: 438.1289978
Epoch: 036, Train Loss: 0.8523741, Train Acc: 0.6657778, Test Acc: 0.6420000, Train Cov: 448.7181091
Epoch: 037, Train Loss: 0.8623798, Train Acc: 0.6068889, Test Acc: 0.5720000, Train Cov: 411.9938049
Epoch: 038, Train Loss: 0.8611418, Train Acc: 0.6671111, Test Acc: 0.6400000, Train Cov: 415.2305603
Epoch: 039, Train Loss: 1.1199031, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 504.5520630
Epoch: 040, Train Loss: 1.0004675, Train Acc: 0.5660000, Test Acc: 0.5320000, Train Cov: 402.1583252
Epoch: 041, Train Loss: 0.9666312, Train Acc: 0.5891111, Test Acc: 0.5520000, Train Cov: 367.1474609
Epoch: 042, Train Loss: 0.8954891, Train Acc: 0.6760000, Test Acc: 0.6540000, Train Cov: 318.6362610
Epoch: 043, Train Loss: 0.9379680, Train Acc: 0.6128889, Test Acc: 0.5760000, Train Cov: 325.3300171
Epoch: 044, Train Loss: 0.9075231, Train Acc: 0.6144444, Test Acc: 0.5860000, Train Cov: 310.0169678
Epoch: 045, Train Loss: 0.9110746, Train Acc: 0.5973333, Test Acc: 0.5740000, Train Cov: 247.3050537
Epoch: 046, Train Loss: 0.8931905, Train Acc: 0.6422222, Test Acc: 0.6200000, Train Cov: 284.7989502
Epoch: 047, Train Loss: 1.2777408, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 303.9351807
Epoch: 048, Train Loss: 0.9978203, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 398.1103516
Epoch: 049, Train Loss: 0.9942884, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 402.7632141
Epoch: 050, Train Loss: 0.9932220, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 414.3714905
Epoch: 051, Train Loss: 0.9928820, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 406.6717834
Epoch: 052, Train Loss: 0.9927952, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 410.0225525
Epoch: 053, Train Loss: 0.9927452, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 411.1784668
Epoch: 054, Train Loss: 0.9926886, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 406.2795715
Epoch: 055, Train Loss: 0.9926774, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 412.6744080
Epoch: 056, Train Loss: 0.9926932, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 409.4120789
Epoch: 057, Train Loss: 0.9927095, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 392.7042236
Epoch: 058, Train Loss: 0.9926909, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 410.0940247
Epoch: 059, Train Loss: 0.9926780, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 414.4943542
Epoch: 060, Train Loss: 0.9926806, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 411.1313477
Epoch: 061, Train Loss: 0.9926891, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 407.0160217
Epoch: 062, Train Loss: 0.9927155, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 413.8438721
Epoch: 063, Train Loss: 0.9927365, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 409.8886719
Epoch: 064, Train Loss: 0.9926854, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 410.7612000
Epoch: 065, Train Loss: 0.9927113, Train Acc: 0.5226667, Test Acc: 0.4960000, Train Cov: 407.5868530
