{'dataset_name': 'COLLAB', 'seed': 777, 'num_workers': 1, 'cov_weight': 0.001, 'hyperparams': {'batch_size': 32, 'epochs': 1001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'penalty', 'dropout': 0.5, 'BN': 'Y', 'exps': 2, 'aggr': 'add'}, 'commit_id': 'fe00d28e2a2ad86e3615e51fcc38e414016d9211', 'time_stamp': '1612187223', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=fe00d28e2a2ad86e3615e51fcc38e414016d9211
Epoch: 001, Train Loss: 5.8636454, Train Acc: 0.7133333, Test Acc: 0.6800000, Train Cov: 1166.2631836
Epoch: 002, Train Loss: 2.8002204, Train Acc: 0.6897778, Test Acc: 0.6620000, Train Cov: 876.5286865
Epoch: 003, Train Loss: 1.9437841, Train Acc: 0.6920000, Test Acc: 0.6760000, Train Cov: 508.9505615
Epoch: 004, Train Loss: 3.3935240, Train Acc: 0.5900000, Test Acc: 0.6080000, Train Cov: 832.5538330
Epoch: 005, Train Loss: 1.6707798, Train Acc: 0.7508889, Test Acc: 0.7340000, Train Cov: 359.0691528
Epoch: 006, Train Loss: 2.2425064, Train Acc: 0.7495556, Test Acc: 0.7300000, Train Cov: 455.2558289
Epoch: 007, Train Loss: 0.7904952, Train Acc: 0.7555556, Test Acc: 0.7260000, Train Cov: 124.4700699
Epoch: 008, Train Loss: 1.1731707, Train Acc: 0.7182222, Test Acc: 0.7080000, Train Cov: 516.4143677
Epoch: 009, Train Loss: 4.2185722, Train Acc: 0.6997778, Test Acc: 0.6780000, Train Cov: 679.2972412
Epoch: 010, Train Loss: 2.3987937, Train Acc: 0.7115556, Test Acc: 0.7060000, Train Cov: 437.7254333
Epoch: 011, Train Loss: 0.9603563, Train Acc: 0.7555556, Test Acc: 0.7360000, Train Cov: 133.7557526
