{'dataset_name': 'COLLAB', 'seed': 555, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 32, 'epochs': 1001, 'learning_rate': 0.002, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'penalty', 'dropout': 0.5, 'BN': 'Y', 'exps': 2, 'aggr': 'add'}, 'commit_id': '2ba1fd7980dcfd6125964c280caf9ac16f267a5a', 'time_stamp': '1612255404', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=2ba1fd7980dcfd6125964c280caf9ac16f267a5a
Epoch: 001, Train Loss: 4.3422617, Train Acc: 0.6588889, Test Acc: 0.6360000, Train Cov: 13366.6679688
Epoch: 002, Train Loss: 1.3119467, Train Acc: 0.7200000, Test Acc: 0.6840000, Train Cov: 24006.4179688
Epoch: 003, Train Loss: 0.9021493, Train Acc: 0.6915556, Test Acc: 0.6720000, Train Cov: 30072.0820312
Epoch: 004, Train Loss: 4.8449474, Train Acc: 0.6855556, Test Acc: 0.6860000, Train Cov: 39089.0390625
Epoch: 005, Train Loss: 4.5146768, Train Acc: 0.6513333, Test Acc: 0.6580000, Train Cov: 49495.0742188
Epoch: 006, Train Loss: 3.3646623, Train Acc: 0.6100000, Test Acc: 0.5940000, Train Cov: 51076.3750000
Epoch: 007, Train Loss: 8.0284261, Train Acc: 0.6602222, Test Acc: 0.6360000, Train Cov: 67195.5156250
Epoch: 008, Train Loss: 4.7160476, Train Acc: 0.6460000, Test Acc: 0.6360000, Train Cov: 113105.6640625
Epoch: 009, Train Loss: 5.3509936, Train Acc: 0.6604444, Test Acc: 0.6480000, Train Cov: 108002.1718750
Epoch: 010, Train Loss: 0.9867609, Train Acc: 0.6744444, Test Acc: 0.6740000, Train Cov: 102390.0234375
Epoch: 011, Train Loss: 2.0798479, Train Acc: 0.6573333, Test Acc: 0.6420000, Train Cov: 95732.9453125
Epoch: 012, Train Loss: 0.9026830, Train Acc: 0.6562222, Test Acc: 0.6320000, Train Cov: 85085.7890625
Epoch: 013, Train Loss: 1.8197665, Train Acc: 0.6586667, Test Acc: 0.6500000, Train Cov: 85277.6484375
