{'dataset_name': 'COLLAB', 'seed': 555, 'num_workers': 1, 'cov_weight': 0.01, 'hyperparams': {'batch_size': 32, 'epochs': 1001, 'learning_rate': 0.002, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'penalty', 'dropout': 0.5, 'BN': 'Y', 'exps': 1, 'aggr': 'add'}, 'commit_id': '2ba1fd7980dcfd6125964c280caf9ac16f267a5a', 'time_stamp': '1612278010', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=2ba1fd7980dcfd6125964c280caf9ac16f267a5a
Epoch: 001, Train Loss: 11.9688739, Train Acc: 0.6568889, Test Acc: 0.6380000, Train Cov: 434.2436829
Epoch: 002, Train Loss: 3.0460578, Train Acc: 0.6833333, Test Acc: 0.6920000, Train Cov: 136.7108765
Epoch: 003, Train Loss: 1.5319614, Train Acc: 0.7177778, Test Acc: 0.6900000, Train Cov: 67.9551010
Epoch: 004, Train Loss: 1.4256443, Train Acc: 0.6493333, Test Acc: 0.6500000, Train Cov: 62.0194168
Epoch: 005, Train Loss: 2.3023855, Train Acc: 0.7286667, Test Acc: 0.7120000, Train Cov: 139.4233704
Epoch: 006, Train Loss: 1.7802137, Train Acc: 0.5882222, Test Acc: 0.6040000, Train Cov: 99.1213303
Epoch: 007, Train Loss: 2.1726432, Train Acc: 0.6104444, Test Acc: 0.6080000, Train Cov: 139.0990601
Epoch: 008, Train Loss: 2.5801135, Train Acc: 0.4904444, Test Acc: 0.4560000, Train Cov: 171.8178711
Epoch: 009, Train Loss: 1.5389768, Train Acc: 0.5240000, Test Acc: 0.5060000, Train Cov: 70.5886383
Epoch: 010, Train Loss: 1.0944656, Train Acc: 0.6442222, Test Acc: 0.6340000, Train Cov: 31.8212357
Epoch: 011, Train Loss: 0.9646111, Train Acc: 0.5224444, Test Acc: 0.4940000, Train Cov: 20.8267002
Epoch: 012, Train Loss: 0.9237177, Train Acc: 0.6737778, Test Acc: 0.6840000, Train Cov: 16.4475365
Epoch: 013, Train Loss: 0.9034584, Train Acc: 0.6786667, Test Acc: 0.6780000, Train Cov: 16.7276478
Epoch: 014, Train Loss: 1.0389603, Train Acc: 0.6977778, Test Acc: 0.6900000, Train Cov: 31.4217091
Epoch: 015, Train Loss: 0.9031474, Train Acc: 0.7204444, Test Acc: 0.6920000, Train Cov: 15.6001978
Epoch: 016, Train Loss: 1.2328756, Train Acc: 0.5306667, Test Acc: 0.4960000, Train Cov: 43.3593140
Epoch: 017, Train Loss: 0.9868504, Train Acc: 0.7075556, Test Acc: 0.6980000, Train Cov: 21.1484852
Epoch: 018, Train Loss: 1.1230123, Train Acc: 0.6348889, Test Acc: 0.6040000, Train Cov: 34.2679901
Epoch: 019, Train Loss: 1.0306322, Train Acc: 0.6740000, Test Acc: 0.6760000, Train Cov: 25.5663013
Epoch: 020, Train Loss: 0.9050055, Train Acc: 0.5537778, Test Acc: 0.5320000, Train Cov: 15.2426004
Epoch: 021, Train Loss: 0.8823955, Train Acc: 0.6073333, Test Acc: 0.6020000, Train Cov: 15.0910120
Epoch: 022, Train Loss: 1.1498312, Train Acc: 0.7113333, Test Acc: 0.7020000, Train Cov: 36.8694305
Epoch: 023, Train Loss: 0.8930442, Train Acc: 0.6328889, Test Acc: 0.6180000, Train Cov: 14.4384918
Epoch: 024, Train Loss: 0.9521880, Train Acc: 0.6824444, Test Acc: 0.6500000, Train Cov: 21.7410088
Epoch: 025, Train Loss: 0.9143303, Train Acc: 0.6973333, Test Acc: 0.6560000, Train Cov: 16.4218369
Epoch: 026, Train Loss: 0.8366831, Train Acc: 0.7251111, Test Acc: 0.7160000, Train Cov: 12.5734835
Epoch: 027, Train Loss: 0.7765530, Train Acc: 0.6177778, Test Acc: 0.5960000, Train Cov: 9.5340528
Epoch: 028, Train Loss: 0.8713383, Train Acc: 0.6053333, Test Acc: 0.5820000, Train Cov: 12.3528509
Epoch: 029, Train Loss: 1.1151295, Train Acc: 0.6317778, Test Acc: 0.6120000, Train Cov: 34.9441223
Epoch: 030, Train Loss: 1.7276640, Train Acc: 0.5106667, Test Acc: 0.4900000, Train Cov: 87.2317963
Epoch: 031, Train Loss: 1.3388731, Train Acc: 0.6380000, Test Acc: 0.6180000, Train Cov: 46.9938354
Epoch: 032, Train Loss: 1.0462103, Train Acc: 0.6257778, Test Acc: 0.6040000, Train Cov: 23.1537189
Epoch: 033, Train Loss: 1.0063717, Train Acc: 0.6082222, Test Acc: 0.5840000, Train Cov: 16.2700367
Epoch: 034, Train Loss: 0.9359644, Train Acc: 0.5855556, Test Acc: 0.5680000, Train Cov: 12.1085930
Epoch: 035, Train Loss: 0.9317837, Train Acc: 0.5900000, Test Acc: 0.5740000, Train Cov: 11.3784389
Epoch: 036, Train Loss: 0.8782283, Train Acc: 0.6391111, Test Acc: 0.6080000, Train Cov: 10.5443268
Epoch: 037, Train Loss: 0.9375986, Train Acc: 0.6600000, Test Acc: 0.6420000, Train Cov: 14.4315891
Epoch: 038, Train Loss: 0.8586805, Train Acc: 0.6395556, Test Acc: 0.6300000, Train Cov: 8.0624905
Epoch: 039, Train Loss: 0.8631885, Train Acc: 0.6548889, Test Acc: 0.6260000, Train Cov: 8.5368471
Epoch: 040, Train Loss: 0.8701713, Train Acc: 0.6480000, Test Acc: 0.6420000, Train Cov: 9.5399847
Epoch: 041, Train Loss: 4.1005333, Train Acc: 0.5200000, Test Acc: 0.5200000, Train Cov: 321.2250977
Epoch: 042, Train Loss: 3.5274095, Train Acc: 0.4240000, Test Acc: 0.4060000, Train Cov: 260.4634705
Epoch: 043, Train Loss: 2.1610908, Train Acc: 0.5657778, Test Acc: 0.5400000, Train Cov: 126.7933884
Epoch: 044, Train Loss: 1.6730932, Train Acc: 0.5375556, Test Acc: 0.5240000, Train Cov: 80.0094299
Epoch: 045, Train Loss: 1.3066762, Train Acc: 0.5811111, Test Acc: 0.5740000, Train Cov: 45.0672379
Epoch: 046, Train Loss: 1.1528409, Train Acc: 0.6035556, Test Acc: 0.5920000, Train Cov: 31.2999763
Epoch: 047, Train Loss: 1.0208412, Train Acc: 0.6751111, Test Acc: 0.6620000, Train Cov: 21.7175236
Epoch: 048, Train Loss: 0.9657108, Train Acc: 0.5315556, Test Acc: 0.5220000, Train Cov: 16.9652824
Epoch: 049, Train Loss: 1.0373772, Train Acc: 0.5957778, Test Acc: 0.5920000, Train Cov: 23.9359112
Epoch: 050, Train Loss: 0.9106236, Train Acc: 0.6962222, Test Acc: 0.6740000, Train Cov: 12.4927235
Epoch: 051, Train Loss: 0.8462381, Train Acc: 0.6526667, Test Acc: 0.6360000, Train Cov: 8.9852791
Epoch: 052, Train Loss: 0.8384703, Train Acc: 0.6715556, Test Acc: 0.6520000, Train Cov: 9.1914997
Epoch: 053, Train Loss: 0.8170219, Train Acc: 0.7057778, Test Acc: 0.6800000, Train Cov: 7.5653849
Epoch: 054, Train Loss: 0.8197117, Train Acc: 0.5900000, Test Acc: 0.5820000, Train Cov: 7.6886225
Epoch: 055, Train Loss: 0.8093301, Train Acc: 0.6413333, Test Acc: 0.6260000, Train Cov: 6.5217361
Epoch: 056, Train Loss: 0.8089593, Train Acc: 0.6331111, Test Acc: 0.6160000, Train Cov: 7.3437161
Epoch: 057, Train Loss: 0.8096488, Train Acc: 0.6846667, Test Acc: 0.6660000, Train Cov: 5.5742855
Epoch: 058, Train Loss: 0.8124936, Train Acc: 0.7177778, Test Acc: 0.6960000, Train Cov: 6.4695568
Epoch: 059, Train Loss: 0.7839615, Train Acc: 0.6862222, Test Acc: 0.6680000, Train Cov: 4.5954752
Epoch: 060, Train Loss: 0.7971476, Train Acc: 0.5286667, Test Acc: 0.5100000, Train Cov: 5.3251467
Epoch: 061, Train Loss: 0.7630372, Train Acc: 0.7188889, Test Acc: 0.7040000, Train Cov: 4.6257930
Epoch: 062, Train Loss: 0.8164997, Train Acc: 0.6453333, Test Acc: 0.6260000, Train Cov: 8.5610075
Epoch: 063, Train Loss: 0.8287157, Train Acc: 0.7120000, Test Acc: 0.6760000, Train Cov: 9.6350899
Epoch: 064, Train Loss: 0.7908435, Train Acc: 0.7177778, Test Acc: 0.6920000, Train Cov: 5.2023840
