{'dataset_name': 'COLLAB', 'seed': 123, 'num_workers': 2, 'cov_weight': 0, 'hyperparams': {'batch_size': 32, 'epochs': 1001, 'learning_rate': 0.002, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'add', 'JK': 'last', 'nonlinear_conv': 'penalty', 'dropout': 0.5, 'BN': 'Y', 'exps': 4, 'aggr': 'add'}, 'commit_id': 'cb50f5127d624b228122f3228dc74c7bb39c37c7', 'time_stamp': '1612327645', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=cb50f5127d624b228122f3228dc74c7bb39c37c7
Epoch: 001, Train Loss: 3.2713345, Train Acc: 0.6797778, Test Acc: 0.6760000, Train Cov: 3822.1826172
Epoch: 002, Train Loss: 1.2363894, Train Acc: 0.6480000, Test Acc: 0.6460000, Train Cov: 3711.2145996
Epoch: 003, Train Loss: 1.0597267, Train Acc: 0.6648889, Test Acc: 0.6780000, Train Cov: 3285.8605957
Epoch: 004, Train Loss: 1.2954446, Train Acc: 0.6915556, Test Acc: 0.7000000, Train Cov: 3673.0166016
Epoch: 005, Train Loss: 0.7836244, Train Acc: 0.7108889, Test Acc: 0.7020000, Train Cov: 3555.5585938
Epoch: 006, Train Loss: 0.8284862, Train Acc: 0.7088889, Test Acc: 0.6900000, Train Cov: 3468.0285645
Epoch: 007, Train Loss: 0.9629405, Train Acc: 0.6782222, Test Acc: 0.6920000, Train Cov: 4469.1494141
Epoch: 008, Train Loss: 0.7103074, Train Acc: 0.7091111, Test Acc: 0.7060000, Train Cov: 6254.6762695
Epoch: 009, Train Loss: 0.7148766, Train Acc: 0.6695556, Test Acc: 0.6800000, Train Cov: 5260.0830078
Epoch: 010, Train Loss: 1.4554401, Train Acc: 0.6640000, Test Acc: 0.6700000, Train Cov: 4345.8662109
Epoch: 011, Train Loss: 0.8926025, Train Acc: 0.6546667, Test Acc: 0.6320000, Train Cov: 5497.8471680
Epoch: 012, Train Loss: 0.8275207, Train Acc: 0.6444444, Test Acc: 0.6320000, Train Cov: 5374.8940430
Epoch: 013, Train Loss: 0.9759735, Train Acc: 0.6811111, Test Acc: 0.6800000, Train Cov: 6109.7543945
Epoch: 014, Train Loss: 0.7409259, Train Acc: 0.6648889, Test Acc: 0.6720000, Train Cov: 7011.4243164
Epoch: 015, Train Loss: 0.7227962, Train Acc: 0.6580000, Test Acc: 0.6620000, Train Cov: 6961.2143555
