{'dataset_name': 'COLLAB', 'seed': 123, 'num_workers': 2, 'cov_weight': 0.01, 'hyperparams': {'batch_size': 32, 'epochs': 1001, 'learning_rate': 0.002, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'add', 'JK': 'last', 'nonlinear_conv': 'penalty', 'dropout': 0.5, 'BN': 'Y', 'exps': 4, 'aggr': 'add'}, 'commit_id': 'cb50f5127d624b228122f3228dc74c7bb39c37c7', 'time_stamp': '1612327682', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=cb50f5127d624b228122f3228dc74c7bb39c37c7
Epoch: 001, Train Loss: 13.1263186, Train Acc: 0.5920000, Test Acc: 0.5980000, Train Cov: 1013.5817871
Epoch: 002, Train Loss: 3.9551438, Train Acc: 0.6562222, Test Acc: 0.6480000, Train Cov: 276.1995850
Epoch: 003, Train Loss: 1.0899742, Train Acc: 0.6497778, Test Acc: 0.6460000, Train Cov: 23.5757236
Epoch: 004, Train Loss: 1.6421165, Train Acc: 0.6522222, Test Acc: 0.6400000, Train Cov: 62.7907143
Epoch: 005, Train Loss: 1.6575437, Train Acc: 0.6708889, Test Acc: 0.6580000, Train Cov: 73.1056213
Epoch: 006, Train Loss: 0.9898950, Train Acc: 0.7011111, Test Acc: 0.6900000, Train Cov: 20.7376366
Epoch: 007, Train Loss: 0.9057628, Train Acc: 0.7044444, Test Acc: 0.6940000, Train Cov: 13.8616982
Epoch: 008, Train Loss: 0.7736347, Train Acc: 0.7155556, Test Acc: 0.6960000, Train Cov: 10.4664354
Epoch: 009, Train Loss: 0.7412417, Train Acc: 0.7291111, Test Acc: 0.6780000, Train Cov: 7.9154091
Epoch: 010, Train Loss: 1.5228513, Train Acc: 0.7275556, Test Acc: 0.7140000, Train Cov: 38.6722221
Epoch: 011, Train Loss: 3.1992597, Train Acc: 0.6728889, Test Acc: 0.6720000, Train Cov: 235.7265320
Epoch: 012, Train Loss: 1.7453260, Train Acc: 0.6695556, Test Acc: 0.6660000, Train Cov: 63.7332993
Epoch: 013, Train Loss: 0.9609914, Train Acc: 0.6864444, Test Acc: 0.6800000, Train Cov: 17.7839375
Epoch: 014, Train Loss: 0.8345211, Train Acc: 0.7013333, Test Acc: 0.6920000, Train Cov: 8.2923727
Epoch: 015, Train Loss: 0.7516383, Train Acc: 0.6302222, Test Acc: 0.6420000, Train Cov: 5.1380138
Epoch: 016, Train Loss: 0.8484048, Train Acc: 0.7124444, Test Acc: 0.7020000, Train Cov: 8.6284914
Epoch: 017, Train Loss: 0.7369661, Train Acc: 0.7455556, Test Acc: 0.7240000, Train Cov: 3.7339439
Epoch: 018, Train Loss: 0.7513918, Train Acc: 0.7442222, Test Acc: 0.7200000, Train Cov: 4.4824190
Epoch: 019, Train Loss: 0.7216089, Train Acc: 0.6900000, Test Acc: 0.6740000, Train Cov: 3.4695756
Epoch: 020, Train Loss: 0.7306947, Train Acc: 0.7135556, Test Acc: 0.6960000, Train Cov: 3.8299766
Epoch: 021, Train Loss: 0.8325390, Train Acc: 0.7157778, Test Acc: 0.6920000, Train Cov: 3.0140784
Epoch: 022, Train Loss: 0.7232713, Train Acc: 0.7122222, Test Acc: 0.7100000, Train Cov: 2.2844939
Epoch: 023, Train Loss: 0.7003393, Train Acc: 0.6733333, Test Acc: 0.6760000, Train Cov: 1.8149662
Epoch: 024, Train Loss: 0.6722161, Train Acc: 0.7120000, Test Acc: 0.6920000, Train Cov: 1.5357157
Epoch: 025, Train Loss: 0.7174743, Train Acc: 0.6651111, Test Acc: 0.6780000, Train Cov: 3.2735450
Epoch: 026, Train Loss: 0.7432393, Train Acc: 0.6926667, Test Acc: 0.6900000, Train Cov: 5.0900345
Epoch: 027, Train Loss: 0.7392905, Train Acc: 0.6822222, Test Acc: 0.6860000, Train Cov: 5.3436790
