{'dataset_name': 'COLLAB', 'seed': 123, 'num_workers': 2, 'cov_weight': 0, 'hyperparams': {'batch_size': 32, 'epochs': 1001, 'learning_rate': 0.002, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'penalty', 'dropout': 0.5, 'BN': 'Y', 'exps': 4, 'aggr': 'add'}, 'commit_id': 'cb50f5127d624b228122f3228dc74c7bb39c37c7', 'time_stamp': '1612340572', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=cb50f5127d624b228122f3228dc74c7bb39c37c7
Epoch: 001, Train Loss: 5.2042250, Train Acc: 0.6366667, Test Acc: 0.6520000, Train Cov: 5174.6665039
Epoch: 002, Train Loss: 1.0261368, Train Acc: 0.6940000, Test Acc: 0.6940000, Train Cov: 6200.6303711
Epoch: 003, Train Loss: 1.2727074, Train Acc: 0.6417778, Test Acc: 0.6340000, Train Cov: 4567.9624023
Epoch: 004, Train Loss: 1.7782337, Train Acc: 0.7097778, Test Acc: 0.6960000, Train Cov: 3824.4792480
Epoch: 005, Train Loss: 0.7877715, Train Acc: 0.7160000, Test Acc: 0.7000000, Train Cov: 3481.0288086
Epoch: 006, Train Loss: 0.8758013, Train Acc: 0.7124444, Test Acc: 0.6960000, Train Cov: 3120.4489746
Epoch: 007, Train Loss: 0.7986099, Train Acc: 0.7062222, Test Acc: 0.7080000, Train Cov: 3233.9443359
Epoch: 008, Train Loss: 0.8059726, Train Acc: 0.7293333, Test Acc: 0.6920000, Train Cov: 2741.8269043
Epoch: 009, Train Loss: 0.7464396, Train Acc: 0.6733333, Test Acc: 0.6740000, Train Cov: 3142.2626953
Epoch: 010, Train Loss: 0.7737735, Train Acc: 0.7075556, Test Acc: 0.6880000, Train Cov: 3464.6328125
Epoch: 011, Train Loss: 0.9224208, Train Acc: 0.6300000, Test Acc: 0.6480000, Train Cov: 4331.5498047
Epoch: 012, Train Loss: 0.8235935, Train Acc: 0.6722222, Test Acc: 0.6680000, Train Cov: 5755.9360352
Epoch: 013, Train Loss: 0.8639380, Train Acc: 0.7026667, Test Acc: 0.6820000, Train Cov: 5304.4550781
Epoch: 014, Train Loss: 0.7743102, Train Acc: 0.7024444, Test Acc: 0.6700000, Train Cov: 4497.4663086
Epoch: 015, Train Loss: 0.7334627, Train Acc: 0.7024444, Test Acc: 0.6780000, Train Cov: 4570.7827148
Epoch: 016, Train Loss: 0.7104967, Train Acc: 0.6660000, Test Acc: 0.6460000, Train Cov: 3545.6550293
Epoch: 017, Train Loss: 0.6680549, Train Acc: 0.6937778, Test Acc: 0.6820000, Train Cov: 3512.0058594
Epoch: 018, Train Loss: 0.6708412, Train Acc: 0.7033333, Test Acc: 0.6820000, Train Cov: 3808.2165527
