{'dataset_name': 'COLLAB', 'seed': 123, 'num_workers': 2, 'cov_weight': 0.01, 'hyperparams': {'batch_size': 32, 'epochs': 1001, 'learning_rate': 0.002, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'penalty', 'dropout': 0.5, 'BN': 'Y', 'exps': 1, 'aggr': 'add'}, 'commit_id': '339cfd51e289fb54e3ab18b44ddc3d11ffd3f644', 'time_stamp': '1612342888', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=339cfd51e289fb54e3ab18b44ddc3d11ffd3f644
Epoch: 001, Train Loss: 74.6965471, Train Acc: 0.7262222, Test Acc: 0.6840000, Train Cov: 7107.0009766
Epoch: 002, Train Loss: 0.6435548, Train Acc: 0.7600000, Test Acc: 0.7260000, Train Cov: 6.9301724
Epoch: 003, Train Loss: 0.5973694, Train Acc: 0.7766667, Test Acc: 0.7340000, Train Cov: 5.3822308
Epoch: 004, Train Loss: 0.5411896, Train Acc: 0.7900000, Test Acc: 0.7440000, Train Cov: 5.1515312
Epoch: 005, Train Loss: 0.5432115, Train Acc: 0.7782222, Test Acc: 0.7340000, Train Cov: 5.0936756
Epoch: 006, Train Loss: 0.5297181, Train Acc: 0.7853333, Test Acc: 0.7580000, Train Cov: 5.1214209
Epoch: 007, Train Loss: 0.5193657, Train Acc: 0.8044444, Test Acc: 0.7780000, Train Cov: 5.0367002
Epoch: 008, Train Loss: 0.5011718, Train Acc: 0.8055556, Test Acc: 0.7680000, Train Cov: 4.7684355
Epoch: 009, Train Loss: 0.4901236, Train Acc: 0.8002222, Test Acc: 0.7640000, Train Cov: 4.7782207
Epoch: 010, Train Loss: 0.4854979, Train Acc: 0.8204444, Test Acc: 0.7880000, Train Cov: 4.6684213
Epoch: 011, Train Loss: 0.5178932, Train Acc: 0.7966667, Test Acc: 0.7900000, Train Cov: 5.4685259
Epoch: 012, Train Loss: 0.4982719, Train Acc: 0.8151111, Test Acc: 0.7800000, Train Cov: 4.8739767
Epoch: 013, Train Loss: 0.4834780, Train Acc: 0.8028889, Test Acc: 0.7760000, Train Cov: 4.5671573
Epoch: 014, Train Loss: 0.4593854, Train Acc: 0.8195556, Test Acc: 0.7980000, Train Cov: 4.3701782
Epoch: 015, Train Loss: 0.4583911, Train Acc: 0.8353333, Test Acc: 0.7840000, Train Cov: 4.2570877
Epoch: 016, Train Loss: 0.4623396, Train Acc: 0.8286667, Test Acc: 0.7920000, Train Cov: 4.4159169
Epoch: 017, Train Loss: 1699.5223370, Train Acc: 0.6242222, Test Acc: 0.6040000, Train Cov: 147407.4375000
Epoch: 018, Train Loss: 31413769.7328194, Train Acc: 0.6177778, Test Acc: 0.6220000, Train Cov: 3118230272.0000000
Epoch: 019, Train Loss: 1323410.1103750, Train Acc: 0.5920000, Test Acc: 0.5980000, Train Cov: 132286760.0000000
Epoch: 020, Train Loss: 64010483.8049444, Train Acc: 0.5662222, Test Acc: 0.5680000, Train Cov: 6401018368.0000000
Epoch: 021, Train Loss: 10086726249.6186676, Train Acc: 0.5717778, Test Acc: 0.5760000, Train Cov: 1008299999232.0000000
Epoch: 022, Train Loss: 4581549.7490000, Train Acc: 0.5695556, Test Acc: 0.5820000, Train Cov: 457629024.0000000
Epoch: 023, Train Loss: 418008283.4471111, Train Acc: 0.5826667, Test Acc: 0.5940000, Train Cov: 41800830976.0000000
Epoch: 024, Train Loss: 31308879.2742222, Train Acc: 0.5720000, Test Acc: 0.5860000, Train Cov: 3130887424.0000000
Epoch: 025, Train Loss: 11338507.7317778, Train Acc: 0.5564444, Test Acc: 0.5780000, Train Cov: 1133850624.0000000
Epoch: 026, Train Loss: 6744545.1147778, Train Acc: 0.5553333, Test Acc: 0.5780000, Train Cov: 674454528.0000000
Epoch: 027, Train Loss: 3021065.8846667, Train Acc: 0.5620000, Test Acc: 0.5820000, Train Cov: 302106240.0000000
Epoch: 028, Train Loss: 933059.3730556, Train Acc: 0.5811111, Test Acc: 0.5860000, Train Cov: 93305024.0000000
Epoch: 029, Train Loss: 457408.4778056, Train Acc: 0.5857778, Test Acc: 0.6020000, Train Cov: 45739008.0000000
Epoch: 030, Train Loss: 212928.8771389, Train Acc: 0.6084444, Test Acc: 0.6280000, Train Cov: 21290678.0000000
Epoch: 031, Train Loss: 68683.6349931, Train Acc: 0.5988889, Test Acc: 0.6120000, Train Cov: 6867413.0000000
Epoch: 032, Train Loss: 30446.2674653, Train Acc: 0.5813333, Test Acc: 0.5820000, Train Cov: 3043106.0000000
Epoch: 033, Train Loss: 22380.5476736, Train Acc: 0.6120000, Test Acc: 0.5900000, Train Cov: 2236636.5000000
Epoch: 034, Train Loss: 18240.7692622, Train Acc: 0.6184444, Test Acc: 0.6140000, Train Cov: 1823006.1250000
Epoch: 035, Train Loss: 14558.3405234, Train Acc: 0.6206667, Test Acc: 0.5920000, Train Cov: 1455196.1250000
Epoch: 036, Train Loss: 11592.2742565, Train Acc: 0.6244444, Test Acc: 0.6020000, Train Cov: 1158860.8750000
Epoch: 037, Train Loss: 10397.2032066, Train Acc: 0.6257778, Test Acc: 0.6060000, Train Cov: 1039512.9375000
Epoch: 038, Train Loss: 8977.2475174, Train Acc: 0.6231111, Test Acc: 0.6160000, Train Cov: 897555.4375000
Epoch: 039, Train Loss: 7902.3732882, Train Acc: 0.6135556, Test Acc: 0.6160000, Train Cov: 790103.4375000
Epoch: 040, Train Loss: 6443.2563611, Train Acc: 0.6166667, Test Acc: 0.6180000, Train Cov: 644214.1875000
Epoch: 041, Train Loss: 5461.3695862, Train Acc: 0.6066667, Test Acc: 0.6100000, Train Cov: 546028.4375000
Epoch: 042, Train Loss: 4744.8105265, Train Acc: 0.6095556, Test Acc: 0.6160000, Train Cov: 474385.8125000
Epoch: 043, Train Loss: 4484.4688874, Train Acc: 0.6184444, Test Acc: 0.6140000, Train Cov: 448353.8125000
Epoch: 044, Train Loss: 3818.0701046, Train Acc: 0.6153333, Test Acc: 0.6160000, Train Cov: 381721.4375000
Epoch: 045, Train Loss: 3117.4813286, Train Acc: 0.6137778, Test Acc: 0.6160000, Train Cov: 311662.7500000
Epoch: 046, Train Loss: 2779.8642975, Train Acc: 0.6157778, Test Acc: 0.6080000, Train Cov: 277900.1875000
Epoch: 047, Train Loss: 2697.5337996, Train Acc: 0.6157778, Test Acc: 0.6100000, Train Cov: 269668.4687500
Epoch: 048, Train Loss: 2157.1052093, Train Acc: 0.6300000, Test Acc: 0.6300000, Train Cov: 215626.8750000
Epoch: 049, Train Loss: 1995.1956836, Train Acc: 0.6171111, Test Acc: 0.6120000, Train Cov: 199434.5312500
Epoch: 050, Train Loss: 1806.9268579, Train Acc: 0.6157778, Test Acc: 0.6260000, Train Cov: 180606.3437500
Epoch: 051, Train Loss: 1479.0878982, Train Acc: 0.6231111, Test Acc: 0.6260000, Train Cov: 147824.2031250
Epoch: 052, Train Loss: 1288.0019175, Train Acc: 0.6208889, Test Acc: 0.6320000, Train Cov: 128714.5859375
Epoch: 053, Train Loss: 1319.7798238, Train Acc: 0.6213333, Test Acc: 0.6220000, Train Cov: 131893.6250000
Epoch: 054, Train Loss: 1147.3219347, Train Acc: 0.6137778, Test Acc: 0.6080000, Train Cov: 114646.3906250
Epoch: 055, Train Loss: 1028.8788970, Train Acc: 0.6140000, Test Acc: 0.6240000, Train Cov: 102803.8515625
Epoch: 056, Train Loss: 888.8041561, Train Acc: 0.6157778, Test Acc: 0.6280000, Train Cov: 88796.9375000
Epoch: 057, Train Loss: 783.3449547, Train Acc: 0.6175556, Test Acc: 0.6300000, Train Cov: 78250.4531250
Epoch: 058, Train Loss: 672.2524667, Train Acc: 0.6217778, Test Acc: 0.6260000, Train Cov: 67142.2187500
Epoch: 059, Train Loss: 609.4772738, Train Acc: 0.6157778, Test Acc: 0.6360000, Train Cov: 60864.7187500
Epoch: 060, Train Loss: 547.3126160, Train Acc: 0.6108889, Test Acc: 0.6260000, Train Cov: 54523.4453125
Epoch: 061, Train Loss: 475.0485212, Train Acc: 0.6155556, Test Acc: 0.6360000, Train Cov: 47395.0898438
Epoch: 062, Train Loss: 441.7383088, Train Acc: 0.6186667, Test Acc: 0.6460000, Train Cov: 44085.7421875
Epoch: 063, Train Loss: 373.1021538, Train Acc: 0.6133333, Test Acc: 0.6260000, Train Cov: 37046.8203125
Epoch: 064, Train Loss: 318.7450589, Train Acc: 0.6082222, Test Acc: 0.6280000, Train Cov: 31789.6679688
Epoch: 065, Train Loss: 310.0136790, Train Acc: 0.6128889, Test Acc: 0.6340000, Train Cov: 30895.7226562
Epoch: 066, Train Loss: 277.5271789, Train Acc: 0.6144444, Test Acc: 0.6400000, Train Cov: 27668.2089844
Epoch: 067, Train Loss: 251.2099104, Train Acc: 0.6117778, Test Acc: 0.6320000, Train Cov: 25036.5898438
Epoch: 068, Train Loss: 220.6222178, Train Acc: 0.6124444, Test Acc: 0.6320000, Train Cov: 21977.5429688
Epoch: 069, Train Loss: 208.4536804, Train Acc: 0.6108889, Test Acc: 0.6240000, Train Cov: 20755.2246094
Epoch: 070, Train Loss: 193.0786724, Train Acc: 0.5826667, Test Acc: 0.5980000, Train Cov: 19222.0449219
Epoch: 071, Train Loss: 183.0015982, Train Acc: 0.6208889, Test Acc: 0.6420000, Train Cov: 18214.6250000
Epoch: 072, Train Loss: 161.6491909, Train Acc: 0.6035556, Test Acc: 0.6020000, Train Cov: 16077.0664062
Epoch: 073, Train Loss: 152.8405028, Train Acc: 0.5942222, Test Acc: 0.6000000, Train Cov: 15198.5195312
Epoch: 074, Train Loss: 140.1940959, Train Acc: 0.6133333, Test Acc: 0.6300000, Train Cov: 13934.2871094
Epoch: 075, Train Loss: 125.5729759, Train Acc: 0.6135556, Test Acc: 0.6300000, Train Cov: 12468.0224609
Epoch: 076, Train Loss: 114.9771036, Train Acc: 0.6124444, Test Acc: 0.6260000, Train Cov: 11405.6396484
Epoch: 077, Train Loss: 113.4340759, Train Acc: 0.6064444, Test Acc: 0.6140000, Train Cov: 11256.0966797
Epoch: 078, Train Loss: 106.0953220, Train Acc: 0.6180000, Test Acc: 0.6240000, Train Cov: 10521.6347656
Epoch: 079, Train Loss: 100.0386565, Train Acc: 0.6204444, Test Acc: 0.6380000, Train Cov: 9921.2353516
