{'dataset_name': 'COLLAB', 'seed': 123, 'num_workers': 2, 'cov_weight': 0.01, 'hyperparams': {'batch_size': 32, 'epochs': 1001, 'learning_rate': 0.002, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'penalty', 'dropout': 0.5, 'BN': 'Y', 'exps': 1, 'aggr': 'add'}, 'commit_id': '47543e314971ce6f7da9f20b33e93889c130473d', 'time_stamp': '1612343812', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=47543e314971ce6f7da9f20b33e93889c130473d
Epoch: 001, Train Loss: 20.7281997, Train Acc: 0.6768889, Test Acc: 0.6600000, Train Cov: 1584.3907471
Epoch: 002, Train Loss: 7.1811875, Train Acc: 0.6375556, Test Acc: 0.6200000, Train Cov: 631.3955688
Epoch: 003, Train Loss: 3.9913748, Train Acc: 0.7208889, Test Acc: 0.7120000, Train Cov: 248.4251099
Epoch: 004, Train Loss: 10.0142200, Train Acc: 0.6666667, Test Acc: 0.6640000, Train Cov: 689.7867432
Epoch: 005, Train Loss: 15.9465296, Train Acc: 0.6862222, Test Acc: 0.6880000, Train Cov: 855.5170288
Epoch: 006, Train Loss: 2.5366325, Train Acc: 0.6744444, Test Acc: 0.6720000, Train Cov: 161.2399292
Epoch: 007, Train Loss: 1.7193129, Train Acc: 0.6611111, Test Acc: 0.6740000, Train Cov: 90.4500046
Epoch: 008, Train Loss: 3.4593856, Train Acc: 0.6557778, Test Acc: 0.6620000, Train Cov: 265.5057068
Epoch: 009, Train Loss: 2.2180170, Train Acc: 0.6744444, Test Acc: 0.6820000, Train Cov: 144.3822632
Epoch: 010, Train Loss: 3.6845154, Train Acc: 0.6313333, Test Acc: 0.6460000, Train Cov: 290.2420959
Epoch: 011, Train Loss: 2.8771404, Train Acc: 0.6577778, Test Acc: 0.6700000, Train Cov: 135.7805786
Epoch: 012, Train Loss: 15.8483714, Train Acc: 0.6797778, Test Acc: 0.6660000, Train Cov: 702.6835938
Epoch: 013, Train Loss: 4.5010430, Train Acc: 0.6533333, Test Acc: 0.6460000, Train Cov: 170.1510925
Epoch: 014, Train Loss: 2.5634082, Train Acc: 0.6602222, Test Acc: 0.6560000, Train Cov: 77.1734772
Epoch: 015, Train Loss: 1.5700265, Train Acc: 0.6628889, Test Acc: 0.6720000, Train Cov: 71.2186279
Epoch: 016, Train Loss: 1.3160835, Train Acc: 0.7026667, Test Acc: 0.6880000, Train Cov: 51.7608986
Epoch: 017, Train Loss: 1.5171431, Train Acc: 0.6575556, Test Acc: 0.6660000, Train Cov: 67.2236023
Epoch: 018, Train Loss: 2.1130238, Train Acc: 0.6764444, Test Acc: 0.6620000, Train Cov: 35.7192764
Epoch: 019, Train Loss: 3.6238349, Train Acc: 0.6628889, Test Acc: 0.6700000, Train Cov: 237.3259430
