{'dataset_name': 'COLLAB', 'seed': 0, 'num_workers': 4, 'cov_weight': 0.01, 'hyperparams': {'batch_size': 32, 'epochs': 1001, 'learning_rate': 0.002, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'penalty', 'dropout': 0.5, 'exps': 1, 'leak': 1.0, 'aggr': 'add'}, 'commit_id': '89c0b9602d7a2fb934659243d9e899395ca5c38d', 'time_stamp': '1612348256', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=COLLAB, COMMIT_ID=89c0b9602d7a2fb934659243d9e899395ca5c38d
Epoch: 001, Train Loss: 35.9691589, Train Acc: 0.6608889, Test Acc: 0.6640000, Train Cov: 3006.5080566
Epoch: 002, Train Loss: 12.8759417, Train Acc: 0.6197778, Test Acc: 0.5940000, Train Cov: 797.3657227
Epoch: 003, Train Loss: 4.9978745, Train Acc: 0.6788889, Test Acc: 0.6600000, Train Cov: 348.0353699
Epoch: 004, Train Loss: 11.0986099, Train Acc: 0.6615556, Test Acc: 0.6500000, Train Cov: 602.6509399
Epoch: 005, Train Loss: 10.6881897, Train Acc: 0.6704444, Test Acc: 0.6340000, Train Cov: 745.3834229
Epoch: 006, Train Loss: 4.9781525, Train Acc: 0.6853333, Test Acc: 0.6560000, Train Cov: 280.1690369
Epoch: 007, Train Loss: 1.6704916, Train Acc: 0.6164444, Test Acc: 0.5760000, Train Cov: 57.6164589
Epoch: 008, Train Loss: 1.9523289, Train Acc: 0.6791111, Test Acc: 0.6500000, Train Cov: 90.1671906
Epoch: 009, Train Loss: 2.4182849, Train Acc: 0.6697778, Test Acc: 0.6440000, Train Cov: 158.4287109
Epoch: 010, Train Loss: 1.0334423, Train Acc: 0.6864444, Test Acc: 0.6940000, Train Cov: 29.8646393
Epoch: 011, Train Loss: 0.9615694, Train Acc: 0.6626667, Test Acc: 0.6300000, Train Cov: 21.9996319
Epoch: 012, Train Loss: 0.8888350, Train Acc: 0.6824444, Test Acc: 0.6520000, Train Cov: 13.8755770
Epoch: 013, Train Loss: 1.0284780, Train Acc: 0.6582222, Test Acc: 0.6200000, Train Cov: 19.4625397
Epoch: 014, Train Loss: 0.8458535, Train Acc: 0.6820000, Test Acc: 0.6460000, Train Cov: 9.8189983
Epoch: 015, Train Loss: 0.8664126, Train Acc: 0.6564444, Test Acc: 0.6360000, Train Cov: 8.7647419
Epoch: 016, Train Loss: 0.8830764, Train Acc: 0.6675556, Test Acc: 0.6380000, Train Cov: 10.9582748
Epoch: 017, Train Loss: 1.0361009, Train Acc: 0.6782222, Test Acc: 0.6440000, Train Cov: 10.6050682
Epoch: 018, Train Loss: 0.9610939, Train Acc: 0.6708889, Test Acc: 0.6400000, Train Cov: 17.3840637
Epoch: 019, Train Loss: 1.3059971, Train Acc: 0.6875556, Test Acc: 0.6580000, Train Cov: 17.5036850
Epoch: 020, Train Loss: 1.4222285, Train Acc: 0.6717778, Test Acc: 0.6440000, Train Cov: 38.2664108
Epoch: 021, Train Loss: 1.5403554, Train Acc: 0.6833333, Test Acc: 0.6520000, Train Cov: 49.6131706
Epoch: 022, Train Loss: 0.9565807, Train Acc: 0.6666667, Test Acc: 0.6360000, Train Cov: 15.0460854
Epoch: 023, Train Loss: 0.8545638, Train Acc: 0.6720000, Test Acc: 0.6320000, Train Cov: 5.6586118
Epoch: 024, Train Loss: 0.8779186, Train Acc: 0.6875556, Test Acc: 0.6520000, Train Cov: 11.6303577
Epoch: 025, Train Loss: 0.8574565, Train Acc: 0.6697778, Test Acc: 0.6440000, Train Cov: 7.8000541
Epoch: 026, Train Loss: 0.8020638, Train Acc: 0.6684444, Test Acc: 0.6500000, Train Cov: 5.7694240
Epoch: 027, Train Loss: 0.8766568, Train Acc: 0.6691111, Test Acc: 0.6480000, Train Cov: 4.8564477
Epoch: 028, Train Loss: 1.1388855, Train Acc: 0.6624444, Test Acc: 0.6420000, Train Cov: 25.0758171
Epoch: 029, Train Loss: 1.0206533, Train Acc: 0.6706667, Test Acc: 0.6480000, Train Cov: 23.2797260
Epoch: 030, Train Loss: 0.8705506, Train Acc: 0.6800000, Test Acc: 0.6500000, Train Cov: 8.2746706
Epoch: 031, Train Loss: 0.8551767, Train Acc: 0.6868889, Test Acc: 0.6660000, Train Cov: 5.6651850
Epoch: 032, Train Loss: 0.8370764, Train Acc: 0.6837778, Test Acc: 0.6620000, Train Cov: 3.6871963
Epoch: 033, Train Loss: 0.8391371, Train Acc: 0.6702222, Test Acc: 0.6480000, Train Cov: 2.9939682
Epoch: 034, Train Loss: 0.8172399, Train Acc: 0.6675556, Test Acc: 0.6460000, Train Cov: 2.4148171
Epoch: 035, Train Loss: 0.8691700, Train Acc: 0.6708889, Test Acc: 0.6480000, Train Cov: 5.3727050
Epoch: 036, Train Loss: 0.7901627, Train Acc: 0.6702222, Test Acc: 0.6480000, Train Cov: 2.8045418
Epoch: 037, Train Loss: 0.7813442, Train Acc: 0.6704444, Test Acc: 0.6480000, Train Cov: 1.9025590
Epoch: 038, Train Loss: 0.8670257, Train Acc: 0.6724444, Test Acc: 0.6460000, Train Cov: 7.3912663
Epoch: 039, Train Loss: 13.6584113, Train Acc: 0.6460000, Test Acc: 0.6280000, Train Cov: 1196.6005859
Epoch: 040, Train Loss: 5.5624197, Train Acc: 0.6248889, Test Acc: 0.5900000, Train Cov: 385.0073242
Epoch: 041, Train Loss: 1.8352475, Train Acc: 0.6922222, Test Acc: 0.6740000, Train Cov: 84.8765488
Epoch: 042, Train Loss: 1.3171370, Train Acc: 0.6737778, Test Acc: 0.6500000, Train Cov: 44.9276657
Epoch: 043, Train Loss: 1.0689157, Train Acc: 0.6900000, Test Acc: 0.6720000, Train Cov: 19.8786030
Epoch: 044, Train Loss: 1.0300524, Train Acc: 0.6708889, Test Acc: 0.6480000, Train Cov: 17.4801846
Epoch: 045, Train Loss: 1.0967665, Train Acc: 0.6680000, Test Acc: 0.6480000, Train Cov: 22.0113659
Epoch: 046, Train Loss: 0.9341022, Train Acc: 0.6748889, Test Acc: 0.6480000, Train Cov: 10.3356733
Epoch: 047, Train Loss: 0.9190890, Train Acc: 0.6893333, Test Acc: 0.6620000, Train Cov: 6.1979332
Epoch: 048, Train Loss: 0.9147353, Train Acc: 0.6664444, Test Acc: 0.6400000, Train Cov: 6.0987792
Epoch: 049, Train Loss: 0.8962532, Train Acc: 0.6768889, Test Acc: 0.6460000, Train Cov: 4.6961708
Epoch: 050, Train Loss: 0.8635854, Train Acc: 0.6866667, Test Acc: 0.6720000, Train Cov: 4.0250144
Epoch: 051, Train Loss: 0.8364592, Train Acc: 0.6775556, Test Acc: 0.6540000, Train Cov: 2.6489849
Epoch: 052, Train Loss: 0.8205089, Train Acc: 0.7100000, Test Acc: 0.7000000, Train Cov: 2.6111178
Epoch: 053, Train Loss: 0.8017428, Train Acc: 0.6824444, Test Acc: 0.6600000, Train Cov: 1.9646205
Epoch: 054, Train Loss: 0.7921621, Train Acc: 0.7048889, Test Acc: 0.6760000, Train Cov: 1.8224479
Epoch: 055, Train Loss: 0.7741952, Train Acc: 0.6904444, Test Acc: 0.6660000, Train Cov: 1.9220805
Epoch: 056, Train Loss: 0.7976312, Train Acc: 0.6940000, Test Acc: 0.6760000, Train Cov: 2.2446039
Epoch: 057, Train Loss: 0.7788398, Train Acc: 0.6713333, Test Acc: 0.6440000, Train Cov: 2.3387222
Epoch: 058, Train Loss: 0.7903868, Train Acc: 0.6902222, Test Acc: 0.6620000, Train Cov: 3.3763378
Epoch: 059, Train Loss: 0.7434391, Train Acc: 0.7057778, Test Acc: 0.6760000, Train Cov: 1.5967832
Epoch: 060, Train Loss: 0.7880472, Train Acc: 0.6884444, Test Acc: 0.6700000, Train Cov: 2.4302521
Epoch: 061, Train Loss: 0.7852551, Train Acc: 0.7093333, Test Acc: 0.6880000, Train Cov: 2.7342689
Epoch: 062, Train Loss: 0.7842438, Train Acc: 0.7015556, Test Acc: 0.6720000, Train Cov: 2.1652629
Epoch: 063, Train Loss: 0.7412294, Train Acc: 0.7117778, Test Acc: 0.6800000, Train Cov: 0.9188246
Epoch: 064, Train Loss: 0.7540410, Train Acc: 0.6975556, Test Acc: 0.6680000, Train Cov: 1.9582025
Epoch: 065, Train Loss: 0.7277920, Train Acc: 0.7197778, Test Acc: 0.7060000, Train Cov: 1.4370803
Epoch: 066, Train Loss: 1.2108957, Train Acc: 0.6817778, Test Acc: 0.6580000, Train Cov: 46.1384468
Epoch: 067, Train Loss: 0.9249374, Train Acc: 0.7075556, Test Acc: 0.6760000, Train Cov: 18.8390312
Epoch: 068, Train Loss: 0.7747511, Train Acc: 0.7008889, Test Acc: 0.6760000, Train Cov: 4.6691794
Epoch: 069, Train Loss: 0.7642598, Train Acc: 0.6851111, Test Acc: 0.6640000, Train Cov: 2.4169860
Epoch: 070, Train Loss: 0.7428589, Train Acc: 0.7160000, Test Acc: 0.7020000, Train Cov: 1.7691221
Epoch: 071, Train Loss: 0.7301725, Train Acc: 0.7200000, Test Acc: 0.7060000, Train Cov: 1.2026981
Epoch: 072, Train Loss: 0.7093626, Train Acc: 0.7146667, Test Acc: 0.6780000, Train Cov: 1.2313732
Epoch: 073, Train Loss: 0.7334862, Train Acc: 0.7055556, Test Acc: 0.6700000, Train Cov: 2.0191884
Epoch: 074, Train Loss: 0.7407181, Train Acc: 0.7182222, Test Acc: 0.6940000, Train Cov: 1.0205561
Epoch: 075, Train Loss: 0.7171924, Train Acc: 0.7208889, Test Acc: 0.6880000, Train Cov: 1.3924265
Epoch: 076, Train Loss: 0.6939245, Train Acc: 0.6904444, Test Acc: 0.6660000, Train Cov: 0.9170828
Epoch: 077, Train Loss: 0.7061999, Train Acc: 0.7108889, Test Acc: 0.6740000, Train Cov: 1.5639510
Epoch: 078, Train Loss: 0.7022929, Train Acc: 0.7122222, Test Acc: 0.6740000, Train Cov: 0.8146648
Epoch: 079, Train Loss: 0.7740712, Train Acc: 0.7246667, Test Acc: 0.7080000, Train Cov: 1.7694553
Epoch: 080, Train Loss: 0.6969710, Train Acc: 0.7173333, Test Acc: 0.6920000, Train Cov: 0.7205790
