{'dataset_name': 'ENZYMES', 'seed': 0, 'num_workers': 1, 'cov_weight': 0.01, 'hyperparams': {'batch_size': 32, 'epochs': 1001, 'learning_rate': 0.002, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 128, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'penalty', 'dropout': 0.5, 'exps': 1, 'leak': 0.2, 'aggr': 'add'}, 'commit_id': '508e18523d8b709b5ce27b692a3a2a0b30d30e95', 'time_stamp': '1612358279', 'directory': '../../nlg_results/tu/board/'}
Downloading http://ls11-www.cs.tu-dortmund.de/people/morris/graphkerneldatasets/ENZYMES.zip
Extracting /space/github_private/gnnzoo/tu/data/ENZYMES/ENZYMES/ENZYMES.zip
Processing...
Done!
-------- FOLD0 DATASET=ENZYMES, COMMIT_ID=508e18523d8b709b5ce27b692a3a2a0b30d30e95
Epoch: 001, Train Loss: 7.1489586, Train Acc: 0.1907407, Test Acc: 0.1166667, Train Cov: 3.5895562
Epoch: 002, Train Loss: 6.6194596, Train Acc: 0.2037037, Test Acc: 0.1333333, Train Cov: 3.6123850
Epoch: 003, Train Loss: 5.0603112, Train Acc: 0.2314815, Test Acc: 0.2666667, Train Cov: 3.5941935
Epoch: 004, Train Loss: 3.7829795, Train Acc: 0.2740741, Test Acc: 0.2166667, Train Cov: 3.5799613
Epoch: 005, Train Loss: 3.1045286, Train Acc: 0.2740741, Test Acc: 0.3500000, Train Cov: 3.5530252
Epoch: 006, Train Loss: 2.4912528, Train Acc: 0.2851852, Test Acc: 0.2666667, Train Cov: 3.5696189
Epoch: 007, Train Loss: 1.9030600, Train Acc: 0.3018519, Test Acc: 0.3166667, Train Cov: 3.5856063
Epoch: 008, Train Loss: 1.9103906, Train Acc: 0.3351852, Test Acc: 0.2666667, Train Cov: 3.5647635
Epoch: 009, Train Loss: 1.7804966, Train Acc: 0.3148148, Test Acc: 0.3333333, Train Cov: 3.5464506
Epoch: 010, Train Loss: 1.7426790, Train Acc: 0.3240741, Test Acc: 0.2166667, Train Cov: 3.5215769
Epoch: 011, Train Loss: 1.7685187, Train Acc: 0.3685185, Test Acc: 0.3000000, Train Cov: 3.5029078
Epoch: 012, Train Loss: 1.7053026, Train Acc: 0.3722222, Test Acc: 0.3833333, Train Cov: 3.5155313
Epoch: 013, Train Loss: 1.7146362, Train Acc: 0.2759259, Test Acc: 0.2666667, Train Cov: 3.4803452
Epoch: 014, Train Loss: 1.6985593, Train Acc: 0.3296296, Test Acc: 0.2500000, Train Cov: 3.4566810
Epoch: 015, Train Loss: 1.6820728, Train Acc: 0.3611111, Test Acc: 0.4666667, Train Cov: 3.4499393
Epoch: 016, Train Loss: 1.6869064, Train Acc: 0.3500000, Test Acc: 0.2333333, Train Cov: 3.4416647
Epoch: 017, Train Loss: 1.6847778, Train Acc: 0.3462963, Test Acc: 0.3500000, Train Cov: 3.4307206
Epoch: 018, Train Loss: 1.6535061, Train Acc: 0.3777778, Test Acc: 0.3833333, Train Cov: 3.4340506
Epoch: 019, Train Loss: 1.7207764, Train Acc: 0.4092593, Test Acc: 0.4000000, Train Cov: 3.4323354
Epoch: 020, Train Loss: 1.6837451, Train Acc: 0.3240741, Test Acc: 0.2666667, Train Cov: 3.4097183
Epoch: 021, Train Loss: 1.6597534, Train Acc: 0.4055556, Test Acc: 0.2666667, Train Cov: 3.3910060
Epoch: 022, Train Loss: 1.6749451, Train Acc: 0.3907407, Test Acc: 0.2500000, Train Cov: 3.3897705
Epoch: 023, Train Loss: 1.6680017, Train Acc: 0.4148148, Test Acc: 0.3166667, Train Cov: 3.3700690
Epoch: 024, Train Loss: 1.6778804, Train Acc: 0.3759259, Test Acc: 0.3166667, Train Cov: 3.3706772
Epoch: 025, Train Loss: 1.6607788, Train Acc: 0.3314815, Test Acc: 0.2666667, Train Cov: 3.3542998
Epoch: 026, Train Loss: 1.6539857, Train Acc: 0.4259259, Test Acc: 0.2833333, Train Cov: 3.3207493
Epoch: 027, Train Loss: 1.7063654, Train Acc: 0.3259259, Test Acc: 0.3000000, Train Cov: 3.3029420
Epoch: 028, Train Loss: 1.7262147, Train Acc: 0.3907407, Test Acc: 0.3166667, Train Cov: 3.3329444
Epoch: 029, Train Loss: 1.6679636, Train Acc: 0.3648148, Test Acc: 0.2500000, Train Cov: 3.3408589
Epoch: 030, Train Loss: 1.6632479, Train Acc: 0.3944444, Test Acc: 0.3333333, Train Cov: 3.3357980
Epoch: 031, Train Loss: 1.6912341, Train Acc: 0.3962963, Test Acc: 0.2666667, Train Cov: 3.3116751
Epoch: 032, Train Loss: 1.6951200, Train Acc: 0.3425926, Test Acc: 0.3166667, Train Cov: 3.2731247
Epoch: 033, Train Loss: 1.6718126, Train Acc: 0.4148148, Test Acc: 0.3000000, Train Cov: 3.2445133
Epoch: 034, Train Loss: 1.6443363, Train Acc: 0.3777778, Test Acc: 0.2166667, Train Cov: 3.2478337
Epoch: 035, Train Loss: 1.6252179, Train Acc: 0.4222222, Test Acc: 0.2000000, Train Cov: 3.2430649
Epoch: 036, Train Loss: 1.6299686, Train Acc: 0.4185185, Test Acc: 0.1333333, Train Cov: 3.2135203
Epoch: 037, Train Loss: 1.6377144, Train Acc: 0.4055556, Test Acc: 0.2833333, Train Cov: 3.2147555
Epoch: 038, Train Loss: 1.6637247, Train Acc: 0.3796296, Test Acc: 0.3500000, Train Cov: 3.1843216
Epoch: 039, Train Loss: 1.6590779, Train Acc: 0.3870370, Test Acc: 0.3000000, Train Cov: 3.1659608
Epoch: 040, Train Loss: 1.6569536, Train Acc: 0.4129630, Test Acc: 0.2500000, Train Cov: 3.1733716
Epoch: 041, Train Loss: 1.6386406, Train Acc: 0.4259259, Test Acc: 0.2333333, Train Cov: 3.1371338
Epoch: 042, Train Loss: 1.6771041, Train Acc: 0.3888889, Test Acc: 0.1833333, Train Cov: 3.1118264
Epoch: 043, Train Loss: 1.6825969, Train Acc: 0.4111111, Test Acc: 0.2500000, Train Cov: 3.1441958
Epoch: 044, Train Loss: 1.6583143, Train Acc: 0.3314815, Test Acc: 0.2166667, Train Cov: 3.1415820
Epoch: 045, Train Loss: 1.6865172, Train Acc: 0.4185185, Test Acc: 0.2166667, Train Cov: 3.1254025
Epoch: 046, Train Loss: 1.7107157, Train Acc: 0.3388889, Test Acc: 0.2666667, Train Cov: 3.1200266
Epoch: 047, Train Loss: 1.7055146, Train Acc: 0.3629630, Test Acc: 0.2166667, Train Cov: 3.1580443
Epoch: 048, Train Loss: 1.6837613, Train Acc: 0.4185185, Test Acc: 0.2333333, Train Cov: 3.1990650
Epoch: 049, Train Loss: 1.6611143, Train Acc: 0.3833333, Test Acc: 0.1833333, Train Cov: 3.1518204
Epoch: 050, Train Loss: 1.6860892, Train Acc: 0.4185185, Test Acc: 0.2500000, Train Cov: 3.0903640
Epoch: 051, Train Loss: 1.6555069, Train Acc: 0.4166667, Test Acc: 0.2833333, Train Cov: 3.0868676
Epoch: 052, Train Loss: 1.6478735, Train Acc: 0.3851852, Test Acc: 0.3166667, Train Cov: 3.0696881
Epoch: 053, Train Loss: 1.6739300, Train Acc: 0.3777778, Test Acc: 0.3500000, Train Cov: 3.0347772
Epoch: 054, Train Loss: 1.6815403, Train Acc: 0.3203704, Test Acc: 0.1833333, Train Cov: 2.9832959
Epoch: 055, Train Loss: 1.6410914, Train Acc: 0.4055556, Test Acc: 0.1833333, Train Cov: 2.9949720
Epoch: 056, Train Loss: 1.6242179, Train Acc: 0.3703704, Test Acc: 0.2833333, Train Cov: 2.9638169
Epoch: 057, Train Loss: 1.5858977, Train Acc: 0.4740741, Test Acc: 0.2166667, Train Cov: 2.9890563
Epoch: 058, Train Loss: 1.5914040, Train Acc: 0.4462963, Test Acc: 0.2666667, Train Cov: 2.9677253
Epoch: 059, Train Loss: 1.6062942, Train Acc: 0.4055556, Test Acc: 0.1333333, Train Cov: 2.9668741
Epoch: 060, Train Loss: 1.5884579, Train Acc: 0.4203704, Test Acc: 0.2666667, Train Cov: 2.9437914
Epoch: 061, Train Loss: 1.6221426, Train Acc: 0.4388889, Test Acc: 0.2166667, Train Cov: 2.9335485
