{'dataset_name': 'NCI1', 'num_workers': 1, 'cov_weight': 0.001, 'hyperparams': {'batch_size': 64, 'epochs': 901, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 64, 'pooling': 'add', 'JK': 'last', 'nonlinear_conv': 'e4', 'dropout': 0.5, 'variants': {'BN': 'Y'}}, 'commit_id': 'bb95b1a8813c59d83babe87ddbda5038f12700fc', 'time_stamp': '1610280007', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=bb95b1a8813c59d83babe87ddbda5038f12700fc
Epoch: 001, Train Loss: 0.6915174, Train Acc: 0.4925656, Test Acc: 0.4841849, Train Cov: 5.1792660
Epoch: 002, Train Loss: 0.6330763, Train Acc: 0.5915112, Test Acc: 0.5523114, Train Cov: 4.7938199
Epoch: 003, Train Loss: 0.6157196, Train Acc: 0.5177075, Test Acc: 0.4866180, Train Cov: 4.6902170
Epoch: 004, Train Loss: 0.5928385, Train Acc: 0.7118140, Test Acc: 0.7007299, Train Cov: 4.3917074
Epoch: 005, Train Loss: 0.5871482, Train Acc: 0.7155988, Test Acc: 0.7372263, Train Cov: 4.0613041
Epoch: 006, Train Loss: 0.5764660, Train Acc: 0.6299000, Test Acc: 0.6642336, Train Cov: 3.5856044
Epoch: 007, Train Loss: 0.5607836, Train Acc: 0.7502028, Test Acc: 0.7858881, Train Cov: 3.2265418
Epoch: 008, Train Loss: 0.5660287, Train Acc: 0.7466883, Test Acc: 0.7469586, Train Cov: 2.9233866
Epoch: 009, Train Loss: 0.5461163, Train Acc: 0.7191133, Test Acc: 0.7201946, Train Cov: 2.6378486
Epoch: 010, Train Loss: 0.5452404, Train Acc: 0.7304677, Test Acc: 0.7566910, Train Cov: 2.5115423
Epoch: 011, Train Loss: 0.5167031, Train Acc: 0.6755880, Test Acc: 0.6885645, Train Cov: 2.2200336
Epoch: 012, Train Loss: 0.5261081, Train Acc: 0.7339822, Test Acc: 0.7664234, Train Cov: 2.1890612
Epoch: 013, Train Loss: 0.5105876, Train Acc: 0.7374966, Test Acc: 0.7347932, Train Cov: 1.6975883
Epoch: 014, Train Loss: 0.5041125, Train Acc: 0.7480400, Test Acc: 0.7712895, Train Cov: 1.8230665
Epoch: 015, Train Loss: 0.5073446, Train Acc: 0.7261422, Test Acc: 0.7396594, Train Cov: 1.6206535
Epoch: 016, Train Loss: 0.4935377, Train Acc: 0.8064342, Test Acc: 0.8053528, Train Cov: 1.6211523
Epoch: 017, Train Loss: 0.4826065, Train Acc: 0.7731819, Test Acc: 0.8053528, Train Cov: 1.3182307
Epoch: 018, Train Loss: 0.4933458, Train Acc: 0.7137064, Test Acc: 0.7591241, Train Cov: 1.4198391
Epoch: 019, Train Loss: 0.4877996, Train Acc: 0.7910246, Test Acc: 0.7834550, Train Cov: 1.3546830
Epoch: 020, Train Loss: 0.4572654, Train Acc: 0.7442552, Test Acc: 0.7104623, Train Cov: 1.1005936
Epoch: 021, Train Loss: 0.4740492, Train Acc: 0.8018383, Test Acc: 0.7883212, Train Cov: 1.2486030
Epoch: 022, Train Loss: 0.4637298, Train Acc: 0.7891322, Test Acc: 0.8053528, Train Cov: 1.3531576
Epoch: 023, Train Loss: 0.4665153, Train Acc: 0.8102190, Test Acc: 0.8175182, Train Cov: 1.6278528
Epoch: 024, Train Loss: 0.4480598, Train Acc: 0.8004866, Test Acc: 0.7883212, Train Cov: 1.1761018
Epoch: 025, Train Loss: 0.4494605, Train Acc: 0.8261692, Test Acc: 0.8369830, Train Cov: 1.2169744
Epoch: 026, Train Loss: 0.4326430, Train Acc: 0.8167072, Test Acc: 0.8029197, Train Cov: 1.0705664
Epoch: 027, Train Loss: 0.4414520, Train Acc: 0.7807516, Test Acc: 0.7907543, Train Cov: 1.3623632
Epoch: 028, Train Loss: 0.4269922, Train Acc: 0.7991349, Test Acc: 0.8029197, Train Cov: 1.2945220
Epoch: 029, Train Loss: 0.4164649, Train Acc: 0.8264396, Test Acc: 0.8199513, Train Cov: 1.0790315
Epoch: 030, Train Loss: 0.4157578, Train Acc: 0.8377940, Test Acc: 0.8150852, Train Cov: 1.0217774
Epoch: 031, Train Loss: 0.4023080, Train Acc: 0.8253582, Test Acc: 0.7956204, Train Cov: 0.9344218
Epoch: 032, Train Loss: 0.4035310, Train Acc: 0.8015680, Test Acc: 0.7931873, Train Cov: 0.8945803
Epoch: 033, Train Loss: 0.3910666, Train Acc: 0.8464450, Test Acc: 0.8588808, Train Cov: 0.6588833
Epoch: 034, Train Loss: 0.3903975, Train Acc: 0.8115707, Test Acc: 0.8029197, Train Cov: 0.9006759
Epoch: 035, Train Loss: 0.3859946, Train Acc: 0.8569884, Test Acc: 0.8369830, Train Cov: 0.9279020
Epoch: 036, Train Loss: 0.3965960, Train Acc: 0.8496891, Test Acc: 0.8564477, Train Cov: 1.1549062
Epoch: 037, Train Loss: 0.3608274, Train Acc: 0.7772371, Test Acc: 0.7688564, Train Cov: 0.9392579
Epoch: 038, Train Loss: 0.3796681, Train Acc: 0.8553663, Test Acc: 0.8223844, Train Cov: 1.2278355
Epoch: 039, Train Loss: 0.4018935, Train Acc: 0.8286023, Test Acc: 0.7980535, Train Cov: 1.3521286
Epoch: 040, Train Loss: 0.3759814, Train Acc: 0.8299540, Test Acc: 0.8394161, Train Cov: 1.3498125
Epoch: 041, Train Loss: 0.3688431, Train Acc: 0.8634766, Test Acc: 0.8442822, Train Cov: 1.0069011
Epoch: 042, Train Loss: 0.3635108, Train Acc: 0.8521222, Test Acc: 0.8345499, Train Cov: 0.8462632
Epoch: 043, Train Loss: 0.3609058, Train Acc: 0.8583401, Test Acc: 0.8248175, Train Cov: 1.0185370
Epoch: 044, Train Loss: 0.3476807, Train Acc: 0.8413085, Test Acc: 0.8394161, Train Cov: 1.1716757
Epoch: 045, Train Loss: 0.3440159, Train Acc: 0.8675318, Test Acc: 0.8515815, Train Cov: 0.7526544
Epoch: 046, Train Loss: 0.3342803, Train Acc: 0.8699649, Test Acc: 0.8394161, Train Cov: 0.7457686
Epoch: 047, Train Loss: 0.3308034, Train Acc: 0.8659097, Test Acc: 0.8223844, Train Cov: 0.8482407
Epoch: 048, Train Loss: 0.3339148, Train Acc: 0.8783455, Test Acc: 0.8126521, Train Cov: 0.8445112
Epoch: 049, Train Loss: 0.3160842, Train Acc: 0.8859151, Test Acc: 0.8540146, Train Cov: 0.9696856
Epoch: 050, Train Loss: 0.3047836, Train Acc: 0.8842931, Test Acc: 0.8515815, Train Cov: 0.8415833
Epoch: 051, Train Loss: 0.2853078, Train Acc: 0.8896999, Test Acc: 0.8491484, Train Cov: 0.7523046
Epoch: 052, Train Loss: 0.2727740, Train Acc: 0.9007840, Test Acc: 0.8442822, Train Cov: 0.7886878
Epoch: 053, Train Loss: 0.2698296, Train Acc: 0.9010543, Test Acc: 0.8467153, Train Cov: 0.6972115
Epoch: 054, Train Loss: 0.2615246, Train Acc: 0.9088943, Test Acc: 0.8540146, Train Cov: 0.8316640
Epoch: 055, Train Loss: 0.2640097, Train Acc: 0.9107867, Test Acc: 0.8515815, Train Cov: 0.6585627
Epoch: 056, Train Loss: 0.2569726, Train Acc: 0.8840227, Test Acc: 0.8418491, Train Cov: 0.8136616
Epoch: 057, Train Loss: 0.2562109, Train Acc: 0.8767234, Test Acc: 0.8296837, Train Cov: 1.1248434
