{'dataset_name': 'NCI1', 'seed': 777, 'num_workers': 1, 'cov_weight': -1.0, 'hyperparams': {'batch_size': 64, 'epochs': 901, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 64, 'pooling': 'add', 'JK': 'last', 'nonlinear_conv': 'e4', 'dropout': 0.5, 'variants': {'BN': 'Y'}}, 'commit_id': 'bb95b1a8813c59d83babe87ddbda5038f12700fc', 'time_stamp': '1610281408', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=bb95b1a8813c59d83babe87ddbda5038f12700fc
Epoch: 001, Train Loss: -4.8293908, Train Acc: 0.4993241, Test Acc: 0.5182482, Train Cov: 5.5080605
Epoch: 002, Train Loss: -4.9044929, Train Acc: 0.6007029, Test Acc: 0.6107056, Train Cov: 5.5314746
Epoch: 003, Train Loss: -4.9380962, Train Acc: 0.6891052, Test Acc: 0.6812652, Train Cov: 5.5337281
Epoch: 004, Train Loss: -4.9507066, Train Acc: 0.5263585, Test Acc: 0.5231144, Train Cov: 5.5343776
Epoch: 005, Train Loss: -4.9402311, Train Acc: 0.5382536, Test Acc: 0.5523114, Train Cov: 5.5319495
Epoch: 006, Train Loss: -4.9482913, Train Acc: 0.6655853, Test Acc: 0.6593674, Train Cov: 5.5350037
Epoch: 007, Train Loss: -4.9601905, Train Acc: 0.7166802, Test Acc: 0.7055961, Train Cov: 5.5324049
Epoch: 008, Train Loss: -4.9756047, Train Acc: 0.7372263, Test Acc: 0.7250608, Train Cov: 5.5348325
Epoch: 009, Train Loss: -4.9932418, Train Acc: 0.7504731, Test Acc: 0.7396594, Train Cov: 5.5351243
Epoch: 010, Train Loss: -5.0096883, Train Acc: 0.6858610, Test Acc: 0.6569343, Train Cov: 5.5364809
Epoch: 011, Train Loss: -5.0097882, Train Acc: 0.6096242, Test Acc: 0.5766423, Train Cov: 5.5370069
Epoch: 012, Train Loss: -5.0214941, Train Acc: 0.7177616, Test Acc: 0.7104623, Train Cov: 5.5362234
Epoch: 013, Train Loss: -5.0203034, Train Acc: 0.7429035, Test Acc: 0.7250608, Train Cov: 5.5360074
Epoch: 014, Train Loss: -5.0419181, Train Acc: 0.6431468, Test Acc: 0.6253041, Train Cov: 5.5375781
Epoch: 015, Train Loss: -5.0243547, Train Acc: 0.7688564, Test Acc: 0.7712895, Train Cov: 5.5357189
Epoch: 016, Train Loss: -5.0436725, Train Acc: 0.7896729, Test Acc: 0.7931873, Train Cov: 5.5362110
Epoch: 017, Train Loss: -5.0553506, Train Acc: 0.7888619, Test Acc: 0.7737226, Train Cov: 5.5374689
Epoch: 018, Train Loss: -5.0611673, Train Acc: 0.7850770, Test Acc: 0.8004866, Train Cov: 5.5359817
Epoch: 019, Train Loss: -5.0610463, Train Acc: 0.7556096, Test Acc: 0.7347932, Train Cov: 5.5362692
Epoch: 020, Train Loss: -5.0664761, Train Acc: 0.7502028, Test Acc: 0.7396594, Train Cov: 5.5365849
Epoch: 021, Train Loss: -5.0746714, Train Acc: 0.7712895, Test Acc: 0.7323601, Train Cov: 5.5372744
Epoch: 022, Train Loss: -5.0676877, Train Acc: 0.7664234, Test Acc: 0.7518248, Train Cov: 5.5363650
Epoch: 023, Train Loss: -5.0726177, Train Acc: 0.8023790, Test Acc: 0.7737226, Train Cov: 5.5371642
Epoch: 024, Train Loss: -5.1019327, Train Acc: 0.8048121, Test Acc: 0.7737226, Train Cov: 5.5383086
Epoch: 025, Train Loss: -5.1014460, Train Acc: 0.7223574, Test Acc: 0.6885645, Train Cov: 5.5381527
Epoch: 026, Train Loss: -5.0781130, Train Acc: 0.8045418, Test Acc: 0.7931873, Train Cov: 5.5358906
Epoch: 027, Train Loss: -5.0885492, Train Acc: 0.7591241, Test Acc: 0.7104623, Train Cov: 5.5369220
Epoch: 028, Train Loss: -5.0788941, Train Acc: 0.7477697, Test Acc: 0.7299270, Train Cov: 5.5366426
Epoch: 029, Train Loss: -5.0829034, Train Acc: 0.7904839, Test Acc: 0.7591241, Train Cov: 5.5370965
Epoch: 030, Train Loss: -5.0875103, Train Acc: 0.8367126, Test Acc: 0.8077859, Train Cov: 5.5365171
Epoch: 031, Train Loss: -5.1215647, Train Acc: 0.7658827, Test Acc: 0.7445255, Train Cov: 5.5369234
Epoch: 032, Train Loss: -5.1121261, Train Acc: 0.7088402, Test Acc: 0.6958637, Train Cov: 5.5355501
Epoch: 033, Train Loss: -5.1027630, Train Acc: 0.7039740, Test Acc: 0.6642336, Train Cov: 5.5349064
Epoch: 034, Train Loss: -5.0270480, Train Acc: 0.7072182, Test Acc: 0.6715328, Train Cov: 5.5337543
Epoch: 035, Train Loss: -5.0017462, Train Acc: 0.7707489, Test Acc: 0.7591241, Train Cov: 5.5337749
Epoch: 036, Train Loss: -5.0224580, Train Acc: 0.6572046, Test Acc: 0.6423358, Train Cov: 5.5349259
Epoch: 037, Train Loss: -5.0433905, Train Acc: 0.7612868, Test Acc: 0.7347932, Train Cov: 5.5350919
Epoch: 038, Train Loss: -5.0327174, Train Acc: 0.5590700, Test Acc: 0.5693431, Train Cov: 5.5352821
Epoch: 039, Train Loss: -5.0047698, Train Acc: 0.6123277, Test Acc: 0.5790754, Train Cov: 5.5322804
Epoch: 040, Train Loss: -5.0139752, Train Acc: 0.7766964, Test Acc: 0.7591241, Train Cov: 5.5334835
Epoch: 041, Train Loss: -5.0482738, Train Acc: 0.7737226, Test Acc: 0.7737226, Train Cov: 5.5374994
Epoch: 042, Train Loss: -5.0516087, Train Acc: 0.7474993, Test Acc: 0.7104623, Train Cov: 5.5352840
Epoch: 043, Train Loss: -5.0712144, Train Acc: 0.7858881, Test Acc: 0.7810219, Train Cov: 5.5340447
Epoch: 044, Train Loss: -5.0713751, Train Acc: 0.8010273, Test Acc: 0.7907543, Train Cov: 5.5376635
Epoch: 045, Train Loss: -5.0797186, Train Acc: 0.8123817, Test Acc: 0.7785888, Train Cov: 5.5384746
