{'dataset_name': 'NCI1', 'seed': 777, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 64, 'epochs': 901, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 64, 'pooling': 'add', 'JK': 'last', 'nonlinear_conv': 'e4', 'dropout': 0.5, 'variants': {'BN': 'Y'}}, 'commit_id': 'bb95b1a8813c59d83babe87ddbda5038f12700fc', 'time_stamp': '1610285014', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=bb95b1a8813c59d83babe87ddbda5038f12700fc
Epoch: 001, Train Loss: 0.6703858, Train Acc: 0.4990538, Test Acc: 0.5182482, Train Cov: 5.2354136
Epoch: 002, Train Loss: 0.6207116, Train Acc: 0.5990808, Test Acc: 0.5961071, Train Cov: 4.8586354
Epoch: 003, Train Loss: 0.5970481, Train Acc: 0.6742363, Test Acc: 0.6836983, Train Cov: 4.6574898
Epoch: 004, Train Loss: 0.5706051, Train Acc: 0.6907272, Test Acc: 0.6958637, Train Cov: 4.5877757
Epoch: 005, Train Loss: 0.5680641, Train Acc: 0.7104623, Test Acc: 0.7080292, Train Cov: 4.4687810
Epoch: 006, Train Loss: 0.5696236, Train Acc: 0.6934307, Test Acc: 0.7128954, Train Cov: 4.6665716
Epoch: 007, Train Loss: 0.5483998, Train Acc: 0.7393890, Test Acc: 0.7104623, Train Cov: 4.6757493
Epoch: 008, Train Loss: 0.5452887, Train Acc: 0.6712625, Test Acc: 0.6763990, Train Cov: 4.1752582
Epoch: 009, Train Loss: 0.5338963, Train Acc: 0.7472290, Test Acc: 0.7177616, Train Cov: 4.4077721
Epoch: 010, Train Loss: 0.5216045, Train Acc: 0.7391187, Test Acc: 0.7201946, Train Cov: 5.0066338
Epoch: 011, Train Loss: 0.5247613, Train Acc: 0.7193836, Test Acc: 0.7128954, Train Cov: 4.5003357
Epoch: 012, Train Loss: 0.5045554, Train Acc: 0.7420925, Test Acc: 0.7226277, Train Cov: 4.9153481
Epoch: 013, Train Loss: 0.5069557, Train Acc: 0.7645310, Test Acc: 0.7542579, Train Cov: 5.1858282
Epoch: 014, Train Loss: 0.4913347, Train Acc: 0.7877805, Test Acc: 0.7712895, Train Cov: 7.0344214
Epoch: 015, Train Loss: 0.4942644, Train Acc: 0.7915653, Test Acc: 0.7518248, Train Cov: 7.1148319
Epoch: 016, Train Loss: 0.4889313, Train Acc: 0.7999459, Test Acc: 0.7712895, Train Cov: 6.9925432
Epoch: 017, Train Loss: 0.4778229, Train Acc: 0.7137064, Test Acc: 0.7128954, Train Cov: 7.1588144
Epoch: 018, Train Loss: 0.4887650, Train Acc: 0.7818329, Test Acc: 0.7347932, Train Cov: 8.1020651
Epoch: 019, Train Loss: 0.5009226, Train Acc: 0.7499324, Test Acc: 0.7201946, Train Cov: 8.9389801
Epoch: 020, Train Loss: 0.4880984, Train Acc: 0.7723709, Test Acc: 0.7396594, Train Cov: 11.2741728
Epoch: 021, Train Loss: 0.4681762, Train Acc: 0.8002163, Test Acc: 0.7907543, Train Cov: 13.5918875
Epoch: 022, Train Loss: 0.4504029, Train Acc: 0.7875101, Test Acc: 0.7761557, Train Cov: 15.8236217
Epoch: 023, Train Loss: 0.4530902, Train Acc: 0.8140038, Test Acc: 0.7834550, Train Cov: 18.9187489
Epoch: 024, Train Loss: 0.4376256, Train Acc: 0.8037307, Test Acc: 0.7664234, Train Cov: 20.5209637
Epoch: 025, Train Loss: 0.4236865, Train Acc: 0.6669370, Test Acc: 0.6715328, Train Cov: 21.9934616
Epoch: 026, Train Loss: 0.4727989, Train Acc: 0.7664234, Test Acc: 0.7566910, Train Cov: 26.3545036
Epoch: 027, Train Loss: 0.4570575, Train Acc: 0.8115707, Test Acc: 0.7883212, Train Cov: 31.6227989
Epoch: 028, Train Loss: 0.4400454, Train Acc: 0.8258989, Test Acc: 0.7639903, Train Cov: 29.9275723
Epoch: 029, Train Loss: 0.4378425, Train Acc: 0.8167072, Test Acc: 0.7931873, Train Cov: 28.0627384
Epoch: 030, Train Loss: 0.4146311, Train Acc: 0.8121114, Test Acc: 0.7883212, Train Cov: 28.9188194
Epoch: 031, Train Loss: 0.4029568, Train Acc: 0.8310354, Test Acc: 0.7712895, Train Cov: 30.9364738
Epoch: 032, Train Loss: 0.4147246, Train Acc: 0.7699378, Test Acc: 0.7372263, Train Cov: 31.0381851
Epoch: 033, Train Loss: 0.4033487, Train Acc: 0.8288727, Test Acc: 0.7518248, Train Cov: 27.9129810
Epoch: 034, Train Loss: 0.3958326, Train Acc: 0.8348202, Test Acc: 0.7883212, Train Cov: 29.1606388
Epoch: 035, Train Loss: 0.3986673, Train Acc: 0.8323871, Test Acc: 0.7858881, Train Cov: 32.7657890
Epoch: 036, Train Loss: 0.3826777, Train Acc: 0.8383347, Test Acc: 0.7858881, Train Cov: 32.7641907
Epoch: 037, Train Loss: 0.3894693, Train Acc: 0.8340092, Test Acc: 0.7712895, Train Cov: 32.9802971
Epoch: 038, Train Loss: 0.3795913, Train Acc: 0.8469857, Test Acc: 0.8150852, Train Cov: 43.6822014
Epoch: 039, Train Loss: 0.3659307, Train Acc: 0.7885915, Test Acc: 0.7372263, Train Cov: 41.1991348
Epoch: 040, Train Loss: 0.3646501, Train Acc: 0.7891322, Test Acc: 0.7566910, Train Cov: 42.6771889
Epoch: 041, Train Loss: 0.3515734, Train Acc: 0.8705055, Test Acc: 0.8102190, Train Cov: 44.9025879
Epoch: 042, Train Loss: 0.3374955, Train Acc: 0.7994052, Test Acc: 0.7615572, Train Cov: 45.3871040
Epoch: 043, Train Loss: 0.3559103, Train Acc: 0.8591511, Test Acc: 0.7858881, Train Cov: 53.5172310
Epoch: 044, Train Loss: 0.3584952, Train Acc: 0.8642876, Test Acc: 0.7737226, Train Cov: 59.6294899
Epoch: 045, Train Loss: 0.3574725, Train Acc: 0.8723979, Test Acc: 0.8150852, Train Cov: 71.2164764
Epoch: 046, Train Loss: 0.3410139, Train Acc: 0.8653690, Test Acc: 0.7688564, Train Cov: 75.1039124
Epoch: 047, Train Loss: 0.3206768, Train Acc: 0.8805082, Test Acc: 0.8077859, Train Cov: 70.7580566
Epoch: 048, Train Loss: 0.3220901, Train Acc: 0.8742903, Test Acc: 0.7931873, Train Cov: 76.7808228
