{'dataset_name': 'NCI1', 'seed': 666, 'num_workers': 1, 'cov_weight': 0.001, 'hyperparams': {'batch_size': 64, 'epochs': 901, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 64, 'pooling': 'add', 'JK': 'last', 'nonlinear_conv': 'e4', 'dropout': 0.5, 'variants': {'BN': 'Y'}}, 'commit_id': 'bb95b1a8813c59d83babe87ddbda5038f12700fc', 'time_stamp': '1610289195', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=bb95b1a8813c59d83babe87ddbda5038f12700fc
Epoch: 001, Train Loss: 0.6805242, Train Acc: 0.4952690, Test Acc: 0.5352798, Train Cov: 5.2382140
Epoch: 002, Train Loss: 0.6323963, Train Acc: 0.6593674, Test Acc: 0.6496350, Train Cov: 5.0735707
Epoch: 003, Train Loss: 0.6087545, Train Acc: 0.6896459, Test Acc: 0.6569343, Train Cov: 4.8050880
Epoch: 004, Train Loss: 0.6013166, Train Acc: 0.6147607, Test Acc: 0.6058394, Train Cov: 4.7915759
Epoch: 005, Train Loss: 0.6009014, Train Acc: 0.6780211, Test Acc: 0.6520681, Train Cov: 4.5741372
Epoch: 006, Train Loss: 0.5659560, Train Acc: 0.7066775, Test Acc: 0.6934307, Train Cov: 4.0494165
Epoch: 007, Train Loss: 0.5575177, Train Acc: 0.7253312, Test Acc: 0.6812652, Train Cov: 4.0591297
Epoch: 008, Train Loss: 0.5584353, Train Acc: 0.6982968, Test Acc: 0.6788321, Train Cov: 3.6356661
Epoch: 009, Train Loss: 0.5406811, Train Acc: 0.7429035, Test Acc: 0.7153285, Train Cov: 3.1761916
Epoch: 010, Train Loss: 0.5324201, Train Acc: 0.7407407, Test Acc: 0.6861314, Train Cov: 3.1427908
Epoch: 011, Train Loss: 0.5175086, Train Acc: 0.7593944, Test Acc: 0.6885645, Train Cov: 2.8652995
Epoch: 012, Train Loss: 0.5152314, Train Acc: 0.7350635, Test Acc: 0.6934307, Train Cov: 3.1587670
Epoch: 013, Train Loss: 0.5233826, Train Acc: 0.7780481, Test Acc: 0.7445255, Train Cov: 3.0975487
Epoch: 014, Train Loss: 0.5138432, Train Acc: 0.7683158, Test Acc: 0.7128954, Train Cov: 2.9455516
Epoch: 015, Train Loss: 0.4909164, Train Acc: 0.7872398, Test Acc: 0.7347932, Train Cov: 2.3720567
