{'dataset_name': 'NCI1', 'seed': 666, 'num_workers': 1, 'cov_weight': 0.001, 'hyperparams': {'batch_size': 64, 'epochs': 901, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 64, 'pooling': 'add', 'JK': 'last', 'nonlinear_conv': 'g4', 'dropout': 0.5, 'variants': {'BN': 'Y'}}, 'commit_id': 'db0454be64b8cb8f75b929819d04cce660b31f27', 'time_stamp': '1610292470', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=db0454be64b8cb8f75b929819d04cce660b31f27
Epoch: 001, Train Loss: 0.7553772, Train Acc: 0.6263855, Test Acc: 0.6277372, Train Cov: 4.0663109
Epoch: 002, Train Loss: 0.6168931, Train Acc: 0.7018113, Test Acc: 0.6763990, Train Cov: 4.0537753
Epoch: 003, Train Loss: 0.6115682, Train Acc: 0.6977562, Test Acc: 0.6472019, Train Cov: 4.0460281
Epoch: 004, Train Loss: 0.5920376, Train Acc: 0.7072182, Test Acc: 0.6836983, Train Cov: 4.0424681
Epoch: 005, Train Loss: 0.5834646, Train Acc: 0.7055961, Test Acc: 0.6666667, Train Cov: 4.0416083
Epoch: 006, Train Loss: 0.5731524, Train Acc: 0.7374966, Test Acc: 0.7104623, Train Cov: 4.0386996
Epoch: 007, Train Loss: 0.5584226, Train Acc: 0.7188429, Test Acc: 0.6861314, Train Cov: 4.0343051
Epoch: 008, Train Loss: 0.5548231, Train Acc: 0.7285753, Test Acc: 0.6909976, Train Cov: 4.0297933
Epoch: 009, Train Loss: 0.5469069, Train Acc: 0.7591241, Test Acc: 0.7396594, Train Cov: 4.0183787
Epoch: 010, Train Loss: 0.5454924, Train Acc: 0.7358746, Test Acc: 0.7250608, Train Cov: 4.0083833
Epoch: 011, Train Loss: 0.5286250, Train Acc: 0.7561503, Test Acc: 0.7347932, Train Cov: 3.9990811
