{'dataset_name': 'NCI1', 'seed': 666, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 64, 'epochs': 901, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 64, 'pooling': 'add', 'JK': 'last', 'nonlinear_conv': 'g', 'dropout': 0.5, 'variants': {'BN': 'Y'}}, 'commit_id': 'db0454be64b8cb8f75b929819d04cce660b31f27', 'time_stamp': '1610292732', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=db0454be64b8cb8f75b929819d04cce660b31f27
Epoch: 001, Train Loss: 0.7520665, Train Acc: 0.6207083, Test Acc: 0.6374696, Train Cov: 4.0661592
Epoch: 002, Train Loss: 0.6140769, Train Acc: 0.7112733, Test Acc: 0.6909976, Train Cov: 4.0506930
Epoch: 003, Train Loss: 0.5984106, Train Acc: 0.7093809, Test Acc: 0.6836983, Train Cov: 4.0422564
Epoch: 004, Train Loss: 0.5751744, Train Acc: 0.6993782, Test Acc: 0.6642336, Train Cov: 4.0438490
Epoch: 005, Train Loss: 0.5714294, Train Acc: 0.7320898, Test Acc: 0.7080292, Train Cov: 4.0435939
Epoch: 006, Train Loss: 0.5686380, Train Acc: 0.7261422, Test Acc: 0.7128954, Train Cov: 4.0348306
Epoch: 007, Train Loss: 0.5553855, Train Acc: 0.7345228, Test Acc: 0.7055961, Train Cov: 4.0212498
Epoch: 008, Train Loss: 0.5449336, Train Acc: 0.7469586, Test Acc: 0.7201946, Train Cov: 4.0157576
Epoch: 009, Train Loss: 0.5372780, Train Acc: 0.7653420, Test Acc: 0.7274939, Train Cov: 4.0086088
Epoch: 010, Train Loss: 0.5314484, Train Acc: 0.7575020, Test Acc: 0.7128954, Train Cov: 4.0050201
Epoch: 011, Train Loss: 0.5317832, Train Acc: 0.7434442, Test Acc: 0.7007299, Train Cov: 3.9992394
Epoch: 012, Train Loss: 0.5248193, Train Acc: 0.7429035, Test Acc: 0.7007299, Train Cov: 3.9989436
Epoch: 013, Train Loss: 0.5257321, Train Acc: 0.7266829, Test Acc: 0.6982968, Train Cov: 3.9902649
Epoch: 014, Train Loss: 0.5167930, Train Acc: 0.7626386, Test Acc: 0.7420925, Train Cov: 3.9868989
Epoch: 015, Train Loss: 0.4989967, Train Acc: 0.7831846, Test Acc: 0.7226277, Train Cov: 3.9854774
Epoch: 016, Train Loss: 0.5025828, Train Acc: 0.7685861, Test Acc: 0.7153285, Train Cov: 3.9802289
Epoch: 017, Train Loss: 0.4949136, Train Acc: 0.7934577, Test Acc: 0.7323601, Train Cov: 3.9680600
Epoch: 018, Train Loss: 0.4865911, Train Acc: 0.6745066, Test Acc: 0.6107056, Train Cov: 3.9660225
Epoch: 019, Train Loss: 0.4883240, Train Acc: 0.7758854, Test Acc: 0.7274939, Train Cov: 3.9569013
Epoch: 020, Train Loss: 0.4801104, Train Acc: 0.7975128, Test Acc: 0.7761557, Train Cov: 3.9521873
Epoch: 021, Train Loss: 0.4749448, Train Acc: 0.8102190, Test Acc: 0.7810219, Train Cov: 3.9513853
Epoch: 022, Train Loss: 0.4745069, Train Acc: 0.7907543, Test Acc: 0.7250608, Train Cov: 3.9488213
Epoch: 023, Train Loss: 0.4802227, Train Acc: 0.7696675, Test Acc: 0.7031630, Train Cov: 3.9366939
Epoch: 024, Train Loss: 0.4650959, Train Acc: 0.7520952, Test Acc: 0.6788321, Train Cov: 3.9218087
Epoch: 025, Train Loss: 0.4632684, Train Acc: 0.7677751, Test Acc: 0.7031630, Train Cov: 3.9085159
Epoch: 026, Train Loss: 0.4540606, Train Acc: 0.8072452, Test Acc: 0.7274939, Train Cov: 3.9074302
Epoch: 027, Train Loss: 0.4482190, Train Acc: 0.8150852, Test Acc: 0.7518248, Train Cov: 3.8983610
Epoch: 028, Train Loss: 0.4512891, Train Acc: 0.8072452, Test Acc: 0.7615572, Train Cov: 3.8881018
Epoch: 029, Train Loss: 0.4681022, Train Acc: 0.8275210, Test Acc: 0.7639903, Train Cov: 3.8696809
Epoch: 030, Train Loss: 0.4367697, Train Acc: 0.8075155, Test Acc: 0.7323601, Train Cov: 3.8654790
Epoch: 031, Train Loss: 0.4440938, Train Acc: 0.7875101, Test Acc: 0.7274939, Train Cov: 3.8663552
Epoch: 032, Train Loss: 0.4481371, Train Acc: 0.7921060, Test Acc: 0.7128954, Train Cov: 3.8449488
Epoch: 033, Train Loss: 0.4352774, Train Acc: 0.8234658, Test Acc: 0.7372263, Train Cov: 3.8332205
Epoch: 034, Train Loss: 0.4333304, Train Acc: 0.7750743, Test Acc: 0.6618005, Train Cov: 3.8261528
Epoch: 035, Train Loss: 0.4274160, Train Acc: 0.8413085, Test Acc: 0.7712895, Train Cov: 3.8270452
Epoch: 036, Train Loss: 0.4186751, Train Acc: 0.8307651, Test Acc: 0.7858881, Train Cov: 3.8202431
Epoch: 037, Train Loss: 0.4166682, Train Acc: 0.7861584, Test Acc: 0.7542579, Train Cov: 3.8102374
Epoch: 038, Train Loss: 0.4328619, Train Acc: 0.8304947, Test Acc: 0.7761557, Train Cov: 3.8050675
Epoch: 039, Train Loss: 0.4024109, Train Acc: 0.7902136, Test Acc: 0.7420925, Train Cov: 3.7965107
Epoch: 040, Train Loss: 0.4037941, Train Acc: 0.8075155, Test Acc: 0.7445255, Train Cov: 3.7802961
Epoch: 041, Train Loss: 0.4095106, Train Acc: 0.8261692, Test Acc: 0.7542579, Train Cov: 3.7803304
Epoch: 042, Train Loss: 0.4120646, Train Acc: 0.8426602, Test Acc: 0.7737226, Train Cov: 3.7724721
Epoch: 043, Train Loss: 0.4076127, Train Acc: 0.8348202, Test Acc: 0.7712895, Train Cov: 3.7615893
Epoch: 044, Train Loss: 0.3832665, Train Acc: 0.8210327, Test Acc: 0.7542579, Train Cov: 3.7492368
Epoch: 045, Train Loss: 0.3984589, Train Acc: 0.8456340, Test Acc: 0.7591241, Train Cov: 3.7308862
Epoch: 046, Train Loss: 0.4096906, Train Acc: 0.7150581, Test Acc: 0.6326034, Train Cov: 3.7332711
Epoch: 047, Train Loss: 0.3931462, Train Acc: 0.8467153, Test Acc: 0.7664234, Train Cov: 3.7209604
Epoch: 048, Train Loss: 0.3824569, Train Acc: 0.8575291, Test Acc: 0.7883212, Train Cov: 3.7226872
Epoch: 049, Train Loss: 0.3843140, Train Acc: 0.8326575, Test Acc: 0.7639903, Train Cov: 3.6905961
Epoch: 050, Train Loss: 0.3904278, Train Acc: 0.8340092, Test Acc: 0.7615572, Train Cov: 3.6822419
Epoch: 051, Train Loss: 0.3792464, Train Acc: 0.8615842, Test Acc: 0.7785888, Train Cov: 3.6918368
Epoch: 052, Train Loss: 0.3672743, Train Acc: 0.8318464, Test Acc: 0.7445255, Train Cov: 3.6952097
Epoch: 053, Train Loss: 0.3706726, Train Acc: 0.8502298, Test Acc: 0.7712895, Train Cov: 3.6749713
Epoch: 054, Train Loss: 0.3633834, Train Acc: 0.8610435, Test Acc: 0.7834550, Train Cov: 3.6657956
Epoch: 055, Train Loss: 0.3421735, Train Acc: 0.8437416, Test Acc: 0.7615572, Train Cov: 3.6784043
Epoch: 056, Train Loss: 0.3588070, Train Acc: 0.8572587, Test Acc: 0.7688564, Train Cov: 3.6880038
Epoch: 057, Train Loss: 0.3477129, Train Acc: 0.8469857, Test Acc: 0.7737226, Train Cov: 3.6571686
Epoch: 058, Train Loss: 0.3592922, Train Acc: 0.8550960, Test Acc: 0.7810219, Train Cov: 3.6594915
Epoch: 059, Train Loss: 0.3455588, Train Acc: 0.8542849, Test Acc: 0.7688564, Train Cov: 3.6517324
