{'dataset_name': 'NCI1', 'seed': 666, 'num_workers': 1, 'cov_weight': 0.001, 'hyperparams': {'batch_size': 64, 'epochs': 901, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 64, 'pooling': 'add', 'JK': 'last', 'nonlinear_conv': 'G', 'dropout': 0.5, 'variants': {'BN': 'Y'}}, 'commit_id': 'db0454be64b8cb8f75b929819d04cce660b31f27', 'time_stamp': '1610292847', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=db0454be64b8cb8f75b929819d04cce660b31f27
Epoch: 001, Train Loss: 1.3006487, Train Acc: 0.5669100, Test Acc: 0.5863747, Train Cov: 3.7150869
Epoch: 002, Train Loss: 0.7461971, Train Acc: 0.6939713, Test Acc: 0.6788321, Train Cov: 3.7446723
Epoch: 003, Train Loss: 0.6156856, Train Acc: 0.7285753, Test Acc: 0.7055961, Train Cov: 3.7483766
Epoch: 004, Train Loss: 0.5757609, Train Acc: 0.6588267, Test Acc: 0.6107056, Train Cov: 3.7512343
Epoch: 005, Train Loss: 0.5581117, Train Acc: 0.7356042, Test Acc: 0.6836983, Train Cov: 3.7521784
Epoch: 006, Train Loss: 0.5546317, Train Acc: 0.7612868, Test Acc: 0.7420925, Train Cov: 3.7509136
Epoch: 007, Train Loss: 0.5303776, Train Acc: 0.7580427, Test Acc: 0.7201946, Train Cov: 3.7480059
Epoch: 008, Train Loss: 0.5305927, Train Acc: 0.7472290, Test Acc: 0.7080292, Train Cov: 3.7510991
Epoch: 009, Train Loss: 0.5199985, Train Acc: 0.7350635, Test Acc: 0.6958637, Train Cov: 3.7444510
Epoch: 010, Train Loss: 0.5236137, Train Acc: 0.7123547, Test Acc: 0.6472019, Train Cov: 3.7420173
Epoch: 011, Train Loss: 0.5064692, Train Acc: 0.7293863, Test Acc: 0.6836983, Train Cov: 3.7414670
