{'dataset_name': 'NCI1', 'seed': 666, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 64, 'epochs': 901, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 64, 'pooling': 'add', 'JK': 'last', 'nonlinear_conv': 'g', 'dropout': 0.5, 'variants': {'BN': 'Y'}}, 'commit_id': '2ceb3d035efe519de861aee344e426f68c91b0bc', 'time_stamp': '1610293930', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=2ceb3d035efe519de861aee344e426f68c91b0bc
Epoch: 001, Train Loss: 0.7506190, Train Acc: 0.6401730, Test Acc: 0.6423358, Train Cov: 4.0655656
Epoch: 002, Train Loss: 0.6210705, Train Acc: 0.6818059, Test Acc: 0.6496350, Train Cov: 4.0510912
Epoch: 003, Train Loss: 0.6129793, Train Acc: 0.6915383, Test Acc: 0.6447689, Train Cov: 4.0461273
Epoch: 004, Train Loss: 0.5864054, Train Acc: 0.7055961, Test Acc: 0.6812652, Train Cov: 4.0429659
Epoch: 005, Train Loss: 0.5752208, Train Acc: 0.7253312, Test Acc: 0.6763990, Train Cov: 4.0357065
Epoch: 006, Train Loss: 0.5698158, Train Acc: 0.6915383, Test Acc: 0.6496350, Train Cov: 4.0310082
Epoch: 007, Train Loss: 0.5562657, Train Acc: 0.7304677, Test Acc: 0.7031630, Train Cov: 4.0242119
Epoch: 008, Train Loss: 0.5476547, Train Acc: 0.7331711, Test Acc: 0.7031630, Train Cov: 4.0222878
Epoch: 009, Train Loss: 0.5456829, Train Acc: 0.7515545, Test Acc: 0.6909976, Train Cov: 4.0110950
Epoch: 010, Train Loss: 0.5449128, Train Acc: 0.7329008, Test Acc: 0.6788321, Train Cov: 4.0041847
Epoch: 011, Train Loss: 0.5332648, Train Acc: 0.7437145, Test Acc: 0.7250608, Train Cov: 3.9971201
Epoch: 012, Train Loss: 0.5253358, Train Acc: 0.7520952, Test Acc: 0.7104623, Train Cov: 3.9850101
Epoch: 013, Train Loss: 0.5228927, Train Acc: 0.7566910, Test Acc: 0.7299270, Train Cov: 3.9722929
Epoch: 014, Train Loss: 0.5170970, Train Acc: 0.7712895, Test Acc: 0.7372263, Train Cov: 3.9760151
Epoch: 015, Train Loss: 0.5037965, Train Acc: 0.7702082, Test Acc: 0.7299270, Train Cov: 3.9779365
Epoch: 016, Train Loss: 0.5248907, Train Acc: 0.7620979, Test Acc: 0.6909976, Train Cov: 3.9697318
Epoch: 017, Train Loss: 0.5091918, Train Acc: 0.7575020, Test Acc: 0.7007299, Train Cov: 3.9597478
Epoch: 018, Train Loss: 0.4924611, Train Acc: 0.6158421, Test Acc: 0.5863747, Train Cov: 3.9585977
Epoch: 019, Train Loss: 0.5072674, Train Acc: 0.7885915, Test Acc: 0.7469586, Train Cov: 3.9411447
Epoch: 020, Train Loss: 0.4918265, Train Acc: 0.7850770, Test Acc: 0.7639903, Train Cov: 3.9490387
Epoch: 021, Train Loss: 0.4897085, Train Acc: 0.7777778, Test Acc: 0.7347932, Train Cov: 3.9427588
Epoch: 022, Train Loss: 0.4778556, Train Acc: 0.7583131, Test Acc: 0.7226277, Train Cov: 3.9151714
Epoch: 023, Train Loss: 0.4716868, Train Acc: 0.8129224, Test Acc: 0.7347932, Train Cov: 3.9116783
Epoch: 024, Train Loss: 0.4770894, Train Acc: 0.7983239, Test Acc: 0.7420925, Train Cov: 3.9056342
Epoch: 025, Train Loss: 0.4777244, Train Acc: 0.7712895, Test Acc: 0.6861314, Train Cov: 3.9055548
Epoch: 026, Train Loss: 0.4714316, Train Acc: 0.8034604, Test Acc: 0.7518248, Train Cov: 3.9030344
