{'dataset_name': 'NCI1', 'seed': 666, 'num_workers': 1, 'cov_weight': 0.01, 'hyperparams': {'batch_size': 64, 'epochs': 901, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 64, 'pooling': 'add', 'JK': 'last', 'nonlinear_conv': 'g', 'dropout': 0.5, 'variants': {'BN': 'Y'}}, 'commit_id': '2ceb3d035efe519de861aee344e426f68c91b0bc', 'time_stamp': '1610296419', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=2ceb3d035efe519de861aee344e426f68c91b0bc
Epoch: 001, Train Loss: 0.7908676, Train Acc: 0.5998919, Test Acc: 0.6034063, Train Cov: 4.0651493
Epoch: 002, Train Loss: 0.6585750, Train Acc: 0.6869424, Test Acc: 0.6836983, Train Cov: 4.0482497
Epoch: 003, Train Loss: 0.6508831, Train Acc: 0.7066775, Test Acc: 0.6885645, Train Cov: 4.0409298
Epoch: 004, Train Loss: 0.6297637, Train Acc: 0.6020546, Test Acc: 0.5863747, Train Cov: 4.0326376
Epoch: 005, Train Loss: 0.6201468, Train Acc: 0.7004596, Test Acc: 0.6909976, Train Cov: 4.0260286
Epoch: 006, Train Loss: 0.6109869, Train Acc: 0.6661260, Test Acc: 0.6326034, Train Cov: 4.0179777
Epoch: 007, Train Loss: 0.6143673, Train Acc: 0.7145174, Test Acc: 0.6618005, Train Cov: 4.0102816
Epoch: 008, Train Loss: 0.6023510, Train Acc: 0.7183022, Test Acc: 0.7104623, Train Cov: 4.0060420
Epoch: 009, Train Loss: 0.5984554, Train Acc: 0.7450662, Test Acc: 0.6934307, Train Cov: 3.9925075
Epoch: 010, Train Loss: 0.5863748, Train Acc: 0.6804542, Test Acc: 0.6350365, Train Cov: 3.9842162
Epoch: 011, Train Loss: 0.5894120, Train Acc: 0.7296567, Test Acc: 0.7080292, Train Cov: 3.9701891
Epoch: 012, Train Loss: 0.5782127, Train Acc: 0.7228981, Test Acc: 0.6958637, Train Cov: 3.9690487
Epoch: 013, Train Loss: 0.5695341, Train Acc: 0.7561503, Test Acc: 0.7372263, Train Cov: 3.9571195
Epoch: 014, Train Loss: 0.5610715, Train Acc: 0.7669640, Test Acc: 0.7420925, Train Cov: 3.9413180
Epoch: 015, Train Loss: 0.5498728, Train Acc: 0.7491214, Test Acc: 0.7226277, Train Cov: 3.9325936
Epoch: 016, Train Loss: 0.5617866, Train Acc: 0.7734523, Test Acc: 0.7566910, Train Cov: 3.9173241
Epoch: 017, Train Loss: 0.5320786, Train Acc: 0.7883212, Test Acc: 0.7250608, Train Cov: 3.9065709
Epoch: 018, Train Loss: 0.5329985, Train Acc: 0.7650716, Test Acc: 0.7201946, Train Cov: 3.8888633
Epoch: 019, Train Loss: 0.5339536, Train Acc: 0.7829143, Test Acc: 0.7542579, Train Cov: 3.8755677
Epoch: 020, Train Loss: 0.5193019, Train Acc: 0.7837253, Test Acc: 0.7323601, Train Cov: 3.8637450
Epoch: 021, Train Loss: 0.5226851, Train Acc: 0.7964315, Test Acc: 0.7834550, Train Cov: 3.8526883
Epoch: 022, Train Loss: 0.5139189, Train Acc: 0.7793998, Test Acc: 0.7542579, Train Cov: 3.8346858
Epoch: 023, Train Loss: 0.5215778, Train Acc: 0.7415518, Test Acc: 0.6982968, Train Cov: 3.8147397
Epoch: 024, Train Loss: 0.5048446, Train Acc: 0.7802109, Test Acc: 0.7250608, Train Cov: 3.7916026
Epoch: 025, Train Loss: 0.5055252, Train Acc: 0.8091376, Test Acc: 0.7615572, Train Cov: 3.7689645
Epoch: 026, Train Loss: 0.5070304, Train Acc: 0.7918356, Test Acc: 0.7469586, Train Cov: 3.7474191
Epoch: 027, Train Loss: 0.5155463, Train Acc: 0.7858881, Test Acc: 0.7031630, Train Cov: 3.7287307
Epoch: 028, Train Loss: 0.4884441, Train Acc: 0.8056231, Test Acc: 0.7518248, Train Cov: 3.7113533
Epoch: 029, Train Loss: 0.5074984, Train Acc: 0.7829143, Test Acc: 0.7274939, Train Cov: 3.6918955
Epoch: 030, Train Loss: 0.4834739, Train Acc: 0.7985942, Test Acc: 0.7201946, Train Cov: 3.6651473
Epoch: 031, Train Loss: 0.4885682, Train Acc: 0.7904839, Test Acc: 0.7080292, Train Cov: 3.6455388
Epoch: 032, Train Loss: 0.4859830, Train Acc: 0.8175182, Test Acc: 0.7566910, Train Cov: 3.6146278
Epoch: 033, Train Loss: 0.4818229, Train Acc: 0.8207624, Test Acc: 0.7761557, Train Cov: 3.5918303
Epoch: 034, Train Loss: 0.4742146, Train Acc: 0.7969722, Test Acc: 0.7299270, Train Cov: 3.5861433
Epoch: 035, Train Loss: 0.4859488, Train Acc: 0.7988646, Test Acc: 0.7639903, Train Cov: 3.5502403
Epoch: 036, Train Loss: 0.4818082, Train Acc: 0.8256285, Test Acc: 0.7761557, Train Cov: 3.5293448
Epoch: 037, Train Loss: 0.4763874, Train Acc: 0.7607461, Test Acc: 0.7347932, Train Cov: 3.5012279
Epoch: 038, Train Loss: 0.4707681, Train Acc: 0.8226548, Test Acc: 0.7737226, Train Cov: 3.4831545
Epoch: 039, Train Loss: 0.4617116, Train Acc: 0.8085969, Test Acc: 0.7542579, Train Cov: 3.4539526
Epoch: 040, Train Loss: 0.4518675, Train Acc: 0.8394161, Test Acc: 0.7761557, Train Cov: 3.4441147
Epoch: 041, Train Loss: 0.4753841, Train Acc: 0.8288727, Test Acc: 0.7737226, Train Cov: 3.4147637
Epoch: 042, Train Loss: 0.4524853, Train Acc: 0.8264396, Test Acc: 0.7883212, Train Cov: 3.3766658
Epoch: 043, Train Loss: 0.4491357, Train Acc: 0.8383347, Test Acc: 0.7883212, Train Cov: 3.3580117
Epoch: 044, Train Loss: 0.4318867, Train Acc: 0.8294134, Test Acc: 0.7664234, Train Cov: 3.3321373
Epoch: 045, Train Loss: 0.4448049, Train Acc: 0.8367126, Test Acc: 0.7907543, Train Cov: 3.2982156
Epoch: 046, Train Loss: 0.4417914, Train Acc: 0.7585834, Test Acc: 0.6788321, Train Cov: 3.2712717
Epoch: 047, Train Loss: 0.4371663, Train Acc: 0.8388754, Test Acc: 0.7785888, Train Cov: 3.2396638
Epoch: 048, Train Loss: 0.4515813, Train Acc: 0.8432009, Test Acc: 0.7761557, Train Cov: 3.2132280
Epoch: 049, Train Loss: 0.4241139, Train Acc: 0.8540146, Test Acc: 0.7785888, Train Cov: 3.1855080
Epoch: 050, Train Loss: 0.4265682, Train Acc: 0.8277913, Test Acc: 0.7761557, Train Cov: 3.1583035
Epoch: 051, Train Loss: 0.4261173, Train Acc: 0.8510408, Test Acc: 0.7907543, Train Cov: 3.1220436
Epoch: 052, Train Loss: 0.4030008, Train Acc: 0.8442822, Test Acc: 0.8029197, Train Cov: 3.1074357
Epoch: 053, Train Loss: 0.4164310, Train Acc: 0.8396864, Test Acc: 0.7639903, Train Cov: 3.0917666
Epoch: 054, Train Loss: 0.3991321, Train Acc: 0.8580697, Test Acc: 0.7834550, Train Cov: 3.0693605
Epoch: 055, Train Loss: 0.4021040, Train Acc: 0.8545553, Test Acc: 0.7688564, Train Cov: 3.0443916
Epoch: 056, Train Loss: 0.3918083, Train Acc: 0.8648283, Test Acc: 0.7931873, Train Cov: 3.0289609
Epoch: 057, Train Loss: 0.3843161, Train Acc: 0.8583401, Test Acc: 0.7858881, Train Cov: 3.0145113
Epoch: 058, Train Loss: 0.3866022, Train Acc: 0.8718573, Test Acc: 0.7858881, Train Cov: 2.9914558
Epoch: 059, Train Loss: 0.3991903, Train Acc: 0.8661800, Test Acc: 0.8053528, Train Cov: 2.9712207
Epoch: 060, Train Loss: 0.3866924, Train Acc: 0.8780752, Test Acc: 0.7737226, Train Cov: 2.9417667
Epoch: 061, Train Loss: 0.3708118, Train Acc: 0.8751014, Test Acc: 0.8004866, Train Cov: 2.9172142
Epoch: 062, Train Loss: 0.3836439, Train Acc: 0.8721276, Test Acc: 0.7858881, Train Cov: 2.9035814
Epoch: 063, Train Loss: 0.3856334, Train Acc: 0.8542849, Test Acc: 0.7712895, Train Cov: 2.8787098
Epoch: 064, Train Loss: 0.3813839, Train Acc: 0.8742903, Test Acc: 0.8150852, Train Cov: 2.8529415
Epoch: 065, Train Loss: 0.3774016, Train Acc: 0.8751014, Test Acc: 0.7688564, Train Cov: 2.8291481
Epoch: 066, Train Loss: 0.3654663, Train Acc: 0.8710462, Test Acc: 0.8004866, Train Cov: 2.8074884
Epoch: 067, Train Loss: 0.3793536, Train Acc: 0.8642876, Test Acc: 0.7810219, Train Cov: 2.7869201
Epoch: 068, Train Loss: 0.3627280, Train Acc: 0.8613139, Test Acc: 0.7737226, Train Cov: 2.7625647
Epoch: 069, Train Loss: 0.3670129, Train Acc: 0.8680725, Test Acc: 0.7858881, Train Cov: 2.7312281
Epoch: 070, Train Loss: 0.3562841, Train Acc: 0.8742903, Test Acc: 0.7858881, Train Cov: 2.7165980
