{'dataset_name': 'NCI1', 'seed': 777, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 64, 'epochs': 901, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 64, 'pooling': 'add', 'JK': 'last', 'nonlinear_conv': 'G', 'dropout': 0.5, 'variants': {'BN': 'Y'}}, 'commit_id': '2ceb3d035efe519de861aee344e426f68c91b0bc', 'time_stamp': '1610334203', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=2ceb3d035efe519de861aee344e426f68c91b0bc
Epoch: 001, Train Loss: 1.4037223, Train Acc: 0.6071911, Test Acc: 0.5742092, Train Cov: 3.7059140
Epoch: 002, Train Loss: 0.8121564, Train Acc: 0.6620708, Test Acc: 0.6423358, Train Cov: 3.7169120
Epoch: 003, Train Loss: 0.6322400, Train Acc: 0.6977562, Test Acc: 0.6861314, Train Cov: 3.7225616
Epoch: 004, Train Loss: 0.5817483, Train Acc: 0.7423628, Test Acc: 0.7007299, Train Cov: 3.7225316
Epoch: 005, Train Loss: 0.5567571, Train Acc: 0.7266829, Test Acc: 0.6812652, Train Cov: 3.7222445
Epoch: 006, Train Loss: 0.5639290, Train Acc: 0.6609895, Test Acc: 0.6593674, Train Cov: 3.7251296
Epoch: 007, Train Loss: 0.5514084, Train Acc: 0.7207353, Test Acc: 0.7080292, Train Cov: 3.7229075
Epoch: 008, Train Loss: 0.5407208, Train Acc: 0.7453366, Test Acc: 0.7226277, Train Cov: 3.7195454
Epoch: 009, Train Loss: 0.5198053, Train Acc: 0.7758854, Test Acc: 0.7274939, Train Cov: 3.7183225
Epoch: 010, Train Loss: 0.5061393, Train Acc: 0.7799405, Test Acc: 0.7347932, Train Cov: 3.7168272
Epoch: 011, Train Loss: 0.5161353, Train Acc: 0.6761287, Test Acc: 0.6593674, Train Cov: 3.7169003
Epoch: 012, Train Loss: 0.5157451, Train Acc: 0.7618275, Test Acc: 0.7226277, Train Cov: 3.7168572
Epoch: 013, Train Loss: 0.5026114, Train Acc: 0.7848067, Test Acc: 0.7396594, Train Cov: 3.7182004
Epoch: 014, Train Loss: 0.4967545, Train Acc: 0.6855907, Test Acc: 0.6666667, Train Cov: 3.7161210
