{'dataset_name': 'NCI1', 'seed': 777, 'num_workers': 1, 'cov_weight': 0.1, 'hyperparams': {'batch_size': 64, 'epochs': 901, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 64, 'pooling': 'add', 'JK': 'last', 'nonlinear_conv': 'G', 'dropout': 0.5, 'variants': {'BN': 'Y'}}, 'commit_id': '2ceb3d035efe519de861aee344e426f68c91b0bc', 'time_stamp': '1610334225', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=2ceb3d035efe519de861aee344e426f68c91b0bc
Epoch: 001, Train Loss: 1.7426452, Train Acc: 0.5328467, Test Acc: 0.5085158, Train Cov: 3.7045352
Epoch: 002, Train Loss: 1.1813182, Train Acc: 0.6728846, Test Acc: 0.6593674, Train Cov: 3.7267351
Epoch: 003, Train Loss: 1.0017860, Train Acc: 0.7139768, Test Acc: 0.6885645, Train Cov: 3.7231388
Epoch: 004, Train Loss: 0.9660248, Train Acc: 0.5812382, Test Acc: 0.5961071, Train Cov: 3.7198637
Epoch: 005, Train Loss: 0.9492705, Train Acc: 0.6788321, Test Acc: 0.6399027, Train Cov: 3.7185464
Epoch: 006, Train Loss: 0.9393289, Train Acc: 0.6407137, Test Acc: 0.6228710, Train Cov: 3.7161160
Epoch: 007, Train Loss: 0.9343579, Train Acc: 0.7123547, Test Acc: 0.6982968, Train Cov: 3.7137940
Epoch: 008, Train Loss: 0.9151201, Train Acc: 0.7128954, Test Acc: 0.6472019, Train Cov: 3.7096045
Epoch: 009, Train Loss: 0.9167967, Train Acc: 0.7026223, Test Acc: 0.6520681, Train Cov: 3.7073283
Epoch: 010, Train Loss: 0.8806240, Train Acc: 0.6812652, Test Acc: 0.6763990, Train Cov: 3.7058411
Epoch: 011, Train Loss: 0.8952784, Train Acc: 0.6939713, Test Acc: 0.6763990, Train Cov: 3.7045605
Epoch: 012, Train Loss: 0.8986208, Train Acc: 0.7180319, Test Acc: 0.6715328, Train Cov: 3.7064006
Epoch: 013, Train Loss: 0.8793518, Train Acc: 0.7575020, Test Acc: 0.7372263, Train Cov: 3.6986198
Epoch: 014, Train Loss: 0.8687152, Train Acc: 0.7402001, Test Acc: 0.7250608, Train Cov: 3.6976416
Epoch: 015, Train Loss: 0.8701953, Train Acc: 0.6858610, Test Acc: 0.6496350, Train Cov: 3.6925716
Epoch: 016, Train Loss: 0.8566429, Train Acc: 0.7772371, Test Acc: 0.7566910, Train Cov: 3.6895835
Epoch: 017, Train Loss: 0.8625358, Train Acc: 0.7396594, Test Acc: 0.6958637, Train Cov: 3.6877463
Epoch: 018, Train Loss: 0.8559438, Train Acc: 0.7696675, Test Acc: 0.7785888, Train Cov: 3.6829121
Epoch: 019, Train Loss: 0.8515254, Train Acc: 0.7150581, Test Acc: 0.7031630, Train Cov: 3.6752887
Epoch: 020, Train Loss: 0.8387445, Train Acc: 0.7629089, Test Acc: 0.7518248, Train Cov: 3.6726542
Epoch: 021, Train Loss: 0.8448504, Train Acc: 0.7201946, Test Acc: 0.7055961, Train Cov: 3.6756167
Epoch: 022, Train Loss: 0.8359571, Train Acc: 0.7575020, Test Acc: 0.7153285, Train Cov: 3.6727042
Epoch: 023, Train Loss: 0.8403995, Train Acc: 0.7785888, Test Acc: 0.7858881, Train Cov: 3.6659601
Epoch: 024, Train Loss: 0.8250292, Train Acc: 0.7504731, Test Acc: 0.7153285, Train Cov: 3.6598961
Epoch: 025, Train Loss: 0.8282299, Train Acc: 0.7483104, Test Acc: 0.7226277, Train Cov: 3.6556947
Epoch: 026, Train Loss: 0.8235021, Train Acc: 0.7723709, Test Acc: 0.7420925, Train Cov: 3.6549203
Epoch: 027, Train Loss: 0.8360948, Train Acc: 0.7799405, Test Acc: 0.7396594, Train Cov: 3.6539588
Epoch: 028, Train Loss: 0.8165257, Train Acc: 0.7737226, Test Acc: 0.7469586, Train Cov: 3.6543307
Epoch: 029, Train Loss: 0.8133232, Train Acc: 0.7888619, Test Acc: 0.7299270, Train Cov: 3.6522882
Epoch: 030, Train Loss: 0.8083064, Train Acc: 0.6842390, Test Acc: 0.6374696, Train Cov: 3.6463256
Epoch: 031, Train Loss: 0.7971795, Train Acc: 0.7885915, Test Acc: 0.7518248, Train Cov: 3.6427112
Epoch: 032, Train Loss: 0.8071706, Train Acc: 0.7858881, Test Acc: 0.7542579, Train Cov: 3.6391521
Epoch: 033, Train Loss: 0.8012475, Train Acc: 0.7875101, Test Acc: 0.7274939, Train Cov: 3.6337423
Epoch: 034, Train Loss: 0.7955365, Train Acc: 0.7145174, Test Acc: 0.6618005, Train Cov: 3.6260145
Epoch: 035, Train Loss: 0.7954901, Train Acc: 0.7710192, Test Acc: 0.7299270, Train Cov: 3.6226687
Epoch: 036, Train Loss: 0.7860478, Train Acc: 0.7937280, Test Acc: 0.7615572, Train Cov: 3.6186574
Epoch: 037, Train Loss: 0.7808624, Train Acc: 0.7715599, Test Acc: 0.7153285, Train Cov: 3.6167738
Epoch: 038, Train Loss: 0.7796453, Train Acc: 0.8131928, Test Acc: 0.7664234, Train Cov: 3.6127627
Epoch: 039, Train Loss: 0.7900774, Train Acc: 0.7015410, Test Acc: 0.6739659, Train Cov: 3.6095958
Epoch: 040, Train Loss: 0.7999162, Train Acc: 0.6809949, Test Acc: 0.6326034, Train Cov: 3.6048996
Epoch: 041, Train Loss: 0.7786237, Train Acc: 0.7718302, Test Acc: 0.7469586, Train Cov: 3.5996182
Epoch: 042, Train Loss: 0.7834674, Train Acc: 0.8142741, Test Acc: 0.7785888, Train Cov: 3.5945892
Epoch: 043, Train Loss: 0.7878644, Train Acc: 0.6593674, Test Acc: 0.6180049, Train Cov: 3.5902195
Epoch: 044, Train Loss: 0.7905328, Train Acc: 0.8275210, Test Acc: 0.7566910, Train Cov: 3.5851519
Epoch: 045, Train Loss: 0.7747401, Train Acc: 0.7358746, Test Acc: 0.6788321, Train Cov: 3.5820861
Epoch: 046, Train Loss: 0.7660639, Train Acc: 0.7796702, Test Acc: 0.7250608, Train Cov: 3.5800750
Epoch: 047, Train Loss: 0.7675146, Train Acc: 0.6874831, Test Acc: 0.6399027, Train Cov: 3.5793419
Epoch: 048, Train Loss: 0.7767421, Train Acc: 0.6696404, Test Acc: 0.6399027, Train Cov: 3.5752699
Epoch: 049, Train Loss: 0.7687843, Train Acc: 0.7477697, Test Acc: 0.7226277, Train Cov: 3.5730658
Epoch: 050, Train Loss: 0.7751757, Train Acc: 0.7883212, Test Acc: 0.7347932, Train Cov: 3.5693510
Epoch: 051, Train Loss: 0.7499849, Train Acc: 0.8015680, Test Acc: 0.7347932, Train Cov: 3.5685365
Epoch: 052, Train Loss: 0.7380355, Train Acc: 0.8340092, Test Acc: 0.7518248, Train Cov: 3.5614960
Epoch: 053, Train Loss: 0.7201268, Train Acc: 0.8210327, Test Acc: 0.7493917, Train Cov: 3.5575993
Epoch: 054, Train Loss: 0.7163816, Train Acc: 0.7491214, Test Acc: 0.6982968, Train Cov: 3.5524876
Epoch: 055, Train Loss: 0.7317891, Train Acc: 0.8596918, Test Acc: 0.8004866, Train Cov: 3.5467205
Epoch: 056, Train Loss: 0.7205077, Train Acc: 0.8199513, Test Acc: 0.7420925, Train Cov: 3.5441749
Epoch: 057, Train Loss: 0.7195086, Train Acc: 0.8088673, Test Acc: 0.7591241, Train Cov: 3.5405564
Epoch: 058, Train Loss: 0.7222091, Train Acc: 0.7996756, Test Acc: 0.7226277, Train Cov: 3.5371714
Epoch: 059, Train Loss: 0.7193177, Train Acc: 0.8491484, Test Acc: 0.7688564, Train Cov: 3.5325079
Epoch: 060, Train Loss: 0.7162930, Train Acc: 0.8356313, Test Acc: 0.7858881, Train Cov: 3.5289264
Epoch: 061, Train Loss: 0.7220741, Train Acc: 0.5831306, Test Acc: 0.5401460, Train Cov: 3.5242732
Epoch: 062, Train Loss: 0.7181855, Train Acc: 0.8131928, Test Acc: 0.7420925, Train Cov: 3.5212286
Epoch: 063, Train Loss: 0.7022356, Train Acc: 0.8113004, Test Acc: 0.7493917, Train Cov: 3.5160155
Epoch: 064, Train Loss: 0.7019680, Train Acc: 0.7985942, Test Acc: 0.7177616, Train Cov: 3.5118377
Epoch: 065, Train Loss: 0.7084516, Train Acc: 0.8223844, Test Acc: 0.7445255, Train Cov: 3.5083451
Epoch: 066, Train Loss: 0.6929582, Train Acc: 0.8418491, Test Acc: 0.7761557, Train Cov: 3.5040848
Epoch: 067, Train Loss: 0.6916899, Train Acc: 0.6872128, Test Acc: 0.6204380, Train Cov: 3.5024559
Epoch: 068, Train Loss: 0.6950437, Train Acc: 0.8621249, Test Acc: 0.7712895, Train Cov: 3.4969134
Epoch: 069, Train Loss: 0.6783138, Train Acc: 0.8050825, Test Acc: 0.7445255, Train Cov: 3.4921424
Epoch: 070, Train Loss: 0.6851069, Train Acc: 0.7699378, Test Acc: 0.7372263, Train Cov: 3.4864514
Epoch: 071, Train Loss: 0.6944896, Train Acc: 0.8313058, Test Acc: 0.7761557, Train Cov: 3.4848332
Epoch: 072, Train Loss: 0.6624569, Train Acc: 0.8678021, Test Acc: 0.7907543, Train Cov: 3.4825168
Epoch: 073, Train Loss: 0.6819454, Train Acc: 0.6550419, Test Acc: 0.5644769, Train Cov: 3.4777339
Epoch: 074, Train Loss: 0.6816990, Train Acc: 0.8515815, Test Acc: 0.7177616, Train Cov: 3.4709420
Epoch: 075, Train Loss: 0.6804898, Train Acc: 0.8718573, Test Acc: 0.7858881, Train Cov: 3.4675038
Epoch: 076, Train Loss: 0.6740092, Train Acc: 0.8272506, Test Acc: 0.7591241, Train Cov: 3.4601605
Epoch: 077, Train Loss: 0.6590316, Train Acc: 0.8591511, Test Acc: 0.7785888, Train Cov: 3.4576375
Epoch: 078, Train Loss: 0.6585838, Train Acc: 0.8299540, Test Acc: 0.7493917, Train Cov: 3.4528153
Epoch: 079, Train Loss: 0.6649068, Train Acc: 0.8329278, Test Acc: 0.8102190, Train Cov: 3.4496167
Epoch: 080, Train Loss: 0.6548537, Train Acc: 0.7815626, Test Acc: 0.7226277, Train Cov: 3.4469521
Epoch: 081, Train Loss: 0.6623082, Train Acc: 0.7145174, Test Acc: 0.7128954, Train Cov: 3.4436579
Epoch: 082, Train Loss: 0.6439798, Train Acc: 0.7518248, Test Acc: 0.6812652, Train Cov: 3.4403543
Epoch: 083, Train Loss: 0.6637304, Train Acc: 0.8634766, Test Acc: 0.7883212, Train Cov: 3.4356165
Epoch: 084, Train Loss: 0.6598393, Train Acc: 0.8686131, Test Acc: 0.7883212, Train Cov: 3.4327857
Epoch: 085, Train Loss: 0.6459971, Train Acc: 0.8661800, Test Acc: 0.7810219, Train Cov: 3.4303470
Epoch: 086, Train Loss: 0.6266288, Train Acc: 0.8821303, Test Acc: 0.7785888, Train Cov: 3.4261165
Epoch: 087, Train Loss: 0.6302677, Train Acc: 0.9061909, Test Acc: 0.8029197, Train Cov: 3.4174635
Epoch: 088, Train Loss: 0.6146111, Train Acc: 0.8296837, Test Acc: 0.7712895, Train Cov: 3.4150465
Epoch: 089, Train Loss: 0.6237692, Train Acc: 0.8361719, Test Acc: 0.7615572, Train Cov: 3.4110265
Epoch: 090, Train Loss: 0.6309040, Train Acc: 0.8991619, Test Acc: 0.7810219, Train Cov: 3.4069817
Epoch: 091, Train Loss: 0.6329287, Train Acc: 0.7926467, Test Acc: 0.7347932, Train Cov: 3.4049327
Epoch: 092, Train Loss: 0.6237912, Train Acc: 0.8432009, Test Acc: 0.7761557, Train Cov: 3.3977513
Epoch: 093, Train Loss: 0.6239059, Train Acc: 0.7058665, Test Acc: 0.6374696, Train Cov: 3.3950539
Epoch: 094, Train Loss: 0.6215768, Train Acc: 0.9013247, Test Acc: 0.7956204, Train Cov: 3.3911765
Epoch: 095, Train Loss: 0.6614074, Train Acc: 0.8569884, Test Acc: 0.7980535, Train Cov: 3.3906996
Epoch: 096, Train Loss: 0.6248696, Train Acc: 0.8924034, Test Acc: 0.8004866, Train Cov: 3.3846409
Epoch: 097, Train Loss: 0.5965376, Train Acc: 0.8715869, Test Acc: 0.7785888, Train Cov: 3.3794019
Epoch: 098, Train Loss: 0.6151166, Train Acc: 0.8740200, Test Acc: 0.8053528, Train Cov: 3.3725750
Epoch: 099, Train Loss: 0.6208002, Train Acc: 0.7072182, Test Acc: 0.6690998, Train Cov: 3.3669760
Epoch: 100, Train Loss: 0.6138383, Train Acc: 0.8413085, Test Acc: 0.7420925, Train Cov: 3.3663914
Epoch: 101, Train Loss: 0.6087500, Train Acc: 0.9148418, Test Acc: 0.8248175, Train Cov: 3.3646879
Epoch: 102, Train Loss: 0.5837845, Train Acc: 0.8959178, Test Acc: 0.7858881, Train Cov: 3.3600435
