{'dataset_name': 'PROTEINS', 'seed': 666, 'num_workers': 1, 'cov_weight': 0, 'hyperparams': {'batch_size': 64, 'epochs': 901, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 64, 'pooling': 'add', 'JK': 'last', 'nonlinear_conv': 'g', 'dropout': 0.5, 'variants': {'BN': 'Y'}}, 'commit_id': '2ceb3d035efe519de861aee344e426f68c91b0bc', 'time_stamp': '1610295096', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=2ceb3d035efe519de861aee344e426f68c91b0bc
Epoch: 001, Train Loss: 1.7020600, Train Acc: 0.5854146, Test Acc: 0.6785714, Train Cov: 4.0128093
Epoch: 002, Train Loss: 0.8682061, Train Acc: 0.5884116, Test Acc: 0.6607143, Train Cov: 3.9768853
Epoch: 003, Train Loss: 0.7098355, Train Acc: 0.6373626, Test Acc: 0.6875000, Train Cov: 3.9665453
Epoch: 004, Train Loss: 0.6393015, Train Acc: 0.6743257, Test Acc: 0.7142857, Train Cov: 3.9637101
Epoch: 005, Train Loss: 0.6373711, Train Acc: 0.6003996, Test Acc: 0.6339286, Train Cov: 3.9572790
Epoch: 006, Train Loss: 0.6439033, Train Acc: 0.6403596, Test Acc: 0.6875000, Train Cov: 3.9447742
Epoch: 007, Train Loss: 0.6081696, Train Acc: 0.6613387, Test Acc: 0.6785714, Train Cov: 3.9441690
Epoch: 008, Train Loss: 0.5944713, Train Acc: 0.6703297, Test Acc: 0.7142857, Train Cov: 3.9380054
Epoch: 009, Train Loss: 0.5708610, Train Acc: 0.6843157, Test Acc: 0.6875000, Train Cov: 3.9396415
Epoch: 010, Train Loss: 0.5960077, Train Acc: 0.7162837, Test Acc: 0.7321429, Train Cov: 3.9389517
Epoch: 011, Train Loss: 0.5909754, Train Acc: 0.6953047, Test Acc: 0.7053571, Train Cov: 3.9381049
Epoch: 012, Train Loss: 0.5881763, Train Acc: 0.6963037, Test Acc: 0.7232143, Train Cov: 3.9359517
Epoch: 013, Train Loss: 0.5808283, Train Acc: 0.6663337, Test Acc: 0.7232143, Train Cov: 3.9299307
Epoch: 014, Train Loss: 0.5857276, Train Acc: 0.7482517, Test Acc: 0.7232143, Train Cov: 3.9322457
Epoch: 015, Train Loss: 0.5816699, Train Acc: 0.7022977, Test Acc: 0.7232143, Train Cov: 3.9335082
Epoch: 016, Train Loss: 0.5883909, Train Acc: 0.7342657, Test Acc: 0.7053571, Train Cov: 3.9286532
Epoch: 017, Train Loss: 0.5563090, Train Acc: 0.7232767, Test Acc: 0.7321429, Train Cov: 3.9278879
Epoch: 018, Train Loss: 0.5851568, Train Acc: 0.7322677, Test Acc: 0.7142857, Train Cov: 3.9305420
Epoch: 019, Train Loss: 0.5608020, Train Acc: 0.7432567, Test Acc: 0.6875000, Train Cov: 3.9266021
Epoch: 020, Train Loss: 0.5723119, Train Acc: 0.7562438, Test Acc: 0.7410714, Train Cov: 3.9265983
Epoch: 021, Train Loss: 0.5576037, Train Acc: 0.7302697, Test Acc: 0.6696429, Train Cov: 3.9259832
Epoch: 022, Train Loss: 0.5753418, Train Acc: 0.7412587, Test Acc: 0.7321429, Train Cov: 3.9226837
Epoch: 023, Train Loss: 0.5645686, Train Acc: 0.7502498, Test Acc: 0.7232143, Train Cov: 3.9198256
Epoch: 024, Train Loss: 0.5718767, Train Acc: 0.7582418, Test Acc: 0.7232143, Train Cov: 3.9225533
Epoch: 025, Train Loss: 0.5596844, Train Acc: 0.7422577, Test Acc: 0.7321429, Train Cov: 3.9301498
Epoch: 026, Train Loss: 0.5579244, Train Acc: 0.7392607, Test Acc: 0.6517857, Train Cov: 3.9326375
Epoch: 027, Train Loss: 0.5621879, Train Acc: 0.7542458, Test Acc: 0.6964286, Train Cov: 3.9314718
Epoch: 028, Train Loss: 0.5538923, Train Acc: 0.7512488, Test Acc: 0.6696429, Train Cov: 3.9287086
Epoch: 029, Train Loss: 0.5460191, Train Acc: 0.7462537, Test Acc: 0.6785714, Train Cov: 3.9261351
Epoch: 030, Train Loss: 0.5377803, Train Acc: 0.7502498, Test Acc: 0.6428571, Train Cov: 3.9262221
Epoch: 031, Train Loss: 0.5437592, Train Acc: 0.7682318, Test Acc: 0.6696429, Train Cov: 3.9184897
Epoch: 032, Train Loss: 0.5469576, Train Acc: 0.7572428, Test Acc: 0.7410714, Train Cov: 3.9187944
Epoch: 033, Train Loss: 0.5435671, Train Acc: 0.7682318, Test Acc: 0.7232143, Train Cov: 3.9193175
