{'dataset_name': 'PROTEINS', 'seed': 666, 'num_workers': 1, 'cov_weight': 0.1, 'hyperparams': {'batch_size': 64, 'epochs': 901, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 64, 'pooling': 'add', 'JK': 'last', 'nonlinear_conv': 'g', 'dropout': 0.5, 'variants': {'BN': 'Y'}}, 'commit_id': '2ceb3d035efe519de861aee344e426f68c91b0bc', 'time_stamp': '1610295138', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=PROTEINS, COMMIT_ID=2ceb3d035efe519de861aee344e426f68c91b0bc
Epoch: 001, Train Loss: 2.1910608, Train Acc: 0.5774226, Test Acc: 0.6785714, Train Cov: 4.0120530
Epoch: 002, Train Loss: 1.3475172, Train Acc: 0.5874126, Test Acc: 0.6607143, Train Cov: 3.9713850
Epoch: 003, Train Loss: 1.0740318, Train Acc: 0.6483516, Test Acc: 0.6696429, Train Cov: 3.9380534
Epoch: 004, Train Loss: 1.0279979, Train Acc: 0.6183816, Test Acc: 0.6607143, Train Cov: 3.9230561
Epoch: 005, Train Loss: 1.0128387, Train Acc: 0.6453546, Test Acc: 0.6607143, Train Cov: 3.9031699
Epoch: 006, Train Loss: 0.9897590, Train Acc: 0.7222777, Test Acc: 0.7321429, Train Cov: 3.8863397
Epoch: 007, Train Loss: 0.9977795, Train Acc: 0.6813187, Test Acc: 0.6785714, Train Cov: 3.8784719
Epoch: 008, Train Loss: 0.9652902, Train Acc: 0.6733267, Test Acc: 0.6785714, Train Cov: 3.8652551
Epoch: 009, Train Loss: 0.9646974, Train Acc: 0.6873127, Test Acc: 0.6607143, Train Cov: 3.8582656
Epoch: 010, Train Loss: 0.9808558, Train Acc: 0.7302697, Test Acc: 0.6964286, Train Cov: 3.8380291
Epoch: 011, Train Loss: 0.9645518, Train Acc: 0.7382617, Test Acc: 0.6785714, Train Cov: 3.8206789
Epoch: 012, Train Loss: 0.9617844, Train Acc: 0.7242757, Test Acc: 0.6875000, Train Cov: 3.8124590
Epoch: 013, Train Loss: 0.9583597, Train Acc: 0.7202797, Test Acc: 0.6517857, Train Cov: 3.7870810
Epoch: 014, Train Loss: 0.9611920, Train Acc: 0.7392607, Test Acc: 0.6339286, Train Cov: 3.7680757
Epoch: 015, Train Loss: 0.9437959, Train Acc: 0.6723277, Test Acc: 0.6696429, Train Cov: 3.7424977
Epoch: 016, Train Loss: 0.9631942, Train Acc: 0.7412587, Test Acc: 0.7232143, Train Cov: 3.7215252
Epoch: 017, Train Loss: 0.9507494, Train Acc: 0.7252747, Test Acc: 0.6875000, Train Cov: 3.7015691
Epoch: 018, Train Loss: 0.9536817, Train Acc: 0.7312687, Test Acc: 0.6875000, Train Cov: 3.6896100
Epoch: 019, Train Loss: 0.9371623, Train Acc: 0.7132867, Test Acc: 0.6696429, Train Cov: 3.6512058
Epoch: 020, Train Loss: 0.9288234, Train Acc: 0.7412587, Test Acc: 0.6517857, Train Cov: 3.6324186
Epoch: 021, Train Loss: 0.9181620, Train Acc: 0.7442557, Test Acc: 0.6964286, Train Cov: 3.6082938
Epoch: 022, Train Loss: 0.9312563, Train Acc: 0.7402597, Test Acc: 0.7053571, Train Cov: 3.5837152
